asset,partition,rep_period,specification,year
NL_Solar,3,1,uniform,2050
NL_Wind_Onshore,3,1,uniform,2050
NL_Wind_Offshore,3,1,uniform,2050
NL_Coal,3,1,uniform,2050
NL_Nuclear,3,1,uniform,2050
NL_CCGT,3,1,uniform,2050
NL_OCGT,3,1,uniform,2050
NL_Battery,3,1,uniform,2050
NL_E_Demand,3,1,uniform,2050
NL_Balance,3,1,uniform,2050
NL_Solar,3,2,uniform,2050
NL_Wind_Onshore,3,2,uniform,2050
NL_Wind_Offshore,3,2,uniform,2050
NL_Coal,3,2,uniform,2050
NL_Nuclear,3,2,uniform,2050
NL_CCGT,3,2,uniform,2050
NL_OCGT,3,2,uniform,2050
NL_Battery,3,2,uniform,2050
NL_E_Demand,3,2,uniform,2050
NL_Balance,3,2,uniform,2050
NL_Solar,3,3,uniform,2050
NL_Wind_Onshore,3,3,uniform,2050
NL_Wind_Offshore,3,3,uniform,2050
NL_Coal,3,3,uniform,2050
NL_Nuclear,3,3,uniform,2050
NL_CCGT,3,3,uniform,2050
NL_OCGT,3,3,uniform,2050
NL_Battery,3,3,uniform,2050
NL_E_Demand,3,3,uniform,2050
NL_Balance,3,3,uniform,2050
NL_Solar,3,4,uniform,2050
NL_Wind_Onshore,3,4,uniform,2050
NL_Wind_Offshore,3,4,uniform,2050
NL_Coal,3,4,uniform,2050
NL_Nuclear,3,4,uniform,2050
NL_CCGT,3,4,uniform,2050
NL_OCGT,3,4,uniform,2050
NL_Battery,3,4,uniform,2050
NL_E_Demand,3,4,uniform,2050
NL_Balance,3,4,uniform,2050
NL_Solar,3,5,uniform,2050
NL_Wind_Onshore,3,5,uniform,2050
NL_Wind_Offshore,3,5,uniform,2050
NL_Coal,3,5,uniform,2050
NL_Nuclear,3,5,uniform,2050
NL_CCGT,3,5,uniform,2050
NL_OCGT,3,5,uniform,2050
NL_Battery,3,5,uniform,2050
NL_E_Demand,3,5,uniform,2050
NL_Balance,3,5,uniform,2050
NL_Solar,3,6,uniform,2050
NL_Wind_Onshore,3,6,uniform,2050
NL_Wind_Offshore,3,6,uniform,2050
NL_Coal,3,6,uniform,2050
NL_Nuclear,3,6,uniform,2050
NL_CCGT,3,6,uniform,2050
NL_OCGT,3,6,uniform,2050
NL_Battery,3,6,uniform,2050
NL_E_Demand,3,6,uniform,2050
NL_Balance,3,6,uniform,2050
NL_Solar,3,7,uniform,2050
NL_Wind_Onshore,3,7,uniform,2050
NL_Wind_Offshore,3,7,uniform,2050
NL_Coal,3,7,uniform,2050
NL_Nuclear,3,7,uniform,2050
NL_CCGT,3,7,uniform,2050
NL_OCGT,3,7,uniform,2050
NL_Battery,3,7,uniform,2050
NL_E_Demand,3,7,uniform,2050
NL_Balance,3,7,uniform,2050
NL_Solar,3,8,uniform,2050
NL_Wind_Onshore,3,8,uniform,2050
NL_Wind_Offshore,3,8,uniform,2050
NL_Coal,3,8,uniform,2050
NL_Nuclear,3,8,uniform,2050
NL_CCGT,3,8,uniform,2050
NL_OCGT,3,8,uniform,2050
NL_Battery,3,8,uniform,2050
NL_E_Demand,3,8,uniform,2050
NL_Balance,3,8,uniform,2050
NL_Solar,3,9,uniform,2050
NL_Wind_Onshore,3,9,uniform,2050
NL_Wind_Offshore,3,9,uniform,2050
NL_Coal,3,9,uniform,2050
NL_Nuclear,3,9,uniform,2050
NL_CCGT,3,9,uniform,2050
NL_OCGT,3,9,uniform,2050
NL_Battery,3,9,uniform,2050
NL_E_Demand,3,9,uniform,2050
NL_Balance,3,9,uniform,2050
NL_Solar,3,10,uniform,2050
NL_Wind_Onshore,3,10,uniform,2050
NL_Wind_Offshore,3,10,uniform,2050
NL_Coal,3,10,uniform,2050
NL_Nuclear,3,10,uniform,2050
NL_CCGT,3,10,uniform,2050
NL_OCGT,3,10,uniform,2050
NL_Battery,3,10,uniform,2050
NL_E_Demand,3,10,uniform,2050
NL_Balance,3,10,uniform,2050
BE_Solar,3,1,uniform,2050
BE_Wind_Onshore,3,1,uniform,2050
BE_Wind_Offshore,3,1,uniform,2050
BE_Coal,3,1,uniform,2050
BE_Nuclear,3,1,uniform,2050
BE_CCGT,3,1,uniform,2050
