year,period,rep_period,weight
2050,1,5,1.0
2050,2,5,1.0
2050,3,5,1.0
2050,4,5,1.0
2050,5,2,1.0
2050,6,4,1.0
2050,7,5,1.0
2050,8,5,1.0
2050,9,5,1.0
2050,10,5,1.0
2050,11,5,1.0
2050,12,5,1.0
2050,13,5,1.0
2050,14,5,1.0
2050,15,5,1.0
2050,16,5,1.0
2050,17,5,1.0
2050,18,7,1.0
2050,19,10,1.0
2050,20,7,1.0
2050,21,10,1.0
2050,22,10,1.0
2050,23,4,1.0
2050,24,4,1.0
2050,25,4,1.0
2050,26,4,1.0
2050,27,4,1.0
2050,28,5,1.0
2050,29,5,1.0
2050,30,2,1.0
2050,31,4,1.0
2050,32,4,1.0
2050,33,4,1.0
2050,34,10,1.0
2050,35,10,1.0
2050,36,4,1.0
2050,37,2,1.0
2050,38,5,1.0
2050,39,5,1.0
2050,40,4,1.0
2050,41,2,1.0
2050,42,7,1.0
2050,43,7,1.0
2050,44,4,1.0
2050,45,10,1.0
2050,46,7,1.0
2050,47,7,1.0
2050,48,2,1.0
2050,49,5,1.0
2050,50,5,1.0
2050,51,5,1.0
2050,52,2,1.0
2050,53,2,1.0
2050,54,5,1.0
2050,55,4,1.0
2050,56,2,1.0
2050,57,4,1.0
2050,58,4,1.0
2050,59,4,1.0
2050,60,5,1.0
2050,61,5,1.0
2050,62,5,1.0
2050,63,4,1.0
2050,64,4,1.0
2050,65,2,1.0
2050,66,5,1.0
2050,67,5,1.0
2050,68,7,1.0
2050,69,7,1.0
2050,70,7,1.0
2050,71,2,1.0
2050,72,7,1.0
2050,73,7,1.0
2050,74,2,1.0
2050,75,2,1.0
2050,76,7,1.0
2050,77,10,1.0
2050,78,10,1.0
2050,79,10,1.0
2050,80,4,1.0
2050,81,2,1.0
2050,82,7,1.0
2050,83,10,1.0
2050,84,2,1.0
2050,85,2,1.0
2050,86,2,1.0
2050,87,4,1.0
2050,88,5,1.0
2050,89,5,1.0
2050,90,5,1.0
2050,91,5,1.0
2050,92,2,1.0
2050,93,2,1.0
2050,94,7,1.0
2050,95,2,1.0
2050,96,2,1.0
2050,97,2,1.0
2050,98,7,1.0
2050,99,7,1.0
2050,100,7,1.0
2050,101,4,1.0
2050,102,7,1.0
2050,103,7,1.0
2050,104,7,1.0
2050,105,7,1.0
2050,106,7,1.0
2050,107,2,1.0
2050,108,2,1.0
2050,109,7,1.0
2050,110,7,1.0
2050,111,2,1.0
2050,112,7,1.0
2050,113,7,1.0
2050,114,7,1.0
2050,115,6,1.0
2050,116,6,1.0
2050,117,6,1.0
2050,118,6,1.0
2050,119,9,1.0
2050,120,8,1.0
2050,121,6,1.0
2050,122,8,1.0
2050,123,8,1.0
2050,124,8,1.0
2050,125,8,1.0
2050,126,8,1.0
2050,127,8,1.0
2050,128,8,1.0
2050,129,8,1.0
2050,130,8,1.0
2050,131,8,1.0
2050,132,8,1.0
2050,133,8,1.0
2050,134,6,1.0
2050,135,6,1.0
2050,136,8,1.0
2050,137,8,1.0
2050,138,8,1.0
2050,139,8,1.0
2050,140,6,1.0
2050,141,6,1.0
2050,142,6,1.0
2050,143,6,1.0
2050,144,6,1.0
2050,145,6,1.0
2050,146,6,1.0
2050,147,6,1.0
2050,148,8,1.0
2050,149,8,1.0
2050,150,8,1.0
2050,151,8,1.0
2050,152,8,1.0
2050,153,8,1.0
2050,154,8,1.0
2050,155,8,1.0
2050,156,8,1.0
2050,157,8,1.0
