from_asset,to_asset,year,rep_period,specification,partition
NL_Balance,NL_E_Demand,2030,1,uniform,1
NL_Solar,NL_Balance,2030,1,uniform,1
NL_Wind_Onshore,NL_Balance,2030,1,uniform,1
NL_Wind_Offshore,NL_Balance,2030,1,uniform,1
NL_Coal,NL_Balance,2030,1,uniform,1
NL_Nuclear,NL_Balance,2030,1,uniform,1
NL_CCGT,NL_Balance,2030,1,uniform,1
NL_OCGT,NL_Balance,2030,1,uniform,1
NL_Battery,NL_Balance,2030,1,uniform,1
NL_Balance,NL_Battery,2030,1,uniform,1
BE_Balance,BE_E_Demand,2030,1,uniform,1
BE_Solar,BE_Balance,2030,1,uniform,1
BE_Wind_Onshore,BE_Balance,2030,1,uniform,1
BE_Wind_Offshore,BE_Balance,2030,1,uniform,1
BE_Coal,BE_Balance,2030,1,uniform,1
BE_Nuclear,BE_Balance,2030,1,uniform,1
BE_CCGT,BE_Balance,2030,1,uniform,1
BE_OCGT,BE_Balance,2030,1,uniform,1
BE_Battery,BE_Balance,2030,1,uniform,1
BE_Balance,BE_Battery,2030,1,uniform,1
DE_Balance,DE_E_Demand,2030,1,uniform,1
DE_Solar,DE_Balance,2030,1,uniform,1
DE_Wind_Onshore,DE_Balance,2030,1,uniform,1
DE_Wind_Offshore,DE_Balance,2030,1,uniform,1
DE_Coal,DE_Balance,2030,1,uniform,1
DE_Nuclear,DE_Balance,2030,1,uniform,1
DE_CCGT,DE_Balance,2030,1,uniform,1
DE_OCGT,DE_Balance,2030,1,uniform,1
DE_Battery,DE_Balance,2030,1,uniform,1
DE_Balance,DE_Battery,2030,1,uniform,1
FR_Balance,FR_E_Demand,2030,1,uniform,2
FR_Solar,FR_Balance,2030,1,uniform,2
FR_Wind_Onshore,FR_Balance,2030,1,uniform,2
FR_Wind_Offshore,FR_Balance,2030,1,uniform,2
FR_Coal,FR_Balance,2030,1,uniform,2
FR_Nuclear,FR_Balance,2030,1,uniform,2
FR_CCGT,FR_Balance,2030,1,uniform,2
FR_OCGT,FR_Balance,2030,1,uniform,2
FR_Battery,FR_Balance,2030,1,uniform,2
FR_Balance,FR_Battery,2030,1,uniform,2
LU_Balance,LU_E_Demand,2030,1,uniform,2
LU_Solar,LU_Balance,2030,1,uniform,2
LU_Wind_Onshore,LU_Balance,2030,1,uniform,2
LU_Wind_Offshore,LU_Balance,2030,1,uniform,2
LU_Coal,LU_Balance,2030,1,uniform,2
LU_Nuclear,LU_Balance,2030,1,uniform,2
LU_CCGT,LU_Balance,2030,1,uniform,2
LU_OCGT,LU_Balance,2030,1,uniform,2
LU_Battery,LU_Balance,2030,1,uniform,2
LU_Balance,LU_Battery,2030,1,uniform,2
CH_Balance,CH_E_Demand,2030,1,uniform,2
CH_Solar,CH_Balance,2030,1,uniform,2
CH_Wind_Onshore,CH_Balance,2030,1,uniform,2
CH_Wind_Offshore,CH_Balance,2030,1,uniform,2
CH_Coal,CH_Balance,2030,1,uniform,2
CH_Nuclear,CH_Balance,2030,1,uniform,2
CH_CCGT,CH_Balance,2030,1,uniform,2
CH_OCGT,CH_Balance,2030,1,uniform,2
CH_Battery,CH_Balance,2030,1,uniform,2
CH_Balance,CH_Battery,2030,1,uniform,2
UK_Balance,UK_E_Demand,2030,1,uniform,1
UK_Solar,UK_Balance,2030,1,uniform,1
UK_Wind_Onshore,UK_Balance,2030,1,uniform,1
UK_Wind_Offshore,UK_Balance,2030,1,uniform,1
UK_Coal,UK_Balance,2030,1,uniform,1
UK_Nuclear,UK_Balance,2030,1,uniform,1
UK_CCGT,UK_Balance,2030,1,uniform,1
UK_OCGT,UK_Balance,2030,1,uniform,1
UK_Battery,UK_Balance,2030,1,uniform,1
UK_Balance,UK_Battery,2030,1,uniform,1
DK_Balance,DK_E_Demand,2030,1,uniform,1
DK_Solar,DK_Balance,2030,1,uniform,1
DK_Wind_Onshore,DK_Balance,2030,1,uniform,1
DK_Wind_Offshore,DK_Balance,2030,1,uniform,1
DK_Coal,DK_Balance,2030,1,uniform,1
DK_Nuclear,DK_Balance,2030,1,uniform,1
