year,period,rep_period,weight
2030,1,5,1.0
2030,2,5,1.0
2030,3,5,1.0
2030,4,5,1.0
2030,5,2,1.0
2030,6,4,1.0
2030,7,5,1.0
2030,8,5,1.0
2030,9,5,1.0
2030,10,5,1.0
2030,11,5,1.0
2030,12,5,1.0
2030,13,5,1.0
2030,14,5,1.0
2030,15,5,1.0
2030,16,5,1.0
2030,17,5,1.0
2030,18,7,1.0
2030,19,10,1.0
2030,20,7,1.0
2030,21,10,1.0
2030,22,10,1.0
2030,23,4,1.0
2030,24,4,1.0
2030,25,4,1.0
2030,26,4,1.0
2030,27,4,1.0
2030,28,5,1.0
2030,29,5,1.0
2030,30,2,1.0
2030,31,4,1.0
2030,32,4,1.0
2030,33,4,1.0
2030,34,10,1.0
2030,35,10,1.0
2030,36,4,1.0
2030,37,2,1.0
2030,38,5,1.0
2030,39,5,1.0
2030,40,4,1.0
2030,41,2,1.0
2030,42,7,1.0
2030,43,7,1.0
2030,44,4,1.0
2030,45,10,1.0
2030,46,7,1.0
2030,47,7,1.0
2030,48,2,1.0
2030,49,5,1.0
2030,50,5,1.0
2030,51,5,1.0
2030,52,2,1.0
2030,53,2,1.0
2030,54,5,1.0
2030,55,4,1.0
2030,56,2,1.0
2030,57,4,1.0
2030,58,4,1.0
2030,59,4,1.0
2030,60,5,1.0
2030,61,5,1.0
2030,62,5,1.0
2030,63,4,1.0
2030,64,4,1.0
2030,65,2,1.0
2030,66,5,1.0
2030,67,5,1.0
2030,68,7,1.0
2030,69,7,1.0
2030,70,7,1.0
2030,71,2,1.0
2030,72,7,1.0
2030,73,7,1.0
2030,74,2,1.0
2030,75,2,1.0
2030,76,7,1.0
2030,77,10,1.0
2030,78,10,1.0
2030,79,10,1.0
2030,80,4,1.0
2030,81,2,1.0
2030,82,7,1.0
2030,83,10,1.0
2030,84,2,1.0
2030,85,2,1.0
2030,86,2,1.0
2030,87,4,1.0
2030,88,5,1.0
2030,89,5,1.0
2030,90,5,1.0
2030,91,5,1.0
2030,92,2,1.0
2030,93,2,1.0
2030,94,7,1.0
2030,95,2,1.0
2030,96,2,1.0
2030,97,2,1.0
2030,98,7,1.0
2030,99,7,1.0
2030,100,7,1.0
2030,101,4,1.0
2030,102,7,1.0
2030,103,7,1.0
2030,104,7,1.0
2030,105,7,1.0
2030,106,7,1.0
2030,107,2,1.0
2030,108,2,1.0
2030,109,7,1.0
2030,110,7,1.0
2030,111,2,1.0
2030,112,7,1.0
2030,113,7,1.0
2030,114,7,1.0
2030,115,6,1.0
2030,116,6,1.0
2030,117,6,1.0
2030,118,6,1.0
2030,119,9,1.0
2030,120,8,1.0
2030,121,6,1.0
2030,122,8,1.0
2030,123,8,1.0
2030,124,8,1.0
2030,125,8,1.0
2030,126,8,1.0
2030,127,8,1.0
2030,128,8,1.0
2030,129,8,1.0
2030,130,8,1.0
2030,131,8,1.0
2030,132,8,1.0
2030,133,8,1.0
2030,134,6,1.0
2030,135,6,1.0
2030,136,8,1.0
2030,137,8,1.0
2030,138,8,1.0
2030,139,8,1.0
2030,140,6,1.0
2030,141,6,1.0
2030,142,6,1.0
2030,143,6,1.0
2030,144,6,1.0
2030,145,6,1.0
2030,146,6,1.0
2030,147,6,1.0
2030,148,8,1.0
2030,149,8,1.0
2030,150,8,1.0
2030,151,8,1.0
2030,152,8,1.0
2030,153,8,1.0
2030,154,8,1.0
2030,155,8,1.0
2030,156,8,1.0
2030,157,8,1.0
2030,158,8,1.0
2030,159,8,1.0
2030,160,8,1.0
2030,161,8,1.0
2030,162,1,1.0
2030,163,1,1.0
2030,164,1,1.0
2030,165,9,1.0
2030,166,9,1.0
2030,167,6,1.0
2030,168,6,1.0
2030,169,9,1.0
2030,170,1,1.0
2030,171,1,1.0
2030,172,1,1.0
2030,173,1,1.0
2030,174,6,1.0
2030,175,9,1.0
2030,176,1,1.0
2030,177,1,1.0
2030,178,1,1.0
2030,179,1,1.0
2030,180,1,1.0
2030,181,1,1.0
2030,182,1,1.0
2030,183,1,1.0
2030,184,1,1.0
2030,185,1,1.0
2030,186,1,1.0
2030,187,9,1.0
2030,188,9,1.0
