asset,commission_year,profile_name,profile_type
NL_Solar,2030,NL_Solar,availability
NL_Wind_Onshore,2030,NL_Wind_Onshore,availability
NL_Wind_Offshore,2030,NL_Wind_Offshore,availability
BE_Solar,2030,BE_Solar,availability
BE_Wind_Onshore,2030,BE_Wind_Onshore,availability
BE_Wind_Offshore,2030,BE_Wind_Offshore,availability
DE_Solar,2030,DE_Solar,availability
DE_Wind_Onshore,2030,DE_Wind_Onshore,availability
DE_Wind_Offshore,2030,DE_Wind_Offshore,availability
FR_Solar,2030,FR_Solar,availability
FR_Wind_Onshore,2030,FR_Wind_Onshore,availability
FR_Wind_Offshore,2030,FR_Wind_Offshore,availability
LU_Solar,2030,LU_Solar,availability
LU_Wind_Onshore,2030,LU_Wind_Onshore,availability
LU_Wind_Offshore,2030,LU_Wind_Offshore,availability
CH_Solar,2030,CH_Solar,availability
CH_Wind_Onshore,2030,CH_Wind_Onshore,availability
CH_Wind_Offshore,2030,CH_Wind_Offshore,availability
UK_Solar,2030,UK_Solar,availability
UK_Wind_Onshore,2030,UK_Wind_Onshore,availability
UK_Wind_Offshore,2030,UK_Wind_Offshore,availability
DK_Solar,2030,DK_Solar,availability
DK_Wind_Onshore,2030,DK_Wind_Onshore,availability
DK_Wind_Offshore,2030,DK_Wind_Offshore,availability
NO_Solar,2030,NO_Solar,availability
NO_Wind_Onshore,2030,NO_Wind_Onshore,availability
NO_Wind_Offshore,2030,NO_Wind_Offshore,availability
IE_Solar,2030,IE_Solar,availability
IE_Wind_Onshore,2030,IE_Wind_Onshore,availability
IE_Wind_Offshore,2030,IE_Wind_Offshore,availability
SE_Solar,2030,SE_Solar,availability
SE_Wind_Onshore,2030,SE_Wind_Onshore,availability
SE_Wind_Offshore,2030,SE_Wind_Offshore,availability
AT_Solar,2030,AT_Solar,availability
AT_Wind_Onshore,2030,AT_Wind_Onshore,availability
AT_Wind_Offshore,2030,AT_Wind_Offshore,availability
CZ_Solar,2030,CZ_Solar,availability
CZ_Wind_Onshore,2030,CZ_Wind_Onshore,availability
CZ_Wind_Offshore,2030,CZ_Wind_Offshore,availability
PL_Solar,2030,PL_Solar,availability
PL_Wind_Onshore,2030,PL_Wind_Onshore,availability
PL_Wind_Offshore,2030,PL_Wind_Offshore,availability
ES_Solar,2030,ES_Solar,availability
ES_Wind_Onshore,2030,ES_Wind_Onshore,availability
ES_Wind_Offshore,2030,ES_Wind_Offshore,availability
IT_Solar,2030,IT_Solar,availability
IT_Wind_Onshore,2030,IT_Wind_Onshore,availability
IT_Wind_Offshore,2030,IT_Wind_Offshore,availability
LT_Solar,2030,LT_Solar,availability
LT_Wind_Onshore,2030,LT_Wind_Onshore,availability
LT_Wind_Offshore,2030,LT_Wind_Offshore,availability
SI_Solar,2030,SI_Solar,availability
SI_Wind_Onshore,2030,SI_Wind_Onshore,availability
SI_Wind_Offshore,2030,SI_Wind_Offshore,availability
HU_Solar,2030,HU_Solar,availability
HU_Wind_Onshore,2030,HU_Wind_Onshore,availability
HU_Wind_Offshore,2030,HU_Wind_Offshore,availability
SK_Solar,2030,SK_Solar,availability
SK_Wind_Onshore,2030,SK_Wind_Onshore,availability
SK_Wind_Offshore,2030,SK_Wind_Offshore,availability
NL_E_Demand,2030,NL_E_Demand,demand
BE_E_Demand,2030,BE_E_Demand,demand
DE_E_Demand,2030,DE_E_Demand,demand
FR_E_Demand,2030,FR_E_Demand,demand
LU_E_Demand,2030,LU_E_Demand,demand
CH_E_Demand,2030,CH_E_Demand,demand
UK_E_Demand,2030,UK_E_Demand,demand
DK_E_Demand,2030,DK_E_Demand,demand
NO_E_Demand,2030,NO_E_Demand,demand
IE_E_Demand,2030,IE_E_Demand,demand
SE_E_Demand,2030,SE_E_Demand,demand
AT_E_Demand,2030,AT_E_Demand,demand
CZ_E_Demand,2030,CZ_E_Demand,demand
PL_E_Demand,2030,PL_E_Demand,demand
ES_E_Demand,2030,ES_E_Demand,demand
IT_E_Demand,2030,IT_E_Demand,demand
LT_E_Demand,2030,LT_E_Demand,demand
SI_E_Demand,2030,SI_E_Demand,demand
HU_E_Demand,2030,HU_E_Demand,demand
SK_E_Demand,2030,SK_E_Demand,demand
