from_asset,investable,milestone_year,to_asset,variable_cost,reactance,dc_opf
NL_Balance,false,2030,NL_E_Demand,0.0,0.3,false
NL_Solar,false,2030,NL_Balance,0.0,0.3,false
NL_Wind_Onshore,false,2030,NL_Balance,0.0,0.3,false
NL_Wind_Offshore,false,2030,NL_Balance,0.0,0.3,false
NL_Coal,false,2030,NL_Balance,0.0177,0.3,false
NL_Nuclear,false,2030,NL_Balance,0.0084,0.3,false
NL_CCGT,false,2030,NL_Balance,0.033,0.3,false
NL_OCGT,false,2030,NL_Balance,0.051,0.3,false
NL_Battery,false,2030,NL_Balance,0.0,0.3,false
NL_Balance,false,2030,NL_Battery,0.0,0.3,false
BE_Balance,false,2030,BE_E_Demand,0.0,0.3,false
BE_Solar,false,2030,BE_Balance,0.0,0.3,false
BE_Wind_Onshore,false,2030,BE_Balance,0.0,0.3,false
BE_Wind_Offshore,false,2030,BE_Balance,0.0,0.3,false
BE_Coal,false,2030,BE_Balance,0.0177,0.3,false
BE_Nuclear,false,2030,BE_Balance,0.0084,0.3,false
BE_CCGT,false,2030,BE_Balance,0.033,0.3,false
BE_OCGT,false,2030,BE_Balance,0.051,0.3,false
BE_Battery,false,2030,BE_Balance,0.0,0.3,false
BE_Balance,false,2030,BE_Battery,0.0,0.3,false
DE_Balance,false,2030,DE_E_Demand,0.0,0.3,false
DE_Solar,false,2030,DE_Balance,0.0,0.3,false
DE_Wind_Onshore,false,2030,DE_Balance,0.0,0.3,false
DE_Wind_Offshore,false,2030,DE_Balance,0.0,0.3,false
DE_Coal,false,2030,DE_Balance,0.0177,0.3,false
DE_Nuclear,false,2030,DE_Balance,0.0084,0.3,false
DE_CCGT,false,2030,DE_Balance,0.033,0.3,false
DE_OCGT,false,2030,DE_Balance,0.051,0.3,false
DE_Battery,false,2030,DE_Balance,0.0,0.3,false
DE_Balance,false,2030,DE_Battery,0.0,0.3,false
FR_Balance,false,2030,FR_E_Demand,0.0,0.3,false
FR_Solar,false,2030,FR_Balance,0.0,0.3,false
FR_Wind_Onshore,false,2030,FR_Balance,0.0,0.3,false
FR_Wind_Offshore,false,2030,FR_Balance,0.0,0.3,false
FR_Coal,false,2030,FR_Balance,0.0177,0.3,false
FR_Nuclear,false,2030,FR_Balance,0.0084,0.3,false
FR_CCGT,false,2030,FR_Balance,0.033,0.3,false
FR_OCGT,false,2030,FR_Balance,0.051,0.3,false
FR_Battery,false,2030,FR_Balance,0.0,0.3,false
FR_Balance,false,2030,FR_Battery,0.0,0.3,false
LU_Balance,false,2030,LU_E_Demand,0.0,0.3,false
LU_Solar,false,2030,LU_Balance,0.0,0.3,false
LU_Wind_Onshore,false,2030,LU_Balance,0.0,0.3,false
LU_Wind_Offshore,false,2030,LU_Balance,0.0,0.3,false
LU_Coal,false,2030,LU_Balance,0.0177,0.3,false
LU_Nuclear,false,2030,LU_Balance,0.0084,0.3,false
LU_CCGT,false,2030,LU_Balance,0.033,0.3,false
LU_OCGT,false,2030,LU_Balance,0.051,0.3,false
LU_Battery,false,2030,LU_Balance,0.0,0.3,false
LU_Balance,false,2030,LU_Battery,0.0,0.3,false
CH_Balance,false,2030,CH_E_Demand,0.0,0.3,false
CH_Solar,false,2030,CH_Balance,0.0,0.3,false
CH_Wind_Onshore,false,2030,CH_Balance,0.0,0.3,false
CH_Wind_Offshore,false,2030,CH_Balance,0.0,0.3,false
CH_Coal,false,2030,CH_Balance,0.0177,0.3,false
CH_Nuclear,false,2030,CH_Balance,0.0084,0.3,false
CH_CCGT,false,2030,CH_Balance,0.033,0.3,false
CH_OCGT,false,2030,CH_Balance,0.051,0.3,false
CH_Battery,false,2030,CH_Balance,0.0,0.3,false
CH_Balance,false,2030,CH_Battery,0.0,0.3,false
UK_Balance,false,2030,UK_E_Demand,0.0,0.3,false
UK_Solar,false,2030,UK_Balance,0.0,0.3,false
UK_Wind_Onshore,false,2030,UK_Balance,0.0,0.3,false
UK_Wind_Offshore,false,2030,UK_Balance,0.0,0.3,false
UK_Coal,false,2030,UK_Balance,0.0177,0.3,false
UK_Nuclear,false,2030,UK_Balance,0.0084,0.3,false
UK_CCGT,false,2030,UK_Balance,0.033,0.3,false
UK_OCGT,false,2030,UK_Balance,0.051,0.3,false
UK_Battery,false,2030,UK_Balance,0.0,0.3,false
UK_Balance,false,2030,UK_Battery,0.0,0.3,false
DK_Balance,false,2030,DK_E_Demand,0.0,0.3,false
DK_Solar,false,2030,DK_Balance,0.0,0.3,false
DK_Wind_Onshore,false,2030,DK_Balance,0.0,0.3,false
DK_Wind_Offshore,false,2030,DK_Balance,0.0,0.3,false
DK_Coal,false,2030,DK_Balance,0.0177,0.3,false
DK_Nuclear,false,2030,DK_Balance,0.0084,0.3,false
DK_CCGT,false,2030,DK_Balance,0.033,0.3,false
DK_OCGT,false,2030,DK_Balance,0.051,0.3,false
DK_Battery,false,2030,DK_Balance,0.0,0.3,false
DK_Balance,false,2030,DK_Battery,0.0,0.3,false
NO_Balance,false,2030,NO_E_Demand,0.0,0.3,false
NO_Solar,false,2030,NO_Balance,0.0,0.3,false
NO_Wind_Onshore,false,2030,NO_Balance,0.0,0.3,false
NO_Wind_Offshore,false,2030,NO_Balance,0.0,0.3,false
NO_Coal,false,2030,NO_Balance,0.0177,0.3,false
NO_Nuclear,false,2030,NO_Balance,0.0084,0.3,false
NO_CCGT,false,2030,NO_Balance,0.033,0.3,false
NO_OCGT,false,2030,NO_Balance,0.051,0.3,false
NO_Battery,false,2030,NO_Balance,0.0,0.3,false
NO_Balance,false,2030,NO_Battery,0.0,0.3,false
IE_Balance,false,2030,IE_E_Demand,0.0,0.3,false
IE_Solar,false,2030,IE_Balance,0.0,0.3,false
IE_Wind_Onshore,false,2030,IE_Balance,0.0,0.3,false
IE_Wind_Offshore,false,2030,IE_Balance,0.0,0.3,false
IE_Coal,false,2030,IE_Balance,0.0177,0.3,false
IE_Nuclear,false,2030,IE_Balance,0.0084,0.3,false
IE_CCGT,false,2030,IE_Balance,0.033,0.3,false
IE_OCGT,false,2030,IE_Balance,0.051,0.3,false
IE_Battery,false,2030,IE_Balance,0.0,0.3,false
IE_Balance,false,2030,IE_Battery,0.0,0.3,false
SE_Balance,false,2030,SE_E_Demand,0.0,0.3,false
SE_Solar,false,2030,SE_Balance,0.0,0.3,false
SE_Wind_Onshore,false,2030,SE_Balance,0.0,0.3,false
SE_Wind_Offshore,false,2030,SE_Balance,0.0,0.3,false
SE_Coal,false,2030,SE_Balance,0.0177,0.3,false
SE_Nuclear,false,2030,SE_Balance,0.0084,0.3,false
SE_CCGT,false,2030,SE_Balance,0.033,0.3,false
SE_OCGT,false,2030,SE_Balance,0.051,0.3,false
SE_Battery,false,2030,SE_Balance,0.0,0.3,false
SE_Balance,false,2030,SE_Battery,0.0,0.3,false
AT_Balance,false,2030,AT_E_Demand,0.0,0.3,false
AT_Solar,false,2030,AT_Balance,0.0,0.3,false
AT_Wind_Onshore,false,2030,AT_Balance,0.0,0.3,false
AT_Wind_Offshore,false,2030,AT_Balance,0.0,0.3,false
AT_Coal,false,2030,AT_Balance,0.0177,0.3,false
AT_Nuclear,false,2030,AT_Balance,0.0084,0.3,false
AT_CCGT,false,2030,AT_Balance,0.033,0.3,false
AT_OCGT,false,2030,AT_Balance,0.051,0.3,false
AT_Battery,false,2030,AT_Balance,0.0,0.3,false
AT_Balance,false,2030,AT_Battery,0.0,0.3,false
CZ_Balance,false,2030,CZ_E_Demand,0.0,0.3,false
CZ_Solar,false,2030,CZ_Balance,0.0,0.3,false
CZ_Wind_Onshore,false,2030,CZ_Balance,0.0,0.3,false
CZ_Wind_Offshore,false,2030,CZ_Balance,0.0,0.3,false
CZ_Coal,false,2030,CZ_Balance,0.0177,0.3,false
CZ_Nuclear,false,2030,CZ_Balance,0.0084,0.3,false
CZ_CCGT,false,2030,CZ_Balance,0.033,0.3,false
CZ_OCGT,false,2030,CZ_Balance,0.051,0.3,false
CZ_Battery,false,2030,CZ_Balance,0.0,0.3,false
CZ_Balance,false,2030,CZ_Battery,0.0,0.3,false
PL_Balance,false,2030,PL_E_Demand,0.0,0.3,false
PL_Solar,false,2030,PL_Balance,0.0,0.3,false
PL_Wind_Onshore,false,2030,PL_Balance,0.0,0.3,false
PL_Wind_Offshore,false,2030,PL_Balance,0.0,0.3,false
PL_Coal,false,2030,PL_Balance,0.0177,0.3,false
PL_Nuclear,false,2030,PL_Balance,0.0084,0.3,false
PL_CCGT,false,2030,PL_Balance,0.033,0.3,false
PL_OCGT,false,2030,PL_Balance,0.051,0.3,false
PL_Battery,false,2030,PL_Balance,0.0,0.3,false
PL_Balance,false,2030,PL_Battery,0.0,0.3,false
ES_Balance,false,2030,ES_E_Demand,0.0,0.3,false
ES_Solar,false,2030,ES_Balance,0.0,0.3,false
ES_Wind_Onshore,false,2030,ES_Balance,0.0,0.3,false
ES_Wind_Offshore,false,2030,ES_Balance,0.0,0.3,false
ES_Coal,false,2030,ES_Balance,0.0177,0.3,false
ES_Nuclear,false,2030,ES_Balance,0.0084,0.3,false
ES_CCGT,false,2030,ES_Balance,0.033,0.3,false
ES_OCGT,false,2030,ES_Balance,0.051,0.3,false
ES_Battery,false,2030,ES_Balance,0.0,0.3,false
ES_Balance,false,2030,ES_Battery,0.0,0.3,false
IT_Balance,false,2030,IT_E_Demand,0.0,0.3,false
IT_Solar,false,2030,IT_Balance,0.0,0.3,false
IT_Wind_Onshore,false,2030,IT_Balance,0.0,0.3,false
IT_Wind_Offshore,false,2030,IT_Balance,0.0,0.3,false
IT_Coal,false,2030,IT_Balance,0.0177,0.3,false
IT_Nuclear,false,2030,IT_Balance,0.0084,0.3,false
IT_CCGT,false,2030,IT_Balance,0.033,0.3,false
IT_OCGT,false,2030,IT_Balance,0.051,0.3,false
IT_Battery,false,2030,IT_Balance,0.0,0.3,false
IT_Balance,false,2030,IT_Battery,0.0,0.3,false
LT_Balance,false,2030,LT_E_Demand,0.0,0.3,false
LT_Solar,false,2030,LT_Balance,0.0,0.3,false
LT_Wind_Onshore,false,2030,LT_Balance,0.0,0.3,false
LT_Wind_Offshore,false,2030,LT_Balance,0.0,0.3,false
LT_Coal,false,2030,LT_Balance,0.0177,0.3,false
LT_Nuclear,false,2030,LT_Balance,0.0084,0.3,false
LT_CCGT,false,2030,LT_Balance,0.033,0.3,false
LT_OCGT,false,2030,LT_Balance,0.051,0.3,false
LT_Battery,false,2030,LT_Balance,0.0,0.3,false
LT_Balance,false,2030,LT_Battery,0.0,0.3,false
FI_Balance,false,2030,FI_E_Demand,0.0,0.3,false
FI_Solar,false,2030,FI_Balance,0.0,0.3,false
FI_Wind_Onshore,false,2030,FI_Balance,0.0,0.3,false
FI_Wind_Offshore,false,2030,FI_Balance,0.0,0.3,false
FI_Coal,false,2030,FI_Balance,0.0177,0.3,false
FI_Nuclear,false,2030,FI_Balance,0.0084,0.3,false
FI_CCGT,false,2030,FI_Balance,0.033,0.3,false
FI_OCGT,false,2030,FI_Balance,0.051,0.3,false
FI_Battery,false,2030,FI_Balance,0.0,0.3,false
FI_Balance,false,2030,FI_Battery,0.0,0.3,false
SI_Balance,false,2030,SI_E_Demand,0.0,0.3,false
SI_Solar,false,2030,SI_Balance,0.0,0.3,false
SI_Wind_Onshore,false,2030,SI_Balance,0.0,0.3,false
SI_Wind_Offshore,false,2030,SI_Balance,0.0,0.3,false
SI_Coal,false,2030,SI_Balance,0.0177,0.3,false
SI_Nuclear,false,2030,SI_Balance,0.0084,0.3,false
SI_CCGT,false,2030,SI_Balance,0.033,0.3,false
SI_OCGT,false,2030,SI_Balance,0.051,0.3,false
SI_Battery,false,2030,SI_Balance,0.0,0.3,false
SI_Balance,false,2030,SI_Battery,0.0,0.3,false
HU_Balance,false,2030,HU_E_Demand,0.0,0.3,false
HU_Solar,false,2030,HU_Balance,0.0,0.3,false
HU_Wind_Onshore,false,2030,HU_Balance,0.0,0.3,false
HU_Wind_Offshore,false,2030,HU_Balance,0.0,0.3,false
HU_Coal,false,2030,HU_Balance,0.0177,0.3,false
HU_Nuclear,false,2030,HU_Balance,0.0084,0.3,false
HU_CCGT,false,2030,HU_Balance,0.033,0.3,false
HU_OCGT,false,2030,HU_Balance,0.051,0.3,false
HU_Battery,false,2030,HU_Balance,0.0,0.3,false
HU_Balance,false,2030,HU_Battery,0.0,0.3,false
SK_Balance,false,2030,SK_E_Demand,0.0,0.3,false
SK_Solar,false,2030,SK_Balance,0.0,0.3,false
SK_Wind_Onshore,false,2030,SK_Balance,0.0,0.3,false
SK_Wind_Offshore,false,2030,SK_Balance,0.0,0.3,false
SK_Coal,false,2030,SK_Balance,0.0177,0.3,false
SK_Nuclear,false,2030,SK_Balance,0.0084,0.3,false
SK_CCGT,false,2030,SK_Balance,0.033,0.3,false
SK_OCGT,false,2030,SK_Balance,0.051,0.3,false
SK_Battery,false,2030,SK_Balance,0.0,0.3,false
SK_Balance,false,2030,SK_Battery,0.0,0.3,false
PT_Balance,false,2030,PT_E_Demand,0.0,0.3,false
PT_Solar,false,2030,PT_Balance,0.0,0.3,false
PT_Wind_Onshore,false,2030,PT_Balance,0.0,0.3,false
PT_Wind_Offshore,false,2030,PT_Balance,0.0,0.3,false
PT_Coal,false,2030,PT_Balance,0.0177,0.3,false
PT_Nuclear,false,2030,PT_Balance,0.0084,0.3,false
PT_CCGT,false,2030,PT_Balance,0.033,0.3,false
PT_OCGT,false,2030,PT_Balance,0.051,0.3,false
PT_Battery,false,2030,PT_Balance,0.0,0.3,false
PT_Balance,false,2030,PT_Battery,0.0,0.3,false
HR_Balance,false,2030,HR_E_Demand,0.0,0.3,false
HR_Solar,false,2030,HR_Balance,0.0,0.3,false
HR_Wind_Onshore,false,2030,HR_Balance,0.0,0.3,false
HR_Wind_Offshore,false,2030,HR_Balance,0.0,0.3,false
HR_Coal,false,2030,HR_Balance,0.0177,0.3,false
HR_Nuclear,false,2030,HR_Balance,0.0084,0.3,false
HR_CCGT,false,2030,HR_Balance,0.033,0.3,false
HR_OCGT,false,2030,HR_Balance,0.051,0.3,false
HR_Battery,false,2030,HR_Balance,0.0,0.3,false
HR_Balance,false,2030,HR_Battery,0.0,0.3,false
RO_Balance,false,2030,RO_E_Demand,0.0,0.3,false
RO_Solar,false,2030,RO_Balance,0.0,0.3,false
RO_Wind_Onshore,false,2030,RO_Balance,0.0,0.3,false
RO_Wind_Offshore,false,2030,RO_Balance,0.0,0.3,false
RO_Coal,false,2030,RO_Balance,0.0177,0.3,false
RO_Nuclear,false,2030,RO_Balance,0.0084,0.3,false
RO_CCGT,false,2030,RO_Balance,0.033,0.3,false
RO_OCGT,false,2030,RO_Balance,0.051,0.3,false
RO_Battery,false,2030,RO_Balance,0.0,0.3,false
RO_Balance,false,2030,RO_Battery,0.0,0.3,false
GR_Balance,false,2030,GR_E_Demand,0.0,0.3,false
GR_Solar,false,2030,GR_Balance,0.0,0.3,false
GR_Wind_Onshore,false,2030,GR_Balance,0.0,0.3,false
GR_Wind_Offshore,false,2030,GR_Balance,0.0,0.3,false
GR_Coal,false,2030,GR_Balance,0.0177,0.3,false
GR_Nuclear,false,2030,GR_Balance,0.0084,0.3,false
GR_CCGT,false,2030,GR_Balance,0.033,0.3,false
GR_OCGT,false,2030,GR_Balance,0.051,0.3,false
GR_Battery,false,2030,GR_Balance,0.0,0.3,false
GR_Balance,false,2030,GR_Battery,0.0,0.3,false
LV_Balance,false,2030,LV_E_Demand,0.0,0.3,false
LV_Solar,false,2030,LV_Balance,0.0,0.3,false
LV_Wind_Onshore,false,2030,LV_Balance,0.0,0.3,false
LV_Wind_Offshore,false,2030,LV_Balance,0.0,0.3,false
LV_Coal,false,2030,LV_Balance,0.0177,0.3,false
LV_Nuclear,false,2030,LV_Balance,0.0084,0.3,false
LV_CCGT,false,2030,LV_Balance,0.033,0.3,false
LV_OCGT,false,2030,LV_Balance,0.051,0.3,false
LV_Battery,false,2030,LV_Balance,0.0,0.3,false
LV_Balance,false,2030,LV_Battery,0.0,0.3,false
EE_Balance,false,2030,EE_E_Demand,0.0,0.3,false
EE_Solar,false,2030,EE_Balance,0.0,0.3,false
EE_Wind_Onshore,false,2030,EE_Balance,0.0,0.3,false
EE_Wind_Offshore,false,2030,EE_Balance,0.0,0.3,false
EE_Coal,false,2030,EE_Balance,0.0177,0.3,false
EE_Nuclear,false,2030,EE_Balance,0.0084,0.3,false
EE_CCGT,false,2030,EE_Balance,0.033,0.3,false
EE_OCGT,false,2030,EE_Balance,0.051,0.3,false
EE_Battery,false,2030,EE_Balance,0.0,0.3,false
EE_Balance,false,2030,EE_Battery,0.0,0.3,false
MT_Balance,false,2030,MT_E_Demand,0.0,0.3,false
MT_Solar,false,2030,MT_Balance,0.0,0.3,false
MT_Wind_Onshore,false,2030,MT_Balance,0.0,0.3,false
MT_Wind_Offshore,false,2030,MT_Balance,0.0,0.3,false
MT_Coal,false,2030,MT_Balance,0.0177,0.3,false
MT_Nuclear,false,2030,MT_Balance,0.0084,0.3,false
MT_CCGT,false,2030,MT_Balance,0.033,0.3,false
MT_OCGT,false,2030,MT_Balance,0.051,0.3,false
MT_Battery,false,2030,MT_Balance,0.0,0.3,false
MT_Balance,false,2030,MT_Battery,0.0,0.3,false
CY_Balance,false,2030,CY_E_Demand,0.0,0.3,false
CY_Solar,false,2030,CY_Balance,0.0,0.3,false
CY_Wind_Onshore,false,2030,CY_Balance,0.0,0.3,false
CY_Wind_Offshore,false,2030,CY_Balance,0.0,0.3,false
CY_Coal,false,2030,CY_Balance,0.0177,0.3,false
CY_Nuclear,false,2030,CY_Balance,0.0084,0.3,false
CY_CCGT,false,2030,CY_Balance,0.033,0.3,false
CY_OCGT,false,2030,CY_Balance,0.051,0.3,false
CY_Battery,false,2030,CY_Balance,0.0,0.3,false
CY_Balance,false,2030,CY_Battery,0.0,0.3,false
BG_Balance,false,2030,BG_E_Demand,0.0,0.3,false
BG_Solar,false,2030,BG_Balance,0.0,0.3,false
BG_Wind_Onshore,false,2030,BG_Balance,0.0,0.3,false
BG_Wind_Offshore,false,2030,BG_Balance,0.0,0.3,false
BG_Coal,false,2030,BG_Balance,0.0177,0.3,false
BG_Nuclear,false,2030,BG_Balance,0.0084,0.3,false
BG_CCGT,false,2030,BG_Balance,0.033,0.3,false
BG_OCGT,false,2030,BG_Balance,0.051,0.3,false
BG_Battery,false,2030,BG_Balance,0.0,0.3,false
BG_Balance,false,2030,BG_Battery,0.0,0.3,false
NL_Balance,false,2030,BE_Balance,0.0,0.3,false
NL_Balance,false,2030,NO_Balance,0.0,0.3,false
NL_Balance,false,2030,UK_Balance,0.0,0.3,false
NL_Balance,false,2030,DK_Balance,0.0,0.3,false
NL_Balance,false,2030,DE_Balance,0.0,0.3,false
BE_Balance,false,2030,FR_Balance,0.0,0.3,false
BE_Balance,false,2030,UK_Balance,0.0,0.3,false
BE_Balance,false,2030,LU_Balance,0.0,0.3,false
BE_Balance,false,2030,DE_Balance,0.0,0.3,false
DE_Balance,false,2030,FR_Balance,0.0,0.3,false
DE_Balance,false,2030,AT_Balance,0.0,0.3,false
DE_Balance,false,2030,CH_Balance,0.0,0.3,false
DE_Balance,false,2030,PL_Balance,0.0,0.3,false
DE_Balance,false,2030,NO_Balance,0.0,0.3,false
DE_Balance,false,2030,DK_Balance,0.0,0.3,false
DE_Balance,false,2030,LU_Balance,0.0,0.3,false
DE_Balance,false,2030,CZ_Balance,0.0,0.3,false
DE_Balance,false,2030,SE_Balance,0.0,0.3,false
FR_Balance,false,2030,CH_Balance,0.0,0.3,false
FR_Balance,false,2030,ES_Balance,0.0,0.3,false
FR_Balance,false,2030,IE_Balance,0.0,0.3,false
FR_Balance,false,2030,UK_Balance,0.0,0.3,false
FR_Balance,false,2030,LU_Balance,0.0,0.3,false
FR_Balance,false,2030,IT_Balance,0.0,0.3,false
CH_Balance,false,2030,AT_Balance,0.0,0.3,false
CH_Balance,false,2030,IT_Balance,0.0,0.3,false
UK_Balance,false,2030,NO_Balance,0.0,0.3,false
UK_Balance,false,2030,IE_Balance,0.0,0.3,false
UK_Balance,false,2030,DK_Balance,0.0,0.3,false
DK_Balance,false,2030,PL_Balance,0.0,0.3,false
DK_Balance,false,2030,SE_Balance,0.0,0.3,false
DK_Balance,false,2030,NO_Balance,0.0,0.3,false
NO_Balance,false,2030,SE_Balance,0.0,0.3,false
SE_Balance,false,2030,LT_Balance,0.0,0.3,false
SE_Balance,false,2030,PL_Balance,0.0,0.3,false
SE_Balance,false,2030,FI_Balance,0.0,0.3,false
AT_Balance,false,2030,HU_Balance,0.0,0.3,false
AT_Balance,false,2030,CZ_Balance,0.0,0.3,false
AT_Balance,false,2030,IT_Balance,0.0,0.3,false
AT_Balance,false,2030,SI_Balance,0.0,0.3,false
CZ_Balance,false,2030,SK_Balance,0.0,0.3,false
CZ_Balance,false,2030,PL_Balance,0.0,0.3,false
PL_Balance,false,2030,LT_Balance,0.0,0.3,false
PL_Balance,false,2030,SK_Balance,0.0,0.3,false
ES_Balance,false,2030,PT_Balance,0.0,0.3,false
IT_Balance,false,2030,GR_Balance,0.0,0.3,false
IT_Balance,false,2030,MT_Balance,0.0,0.3,false
IT_Balance,false,2030,SI_Balance,0.0,0.3,false
LT_Balance,false,2030,LV_Balance,0.0,0.3,false
FI_Balance,false,2030,EE_Balance,0.0,0.3,false
SI_Balance,false,2030,HU_Balance,0.0,0.3,false
SI_Balance,false,2030,HR_Balance,0.0,0.3,false
HU_Balance,false,2030,SK_Balance,0.0,0.3,false
HU_Balance,false,2030,RO_Balance,0.0,0.3,false
HU_Balance,false,2030,HR_Balance,0.0,0.3,false
RO_Balance,false,2030,BG_Balance,0.0,0.3,false
GR_Balance,false,2030,CY_Balance,0.0,0.3,false
GR_Balance,false,2030,BG_Balance,0.0,0.3,false
LV_Balance,false,2030,EE_Balance,0.0,0.3,false
