asset,commission_year,profile_name,profile_type
NL_Solar,2050,NL_Solar,availability
NL_Wind_Onshore,2050,NL_Wind_Onshore,availability
NL_Wind_Offshore,2050,NL_Wind_Offshore,availability
NL_Wind_Onshore2,2050,NL_Wind_Onshore,availability
NL_Wind_Offshore2,2050,NL_Wind_Offshore,availability
BE_Solar,2050,BE_Solar,availability
BE_Wind_Onshore,2050,BE_Wind_Onshore,availability
BE_Wind_Offshore,2050,BE_Wind_Offshore,availability
BE_Wind_Onshore2,2050,BE_Wind_Onshore,availability
BE_Wind_Offshore2,2050,BE_Wind_Offshore,availability
DE_Solar,2050,DE_Solar,availability
DE_Wind_Onshore,2050,DE_Wind_Onshore,availability
DE_Wind_Offshore,2050,DE_Wind_Offshore,availability
DE_Wind_Onshore2,2050,DE_Wind_Onshore,availability
DE_Wind_Offshore2,2050,DE_Wind_Offshore,availability
FR_Solar,2050,FR_Solar,availability
FR_Wind_Onshore,2050,FR_Wind_Onshore,availability
FR_Wind_Offshore,2050,FR_Wind_Offshore,availability
FR_Wind_Onshore2,2050,FR_Wind_Onshore,availability
FR_Wind_Offshore2,2050,FR_Wind_Offshore,availability
LU_Solar,2050,LU_Solar,availability
LU_Wind_Onshore,2050,LU_Wind_Onshore,availability
LU_Wind_Offshore,2050,LU_Wind_Offshore,availability
LU_Wind_Onshore2,2050,LU_Wind_Onshore,availability
LU_Wind_Offshore2,2050,LU_Wind_Offshore,availability
CH_Solar,2050,CH_Solar,availability
CH_Wind_Onshore,2050,CH_Wind_Onshore,availability
CH_Wind_Offshore,2050,CH_Wind_Offshore,availability
CH_Wind_Onshore2,2050,CH_Wind_Onshore,availability
CH_Wind_Offshore2,2050,CH_Wind_Offshore,availability
UK_Solar,2050,UK_Solar,availability
UK_Wind_Onshore,2050,UK_Wind_Onshore,availability
UK_Wind_Offshore,2050,UK_Wind_Offshore,availability
UK_Wind_Onshore2,2050,UK_Wind_Onshore,availability
UK_Wind_Offshore2,2050,UK_Wind_Offshore,availability
DK_Solar,2050,DK_Solar,availability
DK_Wind_Onshore,2050,DK_Wind_Onshore,availability
DK_Wind_Offshore,2050,DK_Wind_Offshore,availability
DK_Wind_Onshore2,2050,DK_Wind_Onshore,availability
DK_Wind_Offshore2,2050,DK_Wind_Offshore,availability
NO_Solar,2050,NO_Solar,availability
NO_Wind_Onshore,2050,NO_Wind_Onshore,availability
NO_Wind_Offshore,2050,NO_Wind_Offshore,availability
NO_Wind_Onshore2,2050,NO_Wind_Onshore,availability
NO_Wind_Offshore2,2050,NO_Wind_Offshore,availability
IE_Solar,2050,IE_Solar,availability
IE_Wind_Onshore,2050,IE_Wind_Onshore,availability
IE_Wind_Offshore,2050,IE_Wind_Offshore,availability
IE_Wind_Onshore2,2050,IE_Wind_Onshore,availability
IE_Wind_Offshore2,2050,IE_Wind_Offshore,availability
SE_Solar,2050,SE_Solar,availability
SE_Wind_Onshore,2050,SE_Wind_Onshore,availability
