asset,commission_year,fixed_cost,fixed_cost_storage_energy,investment_cost,investment_cost_storage_energy,investment_limit,investment_limit_storage_energy,storage_loss_from_stored_energy
NL_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
NL_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
NL_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
NL_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
NL_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
NL_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
NL_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
NL_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
NL_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
NL_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
NL_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
NL_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
BE_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
BE_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
BE_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
BE_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
BE_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
BE_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
BE_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
BE_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
BE_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
BE_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
BE_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
BE_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
DE_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
DE_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
DE_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
DE_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
DE_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
DE_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
DE_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
DE_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
DE_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
DE_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
DE_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
DE_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
FR_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
FR_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
FR_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
FR_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
FR_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
FR_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
FR_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
FR_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
FR_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
FR_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
FR_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
FR_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
LU_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
LU_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
LU_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
LU_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
LU_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
LU_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
LU_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
LU_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
LU_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
LU_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
LU_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
LU_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
CH_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
CH_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
CH_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
CH_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
CH_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
CH_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
