id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2030,1,1,1,294.6981767085381
2,AT_Battery,2030,1,2,2,294.6981767085381
3,AT_Battery,2030,1,3,3,314.1045694629356
4,AT_Battery,2030,1,4,4,608.8027461714737
5,AT_Battery,2030,1,5,5,608.8027461714737
6,AT_Battery,2030,1,6,6,608.8027461714737
7,AT_Battery,2030,1,7,7,608.8027461714737
8,AT_Battery,2030,1,8,8,314.1045694629356
9,AT_Battery,2030,1,9,9,124.9711789214872
10,AT_Battery,2030,1,10,10,0.0
11,AT_Battery,2030,1,11,11,0.0
12,AT_Battery,2030,1,12,12,0.0
13,AT_Battery,2030,1,13,13,0.0
14,AT_Battery,2030,1,14,14,19.40639275439753
15,AT_Battery,2030,1,15,15,314.1045694629356
16,AT_Battery,2030,1,16,16,608.8027461714737
17,AT_Battery,2030,1,17,17,608.8027461714737
18,AT_Battery,2030,1,18,18,323.6363670752188
19,AT_Battery,2030,1,19,19,28.938190366680715
20,AT_Battery,2030,1,20,20,0.0
21,AT_Battery,2030,1,21,21,0.0
22,AT_Battery,2030,1,22,22,0.0
23,AT_Battery,2030,1,23,23,0.0
24,AT_Battery,2030,1,24,24,0.0
25,AT_Battery,2030,2,1,1,294.6981767085381
26,AT_Battery,2030,2,2,2,314.1045694629356
27,AT_Battery,2030,2,3,3,608.8027461714737
28,AT_Battery,2030,2,4,4,314.1045694629356
29,AT_Battery,2030,2,5,5,314.1045694629356
30,AT_Battery,2030,2,6,6,294.6981767085381
31,AT_Battery,2030,2,7,7,0.0
32,AT_Battery,2030,2,8,8,0.0
33,AT_Battery,2030,2,9,9,0.0
34,AT_Battery,2030,2,10,10,86.44471954631081
35,AT_Battery,2030,2,11,11,79.88043392353393
36,AT_Battery,2030,2,12,12,0.0
37,AT_Battery,2030,2,13,13,294.6981767085381
38,AT_Battery,2030,2,14,14,589.3963534170762
39,AT_Battery,2030,2,15,15,608.8027461714737
40,AT_Battery,2030,2,16,16,608.8027461714737
41,AT_Battery,2030,2,17,17,608.8027461714737
42,AT_Battery,2030,2,18,18,608.8027461714737
43,AT_Battery,2030,2,19,19,589.3963534170762
44,AT_Battery,2030,2,20,20,589.3963534170762
45,AT_Battery,2030,2,21,21,294.6981767085381
46,AT_Battery,2030,2,22,22,0.0
47,AT_Battery,2030,2,23,23,0.0
48,AT_Battery,2030,2,24,24,0.0
49,AT_Battery,2030,3,1,1,294.6981767085381
50,AT_Battery,2030,3,2,2,314.1045694629356
51,AT_Battery,2030,3,3,3,608.8027461714737
52,AT_Battery,2030,3,4,4,608.8027461714737
53,AT_Battery,2030,3,5,5,608.8027461714737
54,AT_Battery,2030,3,6,6,492.4279355906958
55,AT_Battery,2030,3,7,7,197.72975888215774
56,AT_Battery,2030,3,8,8,0.0
57,AT_Battery,2030,3,9,9,0.0
58,AT_Battery,2030,3,10,10,0.0
59,AT_Battery,2030,3,11,11,294.6981767085381
60,AT_Battery,2030,3,12,12,294.6981767085381
61,AT_Battery,2030,3,13,13,294.6981767085381
62,AT_Battery,2030,3,14,14,163.7754140981781
63,AT_Battery,2030,3,15,15,314.1045694629356
64,AT_Battery,2030,3,16,16,608.8027461714737
65,AT_Battery,2030,3,17,17,314.1045694629356
66,AT_Battery,2030,3,18,18,19.40639275439753
67,AT_Battery,2030,3,19,19,0.0
68,AT_Battery,2030,3,20,20,0.0
69,AT_Battery,2030,3,21,21,0.0
70,AT_Battery,2030,3,22,22,103.31690732987727
71,AT_Battery,2030,3,23,23,0.0
72,AT_Battery,2030,3,24,24,0.0
73,AT_Battery,2030,4,1,1,106.98823237669967
74,AT_Battery,2030,4,2,2,0.0
75,AT_Battery,2030,4,3,3,64.72443155706605
76,AT_Battery,2030,4,4,4,324.0060225232737
77,AT_Battery,2030,4,5,5,559.6900618964937
78,AT_Battery,2030,4,6,6,608.8027461714737
79,AT_Battery,2030,4,7,7,608.8027461714737
80,AT_Battery,2030,4,8,8,608.8027461714737
81,AT_Battery,2030,4,9,9,314.1045694629356
82,AT_Battery,2030,4,10,10,608.8027461714737
83,AT_Battery,2030,4,11,11,608.8027461714737
84,AT_Battery,2030,4,12,12,608.8027461714737
85,AT_Battery,2030,4,13,13,608.8027461714737
86,AT_Battery,2030,4,14,14,608.8027461714737
87,AT_Battery,2030,4,15,15,608.8027461714737
88,AT_Battery,2030,4,16,16,608.8027461714737
89,AT_Battery,2030,4,17,17,492.87276440473215
90,AT_Battery,2030,4,18,18,198.17458769619407
91,AT_Battery,2030,4,19,19,0.0
92,AT_Battery,2030,4,20,20,0.0
93,AT_Battery,2030,4,21,21,0.0
94,AT_Battery,2030,4,22,22,0.0
95,AT_Battery,2030,4,23,23,0.0
96,AT_Battery,2030,4,24,24,0.0
97,AT_Battery,2030,5,1,1,0.0
98,AT_Battery,2030,5,2,2,294.6981767085381
99,AT_Battery,2030,5,3,3,294.6981767085381
100,AT_Battery,2030,5,4,4,294.6981767085381
101,AT_Battery,2030,5,5,5,294.6981767085381
102,AT_Battery,2030,5,6,6,294.6981767085381
103,AT_Battery,2030,5,7,7,294.6981767085381
104,AT_Battery,2030,5,8,8,0.0
105,AT_Battery,2030,5,9,9,0.0
106,AT_Battery,2030,5,10,10,0.0
107,AT_Battery,2030,5,11,11,0.0
108,AT_Battery,2030,5,12,12,272.38021786283207
109,AT_Battery,2030,5,13,13,272.38021786283207
110,AT_Battery,2030,5,14,14,272.38021786283207
111,AT_Battery,2030,5,15,15,272.38021786283207
112,AT_Battery,2030,5,16,16,272.38021786283207
113,AT_Battery,2030,5,17,17,567.0783945713702
114,AT_Battery,2030,5,18,18,567.0783945713702
115,AT_Battery,2030,5,19,19,567.0783945713702
116,AT_Battery,2030,5,20,20,567.0783945713702
117,AT_Battery,2030,5,21,21,567.0783945713702
118,AT_Battery,2030,5,22,22,567.0783945713702
119,AT_Battery,2030,5,23,23,567.0783945713702
120,AT_Battery,2030,5,24,24,567.0783945713702
121,AT_Battery,2030,6,1,1,0.0
122,AT_Battery,2030,6,2,2,0.0
123,AT_Battery,2030,6,3,3,34.021589583686364
124,AT_Battery,2030,6,4,4,273.1242510839147
125,AT_Battery,2030,6,5,5,475.8453403613221
126,AT_Battery,2030,6,6,6,608.8027461714737
127,AT_Battery,2030,6,7,7,314.1045694629356
128,AT_Battery,2030,6,8,8,19.40639275439753
129,AT_Battery,2030,6,9,9,0.0
130,AT_Battery,2030,6,10,10,0.0
131,AT_Battery,2030,6,11,11,0.0
132,AT_Battery,2030,6,12,12,0.0
133,AT_Battery,2030,6,13,13,19.40639275439753
134,AT_Battery,2030,6,14,14,314.1045694629356
135,AT_Battery,2030,6,15,15,314.1045694629356
136,AT_Battery,2030,6,16,16,608.8027461714737
137,AT_Battery,2030,6,17,17,589.3963534170762
138,AT_Battery,2030,6,18,18,589.3963534170762
139,AT_Battery,2030,6,19,19,294.6981767085381
140,AT_Battery,2030,6,20,20,0.0
141,AT_Battery,2030,6,21,21,0.0
142,AT_Battery,2030,6,22,22,0.0
143,AT_Battery,2030,6,23,23,0.0
144,AT_Battery,2030,6,24,24,0.0
145,AT_Battery,2030,7,1,1,0.0
146,AT_Battery,2030,7,2,2,0.0
147,AT_Battery,2030,7,3,3,171.634953445679
148,AT_Battery,2030,7,4,4,184.49015153192147
149,AT_Battery,2030,7,5,5,319.75028799489405
150,AT_Battery,2030,7,6,6,319.75028799489405
151,AT_Battery,2030,7,7,7,319.75028799489405
152,AT_Battery,2030,7,8,8,294.6981767085381
153,AT_Battery,2030,7,9,9,0.0
154,AT_Battery,2030,7,10,10,0.0
155,AT_Battery,2030,7,11,11,0.0
156,AT_Battery,2030,7,12,12,0.0
157,AT_Battery,2030,7,13,13,19.40639275439753
158,AT_Battery,2030,7,14,14,19.40639275439753
159,AT_Battery,2030,7,15,15,314.1045694629356
160,AT_Battery,2030,7,16,16,608.8027461714737
161,AT_Battery,2030,7,17,17,608.8027461714737
162,AT_Battery,2030,7,18,18,314.1045694629356
163,AT_Battery,2030,7,19,19,19.40639275439753
164,AT_Battery,2030,7,20,20,0.0
165,AT_Battery,2030,7,21,21,0.0
166,AT_Battery,2030,7,22,22,0.0
167,AT_Battery,2030,7,23,23,294.6981767085381
168,AT_Battery,2030,7,24,24,0.0
169,AT_Battery,2030,8,1,1,0.0
170,AT_Battery,2030,8,2,2,0.0
171,AT_Battery,2030,8,3,3,294.6981767085381
172,AT_Battery,2030,8,4,4,589.3963534170762
173,AT_Battery,2030,8,5,5,608.8027461714737
174,AT_Battery,2030,8,6,6,589.3963534170762
175,AT_Battery,2030,8,7,7,294.6981767085381
176,AT_Battery,2030,8,8,8,0.0
177,AT_Battery,2030,8,9,9,294.6981767085381
178,AT_Battery,2030,8,10,10,0.0
179,AT_Battery,2030,8,11,11,0.0
180,AT_Battery,2030,8,12,12,0.0
181,AT_Battery,2030,8,13,13,19.40639275439753
182,AT_Battery,2030,8,14,14,314.1045694629356
183,AT_Battery,2030,8,15,15,608.8027461714737
184,AT_Battery,2030,8,16,16,608.8027461714737
185,AT_Battery,2030,8,17,17,608.8027461714737
186,AT_Battery,2030,8,18,18,589.3963534170762
187,AT_Battery,2030,8,19,19,294.6981767085381
188,AT_Battery,2030,8,20,20,0.0
189,AT_Battery,2030,8,21,21,0.0
190,AT_Battery,2030,8,22,22,0.0
191,AT_Battery,2030,8,23,23,0.0
192,AT_Battery,2030,8,24,24,0.0
193,AT_Battery,2030,9,1,1,0.0
194,AT_Battery,2030,9,2,2,294.6981767085381
195,AT_Battery,2030,9,3,3,0.0
196,AT_Battery,2030,9,4,4,0.0
197,AT_Battery,2030,9,5,5,19.40639275439753
198,AT_Battery,2030,9,6,6,314.1045694629356
199,AT_Battery,2030,9,7,7,608.8027461714737
200,AT_Battery,2030,9,8,8,314.1045694629356
201,AT_Battery,2030,9,9,9,294.6981767085381
202,AT_Battery,2030,9,10,10,0.0
203,AT_Battery,2030,9,11,11,0.0
204,AT_Battery,2030,9,12,12,0.0
205,AT_Battery,2030,9,13,13,265.7719328397875
206,AT_Battery,2030,9,14,14,265.7719328397875
207,AT_Battery,2030,9,15,15,265.7719328397875
208,AT_Battery,2030,9,16,16,560.4701095483256
209,AT_Battery,2030,9,17,17,608.8027461714737
210,AT_Battery,2030,9,18,18,608.8027461714737
211,AT_Battery,2030,9,19,19,314.1045694629356
212,AT_Battery,2030,9,20,20,19.40639275439753
213,AT_Battery,2030,9,21,21,0.0
214,AT_Battery,2030,9,22,22,0.0
215,AT_Battery,2030,9,23,23,294.6981767085381
216,AT_Battery,2030,9,24,24,294.6981767085381
217,AT_Battery,2030,10,1,1,294.6981767085381
218,AT_Battery,2030,10,2,2,314.1045694629356
219,AT_Battery,2030,10,3,3,314.1045694629356
220,AT_Battery,2030,10,4,4,314.1045694629356
221,AT_Battery,2030,10,5,5,608.8027461714737
222,AT_Battery,2030,10,6,6,314.1045694629356
223,AT_Battery,2030,10,7,7,608.8027461714737
224,AT_Battery,2030,10,8,8,608.8027461714737
225,AT_Battery,2030,10,9,9,608.8027461714737
226,AT_Battery,2030,10,10,10,314.1045694629356
227,AT_Battery,2030,10,11,11,19.40639275439753
228,AT_Battery,2030,10,12,12,184.52727791974132
229,AT_Battery,2030,10,13,13,314.1045694629356
230,AT_Battery,2030,10,14,14,608.8027461714737
231,AT_Battery,2030,10,15,15,608.8027461714737
232,AT_Battery,2030,10,16,16,589.3963534170762
233,AT_Battery,2030,10,17,17,294.6981767085381
234,AT_Battery,2030,10,18,18,0.0
235,AT_Battery,2030,10,19,19,0.0
236,AT_Battery,2030,10,20,20,0.0
237,AT_Battery,2030,10,21,21,0.0
238,AT_Battery,2030,10,22,22,0.0
239,AT_Battery,2030,10,23,23,0.0
240,AT_Battery,2030,10,24,24,0.0
