id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,AT_Battery,2030,1,1,2,-0.9381,0.0,0.0
2,AT_Battery,2030,1,3,4,-0.9381,-0.8109000000000001,0.0
3,AT_Battery,2030,1,5,6,-1.749,-0.9539999999999997,0.0
4,AT_Battery,2030,1,7,8,-2.703,0.0,0.0
5,AT_Battery,2030,1,9,10,-1.749,0.0,0.0
6,AT_Battery,2030,1,11,12,-1.749,0.0,0.0
7,AT_Battery,2030,1,13,14,-1.749,0.0,0.0
8,AT_Battery,2030,1,15,16,-0.9381,-0.8109000000000001,0.0
9,AT_Battery,2030,1,17,18,-1.749,0.0,0.0
10,AT_Battery,2030,1,19,20,-1.749,0.0,0.0
11,AT_Battery,2030,1,21,22,-1.749,0.0,0.0
12,AT_Battery,2030,1,23,24,-0.9381,0.0,0.0
13,AT_Battery,2030,2,1,2,0.0,0.0,0.0
14,AT_Battery,2030,2,3,4,0.0,0.0,0.0
15,AT_Battery,2030,2,5,6,0.0,0.0,0.0
16,AT_Battery,2030,2,7,8,0.0,0.0,0.0
17,AT_Battery,2030,2,9,10,0.0,0.0,0.0
18,AT_Battery,2030,2,11,12,0.0,0.0,0.0
19,AT_Battery,2030,2,13,14,0.0,0.0,0.0
20,AT_Battery,2030,2,15,16,0.0,0.0,0.0
21,AT_Battery,2030,2,17,18,0.0,0.0,0.0
22,AT_Battery,2030,2,19,20,0.0,0.0,0.0
23,AT_Battery,2030,2,21,22,0.0,0.0,0.0
24,AT_Battery,2030,2,23,24,0.0,0.0,0.0
25,AT_Battery,2030,3,1,2,-0.5133,-0.4437000000000001,0.0
26,AT_Battery,2030,3,3,4,-0.9570000000000001,0.0,0.0
27,AT_Battery,2030,3,5,6,-0.9570000000000001,-2.9755256181254373,0.0
28,AT_Battery,2030,3,7,8,-3.932525618125437,0.0,0.0
29,AT_Battery,2030,3,9,10,-3.932525618125437,0.0,0.0
30,AT_Battery,2030,3,11,12,-0.5133,-1.0655057588598331,0.0
31,AT_Battery,2030,3,13,14,-1.578805758859833,0.0,0.0
32,AT_Battery,2030,3,15,16,-1.578805758859833,0.0,0.0
33,AT_Battery,2030,3,17,18,-1.565505506405344,0.0,0.0
34,AT_Battery,2030,3,19,20,-1.565505506405344,0.0,0.0
35,AT_Battery,2030,3,21,22,-1.4789999999999999,0.0,0.0
36,AT_Battery,2030,3,23,24,-0.9570000000000001,0.0,0.0
