id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2030,1,1,5,4.6905
2,AT_Balance,2030,1,6,10,8.745000000000001
3,AT_Balance,2030,1,11,15,4.6905
4,AT_Balance,2030,1,16,24,8.745000000000001
5,AT_Balance,2030,2,1,5,0.0
6,AT_Balance,2030,2,6,10,0.0
7,AT_Balance,2030,2,11,15,2.703862305115797
8,AT_Balance,2030,2,16,24,2.119372565713956
9,AT_Balance,2030,3,1,5,2.5665
10,AT_Balance,2030,3,6,10,8.092808993542647
11,AT_Balance,2030,3,11,15,4.785
12,AT_Balance,2030,3,16,24,29.186332220905395
13,AT_Balance,2030,4,1,5,2.0355
14,AT_Balance,2030,4,6,10,2.0355
15,AT_Balance,2030,4,11,15,2.0355
16,AT_Balance,2030,4,16,24,3.7950000000000004
17,AT_Balance,2030,5,1,5,0.0
18,AT_Balance,2030,5,6,10,0.0
19,AT_Balance,2030,5,11,15,0.3765782586632245
20,AT_Balance,2030,5,16,24,0.0
21,AT_Balance,2030,6,1,5,1.593
22,AT_Balance,2030,6,6,10,1.593
23,AT_Balance,2030,6,11,15,1.593
24,AT_Balance,2030,6,16,24,1.593
25,AT_Balance,2030,7,1,5,3.2745
26,AT_Balance,2030,7,6,10,3.2745
27,AT_Balance,2030,7,11,15,3.2745
28,AT_Balance,2030,7,16,24,6.105
29,AT_Balance,2030,8,1,5,2.7435
30,AT_Balance,2030,8,6,10,2.7435
31,AT_Balance,2030,8,11,15,2.0771794835105934
32,AT_Balance,2030,8,16,24,2.7435
33,AT_Balance,2030,9,1,5,0.0
34,AT_Balance,2030,9,6,10,11.973377853971929
35,AT_Balance,2030,9,11,15,3.8055
36,AT_Balance,2030,9,16,24,3.8055
37,AT_Balance,2030,10,1,5,4.071
38,AT_Balance,2030,10,6,10,7.590000000000001
39,AT_Balance,2030,10,11,15,6.1750354121080235
40,AT_Balance,2030,10,16,24,11.729999999999999
41,BE_Balance,2030,1,1,5,4.6905
42,BE_Balance,2030,1,6,10,8.745000000000001
43,BE_Balance,2030,1,11,15,6.4732563404303125
44,BE_Balance,2030,1,16,24,8.745000000000001
45,BE_Balance,2030,2,1,5,0.0
46,BE_Balance,2030,2,6,10,2.9205
47,BE_Balance,2030,2,11,15,2.9205
48,BE_Balance,2030,2,16,24,2.9205
49,BE_Balance,2030,3,1,5,0.0
50,BE_Balance,2030,3,6,10,0.0
51,BE_Balance,2030,3,11,15,0.0
52,BE_Balance,2030,3,16,24,0.0
53,BE_Balance,2030,4,1,5,0.0
54,BE_Balance,2030,4,6,10,2.0355
55,BE_Balance,2030,4,11,15,2.0355
56,BE_Balance,2030,4,16,24,3.7950000000000004
57,BE_Balance,2030,5,1,5,0.0
58,BE_Balance,2030,5,6,10,0.0
59,BE_Balance,2030,5,11,15,0.0
60,BE_Balance,2030,5,16,24,0.0
61,BE_Balance,2030,6,1,5,1.593
62,BE_Balance,2030,6,6,10,1.593
63,BE_Balance,2030,6,11,15,1.593
64,BE_Balance,2030,6,16,24,1.593
65,BE_Balance,2030,7,1,5,3.2745
66,BE_Balance,2030,7,6,10,14.159392253719012
67,BE_Balance,2030,7,11,15,6.105
68,BE_Balance,2030,7,16,24,8.034691879156501
69,BE_Balance,2030,8,1,5,0.0
70,BE_Balance,2030,8,6,10,0.0
71,BE_Balance,2030,8,11,15,0.0
72,BE_Balance,2030,8,16,24,0.0
73,BE_Balance,2030,9,1,5,0.0
74,BE_Balance,2030,9,6,10,0.0
75,BE_Balance,2030,9,11,15,0.0
76,BE_Balance,2030,9,16,24,3.8055
77,BE_Balance,2030,10,1,5,4.689303351262904
78,BE_Balance,2030,10,6,10,19.300668558277916
79,BE_Balance,2030,10,11,15,25.727440265334057
80,BE_Balance,2030,10,16,24,11.729999999999999
81,BG_Balance,2030,1,1,5,4.6905
82,BG_Balance,2030,1,6,10,8.745000000000001
83,BG_Balance,2030,1,11,15,4.6905
84,BG_Balance,2030,1,16,24,8.745000000000001
85,BG_Balance,2030,2,1,5,0.0
86,BG_Balance,2030,2,6,10,0.0
87,BG_Balance,2030,2,11,15,0.0
88,BG_Balance,2030,2,16,24,0.0
89,BG_Balance,2030,3,1,5,8.092808993542647
90,BG_Balance,2030,3,6,10,8.092808993542647
91,BG_Balance,2030,3,11,15,8.092808993542647
92,BG_Balance,2030,3,16,24,29.186332220905395
93,BG_Balance,2030,4,1,5,0.0
94,BG_Balance,2030,4,6,10,2.0355
95,BG_Balance,2030,4,11,15,0.0
96,BG_Balance,2030,4,16,24,3.7950000000000004
97,BG_Balance,2030,5,1,5,0.0
98,BG_Balance,2030,5,6,10,0.692980685610018
99,BG_Balance,2030,5,11,15,0.0
100,BG_Balance,2030,5,16,24,4.602
101,BG_Balance,2030,6,1,5,1.593
102,BG_Balance,2030,6,6,10,1.593
103,BG_Balance,2030,6,11,15,0.0
104,BG_Balance,2030,6,16,24,1.593
105,BG_Balance,2030,7,1,5,3.2745
106,BG_Balance,2030,7,6,10,3.2745
107,BG_Balance,2030,7,11,15,0.0
108,BG_Balance,2030,7,16,24,6.105
109,BG_Balance,2030,8,1,5,2.7435
110,BG_Balance,2030,8,6,10,2.7435
111,BG_Balance,2030,8,11,15,0.0
112,BG_Balance,2030,8,16,24,2.7435
113,BG_Balance,2030,9,1,5,20.625419979213333
114,BG_Balance,2030,9,6,10,11.973377853971929
115,BG_Balance,2030,9,11,15,3.8055
116,BG_Balance,2030,9,16,24,18.119923452320496
117,BG_Balance,2030,10,1,5,4.071
118,BG_Balance,2030,10,6,10,7.590000000000001
119,BG_Balance,2030,10,11,15,6.1750354121080235
120,BG_Balance,2030,10,16,24,11.729999999999999
121,CH_Balance,2030,1,1,5,4.6905
122,CH_Balance,2030,1,6,10,8.745000000000001
123,CH_Balance,2030,1,11,15,4.6905
124,CH_Balance,2030,1,16,24,8.745000000000001
125,CH_Balance,2030,2,1,5,2.9205
126,CH_Balance,2030,2,6,10,2.9205
127,CH_Balance,2030,2,11,15,2.703862305115797
128,CH_Balance,2030,2,16,24,2.9205
129,CH_Balance,2030,3,1,5,2.5665
130,CH_Balance,2030,3,6,10,8.092808993542647
131,CH_Balance,2030,3,11,15,2.5665
132,CH_Balance,2030,3,16,24,29.186332220905395
133,CH_Balance,2030,4,1,5,2.0355
134,CH_Balance,2030,4,6,10,6.470526722111565
135,CH_Balance,2030,4,11,15,2.0355
136,CH_Balance,2030,4,16,24,3.7950000000000004
137,CH_Balance,2030,5,1,5,4.602
138,CH_Balance,2030,5,6,10,4.602
139,CH_Balance,2030,5,11,15,0.3765782586632245
140,CH_Balance,2030,5,16,24,4.602
141,CH_Balance,2030,6,1,5,1.593
142,CH_Balance,2030,6,6,10,1.593
143,CH_Balance,2030,6,11,15,1.593
144,CH_Balance,2030,6,16,24,1.593
145,CH_Balance,2030,7,1,5,3.2745
146,CH_Balance,2030,7,6,10,14.159392253719012
147,CH_Balance,2030,7,11,15,3.2745
148,CH_Balance,2030,7,16,24,6.105
149,CH_Balance,2030,8,1,5,2.7435
150,CH_Balance,2030,8,6,10,2.7435
151,CH_Balance,2030,8,11,15,0.0
152,CH_Balance,2030,8,16,24,2.7435
153,CH_Balance,2030,9,1,5,20.625419979213333
154,CH_Balance,2030,9,6,10,11.973377853971929
155,CH_Balance,2030,9,11,15,3.8055
156,CH_Balance,2030,9,16,24,3.8055
157,CH_Balance,2030,10,1,5,4.071
158,CH_Balance,2030,10,6,10,7.590000000000001
159,CH_Balance,2030,10,11,15,4.071
160,CH_Balance,2030,10,16,24,11.729999999999999
161,CY_Balance,2030,1,1,5,4.6905
162,CY_Balance,2030,1,6,10,8.745000000000001
163,CY_Balance,2030,1,11,15,3.8019632801574392
164,CY_Balance,2030,1,16,24,8.745000000000001
165,CY_Balance,2030,2,1,5,2.9205
166,CY_Balance,2030,2,6,10,0.0
167,CY_Balance,2030,2,11,15,0.0
168,CY_Balance,2030,2,16,24,0.0
169,CY_Balance,2030,3,1,5,8.092808993542647
170,CY_Balance,2030,3,6,10,8.092808993542647
