id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_E_Balance,2050,1,1,2,6.8900000000000015
2,AT_E_Balance,2050,1,3,4,6.8900000000000015
3,AT_E_Balance,2050,1,5,6,212.0
4,AT_E_Balance,2050,1,7,8,-198.22
5,AT_E_Balance,2050,1,9,10,47.050068208
6,AT_E_Balance,2050,1,11,12,-47.050068208
7,AT_E_Balance,2050,1,13,14,6.8900000000000015
8,AT_E_Balance,2050,1,15,16,-6.890000000000001
9,AT_E_Balance,2050,1,17,18,6.8900000000000015
10,AT_E_Balance,2050,1,19,20,6.8900000000000015
11,AT_E_Balance,2050,1,21,22,6.8900000000000015
12,AT_E_Balance,2050,1,23,24,6.8900000000000015
13,AT_E_Balance,2050,2,1,2,-0.0
14,AT_E_Balance,2050,2,3,4,-0.0
15,AT_E_Balance,2050,2,5,6,-0.0
16,AT_E_Balance,2050,2,7,8,-0.0
17,AT_E_Balance,2050,2,9,10,-0.0
18,AT_E_Balance,2050,2,11,12,-0.0
19,AT_E_Balance,2050,2,13,14,-0.0
20,AT_E_Balance,2050,2,15,16,-0.0
21,AT_E_Balance,2050,2,17,18,-0.0
22,AT_E_Balance,2050,2,19,20,-0.0
23,AT_E_Balance,2050,2,21,22,-0.0
24,AT_E_Balance,2050,2,23,24,-0.0
25,AT_E_Balance,2050,3,1,2,-0.0
26,AT_E_Balance,2050,3,3,4,7.540000000000002
27,AT_E_Balance,2050,3,5,6,-0.0
28,AT_E_Balance,2050,3,7,8,7.540000000000002
29,AT_E_Balance,2050,3,9,10,-0.0
30,AT_E_Balance,2050,3,11,12,5.7728125000000015
31,AT_E_Balance,2050,3,13,14,5.7728125000000015
32,AT_E_Balance,2050,3,15,16,-0.0
33,AT_E_Balance,2050,3,17,18,7.540000000000002
34,AT_E_Balance,2050,3,19,20,-0.0
35,AT_E_Balance,2050,3,21,22,7.540000000000002
36,AT_E_Balance,2050,3,23,24,-0.0
37,AT_E_Balance,2050,4,1,2,-0.0
38,AT_E_Balance,2050,4,3,4,-0.0
39,AT_E_Balance,2050,4,5,6,-0.0
40,AT_E_Balance,2050,4,7,8,-0.0
41,AT_E_Balance,2050,4,9,10,-0.0
42,AT_E_Balance,2050,4,11,12,-0.0
43,AT_E_Balance,2050,4,13,14,-0.0
44,AT_E_Balance,2050,4,15,16,-0.0
45,AT_E_Balance,2050,4,17,18,-0.0
46,AT_E_Balance,2050,4,19,20,-0.0
47,AT_E_Balance,2050,4,21,22,-0.0
48,AT_E_Balance,2050,4,23,24,-0.0
49,AT_E_Balance,2050,5,1,2,-0.0
50,AT_E_Balance,2050,5,3,4,-0.0
51,AT_E_Balance,2050,5,5,6,-0.0
52,AT_E_Balance,2050,5,7,8,-0.0
53,AT_E_Balance,2050,5,9,10,-0.0
54,AT_E_Balance,2050,5,11,12,-0.0
55,AT_E_Balance,2050,5,13,14,-0.0
56,AT_E_Balance,2050,5,15,16,-0.0
57,AT_E_Balance,2050,5,17,18,-0.0
58,AT_E_Balance,2050,5,19,20,-0.0
59,AT_E_Balance,2050,5,21,22,-0.0
60,AT_E_Balance,2050,5,23,24,-0.0
61,AT_E_Balance,2050,6,1,2,2.3400000000000003
62,AT_E_Balance,2050,6,3,4,0.05407236570362528
63,AT_E_Balance,2050,6,5,6,2.3400000000000003
64,AT_E_Balance,2050,6,7,8,-1.422072365703626
65,AT_E_Balance,2050,6,9,10,2.3400000000000003
66,AT_E_Balance,2050,6,11,12,-2.3400000000000003
67,AT_E_Balance,2050,6,13,14,-0.0
68,AT_E_Balance,2050,6,15,16,-0.0
69,AT_E_Balance,2050,6,17,18,-0.0
70,AT_E_Balance,2050,6,19,20,0.9179276342963743
71,AT_E_Balance,2050,6,21,22,2.3400000000000003
72,AT_E_Balance,2050,6,23,24,0.05407236570362528
73,AT_E_Balance,2050,7,1,2,4.386840250000002
74,AT_E_Balance,2050,7,3,4,4.8100000000000005
75,AT_E_Balance,2050,7,5,6,4.8100000000000005
76,AT_E_Balance,2050,7,7,8,4.810000000000002
77,AT_E_Balance,2050,7,9,10,-2.4909623898860485
78,AT_E_Balance,2050,7,11,12,4.810000000000002
79,AT_E_Balance,2050,7,13,14,-4.386840250000006
80,AT_E_Balance,2050,7,15,16,4.386840250000006
81,AT_E_Balance,2050,7,17,18,-138.38
82,AT_E_Balance,2050,7,19,20,148.0
83,AT_E_Balance,2050,7,21,22,4.8100000000000005
84,AT_E_Balance,2050,7,23,24,4.8100000000000005
85,AT_E_Balance,2050,8,1,2,-0.0
86,AT_E_Balance,2050,8,3,4,-0.0
87,AT_E_Balance,2050,8,5,6,-0.0
88,AT_E_Balance,2050,8,7,8,-0.0
89,AT_E_Balance,2050,8,9,10,-0.0
90,AT_E_Balance,2050,8,11,12,-0.0
91,AT_E_Balance,2050,8,13,14,-0.0
92,AT_E_Balance,2050,8,15,16,-0.0
93,AT_E_Balance,2050,8,17,18,-0.0
94,AT_E_Balance,2050,8,19,20,-0.0
95,AT_E_Balance,2050,8,21,22,-0.0
96,AT_E_Balance,2050,8,23,24,-0.0
97,AT_E_Balance,2050,9,1,2,1.2050654363090052
98,AT_E_Balance,2050,9,3,4,-0.0
99,AT_E_Balance,2050,9,5,6,1.2050654363090056
100,AT_E_Balance,2050,9,7,8,-0.0
101,AT_E_Balance,2050,9,9,10,-0.0
102,AT_E_Balance,2050,9,11,12,-0.0
103,AT_E_Balance,2050,9,13,14,-0.0
104,AT_E_Balance,2050,9,15,16,-0.0
105,AT_E_Balance,2050,9,17,18,-0.0
106,AT_E_Balance,2050,9,19,20,1.2050654363090056
