id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
1,AT_Hydro_Reservoir,2050,1,4,-0.062079610306181025,0.0,0.0
2,AT_Hydro_Reservoir,2050,5,8,-0.062079610306181025,0.0,0.0
3,AT_Hydro_Reservoir,2050,9,12,-0.062079610306181025,0.0,0.0
4,AT_Hydro_Reservoir,2050,13,16,-0.062079610306181025,0.0,0.0
5,AT_Hydro_Reservoir,2050,17,20,-0.062079610306181025,0.0,0.0
6,AT_Hydro_Reservoir,2050,21,24,-0.062079610306181025,0.0,0.0
7,AT_Hydro_Reservoir,2050,25,28,-0.062079610306181025,0.0,0.0
8,AT_Hydro_Reservoir,2050,29,32,-0.062079610306181025,0.0,0.0
9,AT_Hydro_Reservoir,2050,33,36,-0.062079610306181025,0.0,0.0
10,AT_Hydro_Reservoir,2050,37,40,-0.062079610306181025,0.0,0.0
11,AT_Hydro_Reservoir,2050,41,44,-0.062079610306181025,0.0,0.0
12,AT_Hydro_Reservoir,2050,45,48,-0.062079610306181025,0.0,0.0
13,AT_Hydro_Reservoir,2050,49,52,-0.062079610306181025,0.0,0.0
14,AT_Hydro_Reservoir,2050,53,56,-0.062079610306181025,0.0,0.0
15,AT_Hydro_Reservoir,2050,57,60,-0.062079610306181025,0.0,0.0
16,AT_Hydro_Reservoir,2050,61,64,-0.062079610306181025,0.0,0.0
17,AT_Hydro_Reservoir,2050,65,68,-0.062079610306181025,0.0,0.0
18,AT_Hydro_Reservoir,2050,69,72,-0.062079610306181025,0.0,0.0
19,AT_Hydro_Reservoir,2050,73,76,-0.062079610306181025,0.0,0.0
20,AT_Hydro_Reservoir,2050,77,80,-0.062079610306181025,0.0,0.0
21,AT_Hydro_Reservoir,2050,81,84,-0.062079610306181025,0.0,0.0
22,AT_Hydro_Reservoir,2050,85,88,-0.06207961030618101,0.0,0.0
23,AT_Hydro_Reservoir,2050,89,92,-0.06207961030618101,0.0,0.0
24,AT_Hydro_Reservoir,2050,93,96,-0.06207961030618101,0.0,0.0
25,AT_Hydro_Reservoir,2050,97,100,-0.06207961030618101,0.0,0.0
26,AT_Hydro_Reservoir,2050,101,104,-0.06207961030618101,0.0,0.0
27,AT_Hydro_Reservoir,2050,105,108,-0.06207961030618101,0.0,0.0
28,AT_Hydro_Reservoir,2050,109,112,-0.06207961030618101,0.0,0.0
29,AT_Hydro_Reservoir,2050,113,116,-0.06207961030618101,0.0,0.0
30,AT_Hydro_Reservoir,2050,117,120,-0.06207961030618101,0.0,0.0
31,AT_Hydro_Reservoir,2050,121,124,-0.06207961030618101,0.0,0.0
32,AT_Hydro_Reservoir,2050,125,128,-0.06207961030618101,0.0,0.0
33,AT_Hydro_Reservoir,2050,129,132,-0.06207961030618101,0.0,0.0
34,AT_Hydro_Reservoir,2050,133,136,-0.06207961030618101,0.0,0.0
35,AT_Hydro_Reservoir,2050,137,140,-0.06207961030618101,0.0,0.0
36,AT_Hydro_Reservoir,2050,141,144,-0.06207961030618101,0.0,0.0
37,AT_Hydro_Reservoir,2050,145,148,-0.06207961030618101,0.0,0.0
38,AT_Hydro_Reservoir,2050,149,152,-0.06207961030618101,0.0,0.0
39,AT_Hydro_Reservoir,2050,153,156,-0.06207961030618101,0.0,0.0
40,AT_Hydro_Reservoir,2050,157,160,-0.06207961030618101,0.0,0.0
41,AT_Hydro_Reservoir,2050,161,164,-0.06207961030618101,0.0,0.0
42,AT_Hydro_Reservoir,2050,165,168,-0.06207961030618101,0.0,0.0
43,AT_Hydro_Reservoir,2050,169,172,-0.06207961030618101,0.0,0.0
44,AT_Hydro_Reservoir,2050,173,176,-0.06207961030618101,0.0,0.0
45,AT_Hydro_Reservoir,2050,177,180,-0.06207961030618101,0.0,0.0
46,AT_Hydro_Reservoir,2050,181,184,-0.06207961030618101,0.0,0.0
47,AT_Hydro_Reservoir,2050,185,188,-0.06207961030618101,0.0,0.0
48,AT_Hydro_Reservoir,2050,189,192,-0.06207961030618101,0.0,0.0
49,AT_Hydro_Reservoir,2050,193,196,-0.06207961030618101,0.0,0.0
50,AT_Hydro_Reservoir,2050,197,200,-0.06207961030618101,0.0,0.0
51,AT_Hydro_Reservoir,2050,201,204,-0.06207961030618101,0.0,0.0
52,AT_Hydro_Reservoir,2050,205,208,-0.06207961030618101,0.0,0.0
53,AT_Hydro_Reservoir,2050,209,212,-0.06207961030618101,-0.006449193907183633,0.0
54,AT_Hydro_Reservoir,2050,213,216,-0.06852880421336464,0.0,0.0
55,AT_Hydro_Reservoir,2050,217,220,-0.06852880421336464,0.0,0.0
56,AT_Hydro_Reservoir,2050,221,224,-0.06852880421336464,0.0,0.0
57,AT_Hydro_Reservoir,2050,225,228,-0.06852880421336464,0.0,0.0
58,AT_Hydro_Reservoir,2050,229,232,-0.06852880421336464,0.0,0.0
59,AT_Hydro_Reservoir,2050,233,236,-0.06852880421336464,0.0,0.0
60,AT_Hydro_Reservoir,2050,237,240,-0.06852880421336464,0.0,0.0
61,AT_Hydro_Reservoir,2050,241,244,-0.06852880421336464,0.0,0.0
62,AT_Hydro_Reservoir,2050,245,248,-0.06852880421336464,0.0,0.0
63,AT_Hydro_Reservoir,2050,249,252,-0.06852880421336464,0.0,0.0
64,AT_Hydro_Reservoir,2050,253,256,-0.06852880421336464,0.0,0.0
65,AT_Hydro_Reservoir,2050,257,260,-0.06852880421336464,-0.005445309949933266,0.0
66,AT_Hydro_Reservoir,2050,261,264,-0.07397411416329791,0.0,0.0
67,AT_Hydro_Reservoir,2050,265,268,-0.07397411416329791,0.0,0.0
