id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_E_Balance,BE_E_Balance,2050,1,1,1,1981,0.0,0.0
2,NL_E_Balance,BE_E_Balance,2050,1,2,2,1982,0.0,-0.0
3,NL_E_Balance,BE_E_Balance,2050,1,3,3,1983,0.0,0.0
4,NL_E_Balance,BE_E_Balance,2050,1,4,4,1984,0.0,-0.0
5,NL_E_Balance,BE_E_Balance,2050,1,5,5,1985,0.0,0.0
6,NL_E_Balance,BE_E_Balance,2050,1,6,6,1986,0.0,3.1500170519999924
7,NL_E_Balance,BE_E_Balance,2050,1,7,7,1987,0.0,0.0
8,NL_E_Balance,BE_E_Balance,2050,1,8,8,1988,0.0,0.0
9,NL_E_Balance,BE_E_Balance,2050,1,9,9,1989,0.0,0.0
10,NL_E_Balance,BE_E_Balance,2050,1,10,10,1990,0.0,0.0
11,NL_E_Balance,BE_E_Balance,2050,1,11,11,1991,0.0,-0.0
12,NL_E_Balance,BE_E_Balance,2050,1,12,12,1992,0.0,0.0
13,NL_E_Balance,BE_E_Balance,2050,1,13,13,1993,0.0,-0.0
14,NL_E_Balance,BE_E_Balance,2050,1,14,14,1994,0.0,0.0
15,NL_E_Balance,BE_E_Balance,2050,1,15,15,1995,0.0,6.8900000000000015
16,NL_E_Balance,BE_E_Balance,2050,1,16,16,1996,0.0,0.0
17,NL_E_Balance,BE_E_Balance,2050,1,17,17,1997,0.0,0.0
18,NL_E_Balance,BE_E_Balance,2050,1,18,18,1998,0.0,-0.0
19,NL_E_Balance,BE_E_Balance,2050,1,19,19,1999,0.0,0.0
20,NL_E_Balance,BE_E_Balance,2050,1,20,20,2000,0.0,0.0
21,NL_E_Balance,BE_E_Balance,2050,1,21,21,2001,0.0,0.0
22,NL_E_Balance,BE_E_Balance,2050,1,22,22,2002,-3.4450000000000007,0.0
23,NL_E_Balance,BE_E_Balance,2050,1,23,23,2003,0.0,0.0
24,NL_E_Balance,BE_E_Balance,2050,1,24,24,2004,0.0,-0.0
25,DE_E_Balance,NL_E_Balance,2050,1,1,1,2005,0.0,6.8900000000000015
26,DE_E_Balance,NL_E_Balance,2050,1,2,2,2006,0.0,0.0
27,DE_E_Balance,NL_E_Balance,2050,1,3,3,2007,0.0,6.8900000000000015
28,DE_E_Balance,NL_E_Balance,2050,1,4,4,2008,0.0,0.0
29,DE_E_Balance,NL_E_Balance,2050,1,5,5,2009,0.0,205.11
30,DE_E_Balance,NL_E_Balance,2050,1,6,6,2010,0.0,0.0
31,DE_E_Balance,NL_E_Balance,2050,1,7,7,2011,0.0,0.0
32,DE_E_Balance,NL_E_Balance,2050,1,8,8,2012,0.0,164.94993179200003
33,DE_E_Balance,NL_E_Balance,2050,1,9,9,2013,0.0,0.0
34,DE_E_Balance,NL_E_Balance,2050,1,10,10,2014,0.0,-0.0
35,DE_E_Balance,NL_E_Balance,2050,1,11,11,2015,0.0,0.0
36,DE_E_Balance,NL_E_Balance,2050,1,12,12,2016,0.0,0.0
37,DE_E_Balance,NL_E_Balance,2050,1,13,13,2017,0.0,0.0
38,DE_E_Balance,NL_E_Balance,2050,1,14,14,2018,0.0,0.0
39,DE_E_Balance,NL_E_Balance,2050,1,15,15,2019,0.0,0.0
40,DE_E_Balance,NL_E_Balance,2050,1,16,16,2020,0.0,-0.0
41,DE_E_Balance,NL_E_Balance,2050,1,17,17,2021,0.0,-0.0
42,DE_E_Balance,NL_E_Balance,2050,1,18,18,2022,0.0,0.0
43,DE_E_Balance,NL_E_Balance,2050,1,19,19,2023,-0.0,0.0
44,DE_E_Balance,NL_E_Balance,2050,1,20,20,2024,0.0,0.0
45,DE_E_Balance,NL_E_Balance,2050,1,21,21,2025,0.0,3.4450000000000007
46,DE_E_Balance,NL_E_Balance,2050,1,22,22,2026,0.0,0.0
47,DE_E_Balance,NL_E_Balance,2050,1,23,23,2027,0.0,6.8900000000000015
48,DE_E_Balance,NL_E_Balance,2050,1,24,24,2028,0.0,0.0
49,DE_E_Balance,BE_E_Balance,2050,1,1,2,2029,0.0,6.8900000000000015
50,DE_E_Balance,BE_E_Balance,2050,1,3,4,2030,0.0,6.8900000000000015
51,DE_E_Balance,BE_E_Balance,2050,1,5,6,2031,0.0,208.260017052
52,DE_E_Balance,BE_E_Balance,2050,1,7,8,2032,0.0,164.94993179200003
53,DE_E_Balance,BE_E_Balance,2050,1,9,10,2033,0.0,-0.0
54,DE_E_Balance,BE_E_Balance,2050,1,11,12,2034,0.0,0.0
55,DE_E_Balance,BE_E_Balance,2050,1,13,14,2035,0.0,-0.0
56,DE_E_Balance,BE_E_Balance,2050,1,15,16,2036,0.0,6.8900000000000015
57,DE_E_Balance,BE_E_Balance,2050,1,17,18,2037,0.0,-0.0
58,DE_E_Balance,BE_E_Balance,2050,1,19,20,2038,-0.0,0.0
59,DE_E_Balance,BE_E_Balance,2050,1,21,22,2039,0.0,-0.0
60,DE_E_Balance,BE_E_Balance,2050,1,23,24,2040,0.0,6.8900000000000015
61,FR_E_Balance,DE_E_Balance,2050,1,1,2,2041,-2.014000000000001,0.0
62,FR_E_Balance,DE_E_Balance,2050,1,3,4,2042,-6.8900000000000015,0.0
63,FR_E_Balance,DE_E_Balance,2050,1,5,6,2043,0.0,0.0
64,FR_E_Balance,DE_E_Balance,2050,1,7,8,2044,0.0,0.0
65,FR_E_Balance,DE_E_Balance,2050,1,9,10,2045,0.0,0.0
66,FR_E_Balance,DE_E_Balance,2050,1,11,12,2046,0.0,370.05993179200004
67,FR_E_Balance,DE_E_Balance,2050,1,13,14,2047,0.0,-0.0
68,FR_E_Balance,DE_E_Balance,2050,1,15,16,2048,0.0,410.22
69,FR_E_Balance,DE_E_Balance,2050,1,17,18,2049,0.0,0.0
70,FR_E_Balance,DE_E_Balance,2050,1,19,20,2050,0.0,409.5553825278912
71,FR_E_Balance,DE_E_Balance,2050,1,21,22,2051,0.0,-0.0
72,FR_E_Balance,DE_E_Balance,2050,1,23,24,2052,0.0,410.22
73,FR_E_Balance,BE_E_Balance,2050,1,1,2,2053,0.0,4.876
74,FR_E_Balance,BE_E_Balance,2050,1,3,4,2054,0.0,-0.0
75,FR_E_Balance,BE_E_Balance,2050,1,5,6,2055,0.0,208.260017052
76,FR_E_Balance,BE_E_Balance,2050,1,7,8,2056,0.0,164.94993179200003
77,FR_E_Balance,BE_E_Balance,2050,1,9,10,2057,0.0,-0.0
