id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
1,AT_Hydro_Reservoir,2050,1,3,-0.031455003974671755,0.0,0.0
2,AT_Hydro_Reservoir,2050,4,6,-0.031455003974671755,0.0,0.0
3,AT_Hydro_Reservoir,2050,7,9,-0.031455003974671755,0.0,0.0
4,AT_Hydro_Reservoir,2050,10,12,-0.031455003974671755,0.0,0.0
5,AT_Hydro_Reservoir,2050,13,15,-0.031455003974671755,0.0,0.0
6,AT_Hydro_Reservoir,2050,16,18,-0.031455003974671755,0.0,0.0
7,AT_Hydro_Reservoir,2050,19,21,-0.031455003974671755,0.0,0.0
8,AT_Hydro_Reservoir,2050,22,24,-0.031455003974671755,0.0,0.0
9,AT_Hydro_Reservoir,2050,25,27,-0.031455003974671755,0.0,0.0
10,AT_Hydro_Reservoir,2050,28,30,-0.031455003974671755,0.0,0.0
11,AT_Hydro_Reservoir,2050,31,33,-0.031455003974671755,0.0,0.0
12,AT_Hydro_Reservoir,2050,34,36,-0.031455003974671755,0.0,0.0
13,AT_Hydro_Reservoir,2050,37,39,-0.031455003974671755,0.0,0.0
14,AT_Hydro_Reservoir,2050,40,42,-0.031455003974671755,0.0,0.0
15,AT_Hydro_Reservoir,2050,43,45,-0.031455003974671755,0.0,0.0
16,AT_Hydro_Reservoir,2050,46,48,-0.031455003974671755,0.0,0.0
17,AT_Hydro_Reservoir,2050,49,51,-0.031455003974671755,0.0,0.0
18,AT_Hydro_Reservoir,2050,52,54,-0.031455003974671755,0.0,0.0
19,AT_Hydro_Reservoir,2050,55,57,-0.031455003974671755,0.0,0.0
20,AT_Hydro_Reservoir,2050,58,60,-0.031455003974671755,0.0,0.0
21,AT_Hydro_Reservoir,2050,61,63,-0.031455003974671755,0.0,0.0
22,AT_Hydro_Reservoir,2050,64,66,-0.031455003974671755,0.0,0.0
