id,asset,year,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,3,385592.3507994385
2,AT_Hydro_Reservoir,2050,4,6,393395.0913533081
3,AT_Hydro_Reservoir,2050,7,9,400487.4421527466
4,AT_Hydro_Reservoir,2050,10,12,407579.7929521851
5,AT_Hydro_Reservoir,2050,13,15,414672.1437516236
6,AT_Hydro_Reservoir,2050,16,18,405494.035486886
7,AT_Hydro_Reservoir,2050,19,21,366503.86628835264
8,AT_Hydro_Reservoir,2050,22,24,358265.4254348479
9,AT_Hydro_Reservoir,2050,25,27,364720.6344552183
10,AT_Hydro_Reservoir,2050,28,30,372735.75560211064
11,AT_Hydro_Reservoir,2050,31,33,379190.9646224811
12,AT_Hydro_Reservoir,2050,34,36,356258.8738951011
13,AT_Hydro_Reservoir,2050,37,39,364273.9950419934
14,AT_Hydro_Reservoir,2050,40,42,355806.27653168695
15,AT_Hydro_Reservoir,2050,43,45,331509.7572070288
16,AT_Hydro_Reservoir,2050,46,48,306983.96022556897
17,AT_Hydro_Reservoir,2050,49,51,314076.31102500745
18,AT_Hydro_Reservoir,2050,52,54,323014.2025193536
19,AT_Hydro_Reservoir,2050,55,57,330604.56248020055
20,AT_Hydro_Reservoir,2050,58,60,337272.1520935937
21,AT_Hydro_Reservoir,2050,61,63,344152.1223000095
22,AT_Hydro_Reservoir,2050,64,66,351954.8628538791
23,AT_Hydro_Reservoir,2050,67,69,326506.29552496545
24,AT_Hydro_Reservoir,2050,70,72,301980.4985435056
25,AT_Hydro_Reservoir,2050,73,75,294647.9309736757
26,AT_Hydro_Reservoir,2050,76,78,255657.7617751423
27,AT_Hydro_Reservoir,2050,79,81,248554.47186211406
28,AT_Hydro_Reservoir,2050,82,84,225393.10347793243
29,AT_Hydro_Reservoir,2050,85,87,234118.61437925592
30,AT_Hydro_Reservoir,2050,88,90,241210.96517869437
31,AT_Hydro_Reservoir,2050,91,93,250148.85667304054
32,AT_Hydro_Reservoir,2050,94,96,242816.28910321064
33,AT_Hydro_Reservoir,2050,97,99,218290.4921217508
