id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,AT_electrolyzer,2050,1,1,2,1.7225000000000004
2,AT_electrolyzer,2050,1,3,4,1.7225000000000004
3,AT_electrolyzer,2050,1,5,6,1.7225000000000004
4,AT_electrolyzer,2050,1,7,8,1.7225000000000006
5,AT_electrolyzer,2050,1,9,10,-0.0
6,AT_electrolyzer,2050,1,11,12,-0.0
7,AT_electrolyzer,2050,1,13,14,-0.0
8,AT_electrolyzer,2050,1,15,16,-0.0
9,AT_electrolyzer,2050,1,17,18,1.7225
10,AT_electrolyzer,2050,1,19,20,1.7225000000000004
11,AT_electrolyzer,2050,1,21,22,1.7225000000000004
12,AT_electrolyzer,2050,1,23,24,1.7225000000000004
13,AT_electrolyzer,2050,2,1,2,-0.0
14,AT_electrolyzer,2050,2,3,4,-0.0
15,AT_electrolyzer,2050,2,5,6,-0.0
16,AT_electrolyzer,2050,2,7,8,-0.0
17,AT_electrolyzer,2050,2,9,10,-0.0
18,AT_electrolyzer,2050,2,11,12,-0.0
19,AT_electrolyzer,2050,2,13,14,-0.0
20,AT_electrolyzer,2050,2,15,16,-0.0
21,AT_electrolyzer,2050,2,17,18,-0.0
22,AT_electrolyzer,2050,2,19,20,-0.0
23,AT_electrolyzer,2050,2,21,22,-0.0
24,AT_electrolyzer,2050,2,23,24,-0.0
25,AT_electrolyzer,2050,3,1,2,0.9425000000000002
26,AT_electrolyzer,2050,3,3,4,0.9425000000000001
27,AT_electrolyzer,2050,3,5,6,0.9425000000000007
28,AT_electrolyzer,2050,3,7,8,0.9425000000000002
29,AT_electrolyzer,2050,3,9,10,0.9425000000000002
30,AT_electrolyzer,2050,3,11,12,-0.0
31,AT_electrolyzer,2050,3,13,14,-0.0
32,AT_electrolyzer,2050,3,15,16,0.7216015625000004
33,AT_electrolyzer,2050,3,17,18,0.9425000000000002
34,AT_electrolyzer,2050,3,19,20,0.9425000000000002
35,AT_electrolyzer,2050,3,21,22,0.9425000000000002
36,AT_electrolyzer,2050,3,23,24,0.9425000000000002
37,AT_electrolyzer,2050,4,1,2,-0.0
38,AT_electrolyzer,2050,4,3,4,-0.0
39,AT_electrolyzer,2050,4,5,6,-0.0
40,AT_electrolyzer,2050,4,7,8,-0.0
41,AT_electrolyzer,2050,4,9,10,-0.0
42,AT_electrolyzer,2050,4,11,12,-0.0
43,AT_electrolyzer,2050,4,13,14,-0.0
44,AT_electrolyzer,2050,4,15,16,-0.0
45,AT_electrolyzer,2050,4,17,18,-0.0
46,AT_electrolyzer,2050,4,19,20,-0.0
47,AT_electrolyzer,2050,4,21,22,-0.0
48,AT_electrolyzer,2050,4,23,24,-0.0
49,AT_electrolyzer,2050,5,1,2,-0.0
50,AT_electrolyzer,2050,5,3,4,-0.0
51,AT_electrolyzer,2050,5,5,6,-0.0
52,AT_electrolyzer,2050,5,7,8,-0.0
53,AT_electrolyzer,2050,5,9,10,-0.0
54,AT_electrolyzer,2050,5,11,12,-0.0
55,AT_electrolyzer,2050,5,13,14,-0.0
56,AT_electrolyzer,2050,5,15,16,-0.0
57,AT_electrolyzer,2050,5,17,18,-0.0
58,AT_electrolyzer,2050,5,19,20,-0.0
59,AT_electrolyzer,2050,5,21,22,-0.0
60,AT_electrolyzer,2050,5,23,24,-0.0
61,AT_electrolyzer,2050,6,1,2,0.585
62,AT_electrolyzer,2050,6,3,4,0.49573877551020407
63,AT_electrolyzer,2050,6,5,6,0.37955
64,AT_electrolyzer,2050,6,7,8,0.03445
65,AT_electrolyzer,2050,6,9,10,-0.0
66,AT_electrolyzer,2050,6,11,12,-0.0
67,AT_electrolyzer,2050,6,13,14,-0.0
68,AT_electrolyzer,2050,6,15,16,-0.0
69,AT_electrolyzer,2050,6,17,18,-0.0
70,AT_electrolyzer,2050,6,19,20,0.585
71,AT_electrolyzer,2050,6,21,22,0.585
72,AT_electrolyzer,2050,6,23,24,0.5335346249999999
73,AT_electrolyzer,2050,7,1,2,1.0967100625000001
74,AT_electrolyzer,2050,7,3,4,1.2025000000000001
75,AT_electrolyzer,2050,7,5,6,1.2025000000000001
76,AT_electrolyzer,2050,7,7,8,1.2025000000000001
77,AT_electrolyzer,2050,7,9,10,0.3382060275396208
78,AT_electrolyzer,2050,7,11,12,-0.0
79,AT_electrolyzer,2050,7,13,14,-0.0
80,AT_electrolyzer,2050,7,15,16,0.25893898983502217
81,AT_electrolyzer,2050,7,17,18,1.2024999999999992
82,AT_electrolyzer,2050,7,19,20,1.2025000000000001
83,AT_electrolyzer,2050,7,21,22,1.2025000000000001
84,AT_electrolyzer,2050,7,23,24,1.2025000000000001
85,AT_electrolyzer,2050,8,1,2,-0.0
86,AT_electrolyzer,2050,8,3,4,-0.0
87,AT_electrolyzer,2050,8,5,6,-0.0
88,AT_electrolyzer,2050,8,7,8,-0.0
89,AT_electrolyzer,2050,8,9,10,-0.0
90,AT_electrolyzer,2050,8,11,12,-0.0
91,AT_electrolyzer,2050,8,13,14,-0.0
92,AT_electrolyzer,2050,8,15,16,-0.0
93,AT_electrolyzer,2050,8,17,18,-0.0
94,AT_electrolyzer,2050,8,19,20,-0.0
95,AT_electrolyzer,2050,8,21,22,-0.0
96,AT_electrolyzer,2050,8,23,24,-0.0
97,AT_electrolyzer,2050,9,1,2,0.13596656599116658
98,AT_electrolyzer,2050,9,3,4,0.13596656599116658
99,AT_electrolyzer,2050,9,5,6,0.13596656599116658
100,AT_electrolyzer,2050,9,7,8,0.13596656599116658
101,AT_electrolyzer,2050,9,9,10,-0.0
102,AT_electrolyzer,2050,9,11,12,-0.0
103,AT_electrolyzer,2050,9,13,14,-0.0
104,AT_electrolyzer,2050,9,15,16,-0.0
105,AT_electrolyzer,2050,9,17,18,-0.0
106,AT_electrolyzer,2050,9,19,20,0.13596656599116658
107,AT_electrolyzer,2050,9,21,22,0.13596656599116658
