id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,UK_E_Balance,DK_E_Balance,2050,1,9,12,2049,-820.4399999999999,0.0
2,UK_E_Balance,DK_E_Balance,2050,1,13,16,2050,-848.0,0.0
3,UK_E_Balance,DK_E_Balance,2050,1,17,20,2051,-848.0,0.0
4,UK_E_Balance,DK_E_Balance,2050,1,21,24,2052,-0.0,0.0
5,UK_E_Balance,NL_E_Balance,2050,1,1,4,2053,-27.560000000000006,0.0
6,UK_E_Balance,NL_E_Balance,2050,1,5,8,2054,-848.0,0.0
7,UK_E_Balance,NL_E_Balance,2050,1,9,12,2055,-820.4399999999999,0.0
8,UK_E_Balance,NL_E_Balance,2050,1,13,16,2056,-0.0,0.0
9,UK_E_Balance,NL_E_Balance,2050,1,17,20,2057,-27.560000000000006,0.0
10,UK_E_Balance,NL_E_Balance,2050,1,21,24,2058,-0.0,0.0
11,IE_E_Balance,UK_E_Balance,2050,1,1,4,2059,0.0,-0.0
12,IE_E_Balance,UK_E_Balance,2050,1,5,8,2060,0.0,-0.0
13,IE_E_Balance,UK_E_Balance,2050,1,9,12,2061,-27.560000000000006,0.0
14,IE_E_Balance,UK_E_Balance,2050,1,13,16,2062,0.0,-0.0
15,IE_E_Balance,UK_E_Balance,2050,1,17,20,2063,0.0,-0.0
16,IE_E_Balance,UK_E_Balance,2050,1,21,24,2064,0.0,-0.0
17,IE_E_Balance,FR_E_Balance,2050,1,1,4,2065,-27.560000000000006,0.0
18,IE_E_Balance,FR_E_Balance,2050,1,5,8,2066,-848.0,0.0
19,IE_E_Balance,FR_E_Balance,2050,1,9,12,2067,-848.0,0.0
20,IE_E_Balance,FR_E_Balance,2050,1,13,16,2068,-848.0,0.0
21,IE_E_Balance,FR_E_Balance,2050,1,17,20,2069,-848.0,0.0
22,IE_E_Balance,FR_E_Balance,2050,1,21,24,2070,-848.0,0.0
