id,asset,year,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,4,387956.4677325846
2,AT_Hydro_Reservoir,2050,5,8,398123.3252196005
3,AT_Hydro_Reservoir,2050,9,12,407579.7929521852
4,AT_Hydro_Reservoir,2050,13,16,417036.26068476983
5,AT_Hydro_Reservoir,2050,17,20,375817.8228735509
6,AT_Hydro_Reservoir,2050,21,24,387480.3685798792
7,AT_Hydro_Reservoir,2050,25,28,396299.6945333958
8,AT_Hydro_Reservoir,2050,29,32,406254.1714273889
9,AT_Hydro_Reservoir,2050,33,36,417916.71713371726
10,AT_Hydro_Reservoir,2050,37,40,428083.57462073304
11,AT_Hydro_Reservoir,2050,41,44,386260.1069840507
12,AT_Hydro_Reservoir,2050,45,48,345964.43952028564
13,AT_Hydro_Reservoir,2050,49,52,356343.6776003241
14,AT_Hydro_Reservoir,2050,53,56,367433.30543479376
15,AT_Hydro_Reservoir,2050,57,60,376252.63138831034
16,AT_Hydro_Reservoir,2050,61,64,385284.3379348496
17,AT_Hydro_Reservoir,2050,65,68,369668.413453039
18,AT_Hydro_Reservoir,2050,69,72,302062.16384753026
19,AT_Hydro_Reservoir,2050,73,76,261373.8471513244
20,AT_Hydro_Reservoir,2050,77,80,274564.19303056994
21,AT_Hydro_Reservoir,2050,81,84,261186.45847610774
22,AT_Hydro_Reservoir,2050,85,88,272276.08631057735
23,AT_Hydro_Reservoir,2050,89,92,282655.3243906158
24,AT_Hydro_Reservoir,2050,93,96,268884.9406037129
25,AT_Hydro_Reservoir,2050,97,100,201278.69099820423
26,AT_Hydro_Reservoir,2050,101,104,132537.29045221896
27,AT_Hydro_Reservoir,2050,105,108,91848.97375601318
28,AT_Hydro_Reservoir,2050,109,112,24242.724150504473
29,AT_Hydro_Reservoir,2050,113,116,0.0
30,AT_Hydro_Reservoir,2050,117,120,45616.63963064251
31,AT_Hydro_Reservoir,2050,121,124,93059.77620402684
32,AT_Hydro_Reservoir,2050,125,128,140971.04689727174
33,AT_Hydro_Reservoir,2050,129,132,188882.3175905166
34,AT_Hydro_Reservoir,2050,133,136,235857.3200440404
35,AT_Hydro_Reservoir,2050,137,140,283300.45661742473
36,AT_Hydro_Reservoir,2050,141,144,329339.1908312274
37,AT_Hydro_Reservoir,2050,145,148,375846.0591648906
38,AT_Hydro_Reservoir,2050,149,152,423757.3298581355
39,AT_Hydro_Reservoir,2050,153,156,471668.60055138037
40,AT_Hydro_Reservoir,2050,157,160,519579.87124462525
41,AT_Hydro_Reservoir,2050,161,164,493226.20718845853
42,AT_Hydro_Reservoir,2050,165,168,537484.4839962198
43,AT_Hydro_Reservoir,2050,169,172,509772.45711717184
44,AT_Hydro_Reservoir,2050,173,176,506347.2743680672
45,AT_Hydro_Reservoir,2050,177,180,455238.63206209656
46,AT_Hydro_Reservoir,2050,181,184,404129.98975612596
47,AT_Hydro_Reservoir,2050,185,188,399814.57830400055
48,AT_Hydro_Reservoir,2050,189,192,418895.78227879776
49,AT_Hydro_Reservoir,2050,193,196,367787.13997282734
50,AT_Hydro_Reservoir,2050,197,200,340075.11309377925
51,AT_Hydro_Reservoir,2050,201,204,335759.70164165384
52,AT_Hydro_Reservoir,2050,205,208,354840.905616451
53,AT_Hydro_Reservoir,2050,209,212,397318.7250181708
54,AT_Hydro_Reservoir,2050,213,216,346210.0827122002
55,AT_Hydro_Reservoir,2050,217,220,295101.4404062296
56,AT_Hydro_Reservoir,2050,221,224,243992.79810025898
57,AT_Hydro_Reservoir,2050,225,228,239677.3866481336
58,AT_Hydro_Reservoir,2050,229,232,235361.97519600822
59,AT_Hydro_Reservoir,2050,233,236,231046.56374388287
60,AT_Hydro_Reservoir,2050,237,240,273524.38314560265
61,AT_Hydro_Reservoir,2050,241,244,234958.47121434435
62,AT_Hydro_Reservoir,2050,245,248,230643.05976221897
63,AT_Hydro_Reservoir,2050,249,252,249724.26373701618
64,AT_Hydro_Reservoir,2050,253,256,234554.96723268047
65,AT_Hydro_Reservoir,2050,257,260,255427.73315735112
66,AT_Hydro_Reservoir,2050,261,264,215524.7149260267
67,AT_Hydro_Reservoir,2050,265,268,230242.86097818948
68,AT_Hydro_Reservoir,2050,269,272,243783.05933303016
69,AT_Hydro_Reservoir,2050,273,276,203487.39186926506
70,AT_Hydro_Reservoir,2050,277,280,232085.37459620635
71,AT_Hydro_Reservoir,2050,281,284,246410.87141592844
72,AT_Hydro_Reservoir,2050,285,288,268068.93580548046
73,AT_Hydro_Reservoir,2050,289,292,289727.0001950325
74,AT_Hydro_Reservoir,2050,293,296,275819.1445255572
75,AT_Hydro_Reservoir,2050,297,300,263226.70843597635
76,AT_Hydro_Reservoir,2050,301,304,277552.2052556984
77,AT_Hydro_Reservoir,2050,305,308,237649.187024374
78,AT_Hydro_Reservoir,2050,309,312,249741.30343941427
79,AT_Hydro_Reservoir,2050,313,316,259200.17593333218
80,AT_Hydro_Reservoir,2050,317,320,268659.0484272501
81,AT_Hydro_Reservoir,2050,321,324,278115.51615983475
82,AT_Hydro_Reservoir,2050,325,328,288462.6422862685
83,AT_Hydro_Reservoir,2050,329,332,298841.880366307
84,AT_Hydro_Reservoir,2050,333,336,308300.7528602249
85,AT_Hydro_Reservoir,2050,337,340,317766.83963814273
86,AT_Hydro_Reservoir,2050,341,344,327232.92641606054
87,AT_Hydro_Reservoir,2050,345,348,339325.0428311008
88,AT_Hydro_Reservoir,2050,349,352,350104.1444275799
89,AT_Hydro_Reservoir,2050,353,356,359570.2312054977
90,AT_Hydro_Reservoir,2050,357,360,369036.3179834155
91,AT_Hydro_Reservoir,2050,361,364,378500.0
92,AT_Pump_Hydro_Closed,2050,1,4,1109.341605231688
93,AT_Pump_Hydro_Closed,2050,5,8,1381.3167895366241
94,AT_Pump_Hydro_Closed,2050,9,12,1590.658394768312
95,AT_Pump_Hydro_Closed,2050,13,16,1800.0
96,AT_Pump_Hydro_Closed,2050,17,20,1296.1265418126854
97,AT_Pump_Hydro_Closed,2050,21,24,913.573606914279
98,AT_Pump_Hydro_Closed,2050,25,28,619.4380650432813
99,AT_Pump_Hydro_Closed,2050,29,32,723.5875336473221
100,AT_Pump_Hydro_Closed,2050,33,36,341.0345987489157
101,AT_Pump_Hydro_Closed,2050,37,40,613.0097830538517
102,AT_Pump_Hydro_Closed,2050,41,44,299.89145830393716
103,AT_Pump_Hydro_Closed,2050,45,48,26.477294890765904
104,AT_Pump_Hydro_Closed,2050,49,52,466.2781948965972
105,AT_Pump_Hydro_Closed,2050,53,56,968.7126739756766
106,AT_Pump_Hydro_Closed,2050,57,60,674.5771321046788
107,AT_Pump_Hydro_Closed,2050,61,64,548.2673059345763
108,AT_Pump_Hydro_Closed,2050,65,68,695.5214514129822
109,AT_Pump_Hydro_Closed,2050,69,72,257.682087836538
110,AT_Pump_Hydro_Closed,2050,73,76,342.84877356166305
111,AT_Pump_Hydro_Closed,2050,77,80,0.0
112,AT_Pump_Hydro_Closed,2050,81,84,249.59188588839737
113,AT_Pump_Hydro_Closed,2050,85,88,752.026364967477
114,AT_Pump_Hydro_Closed,2050,89,92,1191.8272649733083
115,AT_Pump_Hydro_Closed,2050,93,96,1800.0
116,AT_Pump_Hydro_Closed,2050,97,100,1362.1606364235552
117,AT_Pump_Hydro_Closed,2050,101,104,526.0362623720725
118,AT_Pump_Hydro_Closed,2050,105,108,611.2029480971975
119,AT_Pump_Hydro_Closed,2050,109,112,173.36358452075388
120,AT_Pump_Hydro_Closed,2050,113,116,0.0
121,AT_Pump_Hydro_Closed,2050,117,120,462.9784851564345
122,AT_Pump_Hydro_Closed,2050,121,124,554.4250480496504
123,AT_Pump_Hydro_Closed,2050,125,128,471.64771729510255
124,AT_Pump_Hydro_Closed,2050,129,132,388.8703865405547
125,AT_Pump_Hydro_Closed,2050,133,136,654.5408430815344
126,AT_Pump_Hydro_Closed,2050,137,140,745.9874059747492
127,AT_Pump_Hydro_Closed,2050,141,144,1360.1056498112564
128,AT_Pump_Hydro_Closed,2050,145,148,1800.0
129,AT_Pump_Hydro_Closed,2050,149,152,1717.2226692454522
130,AT_Pump_Hydro_Closed,2050,153,156,1634.4453384909043
131,AT_Pump_Hydro_Closed,2050,157,160,1551.6680077363565
132,AT_Pump_Hydro_Closed,2050,161,164,1139.7134862281118
133,AT_Pump_Hydro_Closed,2050,165,168,1800.0
134,AT_Pump_Hydro_Closed,2050,169,172,1585.3535071072101
135,AT_Pump_Hydro_Closed,2050,173,176,1654.6566381134144
136,AT_Pump_Hydro_Closed,2050,177,180,1132.9763863539374
137,AT_Pump_Hydro_Closed,2050,181,184,611.2961345944605
138,AT_Pump_Hydro_Closed,2050,185,188,703.6834005683613
139,AT_Pump_Hydro_Closed,2050,189,192,1103.1044254089477
140,AT_Pump_Hydro_Closed,2050,193,196,581.4241736494707
141,AT_Pump_Hydro_Closed,2050,197,200,366.7776807566804
142,AT_Pump_Hydro_Closed,2050,201,204,459.16494673057605
143,AT_Pump_Hydro_Closed,2050,205,208,858.5859715711608
144,AT_Pump_Hydro_Closed,2050,209,212,1565.0407552784309
145,AT_Pump_Hydro_Closed,2050,213,216,1043.360503518954
146,AT_Pump_Hydro_Closed,2050,217,220,521.680251759477
147,AT_Pump_Hydro_Closed,2050,221,224,0.0
148,AT_Pump_Hydro_Closed,2050,225,228,92.38726597389655
149,AT_Pump_Hydro_Closed,2050,229,232,184.7745319477931
150,AT_Pump_Hydro_Closed,2050,233,236,277.1617979216903
151,AT_Pump_Hydro_Closed,2050,237,240,983.6165816289604
152,AT_Pump_Hydro_Closed,2050,241,244,659.1787984565362
153,AT_Pump_Hydro_Closed,2050,245,248,751.5660644304328
