id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,AT_E_Demand,2050,1,1,4,27.560000000000006
2,AT_E_Demand,2050,1,5,8,27.559999999999995
3,AT_E_Demand,2050,1,9,12,0.0
4,AT_E_Demand,2050,1,13,16,0.0
5,AT_E_Demand,2050,1,17,20,27.560000000000002
6,AT_E_Demand,2050,1,21,24,-0.0
7,AT_E_Demand,2050,2,1,4,0.0
8,AT_E_Demand,2050,2,5,8,-0.0
9,AT_E_Demand,2050,2,9,12,0.0
10,AT_E_Demand,2050,2,13,16,0.0
11,AT_E_Demand,2050,2,17,20,-0.0
12,AT_E_Demand,2050,2,21,24,0.0
13,AT_E_Demand,2050,3,1,4,15.080000000000004
14,AT_E_Demand,2050,3,5,8,15.080000000000004
15,AT_E_Demand,2050,3,9,12,11.545625000000006
16,AT_E_Demand,2050,3,13,16,11.545625000000006
17,AT_E_Demand,2050,3,17,20,15.080000000000004
18,AT_E_Demand,2050,3,21,24,15.080000000000007
19,AT_E_Demand,2050,4,1,4,0.0
20,AT_E_Demand,2050,4,5,8,-0.0
21,AT_E_Demand,2050,4,9,12,0.0
22,AT_E_Demand,2050,4,13,16,0.0
23,AT_E_Demand,2050,4,17,20,0.0
24,AT_E_Demand,2050,4,21,24,-0.0
25,AT_E_Demand,2050,5,1,4,0.0
26,AT_E_Demand,2050,5,5,8,0.0
27,AT_E_Demand,2050,5,9,12,0.0
28,AT_E_Demand,2050,5,13,16,0.0
29,AT_E_Demand,2050,5,17,20,0.0
30,AT_E_Demand,2050,5,21,24,0.0
31,AT_E_Demand,2050,6,1,4,1.5801882352941181
32,AT_E_Demand,2050,6,5,8,4.065130501350991
33,AT_E_Demand,2050,6,9,12,0.0
34,AT_E_Demand,2050,6,13,16,0.0
35,AT_E_Demand,2050,6,17,20,1.580188235294118
36,AT_E_Demand,2050,6,21,24,1.7326150437697632
37,AT_E_Demand,2050,7,1,4,4.041637815388567
38,AT_E_Demand,2050,7,5,8,19.240000000000002
39,AT_E_Demand,2050,7,9,12,0.0
40,AT_E_Demand,2050,7,13,16,0.0
41,AT_E_Demand,2050,7,17,20,19.240000000000002
42,AT_E_Demand,2050,7,21,24,19.240000000000002
43,AT_E_Demand,2050,8,1,4,-0.0
44,AT_E_Demand,2050,8,5,8,0.0
45,AT_E_Demand,2050,8,9,12,0.0
46,AT_E_Demand,2050,8,13,16,0.0
47,AT_E_Demand,2050,8,17,20,0.0
48,AT_E_Demand,2050,8,21,24,-0.0
49,AT_E_Demand,2050,9,1,4,2.1795801863388293
50,AT_E_Demand,2050,9,5,8,2.1795801863388293
51,AT_E_Demand,2050,9,9,12,0.0
52,AT_E_Demand,2050,9,13,16,0.0
53,AT_E_Demand,2050,9,17,20,2.1795801863388293
54,AT_E_Demand,2050,9,21,24,2.1795801863388293
55,AT_E_Demand,2050,10,1,4,23.92
56,AT_E_Demand,2050,10,5,8,23.919999999999995
57,AT_E_Demand,2050,10,9,12,23.920000000000005
58,AT_E_Demand,2050,10,13,16,23.920000000000005
59,AT_E_Demand,2050,10,17,20,23.92
60,AT_E_Demand,2050,10,21,24,23.920000000000005
61,AT_H_Demand,2050,1,1,4,42.400000000000006
62,AT_H_Demand,2050,1,5,8,42.39999999999999
63,AT_H_Demand,2050,1,9,12,-0.0
64,AT_H_Demand,2050,1,13,16,-0.0
65,AT_H_Demand,2050,1,17,20,42.4
66,AT_H_Demand,2050,1,21,24,-0.0
67,AT_H_Demand,2050,2,1,4,0.0
68,AT_H_Demand,2050,2,5,8,-0.0
69,AT_H_Demand,2050,2,9,12,-0.0
70,AT_H_Demand,2050,2,13,16,-0.0
71,AT_H_Demand,2050,2,17,20,-0.0
72,AT_H_Demand,2050,2,21,24,-0.0
73,AT_H_Demand,2050,3,1,4,23.200000000000003
74,AT_H_Demand,2050,3,5,8,23.200000000000003
75,AT_H_Demand,2050,3,9,12,17.76250000000001
76,AT_H_Demand,2050,3,13,16,17.76250000000001
77,AT_H_Demand,2050,3,17,20,23.200000000000003
78,AT_H_Demand,2050,3,21,24,23.200000000000003
79,AT_H_Demand,2050,4,1,4,-0.0
80,AT_H_Demand,2050,4,5,8,-0.0
81,AT_H_Demand,2050,4,9,12,-0.0
82,AT_H_Demand,2050,4,13,16,0.0
83,AT_H_Demand,2050,4,17,20,-0.0
84,AT_H_Demand,2050,4,21,24,-0.0
85,AT_H_Demand,2050,5,1,4,-0.0
86,AT_H_Demand,2050,5,5,8,-0.0
87,AT_H_Demand,2050,5,9,12,0.0
88,AT_H_Demand,2050,5,13,16,0.0
89,AT_H_Demand,2050,5,17,20,-0.0
90,AT_H_Demand,2050,5,21,24,-0.0
91,AT_H_Demand,2050,6,1,4,2.4310588235294124
92,AT_H_Demand,2050,6,5,8,6.25404692515537
93,AT_H_Demand,2050,6,9,12,-0.0
94,AT_H_Demand,2050,6,13,16,-0.0
95,AT_H_Demand,2050,6,17,20,2.431058823529412
96,AT_H_Demand,2050,6,21,24,2.665561605799635
97,AT_H_Demand,2050,7,1,4,6.217904331367025
98,AT_H_Demand,2050,7,5,8,29.6
99,AT_H_Demand,2050,7,9,12,-0.0
100,AT_H_Demand,2050,7,13,16,-0.0
101,AT_H_Demand,2050,7,17,20,29.6
102,AT_H_Demand,2050,7,21,24,29.6
103,AT_H_Demand,2050,8,1,4,-0.0
104,AT_H_Demand,2050,8,5,8,-0.0
105,AT_H_Demand,2050,8,9,12,0.0
106,AT_H_Demand,2050,8,13,16,0.0
107,AT_H_Demand,2050,8,17,20,-0.0
108,AT_H_Demand,2050,8,21,24,-0.0
109,AT_H_Demand,2050,9,1,4,3.3532002866751216
