id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,1,4,195815.8494452828
2,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,5,8,215641.12280630722
3,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,9,12,234437.39579876466
4,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,13,16,243190.45418336306
5,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,17,20,235564.60323850779
6,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,21,24,203953.25272030145
7,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,1,4,0.0
8,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,5,8,0.0
9,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,9,12,0.0
10,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,13,16,0.0
11,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,17,20,0.0
12,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,21,24,0.0
13,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,1,4,195193.18531698117
14,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,5,8,173503.2950728302
15,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,9,12,110543.98469518867
16,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,13,16,120249.40181943396
17,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,17,20,164085.66598160376
18,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,21,24,228254.3966283963
19,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,1,4,17691.899856121487
20,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,5,8,16124.383373192528
21,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,9,12,15226.1742036645
22,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,13,16,16609.9213862145
23,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,17,20,19101.192783689803
24,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,21,24,21105.44838759392
25,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,1,4,-0.0
26,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,5,8,8323.78841799419
27,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,9,12,106128.7813361452
28,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,13,16,139324.32737666694
29,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,17,20,53686.999530468
30,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,21,24,401.87251180664146
31,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,1,4,-0.0
32,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,5,8,0.0
33,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,9,12,0.0
34,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,13,16,10267.14659685864
35,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,17,20,0.0
36,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,21,24,10267.14659685864
37,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,1,4,0.0
38,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,5,8,6657.9912962590915
39,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,9,12,2705.9030787409083
40,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,13,16,0.0
41,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,17,20,9363.894375
42,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,21,24,0.0
43,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,1,4,-0.0
44,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,5,8,9912.5
45,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,9,12,-0.0
46,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,13,16,0.0
47,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,17,20,0.0
48,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,21,24,0.0
49,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,1,4,0.0
50,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,5,8,-0.0
51,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,9,12,-0.0
52,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,13,16,0.0
53,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,17,20,0.0
54,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,21,24,0.0
55,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,1,4,134880.72265582072
56,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,5,8,149331.51603020975
57,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,9,12,177202.89473419328
58,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,13,16,185447.72604840208
59,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,17,20,175034.61296727514
60,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,21,24,160360.80423776712
61,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,1,4,0.0
62,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,5,8,0.0
63,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,9,12,0.0
64,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,13,16,0.0
65,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,17,20,0.0
66,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,21,24,0.0
67,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,1,4,156110.8569583491
68,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,5,8,141825.87447584904
69,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,9,12,101133.84511127356
70,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,13,16,109426.92317245282
71,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,17,20,129247.78182391512
72,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,21,24,168473.12577877357
73,BE_Wind_Offshore,BE_E_Balance,2050,1,1.0,1.0,1,4,4252.196831804905
74,BE_Wind_Offshore,BE_E_Balance,2050,1,1.0,1.0,5,8,3776.797395244905
75,BE_Wind_Offshore,BE_E_Balance,2050,1,1.0,1.0,9,12,3472.377886966038
76,BE_Wind_Offshore,BE_E_Balance,2050,1,1.0,1.0,13,16,3875.776147545283
77,BE_Wind_Offshore,BE_E_Balance,2050,1,1.0,1.0,17,20,5048.511499558491
78,BE_Wind_Offshore,BE_E_Balance,2050,1,1.0,1.0,21,24,5417.386731183396
79,BE_Solar,BE_E_Balance,2050,1,1.0,1.0,1,4,-0.0
80,BE_Solar,BE_E_Balance,2050,1,1.0,1.0,5,8,5413.969627830189
81,BE_Solar,BE_E_Balance,2050,1,1.0,1.0,9,12,82112.25149537736
82,BE_Solar,BE_E_Balance,2050,1,1.0,1.0,13,16,111716.57858962264
83,BE_Solar,BE_E_Balance,2050,1,1.0,1.0,17,20,43138.08521830189
84,BE_Solar,BE_E_Balance,2050,1,1.0,1.0,21,24,278.19400669811324
85,BE_E_Balance,BE_Battery,2050,1,0.955,1.0,1,4,0.0
86,BE_E_Balance,BE_Battery,2050,1,0.955,1.0,5,8,0.0
87,BE_E_Balance,BE_Battery,2050,1,0.955,1.0,9,12,0.0
88,BE_E_Balance,BE_Battery,2050,1,0.955,1.0,13,16,221.85863874345551
89,BE_E_Balance,BE_Battery,2050,1,0.955,1.0,17,20,0.0
90,BE_E_Balance,BE_Battery,2050,1,0.955,1.0,21,24,221.85863874345551
91,BE_Battery,BE_E_Balance,2050,1,0.955,1.0,1,4,-0.0
92,BE_Battery,BE_E_Balance,2050,1,0.955,1.0,5,8,-0.0
93,BE_Battery,BE_E_Balance,2050,1,0.955,1.0,9,12,202.340625
94,BE_Battery,BE_E_Balance,2050,1,0.955,1.0,13,16,0.0
95,BE_Battery,BE_E_Balance,2050,1,0.955,1.0,17,20,202.340625
96,BE_Battery,BE_E_Balance,2050,1,0.955,1.0,21,24,0.0
97,BE_Gas,BE_E_Balance,2050,1,1.0,1.0,1,4,-0.0
98,BE_Gas,BE_E_Balance,2050,1,1.0,1.0,5,8,5764.200000000001
99,BE_Gas,BE_E_Balance,2050,1,1.0,1.0,9,12,-0.0
100,BE_Gas,BE_E_Balance,2050,1,1.0,1.0,13,16,0.0
101,BE_Gas,BE_E_Balance,2050,1,1.0,1.0,17,20,0.0
102,BE_Gas,BE_E_Balance,2050,1,1.0,1.0,21,24,0.0
103,BE_OCGT,BE_E_Balance,2050,1,1.0,1.0,1,4,-0.0
104,BE_OCGT,BE_E_Balance,2050,1,1.0,1.0,5,8,158.60000000000002
105,BE_OCGT,BE_E_Balance,2050,1,1.0,1.0,9,12,158.60000000000002
106,BE_OCGT,BE_E_Balance,2050,1,1.0,1.0,13,16,-0.0
107,BE_OCGT,BE_E_Balance,2050,1,1.0,1.0,17,20,0.0
108,BE_OCGT,BE_E_Balance,2050,1,1.0,1.0,21,24,0.0
109,DE_E_Balance,DE_E_Demand,2050,1,1.0,1.0,1,4,558375.5695330589
110,DE_E_Balance,DE_E_Demand,2050,1,1.0,1.0,5,8,676344.6895334545
111,DE_E_Balance,DE_E_Demand,2050,1,1.0,1.0,9,12,680381.5488831071
112,DE_E_Balance,DE_E_Demand,2050,1,1.0,1.0,13,16,762053.8388588526
113,DE_E_Balance,DE_E_Demand,2050,1,1.0,1.0,17,20,716505.7105163786
114,DE_E_Balance,DE_E_Demand,2050,1,1.0,1.0,21,24,581444.7410032541
115,DE_E_ENS,DE_E_Demand,2050,1,1.0,1.0,1,4,0.0
116,DE_E_ENS,DE_E_Demand,2050,1,1.0,1.0,5,8,12256.61682706303
117,DE_E_ENS,DE_E_Demand,2050,1,1.0,1.0,9,12,98859.68974751746
118,DE_E_ENS,DE_E_Demand,2050,1,1.0,1.0,13,16,4960.790499059018
119,DE_E_ENS,DE_E_Demand,2050,1,1.0,1.0,17,20,0.0
120,DE_E_ENS,DE_E_Demand,2050,1,1.0,1.0,21,24,0.0
121,DE_Wind_Onshore,DE_E_Balance,2050,1,1.0,1.0,1,4,408431.6727448492
122,DE_Wind_Onshore,DE_E_Balance,2050,1,1.0,1.0,5,8,349903.8538657358
123,DE_Wind_Onshore,DE_E_Balance,2050,1,1.0,1.0,9,12,227168.74482767924
124,DE_Wind_Onshore,DE_E_Balance,2050,1,1.0,1.0,13,16,265076.8763831887
125,DE_Wind_Onshore,DE_E_Balance,2050,1,1.0,1.0,17,20,346952.38270550943
126,DE_Wind_Onshore,DE_E_Balance,2050,1,1.0,1.0,21,24,511174.80633305653
127,DE_Wind_Offshore,DE_E_Balance,2050,1,1.0,1.0,1,4,192422.72024217003
128,DE_Wind_Offshore,DE_E_Balance,2050,1,1.0,1.0,5,8,175526.0949149842
129,DE_Wind_Offshore,DE_E_Balance,2050,1,1.0,1.0,9,12,172367.96130092995
130,DE_Wind_Offshore,DE_E_Balance,2050,1,1.0,1.0,13,16,183937.93642560896
131,DE_Wind_Offshore,DE_E_Balance,2050,1,1.0,1.0,17,20,207502.78440270282
132,DE_Wind_Offshore,DE_E_Balance,2050,1,1.0,1.0,21,24,233105.27307466086
133,DE_Solar,DE_E_Balance,2050,1,1.0,1.0,1,4,-0.0
134,DE_Solar,DE_E_Balance,2050,1,1.0,1.0,5,8,20496.292313369264
135,DE_Solar,DE_E_Balance,2050,1,1.0,1.0,9,12,192447.47048518984
136,DE_Solar,DE_E_Balance,2050,1,1.0,1.0,13,16,228571.40875231664
137,DE_Solar,DE_E_Balance,2050,1,1.0,1.0,17,20,75309.76911531783
138,DE_Solar,DE_E_Balance,2050,1,1.0,1.0,21,24,97.68313565664624
139,DE_Hydro,DE_E_Balance,2050,1,1.0,1.0,1,4,2098.59031004634
140,DE_Hydro,DE_E_Balance,2050,1,1.0,1.0,5,8,2098.59031004634
141,DE_Hydro,DE_E_Balance,2050,1,1.0,1.0,9,12,2098.59031004634
142,DE_Hydro,DE_E_Balance,2050,1,1.0,1.0,13,16,2098.59031004634
143,DE_Hydro,DE_E_Balance,2050,1,1.0,1.0,17,20,2098.59031004634
144,DE_Hydro,DE_E_Balance,2050,1,1.0,1.0,21,24,2098.59031004634
145,DE_Hydro_Reservoir,DE_E_Balance,2050,1,1.0,1.0,1,4,0.0
146,DE_Hydro_Reservoir,DE_E_Balance,2050,1,1.0,1.0,5,8,1034.3801770996847
147,DE_Hydro_Reservoir,DE_E_Balance,2050,1,1.0,1.0,9,12,0.0
148,DE_Hydro_Reservoir,DE_E_Balance,2050,1,1.0,1.0,13,16,0.0
149,DE_Hydro_Reservoir,DE_E_Balance,2050,1,1.0,1.0,17,20,0.0
150,DE_Hydro_Reservoir,DE_E_Balance,2050,1,1.0,1.0,21,24,0.0
151,DE_E_Balance,DE_Battery,2050,1,0.955,1.0,1,4,-0.0
152,DE_E_Balance,DE_Battery,2050,1,0.955,1.0,5,8,0.0
153,DE_E_Balance,DE_Battery,2050,1,0.955,1.0,9,12,0.0
154,DE_E_Balance,DE_Battery,2050,1,0.955,1.0,13,16,0.0
155,DE_E_Balance,DE_Battery,2050,1,0.955,1.0,17,20,0.0
156,DE_E_Balance,DE_Battery,2050,1,0.955,1.0,21,24,21812.238219895287
157,DE_Battery,DE_E_Balance,2050,1,0.955,1.0,1,4,0.0
158,DE_Battery,DE_E_Balance,2050,1,0.955,1.0,5,8,19893.3065625
159,DE_Battery,DE_E_Balance,2050,1,0.955,1.0,9,12,-0.0
160,DE_Battery,DE_E_Balance,2050,1,0.955,1.0,13,16,0.0
161,DE_Battery,DE_E_Balance,2050,1,0.955,1.0,17,20,-0.0
162,DE_Battery,DE_E_Balance,2050,1,0.955,1.0,21,24,0.0
163,DE_Pump_Hydro_Closed,DE_E_Balance,2050,1,0.875,1.0,1,4,0.0
164,DE_Pump_Hydro_Closed,DE_E_Balance,2050,1,0.875,1.0,5,8,7382.0
165,DE_Pump_Hydro_Closed,DE_E_Balance,2050,1,0.875,1.0,9,12,3320.494912496376
166,DE_Pump_Hydro_Closed,DE_E_Balance,2050,1,0.875,1.0,13,16,0.0
167,DE_Pump_Hydro_Closed,DE_E_Balance,2050,1,0.875,1.0,17,20,3826.2264056729473
168,DE_Pump_Hydro_Closed,DE_E_Balance,2050,1,0.875,1.0,21,24,0.0
169,DE_Pump_Hydro_Open,DE_E_Balance,2050,1,0.875,1.0,1,4,256.48516029704325
170,DE_Pump_Hydro_Open,DE_E_Balance,2050,1,0.875,1.0,5,8,1644.0
171,DE_Pump_Hydro_Open,DE_E_Balance,2050,1,0.875,1.0,9,12,1644.0
172,DE_Pump_Hydro_Open,DE_E_Balance,2050,1,0.875,1.0,13,16,1644.0
173,DE_Pump_Hydro_Open,DE_E_Balance,2050,1,0.875,1.0,17,20,1644.0
174,DE_Pump_Hydro_Open,DE_E_Balance,2050,1,0.875,1.0,21,24,0.0
175,DE_Coal,DE_E_Balance,2050,1,1.0,1.0,1,4,0.0
176,DE_Coal,DE_E_Balance,2050,1,1.0,1.0,5,8,-0.0
177,DE_Coal,DE_E_Balance,2050,1,1.0,1.0,9,12,-0.0
178,DE_Coal,DE_E_Balance,2050,1,1.0,1.0,13,16,-0.0
179,DE_Coal,DE_E_Balance,2050,1,1.0,1.0,17,20,-0.0
180,DE_Coal,DE_E_Balance,2050,1,1.0,1.0,21,24,0.0
181,FR_E_Balance,FR_E_Demand,2050,1,1.0,1.0,1,4,427334.1076291379
182,FR_E_Balance,FR_E_Demand,2050,1,1.0,1.0,5,8,432096.5844285763
183,FR_E_Balance,FR_E_Demand,2050,1,1.0,1.0,9,12,435486.63083044253
184,FR_E_Balance,FR_E_Demand,2050,1,1.0,1.0,13,16,477383.3360545129
185,FR_E_Balance,FR_E_Demand,2050,1,1.0,1.0,17,20,473266.90756702726
186,FR_E_Balance,FR_E_Demand,2050,1,1.0,1.0,21,24,509789.15154818323
187,FR_Wind_Onshore,FR_E_Balance,2050,1,1.0,1.0,1,4,335691.6834724528
188,FR_Wind_Onshore,FR_E_Balance,2050,1,1.0,1.0,5,8,292796.1077501887
189,FR_Wind_Onshore,FR_E_Balance,2050,1,1.0,1.0,9,12,195979.85343471696
190,FR_Wind_Onshore,FR_E_Balance,2050,1,1.0,1.0,13,16,205824.92473547172
191,FR_Wind_Onshore,FR_E_Balance,2050,1,1.0,1.0,17,20,266692.0068358491
192,FR_Wind_Onshore,FR_E_Balance,2050,1,1.0,1.0,21,24,354355.81570754724
193,FR_Wind_Offshore,FR_E_Balance,2050,1,1.0,1.0,1,4,45019.73403475289
194,FR_Wind_Offshore,FR_E_Balance,2050,1,1.0,1.0,5,8,42941.0398633476
195,FR_Wind_Offshore,FR_E_Balance,2050,1,1.0,1.0,9,12,39404.21157554561
196,FR_Wind_Offshore,FR_E_Balance,2050,1,1.0,1.0,13,16,39047.44233050179
197,FR_Wind_Offshore,FR_E_Balance,2050,1,1.0,1.0,17,20,43660.648448765656
198,FR_Wind_Offshore,FR_E_Balance,2050,1,1.0,1.0,21,24,45150.47830851792
199,FR_Solar,FR_E_Balance,2050,1,1.0,1.0,1,4,-0.0
200,FR_Solar,FR_E_Balance,2050,1,1.0,1.0,5,8,3784.6758831359716
