id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,solution
76,AT_Gas,2050,1,1,4,true,0.0
77,AT_Gas,2050,1,5,8,true,0.0
78,AT_Gas,2050,1,9,12,true,0.0
242,AT_Gas,2050,1,13,16,true,0.0
79,AT_Gas,2050,1,17,20,true,0.0
80,AT_Gas,2050,1,21,24,true,0.0
424,AT_Gas,2050,2,1,4,true,0.0
425,AT_Gas,2050,2,5,8,true,0.0
426,AT_Gas,2050,2,9,12,true,0.0
684,AT_Gas,2050,2,13,16,true,0.0
427,AT_Gas,2050,2,17,20,true,0.0
428,AT_Gas,2050,2,21,24,true,0.0
1013,AT_Gas,2050,3,1,4,true,0.0
1256,AT_Gas,2050,3,5,8,true,0.0
1014,AT_Gas,2050,3,9,12,true,0.0
1015,AT_Gas,2050,3,13,16,true,0.0
1016,AT_Gas,2050,3,17,20,true,0.0
1017,AT_Gas,2050,3,21,24,true,0.0
1144,AT_Gas,2050,4,1,4,true,0.0
1145,AT_Gas,2050,4,5,8,true,0.0
1146,AT_Gas,2050,4,9,12,true,0.0
1147,AT_Gas,2050,4,13,16,true,0.0
1148,AT_Gas,2050,4,17,20,true,0.0
1149,AT_Gas,2050,4,21,24,true,0.0
1501,AT_Gas,2050,5,1,4,true,0.0
1502,AT_Gas,2050,5,5,8,true,0.0
1559,AT_Gas,2050,5,9,12,true,0.0
1503,AT_Gas,2050,5,13,16,true,0.0
1551,AT_Gas,2050,5,17,20,true,0.0
1504,AT_Gas,2050,5,21,24,true,0.0
1906,AT_Gas,2050,6,1,4,true,0.0
1907,AT_Gas,2050,6,5,8,true,0.0
1908,AT_Gas,2050,6,9,12,true,0.0
1909,AT_Gas,2050,6,13,16,true,0.0
1910,AT_Gas,2050,6,17,20,true,0.0
1911,AT_Gas,2050,6,21,24,true,0.0
2489,AT_Gas,2050,7,1,4,true,0.0
2262,AT_Gas,2050,7,5,8,true,0.0
2263,AT_Gas,2050,7,9,12,true,0.0
2264,AT_Gas,2050,7,13,16,true,0.0
2265,AT_Gas,2050,7,17,20,true,0.0
2266,AT_Gas,2050,7,21,24,true,0.0
2650,AT_Gas,2050,8,1,4,true,0.0
2651,AT_Gas,2050,8,5,8,true,0.0
2652,AT_Gas,2050,8,9,12,true,0.0
2653,AT_Gas,2050,8,13,16,true,0.0
2654,AT_Gas,2050,8,17,20,true,0.0
2655,AT_Gas,2050,8,21,24,true,0.0
3227,AT_Gas,2050,9,1,4,true,0.0
3228,AT_Gas,2050,9,5,8,true,0.0
3229,AT_Gas,2050,9,9,12,true,0.0
3230,AT_Gas,2050,9,13,16,true,0.0
3231,AT_Gas,2050,9,17,20,true,0.0
3486,AT_Gas,2050,9,21,24,true,0.0
3333,AT_Gas,2050,10,1,4,true,0.0
3334,AT_Gas,2050,10,5,8,true,0.0
3335,AT_Gas,2050,10,9,12,true,0.0
3336,AT_Gas,2050,10,13,16,true,0.0
3337,AT_Gas,2050,10,17,20,true,0.0
3338,AT_Gas,2050,10,21,24,true,0.0
7,BE_Gas,2050,1,1,4,true,0.0
8,BE_Gas,2050,1,5,8,true,0.0
9,BE_Gas,2050,1,9,12,true,0.0
10,BE_Gas,2050,1,13,16,true,0.0
11,BE_Gas,2050,1,17,20,true,0.0
12,BE_Gas,2050,1,21,24,true,0.0
355,BE_Gas,2050,2,1,4,true,0.0
356,BE_Gas,2050,2,5,8,true,0.0
357,BE_Gas,2050,2,9,12,true,0.0
358,BE_Gas,2050,2,13,16,true,0.0
359,BE_Gas,2050,2,17,20,true,0.0
617,BE_Gas,2050,2,21,24,true,0.0
1008,BE_Gas,2050,3,1,4,true,0.0
1009,BE_Gas,2050,3,5,8,true,0.0
1010,BE_Gas,2050,3,9,12,true,0.0
1277,BE_Gas,2050,3,13,16,true,0.0
1011,BE_Gas,2050,3,17,20,true,0.0
1012,BE_Gas,2050,3,21,24,true,0.0
1090,BE_Gas,2050,4,1,4,true,0.0
1254,BE_Gas,2050,4,5,8,true,0.0
1255,BE_Gas,2050,4,9,12,true,0.0
1091,BE_Gas,2050,4,13,16,true,0.0
1092,BE_Gas,2050,4,17,20,true,0.0
1093,BE_Gas,2050,4,21,24,true,0.0
1437,BE_Gas,2050,5,1,4,true,0.0
1438,BE_Gas,2050,5,5,8,true,0.0
1439,BE_Gas,2050,5,9,12,true,0.0
1440,BE_Gas,2050,5,13,16,true,0.0
1441,BE_Gas,2050,5,17,20,true,0.0
1567,BE_Gas,2050,5,21,24,true,0.0
1839,BE_Gas,2050,6,1,4,true,0.0
1840,BE_Gas,2050,6,5,8,true,0.0
1841,BE_Gas,2050,6,9,12,true,0.0
2194,BE_Gas,2050,6,13,16,true,0.0
1842,BE_Gas,2050,6,17,20,true,0.0
1843,BE_Gas,2050,6,21,24,true,0.0
2204,BE_Gas,2050,7,1,4,true,0.0
2205,BE_Gas,2050,7,5,8,true,0.0
2206,BE_Gas,2050,7,9,12,true,0.0
2207,BE_Gas,2050,7,13,16,true,0.0
2208,BE_Gas,2050,7,17,20,true,0.0
2209,BE_Gas,2050,7,21,24,true,0.0
2574,BE_Gas,2050,8,1,4,true,0.0
2575,BE_Gas,2050,8,5,8,true,0.0
2576,BE_Gas,2050,8,9,12,true,0.0
2871,BE_Gas,2050,8,13,16,true,0.0
2577,BE_Gas,2050,8,17,20,true,0.0
2578,BE_Gas,2050,8,21,24,true,0.0
2918,BE_Gas,2050,9,1,4,true,0.0
2919,BE_Gas,2050,9,5,8,true,0.0
2920,BE_Gas,2050,9,9,12,true,0.0
2921,BE_Gas,2050,9,13,16,true,0.0
2922,BE_Gas,2050,9,17,20,true,0.0
2923,BE_Gas,2050,9,21,24,true,0.0
3542,BE_Gas,2050,10,1,4,true,0.0
3495,BE_Gas,2050,10,5,8,true,0.0
3283,BE_Gas,2050,10,9,12,true,0.0
3284,BE_Gas,2050,10,13,16,true,0.0
3285,BE_Gas,2050,10,17,20,true,0.0
3286,BE_Gas,2050,10,21,24,true,0.0
13,BE_OCGT,2050,1,1,4,true,0.0
14,BE_OCGT,2050,1,5,8,true,0.0
15,BE_OCGT,2050,1,9,12,true,0.0
16,BE_OCGT,2050,1,13,16,true,0.0
17,BE_OCGT,2050,1,17,20,true,0.0
18,BE_OCGT,2050,1,21,24,true,0.0
360,BE_OCGT,2050,2,1,4,true,0.0
361,BE_OCGT,2050,2,5,8,true,0.0
362,BE_OCGT,2050,2,9,12,true,0.0
363,BE_OCGT,2050,2,13,16,true,0.0
364,BE_OCGT,2050,2,17,20,true,0.0
365,BE_OCGT,2050,2,21,24,true,0.0
736,BE_OCGT,2050,3,1,4,true,0.0
737,BE_OCGT,2050,3,5,8,true,0.0
738,BE_OCGT,2050,3,9,12,true,0.0
739,BE_OCGT,2050,3,13,16,true,0.0
740,BE_OCGT,2050,3,17,20,true,0.0
741,BE_OCGT,2050,3,21,24,true,0.0
1396,BE_OCGT,2050,4,1,4,true,0.0
1397,BE_OCGT,2050,4,5,8,true,0.0
1398,BE_OCGT,2050,4,9,12,true,0.0
1399,BE_OCGT,2050,4,13,16,true,0.0
1400,BE_OCGT,2050,4,17,20,true,0.0
1401,BE_OCGT,2050,4,21,24,true,0.0
1738,BE_OCGT,2050,5,1,4,true,0.0
1739,BE_OCGT,2050,5,5,8,true,0.0
1740,BE_OCGT,2050,5,9,12,true,0.0
1741,BE_OCGT,2050,5,13,16,true,0.0
1742,BE_OCGT,2050,5,17,20,true,0.0
1743,BE_OCGT,2050,5,21,24,true,0.0
2124,BE_OCGT,2050,6,1,4,true,0.0
2125,BE_OCGT,2050,6,5,8,true,0.0
2126,BE_OCGT,2050,6,9,12,true,0.0
2185,BE_OCGT,2050,6,13,16,true,0.0
2127,BE_OCGT,2050,6,17,20,true,0.0
2172,BE_OCGT,2050,6,21,24,true,0.0
2210,BE_OCGT,2050,7,1,4,true,0.0
2211,BE_OCGT,2050,7,5,8,true,0.0
2212,BE_OCGT,2050,7,9,12,true,0.0
2476,BE_OCGT,2050,7,13,16,true,0.0
2213,BE_OCGT,2050,7,17,20,true,0.0
2477,BE_OCGT,2050,7,21,24,true,0.0
2881,BE_OCGT,2050,8,1,4,true,0.0
2882,BE_OCGT,2050,8,5,8,true,0.0
3135,BE_OCGT,2050,8,9,12,true,0.0
3199,BE_OCGT,2050,8,13,16,true,0.0
2883,BE_OCGT,2050,8,17,20,true,0.0
2884,BE_OCGT,2050,8,21,24,true,0.0
2924,BE_OCGT,2050,9,1,4,true,0.0
2925,BE_OCGT,2050,9,5,8,true,0.0
2926,BE_OCGT,2050,9,9,12,true,0.0
2927,BE_OCGT,2050,9,13,16,true,0.0
2928,BE_OCGT,2050,9,17,20,true,0.0
2929,BE_OCGT,2050,9,21,24,true,0.0
3556,BE_OCGT,2050,10,1,4,true,0.0
3557,BE_OCGT,2050,10,5,8,true,0.0
3558,BE_OCGT,2050,10,9,12,true,0.0
3559,BE_OCGT,2050,10,13,16,true,0.0
3656,BE_OCGT,2050,10,17,20,true,0.0
3560,BE_OCGT,2050,10,21,24,true,0.0
197,BG_Coal,2050,1,1,4,true,0.0
198,BG_Coal,2050,1,5,8,true,0.0
266,BG_Coal,2050,1,9,12,true,0.0
199,BG_Coal,2050,1,13,16,true,0.0
200,BG_Coal,2050,1,17,20,true,0.0
201,BG_Coal,2050,1,21,24,true,0.0
680,BG_Coal,2050,2,1,4,true,0.0
564,BG_Coal,2050,2,5,8,true,0.0
687,BG_Coal,2050,2,9,12,true,0.0
565,BG_Coal,2050,2,13,16,true,0.0
566,BG_Coal,2050,2,17,20,true,0.0
567,BG_Coal,2050,2,21,24,true,0.0
913,BG_Coal,2050,3,1,4,true,0.0
914,BG_Coal,2050,3,5,8,true,0.0
915,BG_Coal,2050,3,9,12,true,0.0
979,BG_Coal,2050,3,13,16,true,0.0
980,BG_Coal,2050,3,17,20,true,0.0
981,BG_Coal,2050,3,21,24,true,0.0
1362,BG_Coal,2050,4,1,4,true,0.0
1527,BG_Coal,2050,4,5,8,true,0.0
1363,BG_Coal,2050,4,9,12,true,0.0
1364,BG_Coal,2050,4,13,16,true,0.0
1365,BG_Coal,2050,4,17,20,true,0.0
1366,BG_Coal,2050,4,21,24,true,0.0
1696,BG_Coal,2050,5,1,4,true,0.0
1697,BG_Coal,2050,5,5,8,true,0.0
1698,BG_Coal,2050,5,9,12,true,0.0
1699,BG_Coal,2050,5,13,16,true,0.0
1700,BG_Coal,2050,5,17,20,true,0.0
1701,BG_Coal,2050,5,21,24,true,0.0
2158,BG_Coal,2050,6,1,4,true,0.0
2033,BG_Coal,2050,6,5,8,true,0.0
2034,BG_Coal,2050,6,9,12,true,0.0
2035,BG_Coal,2050,6,13,16,true,0.0
2036,BG_Coal,2050,6,17,20,true,0.0
2037,BG_Coal,2050,6,21,24,true,0.0
2405,BG_Coal,2050,7,1,4,true,0.0
2514,BG_Coal,2050,7,5,8,true,0.0
2406,BG_Coal,2050,7,9,12,true,0.0
2407,BG_Coal,2050,7,13,16,true,0.0
2408,BG_Coal,2050,7,17,20,true,0.0
2409,BG_Coal,2050,7,21,24,true,0.0
2795,BG_Coal,2050,8,1,4,true,0.0
2796,BG_Coal,2050,8,5,8,true,0.0
2797,BG_Coal,2050,8,9,12,true,0.0
2798,BG_Coal,2050,8,13,16,true,0.0
2799,BG_Coal,2050,8,17,20,true,0.0
2800,BG_Coal,2050,8,21,24,true,0.0
3238,BG_Coal,2050,9,1,4,true,0.0
3239,BG_Coal,2050,9,5,8,true,0.0
3240,BG_Coal,2050,9,9,12,true,0.0
3487,BG_Coal,2050,9,13,16,true,0.0
3241,BG_Coal,2050,9,17,20,true,0.0
3242,BG_Coal,2050,9,21,24,true,0.0
3539,BG_Coal,2050,10,1,4,true,0.0
3456,BG_Coal,2050,10,5,8,true,0.0
3457,BG_Coal,2050,10,9,12,true,0.0
3551,BG_Coal,2050,10,13,16,true,0.0
3540,BG_Coal,2050,10,17,20,true,0.0
3458,BG_Coal,2050,10,21,24,true,0.0
343,BG_Gas,2050,1,1,4,true,0.0
344,BG_Gas,2050,1,5,8,true,0.0
345,BG_Gas,2050,1,9,12,true,0.0
346,BG_Gas,2050,1,13,16,true,0.0
347,BG_Gas,2050,1,17,20,true,0.0
348,BG_Gas,2050,1,21,24,true,0.0
568,BG_Gas,2050,2,1,4,true,0.0
569,BG_Gas,2050,2,5,8,true,0.0
570,BG_Gas,2050,2,9,12,true,0.0
571,BG_Gas,2050,2,13,16,true,0.0
572,BG_Gas,2050,2,17,20,true,0.0
658,BG_Gas,2050,2,21,24,true,0.0
916,BG_Gas,2050,3,1,4,true,0.0
917,BG_Gas,2050,3,5,8,true,0.0
982,BG_Gas,2050,3,9,12,true,0.0
918,BG_Gas,2050,3,13,16,true,0.0
919,BG_Gas,2050,3,17,20,true,0.0
983,BG_Gas,2050,3,21,24,true,0.0
1528,BG_Gas,2050,4,1,4,true,0.0
1367,BG_Gas,2050,4,5,8,true,0.0
1368,BG_Gas,2050,4,9,12,true,0.0
1369,BG_Gas,2050,4,13,16,true,0.0
1370,BG_Gas,2050,4,17,20,true,0.0
1371,BG_Gas,2050,4,21,24,true,0.0
1702,BG_Gas,2050,5,1,4,true,0.0
1703,BG_Gas,2050,5,5,8,true,0.0
1704,BG_Gas,2050,5,9,12,true,0.0
1705,BG_Gas,2050,5,13,16,true,0.0
1706,BG_Gas,2050,5,17,20,true,0.0
1707,BG_Gas,2050,5,21,24,true,0.0
2193,BG_Gas,2050,6,1,4,true,0.0
2038,BG_Gas,2050,6,5,8,true,0.0
2039,BG_Gas,2050,6,9,12,true,0.0
2159,BG_Gas,2050,6,13,16,true,0.0
2040,BG_Gas,2050,6,17,20,true,0.0
2041,BG_Gas,2050,6,21,24,true,0.0
2438,BG_Gas,2050,7,1,4,true,0.0
2439,BG_Gas,2050,7,5,8,true,0.0
2440,BG_Gas,2050,7,9,12,true,0.0
2441,BG_Gas,2050,7,13,16,true,0.0
2519,BG_Gas,2050,7,17,20,true,0.0
2442,BG_Gas,2050,7,21,24,true,0.0
2852,BG_Gas,2050,8,1,4,true,0.0
2853,BG_Gas,2050,8,5,8,true,0.0
2801,BG_Gas,2050,8,9,12,true,0.0
2866,BG_Gas,2050,8,13,16,true,0.0
2867,BG_Gas,2050,8,17,20,true,0.0
2802,BG_Gas,2050,8,21,24,true,0.0
3243,BG_Gas,2050,9,1,4,true,0.0
3244,BG_Gas,2050,9,5,8,true,0.0
3245,BG_Gas,2050,9,9,12,true,0.0
3488,BG_Gas,2050,9,13,16,true,0.0
3246,BG_Gas,2050,9,17,20,true,0.0
3247,BG_Gas,2050,9,21,24,true,0.0
3459,BG_Gas,2050,10,1,4,true,0.0
3460,BG_Gas,2050,10,5,8,true,0.0
3461,BG_Gas,2050,10,9,12,true,0.0
3462,BG_Gas,2050,10,13,16,true,0.0
3463,BG_Gas,2050,10,17,20,true,0.0
3464,BG_Gas,2050,10,21,24,true,0.0
265,BG_Nuclear,2050,1,1,4,true,0.0
193,BG_Nuclear,2050,1,5,8,true,0.0
194,BG_Nuclear,2050,1,9,12,true,0.0
195,BG_Nuclear,2050,1,13,16,true,0.0
289,BG_Nuclear,2050,1,17,20,true,0.0
196,BG_Nuclear,2050,1,21,24,true,0.0
657,BG_Nuclear,2050,2,1,4,true,0.0
559,BG_Nuclear,2050,2,5,8,true,0.0
560,BG_Nuclear,2050,2,9,12,true,0.0
561,BG_Nuclear,2050,2,13,16,true,0.0
562,BG_Nuclear,2050,2,17,20,true,0.0
563,BG_Nuclear,2050,2,21,24,true,0.0
908,BG_Nuclear,2050,3,1,4,true,0.0
909,BG_Nuclear,2050,3,5,8,true,0.0
910,BG_Nuclear,2050,3,9,12,true,0.0
989,BG_Nuclear,2050,3,13,16,true,0.0
911,BG_Nuclear,2050,3,17,20,true,0.0
912,BG_Nuclear,2050,3,21,24,true,0.0
1356,BG_Nuclear,2050,4,1,4,true,0.0
1357,BG_Nuclear,2050,4,5,8,true,0.0
1358,BG_Nuclear,2050,4,9,12,true,0.0
1359,BG_Nuclear,2050,4,13,16,true,0.0
1360,BG_Nuclear,2050,4,17,20,true,0.0
1361,BG_Nuclear,2050,4,21,24,true,0.0
1691,BG_Nuclear,2050,5,1,4,true,0.0
1801,BG_Nuclear,2050,5,5,8,true,0.0
1692,BG_Nuclear,2050,5,9,12,true,0.0
1693,BG_Nuclear,2050,5,13,16,true,0.0
1694,BG_Nuclear,2050,5,17,20,true,0.0
1695,BG_Nuclear,2050,5,21,24,true,0.0
2027,BG_Nuclear,2050,6,1,4,true,0.0
2028,BG_Nuclear,2050,6,5,8,true,0.0
2029,BG_Nuclear,2050,6,9,12,true,0.0
2030,BG_Nuclear,2050,6,13,16,true,0.0
2031,BG_Nuclear,2050,6,17,20,true,0.0
2032,BG_Nuclear,2050,6,21,24,true,0.0
2401,BG_Nuclear,2050,7,1,4,true,0.0
2402,BG_Nuclear,2050,7,5,8,true,0.0
