id,asset,year,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,4,387956.4677325846
2,AT_Hydro_Reservoir,2050,5,8,398123.3252196004
3,AT_Hydro_Reservoir,2050,9,12,407579.79295218503
4,AT_Hydro_Reservoir,2050,13,16,417036.26068476966
5,AT_Hydro_Reservoir,2050,17,20,371758.8565522807
6,AT_Hydro_Reservoir,2050,21,24,352109.37635166914
7,AT_Hydro_Reservoir,2050,25,28,360928.7023051857
8,AT_Hydro_Reservoir,2050,29,32,370883.1791991788
9,AT_Hydro_Reservoir,2050,33,36,351233.69899856724
10,AT_Hydro_Reservoir,2050,37,40,361400.556485583
11,AT_Hydro_Reservoir,2050,41,44,331174.13548110065
12,AT_Hydro_Reservoir,2050,45,48,286819.5016960656
13,AT_Hydro_Reservoir,2050,49,52,297198.73977610405
14,AT_Hydro_Reservoir,2050,53,56,308288.36761057365
15,AT_Hydro_Reservoir,2050,57,60,317107.69356409024
16,AT_Hydro_Reservoir,2050,61,64,326139.4001106295
17,AT_Hydro_Reservoir,2050,65,68,316321.9989449189
18,AT_Hydro_Reservoir,2050,69,72,266111.3192877102
19,AT_Hydro_Reservoir,2050,73,76,237020.04922370435
20,AT_Hydro_Reservoir,2050,77,80,203242.35624254
21,AT_Hydro_Reservoir,2050,81,84,180007.13205070785
22,AT_Hydro_Reservoir,2050,85,88,191096.75988517748
23,AT_Hydro_Reservoir,2050,89,92,201475.99796521594
24,AT_Hydro_Reservoir,2050,93,96,193504.13749441304
25,AT_Hydro_Reservoir,2050,97,100,143293.4578372043
26,AT_Hydro_Reservoir,2050,101,104,91947.62723951905
27,AT_Hydro_Reservoir,2050,105,108,62856.357175513214
28,AT_Hydro_Reservoir,2050,109,112,12645.677518304487
29,AT_Hydro_Reservoir,2050,113,116,0.0
30,AT_Hydro_Reservoir,2050,117,120,45616.63963064251
31,AT_Hydro_Reservoir,2050,121,124,93059.77620402684
32,AT_Hydro_Reservoir,2050,125,128,140971.04689727174
33,AT_Hydro_Reservoir,2050,129,132,188882.3175905166
34,AT_Hydro_Reservoir,2050,133,136,235857.3200440404
35,AT_Hydro_Reservoir,2050,137,140,283300.45661742473
36,AT_Hydro_Reservoir,2050,141,144,329339.1908312274
37,AT_Hydro_Reservoir,2050,145,148,375846.0591648906
38,AT_Hydro_Reservoir,2050,149,152,423757.3298581355
39,AT_Hydro_Reservoir,2050,153,156,471668.60055138037
40,AT_Hydro_Reservoir,2050,157,160,519579.87124462525
41,AT_Hydro_Reservoir,2050,161,164,521846.8430279255
42,AT_Hydro_Reservoir,2050,165,168,566105.1198356868
43,AT_Hydro_Reservoir,2050,169,172,567013.7287961058
44,AT_Hydro_Reservoir,2050,173,176,582668.9699399793
45,AT_Hydro_Reservoir,2050,177,180,569721.1754199648
46,AT_Hydro_Reservoir,2050,181,184,556773.3808999504
47,AT_Hydro_Reservoir,2050,185,188,571538.3933408031
48,AT_Hydro_Reservoir,2050,189,192,600159.8092620893
49,AT_Hydro_Reservoir,2050,193,196,587212.0147420749
50,AT_Hydro_Reservoir,2050,197,200,588120.623702494
51,AT_Hydro_Reservoir,2050,201,204,602885.6361433467
52,AT_Hydro_Reservoir,2050,205,208,631507.0520646329
53,AT_Hydro_Reservoir,2050,209,212,673984.8714663527
54,AT_Hydro_Reservoir,2050,213,216,661037.0769463383
55,AT_Hydro_Reservoir,2050,217,220,648089.2824263239
56,AT_Hydro_Reservoir,2050,221,224,635141.4879063094
57,AT_Hydro_Reservoir,2050,225,228,649906.5003471621
