id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_E_Balance,2050,1,1,6,62.01000000000002
2,AT_E_Balance,2050,1,7,12,-0.0
3,AT_E_Balance,2050,1,13,18,-0.0
4,AT_E_Balance,2050,1,19,24,62.01000000000002
5,AT_E_Balance,2050,2,1,6,-0.0
6,AT_E_Balance,2050,2,7,12,-0.0
7,AT_E_Balance,2050,2,13,18,-0.0
8,AT_E_Balance,2050,2,19,24,-0.0
9,AT_E_Balance,2050,3,1,6,33.93000000000001
10,AT_E_Balance,2050,3,7,12,33.93000000000001
11,AT_E_Balance,2050,3,13,18,30.420000000000016
12,AT_E_Balance,2050,3,19,24,33.93000000000001
13,AT_E_Balance,2050,4,1,6,-0.0
14,AT_E_Balance,2050,4,7,12,-0.0
15,AT_E_Balance,2050,4,13,18,-0.0
16,AT_E_Balance,2050,4,19,24,-0.0
17,AT_E_Balance,2050,5,1,6,-0.0
18,AT_E_Balance,2050,5,7,12,-0.0
19,AT_E_Balance,2050,5,13,18,-0.0
20,AT_E_Balance,2050,5,19,24,-0.0
21,AT_E_Balance,2050,6,1,6,21.060000000000006
22,AT_E_Balance,2050,6,7,12,-0.0
23,AT_E_Balance,2050,6,13,18,-0.0
24,AT_E_Balance,2050,6,19,24,21.06000000000001
25,AT_E_Balance,2050,7,1,6,43.289999999999964
26,AT_E_Balance,2050,7,7,12,15.318000000000001
27,AT_E_Balance,2050,7,13,18,8.501456678905296
28,AT_E_Balance,2050,7,19,24,43.29000000000001
29,AT_E_Balance,2050,8,1,6,-0.0
30,AT_E_Balance,2050,8,7,12,-0.0
31,AT_E_Balance,2050,8,13,18,-0.0
32,AT_E_Balance,2050,8,19,24,-0.0
33,AT_E_Balance,2050,9,1,6,5.099114338762262
34,AT_E_Balance,2050,9,7,12,-0.0
35,AT_E_Balance,2050,9,13,18,-0.0
36,AT_E_Balance,2050,9,19,24,5.099114338762262
37,AT_E_Balance,2050,10,1,6,58.65187499999999
38,AT_E_Balance,2050,10,7,12,53.82000000000002
39,AT_E_Balance,2050,10,13,18,53.82000000000002
40,AT_E_Balance,2050,10,19,24,62.03178351059456
