id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
1,AT_Battery,2050,1,1,6,0.0
2,AT_Battery,2050,1,7,12,0.0
3,AT_Battery,2050,1,13,18,0.0
4,AT_Battery,2050,1,19,24,0.0
5,AT_Battery,2050,2,1,6,0.0
6,AT_Battery,2050,2,7,12,0.0
7,AT_Battery,2050,2,13,18,-0.0
8,AT_Battery,2050,2,19,24,0.0
9,AT_Battery,2050,3,1,6,0.0
10,AT_Battery,2050,3,7,12,0.0
11,AT_Battery,2050,3,13,18,0.0
12,AT_Battery,2050,3,19,24,0.0
13,AT_Battery,2050,4,1,6,0.0
14,AT_Battery,2050,4,7,12,0.0
15,AT_Battery,2050,4,13,18,0.0
16,AT_Battery,2050,4,19,24,0.0
17,AT_Battery,2050,5,1,6,0.0
18,AT_Battery,2050,5,7,12,-0.0
19,AT_Battery,2050,5,13,18,-0.0
20,AT_Battery,2050,5,19,24,0.0
21,AT_Battery,2050,6,1,6,0.0
22,AT_Battery,2050,6,7,12,0.0
23,AT_Battery,2050,6,13,18,-0.0
24,AT_Battery,2050,6,19,24,0.0
25,AT_Battery,2050,7,1,6,0.0
26,AT_Battery,2050,7,7,12,0.0
27,AT_Battery,2050,7,13,18,0.0
28,AT_Battery,2050,7,19,24,0.0
29,AT_Battery,2050,8,1,6,0.0
30,AT_Battery,2050,8,7,12,-0.0
31,AT_Battery,2050,8,13,18,-0.0
32,AT_Battery,2050,8,19,24,0.0
33,AT_Battery,2050,9,1,6,0.0
34,AT_Battery,2050,9,7,12,-0.0
35,AT_Battery,2050,9,13,18,-0.0
36,AT_Battery,2050,9,19,24,0.0
37,AT_Battery,2050,10,1,6,0.0
38,AT_Battery,2050,10,7,12,0.0
39,AT_Battery,2050,10,13,18,0.0
40,AT_Battery,2050,10,19,24,0.0
41,AT_Pump_Hydro_Closed,2050,1,1,6,0.0
42,AT_Pump_Hydro_Closed,2050,1,7,12,-47.47640625000001
43,AT_Pump_Hydro_Closed,2050,1,13,18,-47.47640625000001
44,AT_Pump_Hydro_Closed,2050,1,19,24,0.0
45,AT_Pump_Hydro_Closed,2050,2,1,6,0.0
46,AT_Pump_Hydro_Closed,2050,2,7,12,0.0
47,AT_Pump_Hydro_Closed,2050,2,13,18,0.0
48,AT_Pump_Hydro_Closed,2050,2,19,24,0.0
49,AT_Pump_Hydro_Closed,2050,3,1,6,0.0
50,AT_Pump_Hydro_Closed,2050,3,7,12,0.0
51,AT_Pump_Hydro_Closed,2050,3,13,18,0.0
52,AT_Pump_Hydro_Closed,2050,3,19,24,0.0
53,AT_Pump_Hydro_Closed,2050,4,1,6,0.0
54,AT_Pump_Hydro_Closed,2050,4,7,12,0.0
55,AT_Pump_Hydro_Closed,2050,4,13,18,0.0
56,AT_Pump_Hydro_Closed,2050,4,19,24,0.0
57,AT_Pump_Hydro_Closed,2050,5,1,6,-3.108624468950438e-14
58,AT_Pump_Hydro_Closed,2050,5,7,12,0.0
59,AT_Pump_Hydro_Closed,2050,5,13,18,0.0
60,AT_Pump_Hydro_Closed,2050,5,19,24,0.0
61,AT_Pump_Hydro_Closed,2050,6,1,6,0.0
62,AT_Pump_Hydro_Closed,2050,6,7,12,-16.12406250000001
63,AT_Pump_Hydro_Closed,2050,6,13,18,-16.12406250000001
64,AT_Pump_Hydro_Closed,2050,6,19,24,0.0
65,AT_Pump_Hydro_Closed,2050,7,1,6,0.0
66,AT_Pump_Hydro_Closed,2050,7,7,12,-17.825906249999985
67,AT_Pump_Hydro_Closed,2050,7,13,18,-24.64244957109469
68,AT_Pump_Hydro_Closed,2050,7,19,24,0.0
69,AT_Pump_Hydro_Closed,2050,8,1,6,0.0
70,AT_Pump_Hydro_Closed,2050,8,7,12,0.0
71,AT_Pump_Hydro_Closed,2050,8,13,18,0.0
72,AT_Pump_Hydro_Closed,2050,8,19,24,-0.0
73,AT_Pump_Hydro_Closed,2050,9,1,6,0.0
74,AT_Pump_Hydro_Closed,2050,9,7,12,-3.9040094156148557
75,AT_Pump_Hydro_Closed,2050,9,13,18,-3.9040094156148557
76,AT_Pump_Hydro_Closed,2050,9,19,24,0.0
77,AT_Pump_Hydro_Closed,2050,10,1,6,0.0
78,AT_Pump_Hydro_Closed,2050,10,7,12,0.0
79,AT_Pump_Hydro_Closed,2050,10,13,18,0.0
80,AT_Pump_Hydro_Closed,2050,10,19,24,0.0
81,AT_Pump_Hydro_Open,2050,1,1,6,0.0
82,AT_Pump_Hydro_Open,2050,1,7,12,0.0
83,AT_Pump_Hydro_Open,2050,1,13,18,0.0
84,AT_Pump_Hydro_Open,2050,1,19,24,0.0
85,AT_Pump_Hydro_Open,2050,2,1,6,-7.947279297808173
86,AT_Pump_Hydro_Open,2050,2,7,12,-7.947279297808173
87,AT_Pump_Hydro_Open,2050,2,13,18,-7.947279297808173
88,AT_Pump_Hydro_Open,2050,2,19,24,-7.947279297808173
89,AT_Pump_Hydro_Open,2050,3,1,6,0.0
90,AT_Pump_Hydro_Open,2050,3,7,12,0.0
91,AT_Pump_Hydro_Open,2050,3,13,18,0.0
92,AT_Pump_Hydro_Open,2050,3,19,24,0.0
93,AT_Pump_Hydro_Open,2050,4,1,6,0.0
94,AT_Pump_Hydro_Open,2050,4,7,12,0.0
95,AT_Pump_Hydro_Open,2050,4,13,18,0.0
96,AT_Pump_Hydro_Open,2050,4,19,24,0.0
97,AT_Pump_Hydro_Open,2050,5,1,6,0.0
98,AT_Pump_Hydro_Open,2050,5,7,12,0.0
99,AT_Pump_Hydro_Open,2050,5,13,18,-0.0
100,AT_Pump_Hydro_Open,2050,5,19,24,0.0
101,AT_Pump_Hydro_Open,2050,6,1,6,0.0
102,AT_Pump_Hydro_Open,2050,6,7,12,0.0
103,AT_Pump_Hydro_Open,2050,6,13,18,0.0
104,AT_Pump_Hydro_Open,2050,6,19,24,0.0
105,AT_Pump_Hydro_Open,2050,7,1,6,0.0
106,AT_Pump_Hydro_Open,2050,7,7,12,0.0
107,AT_Pump_Hydro_Open,2050,7,13,18,0.0
108,AT_Pump_Hydro_Open,2050,7,19,24,0.0
109,AT_Pump_Hydro_Open,2050,8,1,6,0.0
110,AT_Pump_Hydro_Open,2050,8,7,12,0.0
111,AT_Pump_Hydro_Open,2050,8,13,18,-0.0
112,AT_Pump_Hydro_Open,2050,8,19,24,0.0
113,AT_Pump_Hydro_Open,2050,9,1,6,0.0
114,AT_Pump_Hydro_Open,2050,9,7,12,-5.099114338762262
115,AT_Pump_Hydro_Open,2050,9,13,18,-5.099114338762262
116,AT_Pump_Hydro_Open,2050,9,19,24,0.0
117,AT_Pump_Hydro_Open,2050,10,1,6,0.0
118,AT_Pump_Hydro_Open,2050,10,7,12,0.0
119,AT_Pump_Hydro_Open,2050,10,13,18,0.0
120,AT_Pump_Hydro_Open,2050,10,19,24,0.0
121,BE_Battery,2050,1,1,6,0.0
122,BE_Battery,2050,1,7,12,0.0
123,BE_Battery,2050,1,13,18,-0.0
124,BE_Battery,2050,1,19,24,0.0
125,BE_Battery,2050,2,1,6,-0.0
126,BE_Battery,2050,2,7,12,0.0
127,BE_Battery,2050,2,13,18,-0.0
128,BE_Battery,2050,2,19,24,0.0
129,BE_Battery,2050,3,1,6,-0.0
130,BE_Battery,2050,3,7,12,-0.0
131,BE_Battery,2050,3,13,18,-0.0
132,BE_Battery,2050,3,19,24,-0.0
133,BE_Battery,2050,4,1,6,-0.0
134,BE_Battery,2050,4,7,12,-0.0
135,BE_Battery,2050,4,13,18,-0.0
136,BE_Battery,2050,4,19,24,-0.0
137,BE_Battery,2050,5,1,6,-0.0
138,BE_Battery,2050,5,7,12,-0.0
139,BE_Battery,2050,5,13,18,-0.0
140,BE_Battery,2050,5,19,24,-0.0
141,BE_Battery,2050,6,1,6,0.0
142,BE_Battery,2050,6,7,12,0.0
143,BE_Battery,2050,6,13,18,-0.0
144,BE_Battery,2050,6,19,24,0.0
145,BE_Battery,2050,7,1,6,0.0
146,BE_Battery,2050,7,7,12,0.0
147,BE_Battery,2050,7,13,18,0.0
148,BE_Battery,2050,7,19,24,0.0
149,BE_Battery,2050,8,1,6,-0.0
150,BE_Battery,2050,8,7,12,-0.0
151,BE_Battery,2050,8,13,18,-0.0
152,BE_Battery,2050,8,19,24,-0.0
153,BE_Battery,2050,9,1,6,-0.0
154,BE_Battery,2050,9,7,12,-0.0
155,BE_Battery,2050,9,13,18,-0.0
156,BE_Battery,2050,9,19,24,0.0
157,BE_Battery,2050,10,1,6,0.0
158,BE_Battery,2050,10,7,12,0.0
159,BE_Battery,2050,10,13,18,0.0
160,BE_Battery,2050,10,19,24,0.0
161,BG_Pump_Hydro_Closed,2050,1,1,6,0.0
162,BG_Pump_Hydro_Closed,2050,1,7,12,-47.47640625000002
163,BG_Pump_Hydro_Closed,2050,1,13,18,-25.534406250000018
164,BG_Pump_Hydro_Closed,2050,1,19,24,0.0
165,BG_Pump_Hydro_Closed,2050,2,1,6,0.0
166,BG_Pump_Hydro_Closed,2050,2,7,12,-0.0
167,BG_Pump_Hydro_Closed,2050,2,13,18,0.0
168,BG_Pump_Hydro_Closed,2050,2,19,24,0.0
169,BG_Pump_Hydro_Closed,2050,3,1,6,0.0
170,BG_Pump_Hydro_Closed,2050,3,7,12,0.0
171,BG_Pump_Hydro_Closed,2050,3,13,18,0.0
172,BG_Pump_Hydro_Closed,2050,3,19,24,0.0
173,BG_Pump_Hydro_Closed,2050,4,1,6,0.0
