id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,1,6,199485.56378092276
2,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,7,12,231110.6815859804
3,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,13,18,242171.5614378797
4,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,19,24,212967.31199023523
5,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,1,6,0.0
6,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,7,12,0.0
7,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,13,18,0.0
8,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,19,24,0.0
9,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,1,6,169155.33717132075
10,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,7,12,114839.01250867925
11,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,13,18,117029.646
12,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,19,24,186727.07366188685
13,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,1,6,17279.821671745925
14,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,7,12,15415.149950239751
15,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,13,18,17141.770343792206
16,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,19,24,20735.93802787327
17,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,1,6,53.328235928150924
18,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,7,12,76248.3849334981
19,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,13,18,120688.52951496816
20,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,19,24,8253.603430992905
21,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,1,6,0.0
22,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,7,12,0.0
23,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,13,18,4563.1762652705065
24,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,19,24,-0.0
25,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,1,6,-0.0
26,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,7,12,4161.730833333333
27,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,13,18,0.0
28,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,19,24,0.0
29,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,1,6,1.528456373812847e-13
30,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,7,12,-4.547473508864641e-13
31,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,13,18,0.0
32,NL_Gas,NL_E_Balance,2050,1,1.0,1.0,19,24,0.0
33,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,1,6,0.0
34,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,7,12,0.0
35,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,13,18,0.0
36,NL_OCGT,NL_E_Balance,2050,1,1.0,1.0,19,24,0.0
37,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,1,6,134810.61109538918
38,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,7,12,170553.49567870508
39,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,13,18,175845.6318058661
40,BE_E_Balance,BE_E_Demand,2050,1,1.0,1.0,19,24,159369.38498652753
41,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,1,6,1393.964822725477
42,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,7,12,852.0173499960582
43,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,13,18,0.0
44,BE_E_ENS,BE_E_Demand,2050,1,1.0,1.0,19,24,5249.285890110041
45,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,1,6,116753.32211886795
46,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,7,12,87027.39781924525
47,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,13,18,67412.88917533003
48,BE_Wind_Onshore,BE_E_Balance,2050,1,1.0,1.0,19,24,119094.70766377362
