id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Wind_Onshore,2050,true,49.0,,505.0
2,NL_Wind_Offshore,2050,true,49.0,,0.0
3,NL_Coal,2050,true,824.0,,5.0
4,NL_Nuclear,2050,true,2095.0,,0.0
5,NL_CCGT,2050,true,357.0,,6.0
6,NL_OCGT,2050,true,357.0,,5.0
7,NL_Battery,2050,false,100.0,,0.05945281247382809
8,BE_Solar,2050,true,18.0,,331.0
9,BE_Wind_Onshore,2050,true,49.0,,399.0
10,BE_Coal,2050,true,824.0,,3.0
11,BE_Nuclear,2050,true,2095.0,,0.0
12,BE_CCGT,2050,true,357.0,,4.0
13,BE_OCGT,2050,true,357.0,,4.0
14,BE_Battery,2050,false,100.0,,0.9290560538934005
15,DE_Solar,2050,true,18.0,,2009.0
16,DE_Wind_Offshore,2050,true,49.0,,0.0
17,DE_Coal,2050,true,824.0,,26.0
18,DE_Nuclear,2050,true,2095.0,,0.0
19,DE_CCGT,2050,true,357.0,,25.0
20,DE_OCGT,2050,true,357.0,,30.0
21,DE_Battery,2050,false,100.0,,0.4101741770634544
22,FR_Solar,2050,true,18.0,,1308.0
23,FR_Wind_Onshore,2050,true,49.0,,2310.0
24,FR_Wind_Offshore,2050,true,49.0,,0.0
25,FR_Coal,2050,true,824.0,,6.0
26,FR_CCGT,2050,true,357.0,,29.0
27,FR_OCGT,2050,true,357.0,,5.0
28,FR_Battery,2050,false,100.0,,24.366920557742123
29,LU_Solar,2050,true,18.0,,34.0
30,LU_Wind_Onshore,2050,true,49.0,,38.0
31,LU_Wind_Offshore,2050,true,49.0,,0.0
32,LU_Coal,2050,true,824.0,,0.0
33,LU_Nuclear,2050,true,2095.0,,0.0
34,LU_CCGT,2050,true,357.0,,1.0
35,LU_OCGT,2050,true,357.0,,0.0
36,LU_Battery,2050,false,100.0,,0.8809956559975501
37,CH_Solar,2050,true,18.0,,405.0
38,CH_Wind_Onshore,2050,true,49.0,,223.0
39,CH_Wind_Offshore,2050,true,49.0,,0.0
40,CH_Coal,2050,true,824.0,,5.0
41,CH_Nuclear,2050,true,2095.0,,0.0
42,CH_OCGT,2050,true,357.0,,5.0
43,CH_Battery,2050,false,100.0,,1.2294825245434367
44,UK_Solar,2050,true,18.0,,0.0
45,UK_Coal,2050,true,824.0,,0.0
46,UK_Nuclear,2050,true,2095.0,,0.0
47,UK_CCGT,2050,true,357.0,,21.0
48,UK_OCGT,2050,true,357.0,,13.0
49,UK_Battery,2050,false,100.0,,9.219550900402973
50,DK_Solar,2050,true,18.0,,180.0
51,DK_Wind_Offshore,2050,true,49.0,,0.0
52,DK_Coal,2050,true,824.0,,1.0
53,DK_Nuclear,2050,true,2095.0,,0.0
54,DK_OCGT,2050,true,357.0,,1.0
55,DK_Battery,2050,false,100.0,,0.08957092316664785
56,NO_Solar,2050,true,18.0,,0.0
57,NO_Wind_Onshore,2050,true,49.0,,739.0
58,NO_Wind_Offshore,2050,true,49.0,,0.0
59,NO_Nuclear,2050,true,2095.0,,0.0
60,NO_CCGT,2050,true,357.0,,9.0
61,NO_OCGT,2050,true,357.0,,2.0
62,NO_Battery,2050,false,100.0,,0.6795728952488571
63,IE_Solar,2050,true,18.0,,0.0
64,IE_Wind_Onshore,2050,true,49.0,,166.0
65,IE_Wind_Offshore,2050,true,49.0,,0.0
66,IE_Coal,2050,true,824.0,,0.0
67,IE_Nuclear,2050,true,2095.0,,0.0
68,IE_CCGT,2050,true,357.0,,2.0
69,IE_OCGT,2050,true,357.0,,2.0
70,SE_Wind_Onshore,2050,true,49.0,,685.0
71,SE_Coal,2050,true,824.0,,4.0
72,SE_Nuclear,2050,true,2095.0,,0.0
