id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,3,498.87837321952316
2,AT_Battery,2050,1,4,6,498.87837321952316
3,AT_Battery,2050,1,7,9,0.0
4,AT_Battery,2050,1,10,12,0.0
5,AT_Battery,2050,1,13,15,498.87837321952316
6,AT_Battery,2050,1,16,18,195.89452335084917
7,AT_Battery,2050,1,19,21,0.0
8,AT_Battery,2050,1,22,24,0.0
9,AT_Battery,2050,2,1,3,0.0
10,AT_Battery,2050,2,4,6,0.0
11,AT_Battery,2050,2,7,9,0.0
12,AT_Battery,2050,2,10,12,0.0
13,AT_Battery,2050,2,13,15,0.0
14,AT_Battery,2050,2,16,18,0.0
15,AT_Battery,2050,2,19,21,0.0
16,AT_Battery,2050,2,22,24,0.0
17,AT_Battery,2050,3,1,3,0.0
18,AT_Battery,2050,3,4,6,498.87837321952316
19,AT_Battery,2050,3,7,9,498.87837321952316
20,AT_Battery,2050,3,10,12,498.87837321952316
21,AT_Battery,2050,3,13,15,498.87837321952316
22,AT_Battery,2050,3,16,18,0.0
23,AT_Battery,2050,3,19,21,0.0
24,AT_Battery,2050,3,22,24,0.0
25,AT_Battery,2050,4,1,3,0.0
26,AT_Battery,2050,4,4,6,498.87837321952316
27,AT_Battery,2050,4,7,9,498.87837321952316
28,AT_Battery,2050,4,10,12,498.87837321952316
29,AT_Battery,2050,4,13,15,498.87837321952316
30,AT_Battery,2050,4,16,18,13.081469880777604
31,AT_Battery,2050,4,19,21,0.0
32,AT_Battery,2050,4,22,24,0.0
33,AT_Battery,2050,5,1,3,0.0
34,AT_Battery,2050,5,4,6,0.0
35,AT_Battery,2050,5,7,9,498.87837321952316
36,AT_Battery,2050,5,10,12,498.87837321952316
37,AT_Battery,2050,5,13,15,498.87837321952316
38,AT_Battery,2050,5,16,18,247.7529237838926
39,AT_Battery,2050,5,19,21,0.0
40,AT_Battery,2050,5,22,24,0.0
41,AT_Battery,2050,6,1,3,0.0
42,AT_Battery,2050,6,4,6,0.0
43,AT_Battery,2050,6,7,9,498.87837321952316
44,AT_Battery,2050,6,10,12,498.87837321952316
45,AT_Battery,2050,6,13,15,498.87837321952316
46,AT_Battery,2050,6,16,18,498.87837321952316
47,AT_Battery,2050,6,19,21,0.0
48,AT_Battery,2050,6,22,24,0.0
49,AT_Battery,2050,7,1,3,315.318944858097
