id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,1,3,11105.640170391516
2,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,4,6,11554.397570422721
3,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,7,9,12864.749326470412
4,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,10,12,13387.660460911105
5,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,13,15,13713.067909312414
6,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,16,18,13795.77342198727
7,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,19,21,12941.121528798114
8,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,22,24,11250.33992732153
9,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,1,3,9036.928499138718
10,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,4,6,8369.15569579019
11,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,7,9,7073.820433147472
12,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,10,12,4743.113953995622
13,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,13,15,5298.306778676375
14,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,16,18,6744.043794723624
15,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,19,21,8460.175770727243
16,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,22,24,10754.040109080906
17,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,1,3,0.0
18,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,4,6,0.0
19,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,7,9,0.0
20,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,10,12,0.0
21,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,13,15,0.0
22,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,16,18,0.0
