id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,3,482.72602183483247
2,AT_Battery,2050,1,4,6,482.7260218348324
3,AT_Battery,2050,1,7,9,0.0
4,AT_Battery,2050,1,10,12,7.003660979391343
5,AT_Battery,2050,1,13,15,482.7260218348324
6,AT_Battery,2050,1,16,18,215.05149747969665
7,AT_Battery,2050,1,19,21,0.0
8,AT_Battery,2050,1,22,24,0.0
9,AT_Battery,2050,2,1,3,0.0
10,AT_Battery,2050,2,4,6,482.72602183483247
11,AT_Battery,2050,2,7,9,0.0
12,AT_Battery,2050,2,10,12,0.0
13,AT_Battery,2050,2,13,15,0.0
14,AT_Battery,2050,2,16,18,0.0
15,AT_Battery,2050,2,19,21,0.0
16,AT_Battery,2050,2,22,24,0.0
17,AT_Battery,2050,3,1,3,0.0
18,AT_Battery,2050,3,4,6,482.7260218348324
19,AT_Battery,2050,3,7,9,0.0
20,AT_Battery,2050,3,10,12,482.72602183483247
21,AT_Battery,2050,3,13,15,482.72602183483247
22,AT_Battery,2050,3,16,18,0.0
23,AT_Battery,2050,3,19,21,0.0
24,AT_Battery,2050,3,22,24,0.0
25,AT_Battery,2050,4,1,3,482.72602183483247
26,AT_Battery,2050,4,4,6,482.7260218348324
27,AT_Battery,2050,4,7,9,482.7260218348324
28,AT_Battery,2050,4,10,12,482.7260218348324
29,AT_Battery,2050,4,13,15,482.7260218348324
30,AT_Battery,2050,4,16,18,20.349896100998933
31,AT_Battery,2050,4,19,21,0.0
32,AT_Battery,2050,4,22,24,0.0
33,AT_Battery,2050,5,1,3,482.72602183483247
34,AT_Battery,2050,5,4,6,482.72602183483247
35,AT_Battery,2050,5,7,9,0.0
36,AT_Battery,2050,5,10,12,482.7260218348324
37,AT_Battery,2050,5,13,15,482.7260218348324
38,AT_Battery,2050,5,16,18,164.0276824911221
39,AT_Battery,2050,5,19,21,0.0
40,AT_Battery,2050,5,22,24,0.0
41,AT_Battery,2050,6,1,3,0.0
42,AT_Battery,2050,6,4,6,482.72602183483247
43,AT_Battery,2050,6,7,9,0.0
44,AT_Battery,2050,6,10,12,0.0
45,AT_Battery,2050,6,13,15,482.72602183483247
46,AT_Battery,2050,6,16,18,482.72602183483247
47,AT_Battery,2050,6,19,21,0.0
48,AT_Battery,2050,6,22,24,0.0
49,AT_Battery,2050,7,1,3,372.0143913775808
50,AT_Battery,2050,7,4,6,372.0143913775808
51,AT_Battery,2050,7,7,9,0.0
52,AT_Battery,2050,7,10,12,482.72602183483247
53,AT_Battery,2050,7,13,15,482.72602183483247
54,AT_Battery,2050,7,16,18,482.72602183483247
55,AT_Battery,2050,7,19,21,0.0
56,AT_Battery,2050,7,22,24,0.0
57,AT_Battery,2050,8,1,3,0.0
58,AT_Battery,2050,8,4,6,0.0
59,AT_Battery,2050,8,7,9,0.0
60,AT_Battery,2050,8,10,12,0.0
61,AT_Battery,2050,8,13,15,0.0
62,AT_Battery,2050,8,16,18,0.0
63,AT_Battery,2050,8,19,21,0.0
64,AT_Battery,2050,8,22,24,0.0
65,AT_Battery,2050,9,1,3,482.72602183483247
66,AT_Battery,2050,9,4,6,482.7260218348324
67,AT_Battery,2050,9,7,9,482.7260218348324
68,AT_Battery,2050,9,10,12,482.7260218348324
69,AT_Battery,2050,9,13,15,385.52479748790046
70,AT_Battery,2050,9,16,18,385.52479748790046
71,AT_Battery,2050,9,19,21,0.0
72,AT_Battery,2050,9,22,24,0.0
73,AT_Battery,2050,10,1,3,0.0
74,AT_Battery,2050,10,4,6,482.7260218348324
75,AT_Battery,2050,10,7,9,0.0
76,AT_Battery,2050,10,10,12,0.0
77,AT_Battery,2050,10,13,15,449.1662561185222
78,AT_Battery,2050,10,16,18,15.493092889042854
79,AT_Battery,2050,10,19,21,0.0
80,AT_Battery,2050,10,22,24,0.0
81,BE_Battery,2050,1,1,3,32.43071553737394
82,BE_Battery,2050,1,4,6,32.43071553737394
83,BE_Battery,2050,1,7,9,32.43071553737394
84,BE_Battery,2050,1,10,12,0.0
85,BE_Battery,2050,1,13,15,0.0
86,BE_Battery,2050,1,16,18,32.43071553737394
87,BE_Battery,2050,1,19,21,0.0
88,BE_Battery,2050,1,22,24,0.0
89,BE_Battery,2050,2,1,3,32.43071553737394
90,BE_Battery,2050,2,4,6,32.43071553737394
91,BE_Battery,2050,2,7,9,0.0
92,BE_Battery,2050,2,10,12,0.0
93,BE_Battery,2050,2,13,15,32.43071553737394
94,BE_Battery,2050,2,16,18,32.43071553737394
95,BE_Battery,2050,2,19,21,0.0
96,BE_Battery,2050,2,22,24,0.0
97,BE_Battery,2050,3,1,3,32.43071553737394
98,BE_Battery,2050,3,4,6,32.43071553737394
99,BE_Battery,2050,3,7,9,32.43071553737394
100,BE_Battery,2050,3,10,12,32.43071553737394
101,BE_Battery,2050,3,13,15,32.43071553737394
102,BE_Battery,2050,3,16,18,32.43071553737394
103,BE_Battery,2050,3,19,21,32.43071553737394
104,BE_Battery,2050,3,22,24,32.43071553737394
105,BE_Battery,2050,4,1,3,0.0
106,BE_Battery,2050,4,4,6,32.43071553737394
107,BE_Battery,2050,4,7,9,0.0
108,BE_Battery,2050,4,10,12,32.43071553737394
109,BE_Battery,2050,4,13,15,32.43071553737394
110,BE_Battery,2050,4,16,18,32.43071553737394
111,BE_Battery,2050,4,19,21,0.0
112,BE_Battery,2050,4,22,24,0.0
113,BE_Battery,2050,5,1,3,32.43071553737394
114,BE_Battery,2050,5,4,6,32.43071553737394
115,BE_Battery,2050,5,7,9,32.43071553737394
116,BE_Battery,2050,5,10,12,32.43071553737394
117,BE_Battery,2050,5,13,15,32.43071553737394
118,BE_Battery,2050,5,16,18,32.43071553737394
119,BE_Battery,2050,5,19,21,32.43071553737394
120,BE_Battery,2050,5,22,24,32.43071553737394
121,BE_Battery,2050,6,1,3,32.43071553737394
122,BE_Battery,2050,6,4,6,0.0
123,BE_Battery,2050,6,7,9,0.0
124,BE_Battery,2050,6,10,12,0.0
125,BE_Battery,2050,6,13,15,0.0
126,BE_Battery,2050,6,16,18,32.43071553737394
127,BE_Battery,2050,6,19,21,32.43071553737394
128,BE_Battery,2050,6,22,24,0.0
129,BE_Battery,2050,7,1,3,32.43071553737394
130,BE_Battery,2050,7,4,6,32.43071553737394
131,BE_Battery,2050,7,7,9,0.07332320346925858
132,BE_Battery,2050,7,10,12,32.43071553737394
133,BE_Battery,2050,7,13,15,32.43071553737394
134,BE_Battery,2050,7,16,18,0.0
135,BE_Battery,2050,7,19,21,0.0
136,BE_Battery,2050,7,22,24,0.0
137,BE_Battery,2050,8,1,3,0.0
138,BE_Battery,2050,8,4,6,0.0
139,BE_Battery,2050,8,7,9,0.0
140,BE_Battery,2050,8,10,12,0.0
141,BE_Battery,2050,8,13,15,0.0
142,BE_Battery,2050,8,16,18,0.0
143,BE_Battery,2050,8,19,21,0.0
