id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,1,527.425392194893
2,AT_Battery,2050,1,2,2,527.425392194893
3,AT_Battery,2050,1,3,3,1051.206151334898
4,AT_Battery,2050,1,4,4,1051.206151334898
5,AT_Battery,2050,1,5,5,1051.206151334898
6,AT_Battery,2050,1,6,6,1051.206151334898
7,AT_Battery,2050,1,7,7,1050.7986604059179
8,AT_Battery,2050,1,8,8,1050.7986604059179
9,AT_Battery,2050,1,9,9,801.8209213295049
10,AT_Battery,2050,1,10,10,740.9589724772777
11,AT_Battery,2050,1,11,11,462.5735721527526
12,AT_Battery,2050,1,12,12,264.2127411749407
13,AT_Battery,2050,1,13,13,90.34291459154338
14,AT_Battery,2050,1,14,14,0.0
15,AT_Battery,2050,1,15,15,42.23811013607519
16,AT_Battery,2050,1,16,16,33.314230261359626
17,AT_Battery,2050,1,17,17,0.0
18,AT_Battery,2050,1,18,18,0.0
19,AT_Battery,2050,1,19,19,0.0
20,AT_Battery,2050,1,20,20,0.0
21,AT_Battery,2050,1,21,21,0.0
22,AT_Battery,2050,1,22,22,0.0
23,AT_Battery,2050,1,23,23,0.0
24,AT_Battery,2050,1,24,24,0.0
25,AT_Battery,2050,2,1,1,65.95608371345406
26,AT_Battery,2050,2,2,2,224.45013993708926
27,AT_Battery,2050,2,3,3,553.5122158287259
28,AT_Battery,2050,2,4,4,1003.3215805941809
29,AT_Battery,2050,2,5,5,959.147715414545
30,AT_Battery,2050,2,6,6,811.9279507374522
31,AT_Battery,2050,2,7,7,1051.206151334898
32,AT_Battery,2050,2,8,8,1051.206151334898
33,AT_Battery,2050,2,9,9,993.8880094087162
34,AT_Battery,2050,2,10,10,769.4790337043542
35,AT_Battery,2050,2,11,11,258.87725086326463
36,AT_Battery,2050,2,12,12,154.92613284072104
37,AT_Battery,2050,2,13,13,192.4452807498128
38,AT_Battery,2050,2,14,14,417.02449494072425
39,AT_Battery,2050,2,15,15,834.3028371574528
40,AT_Battery,2050,2,16,16,874.4918364839978
41,AT_Battery,2050,2,17,17,774.2754035029084
42,AT_Battery,2050,2,18,18,422.7929454338173
43,AT_Battery,2050,2,19,19,0.0
44,AT_Battery,2050,2,20,20,0.0
45,AT_Battery,2050,2,21,21,0.0
46,AT_Battery,2050,2,22,22,496.8909638912719
47,AT_Battery,2050,2,23,23,0.0
48,AT_Battery,2050,2,24,24,0.0
49,AT_Battery,2050,3,1,1,48.05609430289496
50,AT_Battery,2050,3,2,2,0.0
51,AT_Battery,2050,3,3,3,185.63400213765635
52,AT_Battery,2050,3,4,4,472.21880582110407
53,AT_Battery,2050,3,5,5,838.3471592735168
54,AT_Battery,2050,3,6,6,1035.7476086743409
55,AT_Battery,2050,3,7,7,1051.206151334898
56,AT_Battery,2050,3,8,8,585.9806988600067
57,AT_Battery,2050,3,9,9,922.6637847041457
58,AT_Battery,2050,3,10,10,922.6637847041457
59,AT_Battery,2050,3,11,11,880.3581990426264
60,AT_Battery,2050,3,12,12,816.3992780900735
61,AT_Battery,2050,3,13,13,747.3538117531061
62,AT_Battery,2050,3,14,14,838.0871612499341
