asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
NL_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
BE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
FR_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DK_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
UK_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
IE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CH_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
AT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LU_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CZ_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
PL_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
NO_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
ES_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
PT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
IT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
MT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SI_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
HU_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
SK_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LT_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
LV_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
EE_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
FI_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
HR_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
GR_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
BG_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
RO_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CY_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
OBZLL_E_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
NL_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
BE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
FR_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
DK_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
UK_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
IE_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
CH_H_Demand,0.0,0.0,,0.0,1.0,0,,False,False,none,False,,,0.0,False,False,1.0,consumer,False,False,,
