from_asset,investable,milestone_year,to_asset,variable_cost,reactance,dc_opf
NL_E_Balance,true,2050,NL_E_Demand,0.0,0.3,False
NL_E_ENS,true,2050,NL_E_Demand,1.0,0.3,False
NL_Wind_Onshore,true,2050,NL_E_Balance,0.0,0.3,False
NL_Wind_Offshore,true,2050,NL_E_Balance,0.0,0.3,False
NL_Solar,true,2050,NL_E_Balance,0.0,0.3,False
NL_E_Balance,true,2050,NL_Battery,0.0,0.3,False
NL_Battery,false,2050,NL_E_Balance,0.0,0.3,False
NL_Gas,false,2050,NL_E_Balance,0.079858571,0.3,False
NL_OCGT,false,2050,NL_E_Balance,0.10993,0.3,False
BE_E_Balance,true,2050,BE_E_Demand,0.0,0.3,False
BE_E_ENS,true,2050,BE_E_Demand,1.0,0.3,False
BE_Wind_Onshore,true,2050,BE_E_Balance,0.0,0.3,False
BE_Wind_Offshore,true,2050,BE_E_Balance,0.0,0.3,False
BE_Solar,true,2050,BE_E_Balance,0.0,0.3,False
BE_Hydro,true,2050,BE_E_Balance,0.0,0.3,False
BE_E_Balance,true,2050,BE_Battery,0.0,0.3,False
BE_Battery,false,2050,BE_E_Balance,0.0,0.3,False
BE_Gas,false,2050,BE_E_Balance,0.079858571,0.3,False
BE_OCGT,false,2050,BE_E_Balance,0.10993,0.3,False
DE_E_Balance,true,2050,DE_E_Demand,0.0,0.3,False
DE_E_ENS,true,2050,DE_E_Demand,1.0,0.3,False
DE_Wind_Onshore,true,2050,DE_E_Balance,0.0,0.3,False
DE_Wind_Offshore,true,2050,DE_E_Balance,0.0,0.3,False
DE_Solar,true,2050,DE_E_Balance,0.0,0.3,False
DE_Hydro,true,2050,DE_E_Balance,0.0,0.3,False
DE_Hydro_Reservoir,true,2050,DE_E_Balance,0.0,0.3,False
DE_E_Balance,true,2050,DE_Battery,0.0,0.3,False
DE_Battery,false,2050,DE_E_Balance,0.0,0.3,False
DE_E_Balance,true,2050,DE_Pump_Hydro_Closed,0.0,0.3,False
DE_Pump_Hydro_Closed,true,2050,DE_E_Balance,0.0,0.3,False
DE_E_Balance,true,2050,DE_Pump_Hydro_Open,0.0,0.3,False
DE_Pump_Hydro_Open,true,2050,DE_E_Balance,0.0,0.3,False
DE_Coal,false,2050,DE_E_Balance,0.051035102,0.3,False
DE_Gas,false,2050,DE_E_Balance,0.079858571,0.3,False
DE_OCGT,false,2050,DE_E_Balance,0.10993,0.3,False
FR_E_Balance,true,2050,FR_E_Demand,0.0,0.3,False
FR_E_ENS,true,2050,FR_E_Demand,1.0,0.3,False
FR_Wind_Onshore,true,2050,FR_E_Balance,0.0,0.3,False
FR_Wind_Offshore,true,2050,FR_E_Balance,0.0,0.3,False
FR_Solar,true,2050,FR_E_Balance,0.0,0.3,False
FR_Hydro,true,2050,FR_E_Balance,0.0,0.3,False
FR_Hydro_Reservoir,true,2050,FR_E_Balance,0.0,0.3,False
FR_Nuclear,true,2050,FR_E_Balance,0.0115,0.3,False
FR_E_Balance,true,2050,FR_Pump_Hydro_Closed,0.0,0.3,False
FR_Pump_Hydro_Closed,true,2050,FR_E_Balance,0.0,0.3,False
FR_E_Balance,true,2050,FR_Pump_Hydro_Open,0.0,0.3,False
FR_Pump_Hydro_Open,true,2050,FR_E_Balance,0.0,0.3,False
FR_Gas,false,2050,FR_E_Balance,0.079858571,0.3,False
FR_OCGT,false,2050,FR_E_Balance,0.10993,0.3,False
DK_E_Balance,true,2050,DK_E_Demand,0.0,0.3,False
DK_E_ENS,true,2050,DK_E_Demand,1.0,0.3,False
DK_Wind_Onshore,true,2050,DK_E_Balance,0.0,0.3,False
DK_Wind_Offshore,true,2050,DK_E_Balance,0.0,0.3,False
DK_Solar,true,2050,DK_E_Balance,0.0,0.3,False
DK_Gas,false,2050,DK_E_Balance,0.079858571,0.3,False
DK_OCGT,false,2050,DK_E_Balance,0.10993,0.3,False
