capacity,carrier,discount_rate,economic_lifetime,from_asset,investment_integer,is_transport,technical_lifetime,to_asset
1000.0,electricity,0.0,1.0,NL_E_Balance,True,True,1.0,NL_E_Demand
1000.0,electricity,0.0,1.0,NL_E_ENS,True,True,1.0,NL_E_Demand
1000.0,electricity,0.0,1.0,NL_Wind_Onshore,True,True,1.0,NL_E_Balance
1000.0,electricity,0.0,1.0,NL_Wind_Offshore,True,True,1.0,NL_E_Balance
1000.0,electricity,0.0,1.0,NL_Solar,True,True,1.0,NL_E_Balance
1000.0,electricity,0.0,1.0,NL_E_Balance,True,True,1.0,NL_Battery
0.0,electricity,0.0,1.0,NL_Battery,False,False,1.0,NL_E_Balance
0.0,electricity,0.0,1.0,NL_Gas,False,False,1.0,NL_E_Balance
0.0,electricity,0.0,1.0,NL_OCGT,False,False,1.0,NL_E_Balance
1000.0,electricity,0.0,1.0,BE_E_Balance,True,True,1.0,BE_E_Demand
1000.0,electricity,0.0,1.0,BE_E_ENS,True,True,1.0,BE_E_Demand
1000.0,electricity,0.0,1.0,BE_Wind_Onshore,True,True,1.0,BE_E_Balance
1000.0,electricity,0.0,1.0,BE_Wind_Offshore,True,True,1.0,BE_E_Balance
1000.0,electricity,0.0,1.0,BE_Solar,True,True,1.0,BE_E_Balance
1000.0,electricity,0.0,1.0,BE_E_Balance,True,True,1.0,BE_Battery
0.0,electricity,0.0,1.0,BE_Battery,False,False,1.0,BE_E_Balance
0.0,electricity,0.0,1.0,BE_Gas,False,False,1.0,BE_E_Balance
0.0,electricity,0.0,1.0,BE_OCGT,False,False,1.0,BE_E_Balance
1000.0,electricity,0.0,1.0,DE_E_Balance,True,True,1.0,DE_E_Demand
1000.0,electricity,0.0,1.0,DE_E_ENS,True,True,1.0,DE_E_Demand
1000.0,electricity,0.0,1.0,DE_Wind_Onshore,True,True,1.0,DE_E_Balance
1000.0,electricity,0.0,1.0,DE_Wind_Offshore,True,True,1.0,DE_E_Balance
1000.0,electricity,0.0,1.0,DE_Solar,True,True,1.0,DE_E_Balance
1000.0,electricity,0.0,1.0,DE_E_Balance,True,True,1.0,DE_Battery
0.0,electricity,0.0,1.0,DE_Battery,False,False,1.0,DE_E_Balance
0.0,electricity,0.0,1.0,DE_Coal,False,False,1.0,DE_E_Balance
0.0,electricity,0.0,1.0,DE_Gas,False,False,1.0,DE_E_Balance
0.0,electricity,0.0,1.0,DE_OCGT,False,False,1.0,DE_E_Balance
1000.0,electricity,0.0,1.0,FR_E_Balance,True,True,1.0,FR_E_Demand
1000.0,electricity,0.0,1.0,FR_E_ENS,True,True,1.0,FR_E_Demand
1000.0,electricity,0.0,1.0,FR_Wind_Onshore,True,True,1.0,FR_E_Balance
1000.0,electricity,0.0,1.0,FR_Wind_Offshore,True,True,1.0,FR_E_Balance
1000.0,electricity,0.0,1.0,FR_Solar,True,True,1.0,FR_E_Balance
1000.0,electricity,0.0,1.0,FR_Nuclear,True,True,1.0,FR_E_Balance
0.0,electricity,0.0,1.0,FR_Gas,False,False,1.0,FR_E_Balance
0.0,electricity,0.0,1.0,FR_OCGT,False,False,1.0,FR_E_Balance
1000.0,electricity,0.0,1.0,DK_E_Balance,True,True,1.0,DK_E_Demand
1000.0,electricity,0.0,1.0,DK_E_ENS,True,True,1.0,DK_E_Demand
1000.0,electricity,0.0,1.0,DK_Wind_Onshore,True,True,1.0,DK_E_Balance
1000.0,electricity,0.0,1.0,DK_Wind_Offshore,True,True,1.0,DK_E_Balance
1000.0,electricity,0.0,1.0,DK_Solar,True,True,1.0,DK_E_Balance
0.0,electricity,0.0,1.0,DK_Gas,False,False,1.0,DK_E_Balance
0.0,electricity,0.0,1.0,DK_OCGT,False,False,1.0,DK_E_Balance
1000.0,electricity,0.0,1.0,UK_E_Balance,True,True,1.0,UK_E_Demand
1000.0,electricity,0.0,1.0,UK_E_ENS,True,True,1.0,UK_E_Demand
1000.0,electricity,0.0,1.0,UK_Wind_Onshore,True,True,1.0,UK_E_Balance
1000.0,electricity,0.0,1.0,UK_Wind_Offshore,True,True,1.0,UK_E_Balance
1000.0,electricity,0.0,1.0,UK_Solar,True,True,1.0,UK_E_Balance
1000.0,electricity,0.0,1.0,UK_Nuclear,True,True,1.0,UK_E_Balance
1000.0,electricity,0.0,1.0,UK_E_Balance,True,True,1.0,UK_Battery
0.0,electricity,0.0,1.0,UK_Battery,False,False,1.0,UK_E_Balance
0.0,electricity,0.0,1.0,UK_Gas,False,False,1.0,UK_E_Balance
0.0,electricity,0.0,1.0,UK_OCGT,False,False,1.0,UK_E_Balance
1000.0,electricity,0.0,1.0,IE_E_Balance,True,True,1.0,IE_E_Demand
1000.0,electricity,0.0,1.0,IE_E_ENS,True,True,1.0,IE_E_Demand
1000.0,electricity,0.0,1.0,IE_Wind_Onshore,True,True,1.0,IE_E_Balance
1000.0,electricity,0.0,1.0,IE_Wind_Offshore,True,True,1.0,IE_E_Balance
1000.0,electricity,0.0,1.0,IE_Solar,True,True,1.0,IE_E_Balance
1000.0,electricity,0.0,1.0,IE_E_Balance,True,True,1.0,IE_Battery
0.0,electricity,0.0,1.0,IE_Battery,False,False,1.0,IE_E_Balance
0.0,electricity,0.0,1.0,IE_Gas,False,False,1.0,IE_E_Balance
0.0,electricity,0.0,1.0,IE_OCGT,False,False,1.0,IE_E_Balance
1000.0,electricity,0.0,1.0,CH_E_Balance,True,True,1.0,CH_E_Demand
1000.0,electricity,0.0,1.0,CH_E_ENS,True,True,1.0,CH_E_Demand
1000.0,electricity,0.0,1.0,CH_Wind_Onshore,True,True,1.0,CH_E_Balance
1000.0,electricity,0.0,1.0,CH_Solar,True,True,1.0,CH_E_Balance
1000.0,electricity,0.0,1.0,CH_Nuclear,True,True,1.0,CH_E_Balance
1000.0,electricity,0.0,1.0,CH_E_Balance,True,True,1.0,CH_Battery
0.0,electricity,0.0,1.0,CH_Battery,False,False,1.0,CH_E_Balance
1000.0,electricity,0.0,1.0,AT_E_Balance,True,True,1.0,AT_E_Demand
1000.0,electricity,0.0,1.0,AT_E_ENS,True,True,1.0,AT_E_Demand
1000.0,electricity,0.0,1.0,AT_Wind_Onshore,True,True,1.0,AT_E_Balance
1000.0,electricity,0.0,1.0,AT_Solar,True,True,1.0,AT_E_Balance
1000.0,electricity,0.0,1.0,AT_E_Balance,True,True,1.0,AT_Battery
0.0,electricity,0.0,1.0,AT_Battery,False,False,1.0,AT_E_Balance
0.0,electricity,0.0,1.0,AT_Gas,False,False,1.0,AT_E_Balance
1000.0,electricity,0.0,1.0,LU_E_Balance,True,True,1.0,LU_E_Demand
1000.0,electricity,0.0,1.0,LU_E_ENS,True,True,1.0,LU_E_Demand
1000.0,electricity,0.0,1.0,LU_Wind_Onshore,True,True,1.0,LU_E_Balance
1000.0,electricity,0.0,1.0,LU_Solar,True,True,1.0,LU_E_Balance
1000.0,electricity,0.0,1.0,CZ_E_Balance,True,True,1.0,CZ_E_Demand
1000.0,electricity,0.0,1.0,CZ_E_ENS,True,True,1.0,CZ_E_Demand
1000.0,electricity,0.0,1.0,CZ_Wind_Onshore,True,True,1.0,CZ_E_Balance
1000.0,electricity,0.0,1.0,CZ_Solar,True,True,1.0,CZ_E_Balance
1000.0,electricity,0.0,1.0,CZ_Nuclear,True,True,1.0,CZ_E_Balance
1000.0,electricity,0.0,1.0,CZ_E_Balance,True,True,1.0,CZ_Battery
0.0,electricity,0.0,1.0,CZ_Battery,False,False,1.0,CZ_E_Balance
0.0,electricity,0.0,1.0,CZ_Coal,False,False,1.0,CZ_E_Balance
0.0,electricity,0.0,1.0,CZ_Gas,False,False,1.0,CZ_E_Balance
1000.0,electricity,0.0,1.0,PL_E_Balance,True,True,1.0,PL_E_Demand
1000.0,electricity,0.0,1.0,PL_E_ENS,True,True,1.0,PL_E_Demand
1000.0,electricity,0.0,1.0,PL_Wind_Onshore,True,True,1.0,PL_E_Balance
