asset,partition,rep_period,specification,year
NL_Solar,4,1,uniform,2030
NL_Wind_Onshore,4,1,uniform,2030
NL_Wind_Offshore,4,1,uniform,2030
NL_Coal,4,1,uniform,2030
NL_Nuclear,4,1,uniform,2030
NL_CCGT,4,1,uniform,2030
NL_OCGT,4,1,uniform,2030
NL_Battery,4,1,uniform,2030
NL_E_Demand,4,1,uniform,2030
NL_Balance,4,1,uniform,2030
NL_Solar,4,2,uniform,2030
NL_Wind_Onshore,4,2,uniform,2030
NL_Wind_Offshore,4,2,uniform,2030
NL_Coal,4,2,uniform,2030
NL_Nuclear,4,2,uniform,2030
NL_CCGT,4,2,uniform,2030
NL_OCGT,4,2,uniform,2030
NL_Battery,4,2,uniform,2030
NL_E_Demand,4,2,uniform,2030
NL_Balance,4,2,uniform,2030
NL_Solar,4,3,uniform,2030
NL_Wind_Onshore,4,3,uniform,2030
NL_Wind_Offshore,4,3,uniform,2030
NL_Coal,4,3,uniform,2030
NL_Nuclear,4,3,uniform,2030
NL_CCGT,4,3,uniform,2030
NL_OCGT,4,3,uniform,2030
NL_Battery,4,3,uniform,2030
NL_E_Demand,4,3,uniform,2030
NL_Balance,4,3,uniform,2030
NL_Solar,4,4,uniform,2030
NL_Wind_Onshore,4,4,uniform,2030
NL_Wind_Offshore,4,4,uniform,2030
NL_Coal,4,4,uniform,2030
NL_Nuclear,4,4,uniform,2030
NL_CCGT,4,4,uniform,2030
NL_OCGT,4,4,uniform,2030
NL_Battery,4,4,uniform,2030
NL_E_Demand,4,4,uniform,2030
NL_Balance,4,4,uniform,2030
NL_Solar,4,5,uniform,2030
NL_Wind_Onshore,4,5,uniform,2030
NL_Wind_Offshore,4,5,uniform,2030
NL_Coal,4,5,uniform,2030
NL_Nuclear,4,5,uniform,2030
NL_CCGT,4,5,uniform,2030
NL_OCGT,4,5,uniform,2030
NL_Battery,4,5,uniform,2030
NL_E_Demand,4,5,uniform,2030
NL_Balance,4,5,uniform,2030
NL_Solar,4,6,uniform,2030
NL_Wind_Onshore,4,6,uniform,2030
NL_Wind_Offshore,4,6,uniform,2030
NL_Coal,4,6,uniform,2030
NL_Nuclear,4,6,uniform,2030
NL_CCGT,4,6,uniform,2030
NL_OCGT,4,6,uniform,2030
NL_Battery,4,6,uniform,2030
NL_E_Demand,4,6,uniform,2030
NL_Balance,4,6,uniform,2030
NL_Solar,4,7,uniform,2030
NL_Wind_Onshore,4,7,uniform,2030
NL_Wind_Offshore,4,7,uniform,2030
NL_Coal,4,7,uniform,2030
NL_Nuclear,4,7,uniform,2030
NL_CCGT,4,7,uniform,2030
NL_OCGT,4,7,uniform,2030
NL_Battery,4,7,uniform,2030
NL_E_Demand,4,7,uniform,2030
NL_Balance,4,7,uniform,2030
NL_Solar,4,8,uniform,2030
NL_Wind_Onshore,4,8,uniform,2030
NL_Wind_Offshore,4,8,uniform,2030
NL_Coal,4,8,uniform,2030
NL_Nuclear,4,8,uniform,2030
NL_CCGT,4,8,uniform,2030
NL_OCGT,4,8,uniform,2030
NL_Battery,4,8,uniform,2030
NL_E_Demand,4,8,uniform,2030
NL_Balance,4,8,uniform,2030
NL_Solar,4,9,uniform,2030
NL_Wind_Onshore,4,9,uniform,2030
NL_Wind_Offshore,4,9,uniform,2030
NL_Coal,4,9,uniform,2030
NL_Nuclear,4,9,uniform,2030
NL_CCGT,4,9,uniform,2030
NL_OCGT,4,9,uniform,2030
NL_Battery,4,9,uniform,2030
NL_E_Demand,4,9,uniform,2030
NL_Balance,4,9,uniform,2030
NL_Solar,4,10,uniform,2030
NL_Wind_Onshore,4,10,uniform,2030
NL_Wind_Offshore,4,10,uniform,2030
NL_Coal,4,10,uniform,2030
NL_Nuclear,4,10,uniform,2030
NL_CCGT,4,10,uniform,2030
NL_OCGT,4,10,uniform,2030
NL_Battery,4,10,uniform,2030
NL_E_Demand,4,10,uniform,2030
NL_Balance,4,10,uniform,2030
BE_Solar,4,1,uniform,2030
BE_Wind_Onshore,4,1,uniform,2030
BE_Wind_Offshore,4,1,uniform,2030
BE_Coal,4,1,uniform,2030
BE_Nuclear,4,1,uniform,2030
BE_CCGT,4,1,uniform,2030
BE_OCGT,4,1,uniform,2030
BE_Battery,4,1,uniform,2030
BE_E_Demand,4,1,uniform,2030
BE_Balance,4,1,uniform,2030
BE_Solar,4,2,uniform,2030
BE_Wind_Onshore,4,2,uniform,2030
BE_Wind_Offshore,4,2,uniform,2030
BE_Coal,4,2,uniform,2030
BE_Nuclear,4,2,uniform,2030
BE_CCGT,4,2,uniform,2030
BE_OCGT,4,2,uniform,2030
BE_Battery,4,2,uniform,2030
BE_E_Demand,4,2,uniform,2030
BE_Balance,4,2,uniform,2030
BE_Solar,4,3,uniform,2030
BE_Wind_Onshore,4,3,uniform,2030
BE_Wind_Offshore,4,3,uniform,2030
BE_Coal,4,3,uniform,2030
BE_Nuclear,4,3,uniform,2030
BE_CCGT,4,3,uniform,2030
BE_OCGT,4,3,uniform,2030
BE_Battery,4,3,uniform,2030
BE_E_Demand,4,3,uniform,2030
BE_Balance,4,3,uniform,2030
BE_Solar,4,4,uniform,2030
BE_Wind_Onshore,4,4,uniform,2030
BE_Wind_Offshore,4,4,uniform,2030
BE_Coal,4,4,uniform,2030
BE_Nuclear,4,4,uniform,2030
BE_CCGT,4,4,uniform,2030
BE_OCGT,4,4,uniform,2030
BE_Battery,4,4,uniform,2030
BE_E_Demand,4,4,uniform,2030
BE_Balance,4,4,uniform,2030
BE_Solar,4,5,uniform,2030
BE_Wind_Onshore,4,5,uniform,2030
BE_Wind_Offshore,4,5,uniform,2030
BE_Coal,4,5,uniform,2030
BE_Nuclear,4,5,uniform,2030
BE_CCGT,4,5,uniform,2030
BE_OCGT,4,5,uniform,2030
BE_Battery,4,5,uniform,2030
BE_E_Demand,4,5,uniform,2030
BE_Balance,4,5,uniform,2030
BE_Solar,4,6,uniform,2030
BE_Wind_Onshore,4,6,uniform,2030
BE_Wind_Offshore,4,6,uniform,2030
BE_Coal,4,6,uniform,2030
BE_Nuclear,4,6,uniform,2030
BE_CCGT,4,6,uniform,2030
BE_OCGT,4,6,uniform,2030
BE_Battery,4,6,uniform,2030
BE_E_Demand,4,6,uniform,2030
BE_Balance,4,6,uniform,2030
BE_Solar,4,7,uniform,2030
BE_Wind_Onshore,4,7,uniform,2030
BE_Wind_Offshore,4,7,uniform,2030
BE_Coal,4,7,uniform,2030
BE_Nuclear,4,7,uniform,2030
BE_CCGT,4,7,uniform,2030
BE_OCGT,4,7,uniform,2030
BE_Battery,4,7,uniform,2030
BE_E_Demand,4,7,uniform,2030
BE_Balance,4,7,uniform,2030
BE_Solar,4,8,uniform,2030
BE_Wind_Onshore,4,8,uniform,2030
BE_Wind_Offshore,4,8,uniform,2030
BE_Coal,4,8,uniform,2030
BE_Nuclear,4,8,uniform,2030
BE_CCGT,4,8,uniform,2030
BE_OCGT,4,8,uniform,2030
BE_Battery,4,8,uniform,2030
BE_E_Demand,4,8,uniform,2030
BE_Balance,4,8,uniform,2030
BE_Solar,4,9,uniform,2030
BE_Wind_Onshore,4,9,uniform,2030
BE_Wind_Offshore,4,9,uniform,2030
BE_Coal,4,9,uniform,2030
BE_Nuclear,4,9,uniform,2030
BE_CCGT,4,9,uniform,2030
BE_OCGT,4,9,uniform,2030
BE_Battery,4,9,uniform,2030
BE_E_Demand,4,9,uniform,2030
BE_Balance,4,9,uniform,2030
BE_Solar,4,10,uniform,2030
BE_Wind_Onshore,4,10,uniform,2030
BE_Wind_Offshore,4,10,uniform,2030
BE_Coal,4,10,uniform,2030
BE_Nuclear,4,10,uniform,2030
BE_CCGT,4,10,uniform,2030
BE_OCGT,4,10,uniform,2030
BE_Battery,4,10,uniform,2030
BE_E_Demand,4,10,uniform,2030
BE_Balance,4,10,uniform,2030
DE_Solar,4,1,uniform,2030
DE_Wind_Onshore,4,1,uniform,2030
DE_Wind_Offshore,4,1,uniform,2030
DE_Coal,4,1,uniform,2030
DE_Nuclear,4,1,uniform,2030
DE_CCGT,4,1,uniform,2030
