id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,solution
1,AT_CCGT,2030,1,1,1,true,-0.0
2,AT_CCGT,2030,1,2,2,true,-0.0
3,AT_CCGT,2030,1,3,3,true,-0.0
4,AT_CCGT,2030,1,4,4,true,-0.0
5,AT_CCGT,2030,1,5,5,true,-0.0
6,AT_CCGT,2030,1,6,6,true,-0.0
7,AT_CCGT,2030,1,7,7,true,-0.0
8,AT_CCGT,2030,1,8,8,true,-0.0
9,AT_CCGT,2030,1,9,9,true,-0.0
10,AT_CCGT,2030,1,10,10,true,-0.0
11,AT_CCGT,2030,1,11,11,true,-0.0
12,AT_CCGT,2030,1,12,12,true,-0.0
13,AT_CCGT,2030,1,13,13,true,-0.0
14,AT_CCGT,2030,1,14,14,true,-0.0
15,AT_CCGT,2030,1,15,15,true,-0.0
16,AT_CCGT,2030,1,16,16,true,-0.0
17,AT_CCGT,2030,1,17,17,true,-0.0
18,AT_CCGT,2030,1,18,18,true,-0.0
19,AT_CCGT,2030,1,19,19,true,-0.0
20,AT_CCGT,2030,1,20,20,true,-0.0
21,AT_CCGT,2030,1,21,21,true,-0.0
22,AT_CCGT,2030,1,22,22,true,-0.0
23,AT_CCGT,2030,1,23,23,true,-0.0
24,AT_CCGT,2030,1,24,24,true,-0.0
25,AT_CCGT,2030,2,1,1,true,-0.0
26,AT_CCGT,2030,2,2,2,true,-0.0
27,AT_CCGT,2030,2,3,3,true,-0.0
28,AT_CCGT,2030,2,4,4,true,-0.0
29,AT_CCGT,2030,2,5,5,true,-0.0
30,AT_CCGT,2030,2,6,6,true,-0.0
31,AT_CCGT,2030,2,7,7,true,-0.0
32,AT_CCGT,2030,2,8,8,true,-0.0
33,AT_CCGT,2030,2,9,9,true,-0.0
34,AT_CCGT,2030,2,10,10,true,-0.0
35,AT_CCGT,2030,2,11,11,true,-0.0
36,AT_CCGT,2030,2,12,12,true,-0.0
37,AT_CCGT,2030,2,13,13,true,-0.0
38,AT_CCGT,2030,2,14,14,true,-0.0
39,AT_CCGT,2030,2,15,15,true,-0.0
40,AT_CCGT,2030,2,16,16,true,-0.0
41,AT_CCGT,2030,2,17,17,true,-0.0
42,AT_CCGT,2030,2,18,18,true,-0.0
43,AT_CCGT,2030,2,19,19,true,-0.0
44,AT_CCGT,2030,2,20,20,true,-0.0
45,AT_CCGT,2030,2,21,21,true,-0.0
46,AT_CCGT,2030,2,22,22,true,-0.0
47,AT_CCGT,2030,2,23,23,true,-0.0
48,AT_CCGT,2030,2,24,24,true,-0.0
49,AT_CCGT,2030,3,1,1,true,-0.0
50,AT_CCGT,2030,3,2,2,true,-0.0
51,AT_CCGT,2030,3,3,3,true,-0.0
52,AT_CCGT,2030,3,4,4,true,-0.0
53,AT_CCGT,2030,3,5,5,true,-0.0
54,AT_CCGT,2030,3,6,6,true,-0.0
55,AT_CCGT,2030,3,7,7,true,-0.0
56,AT_CCGT,2030,3,8,8,true,-0.0
57,AT_CCGT,2030,3,9,9,true,-0.0
58,AT_CCGT,2030,3,10,10,true,-0.0
59,AT_CCGT,2030,3,11,11,true,-0.0
60,AT_CCGT,2030,3,12,12,true,-0.0
61,AT_CCGT,2030,3,13,13,true,-0.0
62,AT_CCGT,2030,3,14,14,true,-0.0
63,AT_CCGT,2030,3,15,15,true,-0.0
64,AT_CCGT,2030,3,16,16,true,-0.0
65,AT_CCGT,2030,3,17,17,true,-0.0
66,AT_CCGT,2030,3,18,18,true,-0.0
67,AT_CCGT,2030,3,19,19,true,-0.0
68,AT_CCGT,2030,3,20,20,true,-0.0
69,AT_CCGT,2030,3,21,21,true,-0.0
70,AT_CCGT,2030,3,22,22,true,-0.0
71,AT_CCGT,2030,3,23,23,true,-0.0
72,AT_CCGT,2030,3,24,24,true,-0.0
73,AT_CCGT,2030,4,1,1,true,-0.0
74,AT_CCGT,2030,4,2,2,true,-0.0
75,AT_CCGT,2030,4,3,3,true,-0.0
76,AT_CCGT,2030,4,4,4,true,-0.0
77,AT_CCGT,2030,4,5,5,true,-0.0
78,AT_CCGT,2030,4,6,6,true,-0.0
79,AT_CCGT,2030,4,7,7,true,-0.0
80,AT_CCGT,2030,4,8,8,true,-0.0
81,AT_CCGT,2030,4,9,9,true,-0.0
82,AT_CCGT,2030,4,10,10,true,-0.0
83,AT_CCGT,2030,4,11,11,true,-0.0
84,AT_CCGT,2030,4,12,12,true,-0.0
85,AT_CCGT,2030,4,13,13,true,-0.0
86,AT_CCGT,2030,4,14,14,true,-0.0
87,AT_CCGT,2030,4,15,15,true,-0.0
88,AT_CCGT,2030,4,16,16,true,-0.0
89,AT_CCGT,2030,4,17,17,true,-0.0
90,AT_CCGT,2030,4,18,18,true,-0.0
91,AT_CCGT,2030,4,19,19,true,-0.0
92,AT_CCGT,2030,4,20,20,true,-0.0
93,AT_CCGT,2030,4,21,21,true,-0.0
94,AT_CCGT,2030,4,22,22,true,-0.0
95,AT_CCGT,2030,4,23,23,true,-0.0
96,AT_CCGT,2030,4,24,24,true,-0.0
97,AT_CCGT,2030,5,1,1,true,-0.0
98,AT_CCGT,2030,5,2,2,true,-0.0
99,AT_CCGT,2030,5,3,3,true,-0.0
100,AT_CCGT,2030,5,4,4,true,-0.0
101,AT_CCGT,2030,5,5,5,true,-0.0
102,AT_CCGT,2030,5,6,6,true,-0.0
103,AT_CCGT,2030,5,7,7,true,-0.0
104,AT_CCGT,2030,5,8,8,true,-0.0
105,AT_CCGT,2030,5,9,9,true,-0.0
106,AT_CCGT,2030,5,10,10,true,-0.0
107,AT_CCGT,2030,5,11,11,true,-0.0
108,AT_CCGT,2030,5,12,12,true,-0.0
109,AT_CCGT,2030,5,13,13,true,-0.0
110,AT_CCGT,2030,5,14,14,true,-0.0
111,AT_CCGT,2030,5,15,15,true,-0.0
112,AT_CCGT,2030,5,16,16,true,-0.0
113,AT_CCGT,2030,5,17,17,true,-0.0
114,AT_CCGT,2030,5,18,18,true,-0.0
115,AT_CCGT,2030,5,19,19,true,-0.0
116,AT_CCGT,2030,5,20,20,true,-0.0
117,AT_CCGT,2030,5,21,21,true,-0.0
118,AT_CCGT,2030,5,22,22,true,-0.0
119,AT_CCGT,2030,5,23,23,true,-0.0
120,AT_CCGT,2030,5,24,24,true,-0.0
121,AT_CCGT,2030,6,1,1,true,-0.0
122,AT_CCGT,2030,6,2,2,true,-0.0
123,AT_CCGT,2030,6,3,3,true,-0.0
124,AT_CCGT,2030,6,4,4,true,-0.0
125,AT_CCGT,2030,6,5,5,true,-0.0
126,AT_CCGT,2030,6,6,6,true,-0.0
127,AT_CCGT,2030,6,7,7,true,-0.0
128,AT_CCGT,2030,6,8,8,true,-0.0
129,AT_CCGT,2030,6,9,9,true,-0.0
130,AT_CCGT,2030,6,10,10,true,-0.0
131,AT_CCGT,2030,6,11,11,true,-0.0
132,AT_CCGT,2030,6,12,12,true,-0.0
133,AT_CCGT,2030,6,13,13,true,-0.0
134,AT_CCGT,2030,6,14,14,true,-0.0
135,AT_CCGT,2030,6,15,15,true,-0.0
136,AT_CCGT,2030,6,16,16,true,-0.0
137,AT_CCGT,2030,6,17,17,true,-0.0
138,AT_CCGT,2030,6,18,18,true,-0.0
139,AT_CCGT,2030,6,19,19,true,-0.0
140,AT_CCGT,2030,6,20,20,true,-0.0
141,AT_CCGT,2030,6,21,21,true,-0.0
142,AT_CCGT,2030,6,22,22,true,-0.0
143,AT_CCGT,2030,6,23,23,true,-0.0
144,AT_CCGT,2030,6,24,24,true,-0.0
145,AT_CCGT,2030,7,1,1,true,-0.0
146,AT_CCGT,2030,7,2,2,true,-0.0
147,AT_CCGT,2030,7,3,3,true,-0.0
148,AT_CCGT,2030,7,4,4,true,-0.0
149,AT_CCGT,2030,7,5,5,true,-0.0
150,AT_CCGT,2030,7,6,6,true,-0.0
151,AT_CCGT,2030,7,7,7,true,-0.0
152,AT_CCGT,2030,7,8,8,true,-0.0
153,AT_CCGT,2030,7,9,9,true,-0.0
154,AT_CCGT,2030,7,10,10,true,-0.0
155,AT_CCGT,2030,7,11,11,true,-0.0
156,AT_CCGT,2030,7,12,12,true,-0.0
157,AT_CCGT,2030,7,13,13,true,-0.0
158,AT_CCGT,2030,7,14,14,true,-0.0
159,AT_CCGT,2030,7,15,15,true,-0.0
160,AT_CCGT,2030,7,16,16,true,-0.0
161,AT_CCGT,2030,7,17,17,true,-0.0
