id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.0
2,BE_Battery,2030,false,10.0,,67.62488938210308
3,DE_Battery,2030,false,10.0,,554.4353190824899
4,FR_Battery,2030,false,10.0,,419.8886720896873
5,LU_Battery,2030,false,10.0,,88.76757550013144
6,CH_Battery,2030,false,10.0,,0.0
7,UK_Battery,2030,false,10.0,,292.37655430680604
8,DK_Battery,2030,false,10.0,,0.0
9,NO_Battery,2030,false,10.0,,0.0
10,IE_Battery,2030,false,10.0,,0.0
11,SE_Battery,2030,false,10.0,,0.0
12,AT_Battery,2030,false,10.0,,0.0
13,CZ_Battery,2030,false,10.0,,104.15302149255349
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,406.04441118246905
16,IT_Battery,2030,false,10.0,,402.808629887777
17,LT_Battery,2030,false,10.0,,51.88828675086006
18,FI_Battery,2030,false,10.0,,33.23650922111519
19,SI_Battery,2030,false,10.0,,0.0
20,HU_Battery,2030,false,10.0,,0.0
21,SK_Battery,2030,false,10.0,,2.76274600990655
22,PT_Battery,2030,false,10.0,,62.21666377635179
23,HR_Battery,2030,false,10.0,,7.166837144569581
24,RO_Battery,2030,false,10.0,,45.78331917762772
25,GR_Battery,2030,false,10.0,,0.0
26,LV_Battery,2030,false,10.0,,0.0
27,EE_Battery,2030,false,10.0,,0.0
28,MT_Battery,2030,false,10.0,,270.48700447097406
29,CY_Battery,2030,false,10.0,,0.0
30,BG_Battery,2030,false,10.0,,12.429804604858887
