id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2030,1,1,5,8.745000000000001
2,AT_Balance,2030,1,6,10,12.033637108546033
3,AT_Balance,2030,1,11,15,4.6905
4,AT_Balance,2030,1,16,24,8.745000000000001
5,AT_Balance,2030,2,1,5,0.0
6,AT_Balance,2030,2,6,10,0.0
7,AT_Balance,2030,2,11,15,2.9205000000000005
8,AT_Balance,2030,2,16,24,1.6727602751276902
9,AT_Balance,2030,3,1,5,2.5665
10,AT_Balance,2030,3,6,10,9.231257196688023
11,AT_Balance,2030,3,11,15,8.349702550443245
12,AT_Balance,2030,3,16,24,20.798352460132858
13,AT_Balance,2030,4,1,5,2.0355
14,AT_Balance,2030,4,6,10,4.761652157710541
15,AT_Balance,2030,4,11,15,2.0355
16,AT_Balance,2030,4,16,24,3.7950000000000004
17,AT_Balance,2030,5,1,5,0.0
18,AT_Balance,2030,5,6,10,0.0
19,AT_Balance,2030,5,11,15,0.0
20,AT_Balance,2030,5,16,24,0.0
21,AT_Balance,2030,6,1,5,1.593
22,AT_Balance,2030,6,6,10,1.593
23,AT_Balance,2030,6,11,15,1.593
24,AT_Balance,2030,6,16,24,1.593
25,AT_Balance,2030,7,1,5,3.2745
26,AT_Balance,2030,7,6,10,3.2745
27,AT_Balance,2030,7,11,15,3.2745
28,AT_Balance,2030,7,16,24,8.271481896960829
29,AT_Balance,2030,8,1,5,2.7435
30,AT_Balance,2030,8,6,10,2.7435
31,AT_Balance,2030,8,11,15,0.0
32,AT_Balance,2030,8,16,24,2.7435
33,AT_Balance,2030,9,1,5,0.0
34,AT_Balance,2030,9,6,10,3.8055
35,AT_Balance,2030,9,11,15,3.8055
36,AT_Balance,2030,9,16,24,3.8055
37,AT_Balance,2030,10,1,5,4.071
38,AT_Balance,2030,10,6,10,7.590000000000001
39,AT_Balance,2030,10,11,15,7.590000000000001
40,AT_Balance,2030,10,16,24,12.325203109035387
41,BE_Balance,2030,1,1,5,8.745000000000001
42,BE_Balance,2030,1,6,10,12.033637108546033
43,BE_Balance,2030,1,11,15,6.4945493097127125
44,BE_Balance,2030,1,16,24,8.745000000000001
45,BE_Balance,2030,2,1,5,0.0
46,BE_Balance,2030,2,6,10,2.9205
47,BE_Balance,2030,2,11,15,2.9205
48,BE_Balance,2030,2,16,24,2.9205
49,BE_Balance,2030,3,1,5,0.0
50,BE_Balance,2030,3,6,10,0.0
51,BE_Balance,2030,3,11,15,0.0
52,BE_Balance,2030,3,16,24,0.0
53,BE_Balance,2030,4,1,5,0.0
54,BE_Balance,2030,4,6,10,2.0355
55,BE_Balance,2030,4,11,15,2.0355
56,BE_Balance,2030,4,16,24,2.369324912336671
57,BE_Balance,2030,5,1,5,0.0
58,BE_Balance,2030,5,6,10,0.0
59,BE_Balance,2030,5,11,15,0.0
60,BE_Balance,2030,5,16,24,0.0
61,BE_Balance,2030,6,1,5,1.593
62,BE_Balance,2030,6,6,10,1.593
63,BE_Balance,2030,6,11,15,1.593
64,BE_Balance,2030,6,16,24,1.593
65,BE_Balance,2030,7,1,5,3.2745
66,BE_Balance,2030,7,6,10,13.606480793417699
67,BE_Balance,2030,7,11,15,6.105
68,BE_Balance,2030,7,16,24,8.972312523602294
69,BE_Balance,2030,8,1,5,0.0
70,BE_Balance,2030,8,6,10,0.0
71,BE_Balance,2030,8,11,15,0.0
72,BE_Balance,2030,8,16,24,0.0
73,BE_Balance,2030,9,1,5,0.0
74,BE_Balance,2030,9,6,10,0.0
75,BE_Balance,2030,9,11,15,0.0
76,BE_Balance,2030,9,16,24,3.8055
77,BE_Balance,2030,10,1,5,4.071
78,BE_Balance,2030,10,6,10,15.932511172183627
79,BE_Balance,2030,10,11,15,24.546364892115793
80,BE_Balance,2030,10,16,24,12.325203109035387
81,BG_Balance,2030,1,1,5,8.745000000000001
82,BG_Balance,2030,1,6,10,12.033637108546033
83,BG_Balance,2030,1,11,15,4.6905
84,BG_Balance,2030,1,16,24,8.745000000000001
85,BG_Balance,2030,2,1,5,0.0
86,BG_Balance,2030,2,6,10,0.0
87,BG_Balance,2030,2,11,15,0.0
88,BG_Balance,2030,2,16,24,0.0
89,BG_Balance,2030,3,1,5,7.787470654030684
90,BG_Balance,2030,3,6,10,9.231257196688023
91,BG_Balance,2030,3,11,15,11.80769068833727
92,BG_Balance,2030,3,16,24,20.798352460132858
93,BG_Balance,2030,4,1,5,0.0
94,BG_Balance,2030,4,6,10,2.0355
95,BG_Balance,2030,4,11,15,0.0
96,BG_Balance,2030,4,16,24,3.7950000000000004
97,BG_Balance,2030,5,1,5,0.0
98,BG_Balance,2030,5,6,10,4.602
99,BG_Balance,2030,5,11,15,0.0
100,BG_Balance,2030,5,16,24,4.602
101,BG_Balance,2030,6,1,5,1.593
102,BG_Balance,2030,6,6,10,1.593
103,BG_Balance,2030,6,11,15,0.0
104,BG_Balance,2030,6,16,24,1.593
105,BG_Balance,2030,7,1,5,3.2745
106,BG_Balance,2030,7,6,10,3.2745
107,BG_Balance,2030,7,11,15,0.0
108,BG_Balance,2030,7,16,24,8.271481896960829
109,BG_Balance,2030,8,1,5,2.7435
110,BG_Balance,2030,8,6,10,2.7435
111,BG_Balance,2030,8,11,15,0.0
112,BG_Balance,2030,8,16,24,2.7435
113,BG_Balance,2030,9,1,5,9.16158843301892
114,BG_Balance,2030,9,6,10,3.8055
115,BG_Balance,2030,9,11,15,3.8055
116,BG_Balance,2030,9,16,24,20.436431794300297
117,BG_Balance,2030,10,1,5,4.071
118,BG_Balance,2030,10,6,10,7.590000000000001
119,BG_Balance,2030,10,11,15,4.071
120,BG_Balance,2030,10,16,24,12.325203109035387
121,CH_Balance,2030,1,1,5,8.745000000000001
122,CH_Balance,2030,1,6,10,12.033637108546033
123,CH_Balance,2030,1,11,15,4.6905
124,CH_Balance,2030,1,16,24,8.745000000000001
125,CH_Balance,2030,2,1,5,2.9205
126,CH_Balance,2030,2,6,10,2.9205
127,CH_Balance,2030,2,11,15,2.9205000000000005
128,CH_Balance,2030,2,16,24,2.9205
129,CH_Balance,2030,3,1,5,2.5665
130,CH_Balance,2030,3,6,10,9.231257196688023
131,CH_Balance,2030,3,11,15,2.5665
132,CH_Balance,2030,3,16,24,7.395
133,CH_Balance,2030,4,1,5,2.0355
134,CH_Balance,2030,4,6,10,5.864999999999999
135,CH_Balance,2030,4,11,15,2.0355
136,CH_Balance,2030,4,16,24,3.7950000000000004
137,CH_Balance,2030,5,1,5,4.602
138,CH_Balance,2030,5,6,10,18.978589746285333
139,CH_Balance,2030,5,11,15,0.0
140,CH_Balance,2030,5,16,24,4.602
141,CH_Balance,2030,6,1,5,1.593
142,CH_Balance,2030,6,6,10,1.593
143,CH_Balance,2030,6,11,15,1.593
144,CH_Balance,2030,6,16,24,1.593
145,CH_Balance,2030,7,1,5,3.2745
146,CH_Balance,2030,7,6,10,13.606480793417699
147,CH_Balance,2030,7,11,15,3.2745
148,CH_Balance,2030,7,16,24,8.271481896960829
149,CH_Balance,2030,8,1,5,2.7435
150,CH_Balance,2030,8,6,10,2.7435
151,CH_Balance,2030,8,11,15,0.0
152,CH_Balance,2030,8,16,24,2.7435
153,CH_Balance,2030,9,1,5,9.16158843301892
154,CH_Balance,2030,9,6,10,3.8055
155,CH_Balance,2030,9,11,15,3.8055
156,CH_Balance,2030,9,16,24,3.8055
