id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.0
2,BE_Battery,2030,false,10.0,,5.0530031313710335
3,DE_Battery,2030,false,10.0,,387.83904036833127
4,FR_Battery,2030,false,10.0,,469.8335813559331
5,LU_Battery,2030,false,10.0,,89.21585362335173
6,CH_Battery,2030,false,10.0,,231.58532256410112
7,UK_Battery,2030,false,10.0,,249.09722498777563
8,DK_Battery,2030,false,10.0,,0.0
9,NO_Battery,2030,false,10.0,,0.0
10,IE_Battery,2030,false,10.0,,5.916626583234029
11,SE_Battery,2030,false,10.0,,97.68038181669836
12,AT_Battery,2030,false,10.0,,22.453429467760287
13,CZ_Battery,2030,false,10.0,,16.720210900579993
14,PL_Battery,2030,false,10.0,,124.91370694609505
15,ES_Battery,2030,false,10.0,,246.96179582025488
16,IT_Battery,2030,false,10.0,,1201.483766644009
17,LT_Battery,2030,false,10.0,,0.0
18,FI_Battery,2030,false,10.0,,69.16483171438294
19,SI_Battery,2030,false,10.0,,166.78686656167886
20,HU_Battery,2030,false,10.0,,0.0
21,SK_Battery,2030,false,10.0,,0.0
22,PT_Battery,2030,false,10.0,,212.90617377287782
23,HR_Battery,2030,false,10.0,,112.5592705730622
24,RO_Battery,2030,false,10.0,,25.43168071022719
25,GR_Battery,2030,false,10.0,,132.03312699947136
26,LV_Battery,2030,false,10.0,,41.485936686221514
27,EE_Battery,2030,false,10.0,,0.0
28,MT_Battery,2030,false,10.0,,14.933599582791167
29,CY_Battery,2030,false,10.0,,115.61716951417802
30,BG_Battery,2030,false,10.0,,0.0
