id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,asset_1,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,start_up_cost,shut_down_cost,max_ramp_down,max_ramp_up,min_operating_point,minimum_down_time,minimum_up_time,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer_1,unit_commitment_method,use_binary_storage_method,max_su_ramp,max_sd_ramp,start_trajectory,shut_trajectory,dual_limit_units_on_simple_method
1,AT_CCGT,2030,1,1,3,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
2,AT_CCGT,2030,1,4,6,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
3,AT_CCGT,2030,1,7,9,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
4,AT_CCGT,2030,1,10,12,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
5,AT_CCGT,2030,1,13,15,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
6,AT_CCGT,2030,1,16,18,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
7,AT_CCGT,2030,1,19,21,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
8,AT_CCGT,2030,1,22,24,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
9,AT_CCGT,2030,2,1,3,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
10,AT_CCGT,2030,2,4,6,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
11,AT_CCGT,2030,2,7,9,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
12,AT_CCGT,2030,2,10,12,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
13,AT_CCGT,2030,2,13,15,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
14,AT_CCGT,2030,2,16,18,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
15,AT_CCGT,2030,2,19,21,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
16,AT_CCGT,2030,2,22,24,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
17,AT_CCGT,2030,3,1,3,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
18,AT_CCGT,2030,3,4,6,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
19,AT_CCGT,2030,3,7,9,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
20,AT_CCGT,2030,3,10,12,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
21,AT_CCGT,2030,3,13,15,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
22,AT_CCGT,2030,3,16,18,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
23,AT_CCGT,2030,3,19,21,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
24,AT_CCGT,2030,3,22,24,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
25,AT_CCGT,2030,4,1,3,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
26,AT_CCGT,2030,4,4,6,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
27,AT_CCGT,2030,4,7,9,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
28,AT_CCGT,2030,4,10,12,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
29,AT_CCGT,2030,4,13,15,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
30,AT_CCGT,2030,4,16,18,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
31,AT_CCGT,2030,4,19,21,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
32,AT_CCGT,2030,4,22,24,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
33,AT_CCGT,2030,5,1,3,true,AT_CCGT,357.0,,,0.05,100,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100,producer,true,true,basic,,0.45,0.45,,,0.0
