id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2030,1,1,1,0.0
2,AT_Battery,2030,1,2,2,440.50629894083977
3,AT_Battery,2030,1,3,3,440.50629894083977
4,AT_Battery,2030,1,4,4,440.50629894083977
5,AT_Battery,2030,1,5,5,440.50629894083977
6,AT_Battery,2030,1,6,6,440.50629894083977
7,AT_Battery,2030,1,7,7,440.50629894083977
8,AT_Battery,2030,1,8,8,0.0
9,AT_Battery,2030,1,9,9,115.35429909137929
10,AT_Battery,2030,1,10,10,0.0
11,AT_Battery,2030,1,11,11,24.692614043085086
12,AT_Battery,2030,1,12,12,0.0
13,AT_Battery,2030,1,13,13,0.0
14,AT_Battery,2030,1,14,14,0.0
15,AT_Battery,2030,1,15,15,10.415527476342277
16,AT_Battery,2030,1,16,16,440.50629894083977
17,AT_Battery,2030,1,17,17,440.50629894083977
18,AT_Battery,2030,1,18,18,440.50629894083977
19,AT_Battery,2030,1,19,19,71.81725064427076
20,AT_Battery,2030,1,20,20,0.0
21,AT_Battery,2030,1,21,21,0.0
22,AT_Battery,2030,1,22,22,0.0
23,AT_Battery,2030,1,23,23,0.0
24,AT_Battery,2030,1,24,24,0.0
25,AT_Battery,2030,2,1,1,0.0
26,AT_Battery,2030,2,2,2,0.0
27,AT_Battery,2030,2,3,3,0.0
28,AT_Battery,2030,2,4,4,0.0
29,AT_Battery,2030,2,5,5,0.0
30,AT_Battery,2030,2,6,6,0.0
31,AT_Battery,2030,2,7,7,0.0
32,AT_Battery,2030,2,8,8,0.0
33,AT_Battery,2030,2,9,9,0.0
34,AT_Battery,2030,2,10,10,0.0
35,AT_Battery,2030,2,11,11,0.0
36,AT_Battery,2030,2,12,12,0.0
37,AT_Battery,2030,2,13,13,0.0
38,AT_Battery,2030,2,14,14,0.0
39,AT_Battery,2030,2,15,15,0.0
40,AT_Battery,2030,2,16,16,440.50629894083977
41,AT_Battery,2030,2,17,17,0.0
42,AT_Battery,2030,2,18,18,0.0
43,AT_Battery,2030,2,19,19,0.0
44,AT_Battery,2030,2,20,20,440.50629894083977
45,AT_Battery,2030,2,21,21,440.50629894083977
46,AT_Battery,2030,2,22,22,0.0
47,AT_Battery,2030,2,23,23,0.0
48,AT_Battery,2030,2,24,24,0.0
49,AT_Battery,2030,3,1,1,0.0
50,AT_Battery,2030,3,2,2,0.0
51,AT_Battery,2030,3,3,3,0.0
52,AT_Battery,2030,3,4,4,0.0
53,AT_Battery,2030,3,5,5,440.50629894083977
54,AT_Battery,2030,3,6,6,229.42046914417938
55,AT_Battery,2030,3,7,7,295.64082740797414
56,AT_Battery,2030,3,8,8,0.0
57,AT_Battery,2030,3,9,9,313.9035469325298
58,AT_Battery,2030,3,10,10,0.0
59,AT_Battery,2030,3,11,11,440.50629894083977
60,AT_Battery,2030,3,12,12,440.50629894083977
61,AT_Battery,2030,3,13,13,339.3925235870096
62,AT_Battery,2030,3,14,14,418.3287817533071
63,AT_Battery,2030,3,15,15,440.50629894083977
64,AT_Battery,2030,3,16,16,440.50629894083977
65,AT_Battery,2030,3,17,17,440.50629894083977
66,AT_Battery,2030,3,18,18,0.0
67,AT_Battery,2030,3,19,19,0.0
68,AT_Battery,2030,3,20,20,0.0
69,AT_Battery,2030,3,21,21,0.0
70,AT_Battery,2030,3,22,22,249.98526642461184
71,AT_Battery,2030,3,23,23,0.0
72,AT_Battery,2030,3,24,24,0.0
73,AT_Battery,2030,4,1,1,0.0
74,AT_Battery,2030,4,2,2,0.0
75,AT_Battery,2030,4,3,3,0.0
76,AT_Battery,2030,4,4,4,224.58022332332985
77,AT_Battery,2030,4,5,5,201.27599854878747
78,AT_Battery,2030,4,6,6,440.50629894083977
79,AT_Battery,2030,4,7,7,440.50629894083977
80,AT_Battery,2030,4,8,8,440.50629894083977
81,AT_Battery,2030,4,9,9,0.0
82,AT_Battery,2030,4,10,10,0.0
83,AT_Battery,2030,4,11,11,0.0
84,AT_Battery,2030,4,12,12,0.0
85,AT_Battery,2030,4,13,13,0.0
86,AT_Battery,2030,4,14,14,126.49046284087126
87,AT_Battery,2030,4,15,15,0.0
88,AT_Battery,2030,4,16,16,0.0
89,AT_Battery,2030,4,17,17,440.50629894083977
90,AT_Battery,2030,4,18,18,0.0
91,AT_Battery,2030,4,19,19,0.0
92,AT_Battery,2030,4,20,20,0.0
93,AT_Battery,2030,4,21,21,0.0
94,AT_Battery,2030,4,22,22,0.0
95,AT_Battery,2030,4,23,23,0.0
96,AT_Battery,2030,4,24,24,0.0
97,AT_Battery,2030,5,1,1,440.50629894083977
98,AT_Battery,2030,5,2,2,440.50629894083977
99,AT_Battery,2030,5,3,3,0.0
100,AT_Battery,2030,5,4,4,0.0
101,AT_Battery,2030,5,5,5,440.50629894083977
102,AT_Battery,2030,5,6,6,440.50629894083977
103,AT_Battery,2030,5,7,7,440.50629894083977
104,AT_Battery,2030,5,8,8,440.50629894083977
105,AT_Battery,2030,5,9,9,0.0
106,AT_Battery,2030,5,10,10,0.0
107,AT_Battery,2030,5,11,11,0.0
108,AT_Battery,2030,5,12,12,0.0
109,AT_Battery,2030,5,13,13,0.0
110,AT_Battery,2030,5,14,14,0.0
111,AT_Battery,2030,5,15,15,0.0
112,AT_Battery,2030,5,16,16,0.0
113,AT_Battery,2030,5,17,17,440.50629894083977
114,AT_Battery,2030,5,18,18,0.0
115,AT_Battery,2030,5,19,19,0.0
116,AT_Battery,2030,5,20,20,0.0
117,AT_Battery,2030,5,21,21,0.0
118,AT_Battery,2030,5,22,22,440.50629894083977
119,AT_Battery,2030,5,23,23,440.50629894083977
120,AT_Battery,2030,5,24,24,440.50629894083977
121,AT_Battery,2030,6,1,1,0.0
122,AT_Battery,2030,6,2,2,0.0
123,AT_Battery,2030,6,3,3,0.0
124,AT_Battery,2030,6,4,4,165.28889932053607
125,AT_Battery,2030,6,5,5,338.3088944990923
126,AT_Battery,2030,6,6,6,440.50629894083977
127,AT_Battery,2030,6,7,7,440.50629894083977
128,AT_Battery,2030,6,8,8,0.0
129,AT_Battery,2030,6,9,9,0.0
130,AT_Battery,2030,6,10,10,0.0
131,AT_Battery,2030,6,11,11,0.0
132,AT_Battery,2030,6,12,12,0.0
133,AT_Battery,2030,6,13,13,0.0
134,AT_Battery,2030,6,14,14,0.0
135,AT_Battery,2030,6,15,15,440.50629894083977
136,AT_Battery,2030,6,16,16,440.50629894083977
137,AT_Battery,2030,6,17,17,440.50629894083977
138,AT_Battery,2030,6,18,18,0.0
139,AT_Battery,2030,6,19,19,440.50629894083977
140,AT_Battery,2030,6,20,20,0.0
141,AT_Battery,2030,6,21,21,0.0
142,AT_Battery,2030,6,22,22,0.0
143,AT_Battery,2030,6,23,23,0.0
144,AT_Battery,2030,6,24,24,0.0
145,AT_Battery,2030,7,1,1,33.78056423830867
146,AT_Battery,2030,7,2,2,0.0
147,AT_Battery,2030,7,3,3,0.0
148,AT_Battery,2030,7,4,4,192.3449263654993
149,AT_Battery,2030,7,5,5,0.0
150,AT_Battery,2030,7,6,6,0.0
151,AT_Battery,2030,7,7,7,0.0
152,AT_Battery,2030,7,8,8,0.0
153,AT_Battery,2030,7,9,9,0.0
154,AT_Battery,2030,7,10,10,0.0
155,AT_Battery,2030,7,11,11,440.50629894083977
156,AT_Battery,2030,7,12,12,0.0
157,AT_Battery,2030,7,13,13,0.0
158,AT_Battery,2030,7,14,14,29.472080011361868
159,AT_Battery,2030,7,15,15,29.472080011361868
160,AT_Battery,2030,7,16,16,440.50629894083977
161,AT_Battery,2030,7,17,17,440.50629894083977
162,AT_Battery,2030,7,18,18,440.50629894083977
163,AT_Battery,2030,7,19,19,0.0
164,AT_Battery,2030,7,20,20,0.0
165,AT_Battery,2030,7,21,21,0.0
166,AT_Battery,2030,7,22,22,0.0
167,AT_Battery,2030,7,23,23,0.0
168,AT_Battery,2030,7,24,24,0.0
169,AT_Battery,2030,8,1,1,0.0
170,AT_Battery,2030,8,2,2,0.0
171,AT_Battery,2030,8,3,3,0.0
172,AT_Battery,2030,8,4,4,440.50629894083977
173,AT_Battery,2030,8,5,5,440.50629894083977
174,AT_Battery,2030,8,6,6,440.50629894083977
175,AT_Battery,2030,8,7,7,292.0217072739824
176,AT_Battery,2030,8,8,8,0.0
177,AT_Battery,2030,8,9,9,0.0
178,AT_Battery,2030,8,10,10,0.0
179,AT_Battery,2030,8,11,11,435.1771148557568
180,AT_Battery,2030,8,12,12,0.0
181,AT_Battery,2030,8,13,13,0.0
182,AT_Battery,2030,8,14,14,31.73242294397187
183,AT_Battery,2030,8,15,15,440.50629894083977
184,AT_Battery,2030,8,16,16,440.50629894083977
185,AT_Battery,2030,8,17,17,440.50629894083977
186,AT_Battery,2030,8,18,18,440.50629894083977
187,AT_Battery,2030,8,19,19,440.50629894083977
188,AT_Battery,2030,8,20,20,0.0
189,AT_Battery,2030,8,21,21,0.0
190,AT_Battery,2030,8,22,22,0.0
191,AT_Battery,2030,8,23,23,0.0
192,AT_Battery,2030,8,24,24,0.0
193,AT_Battery,2030,9,1,1,440.50629894083977
194,AT_Battery,2030,9,2,2,440.50629894083977
195,AT_Battery,2030,9,3,3,0.0
196,AT_Battery,2030,9,4,4,0.0
197,AT_Battery,2030,9,5,5,440.50629894083977
198,AT_Battery,2030,9,6,6,440.50629894083977
199,AT_Battery,2030,9,7,7,440.50629894083977
200,AT_Battery,2030,9,8,8,0.0
201,AT_Battery,2030,9,9,9,0.0
202,AT_Battery,2030,9,10,10,0.0
203,AT_Battery,2030,9,11,11,0.0
204,AT_Battery,2030,9,12,12,0.0
205,AT_Battery,2030,9,13,13,0.0
206,AT_Battery,2030,9,14,14,0.0
207,AT_Battery,2030,9,15,15,62.73315261893174
208,AT_Battery,2030,9,16,16,440.50629894083977
209,AT_Battery,2030,9,17,17,440.50629894083977
210,AT_Battery,2030,9,18,18,440.50629894083977
211,AT_Battery,2030,9,19,19,0.0
212,AT_Battery,2030,9,20,20,0.0
213,AT_Battery,2030,9,21,21,0.0
214,AT_Battery,2030,9,22,22,0.0
215,AT_Battery,2030,9,23,23,0.0
216,AT_Battery,2030,9,24,24,0.0
217,AT_Battery,2030,10,1,1,0.0
218,AT_Battery,2030,10,2,2,0.0
219,AT_Battery,2030,10,3,3,440.50629894083977
220,AT_Battery,2030,10,4,4,0.0
221,AT_Battery,2030,10,5,5,440.50629894083977
222,AT_Battery,2030,10,6,6,137.47573748034
223,AT_Battery,2030,10,7,7,137.47573748034
224,AT_Battery,2030,10,8,8,208.93030599340477
225,AT_Battery,2030,10,9,9,440.50629894083977
226,AT_Battery,2030,10,10,10,1.5798178785180426
227,AT_Battery,2030,10,11,11,161.09335630301553
228,AT_Battery,2030,10,12,12,161.09335630301553
229,AT_Battery,2030,10,13,13,440.50629894083977
230,AT_Battery,2030,10,14,14,440.50629894083977
231,AT_Battery,2030,10,15,15,440.50629894083977
232,AT_Battery,2030,10,16,16,440.50629894083977
233,AT_Battery,2030,10,17,17,440.50629894083977
234,AT_Battery,2030,10,18,18,0.0
235,AT_Battery,2030,10,19,19,0.0
236,AT_Battery,2030,10,20,20,0.0
237,AT_Battery,2030,10,21,21,0.0
238,AT_Battery,2030,10,22,22,0.0
239,AT_Battery,2030,10,23,23,0.0
240,AT_Battery,2030,10,24,24,0.0
241,BE_Battery,2030,1,1,1,0.0
242,BE_Battery,2030,1,2,2,0.0
243,BE_Battery,2030,1,3,3,70.70974328594275
244,BE_Battery,2030,1,4,4,70.70974328594275
245,BE_Battery,2030,1,5,5,0.0
246,BE_Battery,2030,1,6,6,70.70974328594275
247,BE_Battery,2030,1,7,7,38.76524979934129
248,BE_Battery,2030,1,8,8,70.70974328594275
249,BE_Battery,2030,1,9,9,0.0
250,BE_Battery,2030,1,10,10,0.0
251,BE_Battery,2030,1,11,11,0.0
252,BE_Battery,2030,1,12,12,0.0
253,BE_Battery,2030,1,13,13,0.0
254,BE_Battery,2030,1,14,14,0.0
255,BE_Battery,2030,1,15,15,0.0
256,BE_Battery,2030,1,16,16,70.70974328594275
257,BE_Battery,2030,1,17,17,70.70974328594275
258,BE_Battery,2030,1,18,18,70.70974328594275
259,BE_Battery,2030,1,19,19,70.70974328594275
260,BE_Battery,2030,1,20,20,0.0
261,BE_Battery,2030,1,21,21,0.0
262,BE_Battery,2030,1,22,22,0.0
263,BE_Battery,2030,1,23,23,0.0
264,BE_Battery,2030,1,24,24,0.0
265,BE_Battery,2030,2,1,1,0.0
266,BE_Battery,2030,2,2,2,0.0
267,BE_Battery,2030,2,3,3,0.0
268,BE_Battery,2030,2,4,4,70.70974328594275
269,BE_Battery,2030,2,5,5,0.0
270,BE_Battery,2030,2,6,6,70.70974328594275
271,BE_Battery,2030,2,7,7,70.70974328594275
272,BE_Battery,2030,2,8,8,0.0
273,BE_Battery,2030,2,9,9,70.70974328594275
274,BE_Battery,2030,2,10,10,0.0
275,BE_Battery,2030,2,11,11,0.0
276,BE_Battery,2030,2,12,12,0.0
277,BE_Battery,2030,2,13,13,0.0
278,BE_Battery,2030,2,14,14,0.0
279,BE_Battery,2030,2,15,15,70.70974328594275
280,BE_Battery,2030,2,16,16,70.70974328594275
281,BE_Battery,2030,2,17,17,70.70974328594275
282,BE_Battery,2030,2,18,18,70.70974328594275
283,BE_Battery,2030,2,19,19,0.0
284,BE_Battery,2030,2,20,20,0.0
285,BE_Battery,2030,2,21,21,0.0
286,BE_Battery,2030,2,22,22,70.70974328594275
287,BE_Battery,2030,2,23,23,0.0
288,BE_Battery,2030,2,24,24,0.0
289,BE_Battery,2030,3,1,1,0.0
290,BE_Battery,2030,3,2,2,0.0
291,BE_Battery,2030,3,3,3,0.0
292,BE_Battery,2030,3,4,4,70.70974328594275
293,BE_Battery,2030,3,5,5,70.70974328594275
294,BE_Battery,2030,3,6,6,0.0
295,BE_Battery,2030,3,7,7,70.70974328594275
