id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,false,18.0,,0.0
2,NL_Wind_Onshore,2030,false,49.0,,515.3639618082879
3,NL_Wind_Offshore,2030,false,49.0,,0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,-0.0
6,NL_CCGT,2030,true,357.0,,9.0
7,NL_OCGT,2030,true,357.0,,2.0
8,NL_Battery,2030,false,100.0,,0.0
9,BE_Solar,2030,false,18.0,,390.96888890115235
10,BE_Wind_Onshore,2030,false,49.0,,392.3485633092284
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,0.0
13,BE_CCGT,2030,true,357.0,,6.0
14,BE_OCGT,2030,true,357.0,,-0.0
15,BE_Battery,2030,false,100.0,,0.7729551450251338
16,DE_Solar,2030,false,18.0,,2745.4406438918645
17,DE_Wind_Offshore,2030,false,49.0,,0.0
18,DE_Coal,2030,true,824.0,,22.0
19,DE_Nuclear,2030,true,2095.0,,0.0
20,DE_CCGT,2030,true,357.0,,17.0
21,DE_OCGT,2030,true,357.0,,19.0
22,DE_Battery,2030,false,100.0,,25.654200473231285
23,FR_Wind_Onshore,2030,false,49.0,,2347.2229571071857
24,FR_Wind_Offshore,2030,false,49.0,,0.0
25,FR_Coal,2030,true,824.0,,7.0
26,FR_Nuclear,2030,true,2095.0,,0.0
27,FR_OCGT,2030,true,357.0,,1.0
28,FR_Battery,2030,false,100.0,,27.475335505454566
29,LU_Solar,2030,false,18.0,,186.13649546245802
30,LU_Wind_Onshore,2030,false,49.0,,0.0
31,LU_Wind_Offshore,2030,false,49.0,,0.0
32,LU_Coal,2030,true,824.0,,-0.0
33,LU_Nuclear,2030,true,2095.0,,-0.0
34,LU_CCGT,2030,true,357.0,,-0.0
35,LU_OCGT,2030,true,357.0,,0.0
36,LU_Battery,2030,false,100.0,,4.182391269138743
37,CH_Solar,2030,false,18.0,,581.338807446956
38,CH_Wind_Onshore,2030,false,49.0,,57.27064118422165
39,CH_Wind_Offshore,2030,false,49.0,,0.0
40,CH_Coal,2030,true,824.0,,5.0
41,CH_Nuclear,2030,true,2095.0,,0.0
42,CH_OCGT,2030,true,357.0,,6.0
43,UK_Solar,2030,false,18.0,,0.0
44,UK_Coal,2030,true,824.0,,-0.0
45,UK_Nuclear,2030,true,2095.0,,0.0
46,UK_CCGT,2030,true,357.0,,11.0
47,UK_OCGT,2030,true,357.0,,9.0
48,UK_Battery,2030,false,100.0,,21.68557614640473
49,DK_Solar,2030,false,18.0,,0.0
50,DK_Coal,2030,true,824.0,,-0.0
51,DK_Nuclear,2030,true,2095.0,,-0.0
52,DK_OCGT,2030,true,357.0,,0.0
53,DK_Battery,2030,false,100.0,,0.0
54,NO_Solar,2030,false,18.0,,0.0
55,NO_Wind_Onshore,2030,false,49.0,,848.3526158811247
56,NO_Wind_Offshore,2030,false,49.0,,0.0
57,NO_Nuclear,2030,true,2095.0,,0.0
58,NO_CCGT,2030,true,357.0,,-0.0
59,NO_OCGT,2030,true,357.0,,-0.0
60,NO_Battery,2030,false,100.0,,0.0
61,IE_Wind_Offshore,2030,false,49.0,,0.0
62,IE_Coal,2030,true,824.0,,-0.0
63,IE_Nuclear,2030,true,2095.0,,0.0
64,IE_CCGT,2030,true,357.0,,-0.0
65,IE_OCGT,2030,true,357.0,,-0.0
66,SE_Wind_Onshore,2030,false,49.0,,741.5328426896795
67,SE_Coal,2030,true,824.0,,-0.0
68,SE_Nuclear,2030,true,2095.0,,-0.0
69,SE_CCGT,2030,true,357.0,,23.0
70,SE_OCGT,2030,true,357.0,,0.0
71,SE_Battery,2030,false,100.0,,0.534022884288689
72,AT_Solar,2030,false,18.0,,0.0
73,AT_Wind_Onshore,2030,false,49.0,,558.7289196865601
74,AT_Wind_Offshore,2030,false,49.0,,0.0
75,AT_Coal,2030,true,824.0,,3.0
76,AT_Nuclear,2030,true,2095.0,,0.0
77,AT_CCGT,2030,true,357.0,,0.0
78,AT_OCGT,2030,true,357.0,,4.0
79,AT_Battery,2030,false,100.0,,0.0
80,CZ_Solar,2030,false,18.0,,228.06923950502917
81,CZ_Wind_Offshore,2030,false,49.0,,0.0
82,CZ_Nuclear,2030,true,2095.0,,-0.0
83,CZ_CCGT,2030,true,357.0,,2.0
84,CZ_OCGT,2030,true,357.0,,-0.0
85,CZ_Battery,2030,false,100.0,,1.9148151412626067
86,PL_Solar,2030,false,18.0,,649.5211080881584
87,PL_Wind_Onshore,2030,false,49.0,,629.134758699956
88,PL_Wind_Offshore,2030,false,49.0,,0.0
89,PL_Coal,2030,true,824.0,,7.0
90,PL_Nuclear,2030,true,2095.0,,-0.0
91,PL_OCGT,2030,true,357.0,,0.0
92,PL_Battery,2030,false,100.0,,1.5247327318172939
93,ES_Solar,2030,false,18.0,,1161.6869982992368
94,ES_Wind_Onshore,2030,false,49.0,,1352.1747223597954
95,ES_Wind_Offshore,2030,false,49.0,,0.0
96,ES_Coal,2030,true,824.0,,11.0
97,ES_Nuclear,2030,true,2095.0,,-0.0
98,ES_CCGT,2030,true,357.0,,13.0
99,ES_OCGT,2030,true,357.0,,22.0
100,ES_Battery,2030,false,100.0,,12.527652999259715
101,IT_Solar,2030,false,18.0,,3118.5809052960094
102,IT_Wind_Offshore,2030,false,49.0,,0.0
103,IT_Nuclear,2030,true,2095.0,,0.0
104,IT_CCGT,2030,true,357.0,,12.0
105,IT_OCGT,2030,true,357.0,,26.0
106,IT_Battery,2030,false,100.0,,22.815528660108715
107,LT_Wind_Onshore,2030,false,49.0,,14.53722710511374
108,LT_Wind_Offshore,2030,false,49.0,,0.0
109,LT_Coal,2030,true,824.0,,0.0
110,LT_Nuclear,2030,true,2095.0,,0.0
111,LT_CCGT,2030,true,357.0,,3.0
112,LT_OCGT,2030,true,357.0,,0.0
113,LT_Battery,2030,false,100.0,,0.6129853035212074
114,FI_Solar,2030,false,18.0,,253.34337235283087
115,FI_Wind_Onshore,2030,false,49.0,,588.0116103708559
116,FI_Coal,2030,true,824.0,,3.0
117,FI_Nuclear,2030,true,2095.0,,0.0
118,FI_OCGT,2030,true,357.0,,2.0
119,FI_Battery,2030,false,100.0,,2.292643766939417
120,SI_Solar,2030,false,18.0,,250.23734139617713
121,SI_Wind_Onshore,2030,false,49.0,,0.0
122,SI_Wind_Offshore,2030,false,49.0,,0.0
123,SI_Coal,2030,true,824.0,,-0.0
124,SI_OCGT,2030,true,357.0,,0.0
125,HU_Solar,2030,false,18.0,,145.38580418847755
126,HU_Wind_Onshore,2030,false,49.0,,149.89549052257695
127,HU_Wind_Offshore,2030,false,49.0,,0.0
128,HU_Coal,2030,true,824.0,,6.0
129,HU_Nuclear,2030,true,2095.0,,-0.0
130,HU_CCGT,2030,true,357.0,,1.0
131,HU_OCGT,2030,true,357.0,,0.0
132,HU_Battery,2030,false,100.0,,0.0
133,SK_Wind_Onshore,2030,false,49.0,,83.73357119524977
134,SK_Wind_Offshore,2030,false,49.0,,0.0
135,SK_Nuclear,2030,true,2095.0,,0.0
136,SK_CCGT,2030,true,357.0,,-0.0
137,SK_OCGT,2030,true,357.0,,-0.0
138,SK_Battery,2030,false,100.0,,2.4586926015002426
139,PT_Solar,2030,false,18.0,,172.45772449956414
140,PT_Wind_Onshore,2030,false,49.0,,348.72937749122497
141,PT_Wind_Offshore,2030,false,49.0,,0.0
142,PT_Coal,2030,true,824.0,,2.0
143,PT_Nuclear,2030,true,2095.0,,0.0
144,PT_CCGT,2030,true,357.0,,1.0
145,PT_OCGT,2030,true,357.0,,4.0
146,PT_Battery,2030,false,100.0,,3.036556842467492
147,HR_Solar,2030,false,18.0,,23.002501400068052
148,HR_Wind_Onshore,2030,false,49.0,,131.3271757105007
149,HR_Coal,2030,true,824.0,,0.0
150,HR_CCGT,2030,true,357.0,,0.0
151,HR_OCGT,2030,true,357.0,,-0.0
152,HR_Battery,2030,false,100.0,,2.1644050461008977
153,RO_Solar,2030,false,18.0,,174.04365158380165
154,RO_Wind_Onshore,2030,false,49.0,,277.4746037406002
155,RO_Wind_Offshore,2030,false,49.0,,0.0
