id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.0
2,BE_Battery,2030,false,10.0,,83.96827681463144
3,DE_Battery,2030,false,10.0,,506.1653727853671
4,FR_Battery,2030,false,10.0,,450.1649095133491
5,LU_Battery,2030,false,10.0,,73.60490327276145
6,CH_Battery,2030,false,10.0,,33.93418973988851
7,UK_Battery,2030,false,10.0,,281.2027422894025
8,DK_Battery,2030,false,10.0,,0.0
9,NO_Battery,2030,false,10.0,,0.0
10,IE_Battery,2030,false,10.0,,0.0
11,SE_Battery,2030,false,10.0,,0.0
12,AT_Battery,2030,false,10.0,,0.0
13,CZ_Battery,2030,false,10.0,,102.46053525497541
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,365.65879920895367
16,IT_Battery,2030,false,10.0,,402.1153406660771
17,LT_Battery,2030,false,10.0,,44.54738671850546
18,FI_Battery,2030,false,10.0,,43.98478319895624
19,SI_Battery,2030,false,10.0,,0.0
20,HU_Battery,2030,false,10.0,,0.0
21,SK_Battery,2030,false,10.0,,33.08093161464071
22,PT_Battery,2030,false,10.0,,55.94305490267916
23,HR_Battery,2030,false,10.0,,0.0
24,RO_Battery,2030,false,10.0,,9.905046758338766
25,GR_Battery,2030,false,10.0,,0.0
26,LV_Battery,2030,false,10.0,,0.0
27,EE_Battery,2030,false,10.0,,0.0
28,MT_Battery,2030,false,10.0,,260.79593977287146
29,CY_Battery,2030,false,10.0,,0.0
30,BG_Battery,2030,false,10.0,,16.552095338848186
