id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.0
2,BE_Battery,2030,false,10.0,,0.0
3,DE_Battery,2030,false,10.0,,373.76291079061923
4,FR_Battery,2030,false,10.0,,397.9733062736035
5,LU_Battery,2030,false,10.0,,0.0
6,CH_Battery,2030,false,10.0,,25.701587301587303
7,UK_Battery,2030,false,10.0,,208.24149417416191
8,DK_Battery,2030,false,10.0,,0.0
9,NO_Battery,2030,false,10.0,,0.0
10,IE_Battery,2030,false,10.0,,0.0
11,SE_Battery,2030,false,10.0,,0.0
12,AT_Battery,2030,false,10.0,,0.0
13,CZ_Battery,2030,false,10.0,,21.66175538194966
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,260.8221309057543
16,IT_Battery,2030,false,10.0,,87.30675934321425
17,LT_Battery,2030,false,10.0,,0.0
18,FI_Battery,2030,false,10.0,,18.306276912554722
19,SI_Battery,2030,false,10.0,,0.0
20,HU_Battery,2030,false,10.0,,0.0
21,SK_Battery,2030,false,10.0,,0.0
22,PT_Battery,2030,false,10.0,,68.53219379635338
23,HR_Battery,2030,false,10.0,,0.0
24,RO_Battery,2030,false,10.0,,0.0
25,GR_Battery,2030,false,10.0,,12.439209395171156
26,LV_Battery,2030,false,10.0,,0.0
27,EE_Battery,2030,false,10.0,,73.81649303971204
28,MT_Battery,2030,false,10.0,,203.56898496788818
29,CY_Battery,2030,false,10.0,,47.10747768155943
30,BG_Battery,2030,false,10.0,,30.702155537914564
