id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,AT_E_Demand,2030,1,1,4,3.7524
2,AT_E_Demand,2030,1,5,8,6.996
3,AT_E_Demand,2030,1,9,12,8.343465895319513
4,AT_E_Demand,2030,1,13,16,3.7524
5,AT_E_Demand,2030,1,17,20,10.812
6,AT_E_Demand,2030,1,21,24,3.7524
7,AT_E_Demand,2030,2,1,4,0.0
8,AT_E_Demand,2030,2,5,8,0.0
9,AT_E_Demand,2030,2,9,12,0.0
10,AT_E_Demand,2030,2,13,16,0.0
11,AT_E_Demand,2030,2,17,20,0.0
12,AT_E_Demand,2030,2,21,24,0.0
13,AT_E_Demand,2030,3,1,4,2.0532
14,AT_E_Demand,2030,3,5,8,5.9159999999999995
15,AT_E_Demand,2030,3,9,12,3.8280000000000003
16,AT_E_Demand,2030,3,13,16,6.5942875551795535
17,AT_E_Demand,2030,3,17,20,5.9159999999999995
18,AT_E_Demand,2030,3,21,24,5.9159999999999995
19,AT_E_Demand,2030,4,1,4,1.6284
20,AT_E_Demand,2030,4,5,8,1.6284
21,AT_E_Demand,2030,4,9,12,1.6284
22,AT_E_Demand,2030,4,13,16,1.6284
23,AT_E_Demand,2030,4,17,20,1.6284
24,AT_E_Demand,2030,4,21,24,1.6284
25,AT_E_Demand,2030,5,1,4,0.0
26,AT_E_Demand,2030,5,5,8,0.0
27,AT_E_Demand,2030,5,9,12,0.0
28,AT_E_Demand,2030,5,13,16,0.0
29,AT_E_Demand,2030,5,17,20,0.0
30,AT_E_Demand,2030,5,21,24,0.0
31,AT_E_Demand,2030,6,1,4,1.2744
32,AT_E_Demand,2030,6,5,8,1.2744
33,AT_E_Demand,2030,6,9,12,1.2744
34,AT_E_Demand,2030,6,13,16,0.0
35,AT_E_Demand,2030,6,17,20,1.2744
36,AT_E_Demand,2030,6,21,24,1.2744
37,AT_E_Demand,2030,7,1,4,2.6196
38,AT_E_Demand,2030,7,5,8,5.505765882546219
39,AT_E_Demand,2030,7,9,12,3.5592507835147873
40,AT_E_Demand,2030,7,13,16,2.934480267147695
41,AT_E_Demand,2030,7,17,20,4.884
42,AT_E_Demand,2030,7,21,24,2.6196
43,AT_E_Demand,2030,8,1,4,5.939218623265224
44,AT_E_Demand,2030,8,5,8,5.939218623265224
45,AT_E_Demand,2030,8,9,12,2.923964922444161
46,AT_E_Demand,2030,8,13,16,0.0
47,AT_E_Demand,2030,8,17,20,2.1948
48,AT_E_Demand,2030,8,21,24,2.1948
49,AT_E_Demand,2030,9,1,4,0.0
50,AT_E_Demand,2030,9,5,8,8.946500876633703
51,AT_E_Demand,2030,9,9,12,3.0444
52,AT_E_Demand,2030,9,13,16,4.839854734307975
53,AT_E_Demand,2030,9,17,20,3.0444
54,AT_E_Demand,2030,9,21,24,0.0
55,AT_E_Demand,2030,10,1,4,3.2568
56,AT_E_Demand,2030,10,5,8,6.072
57,AT_E_Demand,2030,10,9,12,3.2568
58,AT_E_Demand,2030,10,13,16,3.2568
59,AT_E_Demand,2030,10,17,20,9.383999999999999
60,AT_E_Demand,2030,10,21,24,3.2568
61,BE_E_Demand,2030,1,1,4,3.7524
62,BE_E_Demand,2030,1,5,8,6.996
63,BE_E_Demand,2030,1,9,12,10.812
64,BE_E_Demand,2030,1,13,16,3.8415765492910436
65,BE_E_Demand,2030,1,17,20,6.996
66,BE_E_Demand,2030,1,21,24,3.7524
67,BE_E_Demand,2030,2,1,4,0.0
68,BE_E_Demand,2030,2,5,8,0.0
69,BE_E_Demand,2030,2,9,12,2.3364000000000003
70,BE_E_Demand,2030,2,13,16,2.3364000000000003
71,BE_E_Demand,2030,2,17,20,2.3364000000000003
72,BE_E_Demand,2030,2,21,24,2.3364000000000003
73,BE_E_Demand,2030,3,1,4,0.0
74,BE_E_Demand,2030,3,5,8,0.0
75,BE_E_Demand,2030,3,9,12,0.0
76,BE_E_Demand,2030,3,13,16,0.0
77,BE_E_Demand,2030,3,17,20,0.0
78,BE_E_Demand,2030,3,21,24,0.0
79,BE_E_Demand,2030,4,1,4,0.0
80,BE_E_Demand,2030,4,5,8,0.0
81,BE_E_Demand,2030,4,9,12,0.0
82,BE_E_Demand,2030,4,13,16,0.0
83,BE_E_Demand,2030,4,17,20,1.6284
84,BE_E_Demand,2030,4,21,24,1.6284
85,BE_E_Demand,2030,5,1,4,0.0
86,BE_E_Demand,2030,5,5,8,0.0
87,BE_E_Demand,2030,5,9,12,0.0
88,BE_E_Demand,2030,5,13,16,0.0
89,BE_E_Demand,2030,5,17,20,0.0
90,BE_E_Demand,2030,5,21,24,0.0
91,BE_E_Demand,2030,6,1,4,1.2744
92,BE_E_Demand,2030,6,5,8,1.2744
93,BE_E_Demand,2030,6,9,12,1.2744
94,BE_E_Demand,2030,6,13,16,1.2744
95,BE_E_Demand,2030,6,17,20,1.2744
96,BE_E_Demand,2030,6,21,24,2.7228076671531287
97,BE_E_Demand,2030,7,1,4,2.6196
98,BE_E_Demand,2030,7,5,8,5.505765882546219
99,BE_E_Demand,2030,7,9,12,4.884
100,BE_E_Demand,2030,7,13,16,4.884
101,BE_E_Demand,2030,7,17,20,21.523700612390716
102,BE_E_Demand,2030,7,21,24,2.6196
