id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,AT_E_Demand,2030,1,1,5,6.852214491301703
2,AT_E_Demand,2030,1,6,10,8.745000000000001
3,AT_E_Demand,2030,1,11,15,4.6905
4,AT_E_Demand,2030,1,16,24,8.745000000000001
5,AT_E_Demand,2030,2,1,5,0.0
6,AT_E_Demand,2030,2,6,10,0.0
7,AT_E_Demand,2030,2,11,15,0.0
8,AT_E_Demand,2030,2,16,24,1.0583671509659225
9,AT_E_Demand,2030,3,1,5,2.5665
10,AT_E_Demand,2030,3,6,10,7.395
11,AT_E_Demand,2030,3,11,15,12.87946909195276
12,AT_E_Demand,2030,3,16,24,25.80927874412307
13,AT_E_Demand,2030,4,1,5,2.0355
14,AT_E_Demand,2030,4,6,10,3.6913580272076953
15,AT_E_Demand,2030,4,11,15,2.0355
16,AT_E_Demand,2030,4,16,24,3.7950000000000004
17,AT_E_Demand,2030,5,1,5,0.0
18,AT_E_Demand,2030,5,6,10,0.0
19,AT_E_Demand,2030,5,11,15,1.6098876162889777
20,AT_E_Demand,2030,5,16,24,0.0
21,AT_E_Demand,2030,6,1,5,1.593
22,AT_E_Demand,2030,6,6,10,1.593
23,AT_E_Demand,2030,6,11,15,0.0
24,AT_E_Demand,2030,6,16,24,1.593
25,AT_E_Demand,2030,7,1,5,3.2745
26,AT_E_Demand,2030,7,6,10,3.2745
27,AT_E_Demand,2030,7,11,15,3.2745
28,AT_E_Demand,2030,7,16,24,6.105
29,AT_E_Demand,2030,8,1,5,5.082528856117447
30,AT_E_Demand,2030,8,6,10,2.7435
31,AT_E_Demand,2030,8,11,15,0.0
32,AT_E_Demand,2030,8,16,24,10.33026352499622
33,AT_E_Demand,2030,9,1,5,0.0
34,AT_E_Demand,2030,9,6,10,3.8055
35,AT_E_Demand,2030,9,11,15,3.1151501849168572
36,AT_E_Demand,2030,9,16,24,3.8055
37,AT_E_Demand,2030,10,1,5,4.071
38,AT_E_Demand,2030,10,6,10,7.590000000000001
39,AT_E_Demand,2030,10,11,15,7.590000000000001
40,AT_E_Demand,2030,10,16,24,11.729999999999999
41,BE_E_Demand,2030,1,1,5,6.852214491301703
42,BE_E_Demand,2030,1,6,10,8.745000000000001
43,BE_E_Demand,2030,1,11,15,7.325337616090948
44,BE_E_Demand,2030,1,16,24,8.745000000000001
45,BE_E_Demand,2030,2,1,5,0.0
46,BE_E_Demand,2030,2,6,10,2.9205000000000005
47,BE_E_Demand,2030,2,11,15,2.9205
48,BE_E_Demand,2030,2,16,24,2.9205
49,BE_E_Demand,2030,3,1,5,0.0
50,BE_E_Demand,2030,3,6,10,0.0
51,BE_E_Demand,2030,3,11,15,0.0
52,BE_E_Demand,2030,3,16,24,0.0
53,BE_E_Demand,2030,4,1,5,2.0355
54,BE_E_Demand,2030,4,6,10,2.0355
55,BE_E_Demand,2030,4,11,15,2.0355
56,BE_E_Demand,2030,4,16,24,3.7950000000000004
57,BE_E_Demand,2030,5,1,5,0.0
58,BE_E_Demand,2030,5,6,10,0.0
59,BE_E_Demand,2030,5,11,15,0.0
60,BE_E_Demand,2030,5,16,24,0.0
61,BE_E_Demand,2030,6,1,5,1.593
62,BE_E_Demand,2030,6,6,10,1.593
63,BE_E_Demand,2030,6,11,15,1.5498216565941374
64,BE_E_Demand,2030,6,16,24,1.593
65,BE_E_Demand,2030,7,1,5,3.2745
66,BE_E_Demand,2030,7,6,10,6.105
67,BE_E_Demand,2030,7,11,15,6.105
68,BE_E_Demand,2030,7,16,24,6.3594963699399685
69,BE_E_Demand,2030,8,1,5,0.0
70,BE_E_Demand,2030,8,6,10,0.0
71,BE_E_Demand,2030,8,11,15,0.0
72,BE_E_Demand,2030,8,16,24,0.0
73,BE_E_Demand,2030,9,1,5,0.0
74,BE_E_Demand,2030,9,6,10,0.0
75,BE_E_Demand,2030,9,11,15,0.0
76,BE_E_Demand,2030,9,16,24,3.8055
77,BE_E_Demand,2030,10,1,5,4.071
78,BE_E_Demand,2030,10,6,10,20.256611351273563
79,BE_E_Demand,2030,10,11,15,27.26221227448781
80,BE_E_Demand,2030,10,16,24,11.729999999999999
81,BG_E_Demand,2030,1,1,5,6.852214491301703
82,BG_E_Demand,2030,1,6,10,8.745000000000001
83,BG_E_Demand,2030,1,11,15,4.6905
84,BG_E_Demand,2030,1,16,24,8.745000000000001
85,BG_E_Demand,2030,2,1,5,0.0
86,BG_E_Demand,2030,2,6,10,0.0
87,BG_E_Demand,2030,2,11,15,0.0
88,BG_E_Demand,2030,2,16,24,0.0
89,BG_E_Demand,2030,3,1,5,2.5665
90,BG_E_Demand,2030,3,6,10,7.395
91,BG_E_Demand,2030,3,11,15,12.87946909195276
92,BG_E_Demand,2030,3,16,24,25.80927874412307
93,BG_E_Demand,2030,4,1,5,2.0355
94,BG_E_Demand,2030,4,6,10,2.0355
95,BG_E_Demand,2030,4,11,15,0.0
96,BG_E_Demand,2030,4,16,24,3.7950000000000004
