id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,DK_Balance,2030,1,1,5,745,0.0,0.0
2,NL_Balance,DK_Balance,2030,1,6,10,746,0.0,0.0
3,NL_Balance,DK_Balance,2030,1,11,15,747,0.0,0.0
4,NL_Balance,DK_Balance,2030,1,16,20,748,0.0,0.0
5,NL_Balance,NO_Balance,2030,1,1,5,749,0.0,0.0
6,NL_Balance,NO_Balance,2030,1,6,10,750,0.0,0.0
7,NL_Balance,NO_Balance,2030,1,11,15,751,0.0,0.0
8,NL_Balance,NO_Balance,2030,1,16,20,752,0.0,0.0
9,NL_Balance,BE_Balance,2030,1,1,5,753,0.0,0.0
10,NL_Balance,BE_Balance,2030,1,6,10,754,0.0,-0.0
11,NL_Balance,BE_Balance,2030,1,11,15,755,0.0,2.8391160901199797
12,NL_Balance,BE_Balance,2030,1,16,20,756,0.0,0.0
13,NL_Balance,UK_Balance,2030,1,1,5,757,0.0,6.852214491301703
14,NL_Balance,UK_Balance,2030,1,6,10,758,0.0,-0.0
15,NL_Balance,UK_Balance,2030,1,11,15,759,0.0,0.0
16,NL_Balance,UK_Balance,2030,1,16,20,760,0.0,8.745000000000001
17,BE_Balance,FR_Balance,2030,1,1,5,761,0.0,0.0
18,BE_Balance,FR_Balance,2030,1,6,10,762,0.0,0.0
19,BE_Balance,FR_Balance,2030,1,11,15,763,0.0,0.0
20,BE_Balance,FR_Balance,2030,1,16,20,764,0.0,0.0
21,BE_Balance,DE_Balance,2030,1,1,5,765,0.0,0.0
22,BE_Balance,DE_Balance,2030,1,6,10,766,0.0,0.0
23,BE_Balance,DE_Balance,2030,1,11,15,767,0.0,2.634837616090948
24,BE_Balance,DE_Balance,2030,1,16,20,768,0.0,-0.0
25,DE_Balance,DK_Balance,2030,1,1,5,769,0.0,0.0
26,DE_Balance,DK_Balance,2030,1,6,10,770,0.0,0.0
27,DE_Balance,DK_Balance,2030,1,11,15,771,-5.473953706210928,0.0
28,DE_Balance,DK_Balance,2030,1,16,20,772,0.0,0.0
29,DE_Balance,AT_Balance,2030,1,1,5,773,0.0,0.0
30,DE_Balance,AT_Balance,2030,1,6,10,774,0.0,-0.0
31,DE_Balance,AT_Balance,2030,1,11,15,775,0.0,0.0
32,DE_Balance,AT_Balance,2030,1,16,20,776,0.0,0.0
33,DE_Balance,LU_Balance,2030,1,1,5,777,0.0,0.0
34,DE_Balance,LU_Balance,2030,1,6,10,778,0.0,-0.0
35,DE_Balance,LU_Balance,2030,1,11,15,779,-1.250928518443235,0.0
36,DE_Balance,LU_Balance,2030,1,16,20,780,0.0,0.0
37,DE_Balance,CH_Balance,2030,1,1,5,781,0.0,-0.0
38,DE_Balance,CH_Balance,2030,1,6,10,782,0.0,-0.0
