id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,1,5,11241.103017254942
2,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,6,10,12738.305141375753
3,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,11,15,13595.901103874206
4,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,16,20,12662.411626035639
5,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,1,5,7952.816891983098
6,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,6,10,6216.063325086321
7,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,11,15,4530.455579478786
8,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,16,20,7811.632202472035
9,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,5,0.0
10,NL_OCGT,NL_Balance,2030,1,1.0,1.0,6,10,0.0
11,NL_OCGT,NL_Balance,2030,1,1.0,1.0,11,15,0.0
12,NL_OCGT,NL_Balance,2030,1,1.0,1.0,16,20,0.0
13,NL_Battery,NL_Balance,2030,1,1.0,1.0,1,5,0.0
14,NL_Battery,NL_Balance,2030,1,1.0,1.0,6,10,0.0
15,NL_Battery,NL_Balance,2030,1,1.0,1.0,11,15,0.0
16,NL_Battery,NL_Balance,2030,1,1.0,1.0,16,20,0.0
17,NL_Balance,NL_Battery,2030,1,1.0,1.0,1,5,0.0
18,NL_Balance,NL_Battery,2030,1,1.0,1.0,6,10,0.0
19,NL_Balance,NL_Battery,2030,1,1.0,1.0,11,15,0.0
20,NL_Balance,NL_Battery,2030,1,1.0,1.0,16,20,0.0
21,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,1,5,0.0
22,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,6,10,0.0
23,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,11,15,0.0
24,BE_Wind_Offshore,BE_Balance,2030,1,1.0,1.0,16,20,0.0
25,BE_Coal,BE_Balance,2030,1,1.0,1.0,1,5,2471.999999999999
26,BE_Coal,BE_Balance,2030,1,1.0,1.0,6,10,2471.9999999999995
27,BE_Coal,BE_Balance,2030,1,1.0,1.0,11,15,2471.999999999991
28,BE_Coal,BE_Balance,2030,1,1.0,1.0,16,20,2472.0
29,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,1,5,0.0
30,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,6,10,0.0
31,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,11,15,0.0
32,BE_Nuclear,BE_Balance,2030,1,1.0,1.0,16,20,0.0
33,BE_CCGT,BE_Balance,2030,1,1.0,1.0,1,5,0.0
34,BE_CCGT,BE_Balance,2030,1,1.0,1.0,6,10,2499.0
35,BE_CCGT,BE_Balance,2030,1,1.0,1.0,11,15,0.0
36,BE_CCGT,BE_Balance,2030,1,1.0,1.0,16,20,0.0
37,BE_OCGT,BE_Balance,2030,1,1.0,1.0,1,5,0.0
38,BE_OCGT,BE_Balance,2030,1,1.0,1.0,6,10,0.0
39,BE_OCGT,BE_Balance,2030,1,1.0,1.0,11,15,0.0
40,BE_OCGT,BE_Balance,2030,1,1.0,1.0,16,20,0.0
41,DE_Solar,DE_Balance,2030,1,1.0,1.0,1,5,0.0
42,DE_Solar,DE_Balance,2030,1,1.0,1.0,6,10,11460.944896526404
43,DE_Solar,DE_Balance,2030,1,1.0,1.0,11,15,35492.117479130684
44,DE_Solar,DE_Balance,2030,1,1.0,1.0,16,20,8175.102353544074
45,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,1,5,23086.56851738076
46,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,6,10,17404.93282437059
47,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,11,15,13762.953155876012
48,DE_Wind_Onshore,DE_Balance,2030,1,1.0,1.0,16,20,23873.745759018668
49,DE_Coal,DE_Balance,2030,1,1.0,1.0,1,5,14832.0
50,DE_Coal,DE_Balance,2030,1,1.0,1.0,6,10,14831.99999927287
51,DE_Coal,DE_Balance,2030,1,1.0,1.0,11,15,14832.0
52,DE_Coal,DE_Balance,2030,1,1.0,1.0,16,20,14831.999999999993
53,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,1,5,0.0
54,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,6,10,0.0
55,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,11,15,0.0
56,DE_Nuclear,DE_Balance,2030,1,1.0,1.0,16,20,0.0
57,DE_CCGT,DE_Balance,2030,1,1.0,1.0,1,5,642.6
58,DE_CCGT,DE_Balance,2030,1,1.0,1.0,6,10,9996.0
59,DE_CCGT,DE_Balance,2030,1,1.0,1.0,11,15,0.0
60,DE_CCGT,DE_Balance,2030,1,1.0,1.0,16,20,6783.0
61,DE_OCGT,DE_Balance,2030,1,1.0,1.0,1,5,0.0
62,DE_OCGT,DE_Balance,2030,1,1.0,1.0,6,10,0.0
63,DE_OCGT,DE_Balance,2030,1,1.0,1.0,11,15,0.0
64,DE_OCGT,DE_Balance,2030,1,1.0,1.0,16,20,0.0
65,FR_Solar,FR_Balance,2030,1,1.0,1.0,1,5,0.0
66,FR_Solar,FR_Balance,2030,1,1.0,1.0,6,10,4264.261233911509
67,FR_Solar,FR_Balance,2030,1,1.0,1.0,11,15,18803.133866076925
68,FR_Solar,FR_Balance,2030,1,1.0,1.0,16,20,5526.658841074891
69,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,1,5,34461.12224638396
70,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,6,10,27245.4578725253
71,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,11,15,19557.391145066336
72,FR_Wind_Onshore,FR_Balance,2030,1,1.0,1.0,16,20,31536.704896106305
73,FR_Coal,FR_Balance,2030,1,1.0,1.0,1,5,4944.0
74,FR_Coal,FR_Balance,2030,1,1.0,1.0,6,10,4944.0
75,FR_Coal,FR_Balance,2030,1,1.0,1.0,11,15,4944.0
76,FR_Coal,FR_Balance,2030,1,1.0,1.0,16,20,4944.0
77,FR_CCGT,FR_Balance,2030,1,1.0,1.0,1,5,0.0
78,FR_CCGT,FR_Balance,2030,1,1.0,1.0,6,10,3927.0
79,FR_CCGT,FR_Balance,2030,1,1.0,1.0,11,15,963.9
80,FR_CCGT,FR_Balance,2030,1,1.0,1.0,16,20,2142.0
81,FR_OCGT,FR_Balance,2030,1,1.0,1.0,1,5,0.0
82,FR_OCGT,FR_Balance,2030,1,1.0,1.0,6,10,0.0
83,FR_OCGT,FR_Balance,2030,1,1.0,1.0,11,15,0.0
84,FR_OCGT,FR_Balance,2030,1,1.0,1.0,16,20,0.0
85,FR_Battery,FR_Balance,2030,1,1.0,1.0,1,5,0.0
86,FR_Battery,FR_Balance,2030,1,1.0,1.0,6,10,0.0
87,FR_Battery,FR_Balance,2030,1,1.0,1.0,11,15,0.0
88,FR_Battery,FR_Balance,2030,1,1.0,1.0,16,20,0.0
89,FR_Balance,FR_Battery,2030,1,1.0,1.0,1,5,0.0
90,FR_Balance,FR_Battery,2030,1,1.0,1.0,6,10,0.0
91,FR_Balance,FR_Battery,2030,1,1.0,1.0,11,15,0.0
92,FR_Balance,FR_Battery,2030,1,1.0,1.0,16,20,0.0
93,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,1,5,520.1334914928001
94,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,6,10,616.0117013712
95,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,11,15,677.8586277888002
96,LU_Balance,LU_E_Demand,2030,1,1.0,1.0,16,20,612.6071291573332
97,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,1,5,0.0
98,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,6,10,0.0
99,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,11,15,0.0
100,LU_Wind_Offshore,LU_Balance,2030,1,1.0,1.0,16,20,0.0
101,LU_Coal,LU_Balance,2030,1,1.0,1.0,1,5,0.0
102,LU_Coal,LU_Balance,2030,1,1.0,1.0,6,10,0.0
103,LU_Coal,LU_Balance,2030,1,1.0,1.0,11,15,0.0
104,LU_Coal,LU_Balance,2030,1,1.0,1.0,16,20,0.0
105,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,1,5,0.0
106,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,6,10,0.0
107,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,11,15,0.0
108,LU_Nuclear,LU_Balance,2030,1,1.0,1.0,16,20,0.0
109,LU_OCGT,LU_Balance,2030,1,1.0,1.0,1,5,0.0
110,LU_OCGT,LU_Balance,2030,1,1.0,1.0,6,10,0.0
