id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
1,AT_Battery,2030,1,1,5,0.0
2,AT_Battery,2030,1,6,10,0.0
3,AT_Battery,2030,1,11,15,0.0
4,AT_Battery,2030,1,16,24,0.0
5,AT_Battery,2030,2,1,5,0.0
6,AT_Battery,2030,2,6,10,0.0
7,AT_Battery,2030,2,11,15,0.0
8,AT_Battery,2030,2,16,24,0.0
9,AT_Battery,2030,3,1,5,0.0
10,AT_Battery,2030,3,6,10,0.0
11,AT_Battery,2030,3,11,15,-6.847165705666303
12,AT_Battery,2030,3,16,24,0.0
13,AT_Battery,2030,4,1,5,0.0
14,AT_Battery,2030,4,6,10,0.0
15,AT_Battery,2030,4,11,15,0.0
16,AT_Battery,2030,4,16,24,0.0
17,AT_Battery,2030,5,1,5,0.0
18,AT_Battery,2030,5,6,10,0.0
19,AT_Battery,2030,5,11,15,0.0
20,AT_Battery,2030,5,16,24,0.0
21,AT_Battery,2030,6,1,5,0.0
22,AT_Battery,2030,6,6,10,0.0
23,AT_Battery,2030,6,11,15,0.0
24,AT_Battery,2030,6,16,24,0.0
25,AT_Battery,2030,7,1,5,0.0
26,AT_Battery,2030,7,6,10,0.0
27,AT_Battery,2030,7,11,15,0.0
28,AT_Battery,2030,7,16,24,0.0
29,AT_Battery,2030,8,1,5,0.0
30,AT_Battery,2030,8,6,10,0.0
31,AT_Battery,2030,8,11,15,-2.7435000000000005
32,AT_Battery,2030,8,16,24,0.0
33,AT_Battery,2030,9,1,5,0.0
34,AT_Battery,2030,9,6,10,0.0
35,AT_Battery,2030,9,11,15,0.0
36,AT_Battery,2030,9,16,24,0.0
37,AT_Battery,2030,10,1,5,0.0
38,AT_Battery,2030,10,6,10,0.0
39,AT_Battery,2030,10,11,15,0.0
40,AT_Battery,2030,10,16,24,0.0
41,BE_Battery,2030,1,1,5,0.0
42,BE_Battery,2030,1,6,10,0.0
43,BE_Battery,2030,1,11,15,0.0
44,BE_Battery,2030,1,16,24,0.0
45,BE_Battery,2030,2,1,5,0.0
46,BE_Battery,2030,2,6,10,0.0
47,BE_Battery,2030,2,11,15,0.0
48,BE_Battery,2030,2,16,24,0.0
49,BE_Battery,2030,3,1,5,0.0
50,BE_Battery,2030,3,6,10,0.0
51,BE_Battery,2030,3,11,15,0.0
52,BE_Battery,2030,3,16,24,0.0
53,BE_Battery,2030,4,1,5,0.0
54,BE_Battery,2030,4,6,10,0.0
55,BE_Battery,2030,4,11,15,-1.759500000000001
56,BE_Battery,2030,4,16,24,0.0
57,BE_Battery,2030,5,1,5,0.0
58,BE_Battery,2030,5,6,10,0.0
59,BE_Battery,2030,5,11,15,0.0
60,BE_Battery,2030,5,16,24,0.0
61,BE_Battery,2030,6,1,5,0.0
62,BE_Battery,2030,6,6,10,0.0
63,BE_Battery,2030,6,11,15,0.0
64,BE_Battery,2030,6,16,24,0.0
65,BE_Battery,2030,7,1,5,0.0
66,BE_Battery,2030,7,6,10,0.0
67,BE_Battery,2030,7,11,15,0.0
68,BE_Battery,2030,7,16,24,0.0
69,BE_Battery,2030,8,1,5,0.0
70,BE_Battery,2030,8,6,10,0.0
71,BE_Battery,2030,8,11,15,0.0
72,BE_Battery,2030,8,16,24,0.0
73,BE_Battery,2030,9,1,5,0.0
74,BE_Battery,2030,9,6,10,0.0
75,BE_Battery,2030,9,11,15,0.0
76,BE_Battery,2030,9,16,24,0.0
77,BE_Battery,2030,10,1,5,0.0
78,BE_Battery,2030,10,6,10,0.0
79,BE_Battery,2030,10,11,15,0.0
80,BE_Battery,2030,10,16,24,0.0
81,BG_Battery,2030,1,1,5,0.0
82,BG_Battery,2030,1,6,10,0.0
83,BG_Battery,2030,1,11,15,0.0
84,BG_Battery,2030,1,16,24,0.0
85,BG_Battery,2030,2,1,5,0.0
86,BG_Battery,2030,2,6,10,0.0
87,BG_Battery,2030,2,11,15,0.0
88,BG_Battery,2030,2,16,24,0.0
89,BG_Battery,2030,3,1,5,0.0
90,BG_Battery,2030,3,6,10,0.0
91,BG_Battery,2030,3,11,15,0.0
92,BG_Battery,2030,3,16,24,0.0
93,BG_Battery,2030,4,1,5,0.0
94,BG_Battery,2030,4,6,10,0.0
95,BG_Battery,2030,4,11,15,0.0
96,BG_Battery,2030,4,16,24,0.0
97,BG_Battery,2030,5,1,5,0.0
98,BG_Battery,2030,5,6,10,0.0
99,BG_Battery,2030,5,11,15,0.0
100,BG_Battery,2030,5,16,24,0.0
101,BG_Battery,2030,6,1,5,0.0
102,BG_Battery,2030,6,6,10,0.0
103,BG_Battery,2030,6,11,15,0.0
104,BG_Battery,2030,6,16,24,0.0
105,BG_Battery,2030,7,1,5,0.0
106,BG_Battery,2030,7,6,10,0.0
107,BG_Battery,2030,7,11,15,0.0
108,BG_Battery,2030,7,16,24,0.0
109,BG_Battery,2030,8,1,5,0.0
110,BG_Battery,2030,8,6,10,0.0
111,BG_Battery,2030,8,11,15,0.0
112,BG_Battery,2030,8,16,24,0.0
113,BG_Battery,2030,9,1,5,0.0
114,BG_Battery,2030,9,6,10,0.0
115,BG_Battery,2030,9,11,15,0.0
116,BG_Battery,2030,9,16,24,0.0
117,BG_Battery,2030,10,1,5,0.0
118,BG_Battery,2030,10,6,10,0.0
119,BG_Battery,2030,10,11,15,0.0
120,BG_Battery,2030,10,16,24,0.0
121,CH_Battery,2030,1,1,5,0.0
122,CH_Battery,2030,1,6,10,0.0
123,CH_Battery,2030,1,11,15,0.0
124,CH_Battery,2030,1,16,24,0.0
125,CH_Battery,2030,2,1,5,0.0
126,CH_Battery,2030,2,6,10,0.0
127,CH_Battery,2030,2,11,15,0.0
128,CH_Battery,2030,2,16,24,0.0
129,CH_Battery,2030,3,1,5,0.0
130,CH_Battery,2030,3,6,10,0.0
131,CH_Battery,2030,3,11,15,0.0
132,CH_Battery,2030,3,16,24,-5.441665705666303
133,CH_Battery,2030,4,1,5,0.0
134,CH_Battery,2030,4,6,10,0.0
135,CH_Battery,2030,4,11,15,0.0
136,CH_Battery,2030,4,16,24,0.0
137,CH_Battery,2030,5,1,5,0.0
138,CH_Battery,2030,5,6,10,0.0
139,CH_Battery,2030,5,11,15,0.0
140,CH_Battery,2030,5,16,24,0.0
141,CH_Battery,2030,6,1,5,0.0
142,CH_Battery,2030,6,6,10,0.0
143,CH_Battery,2030,6,11,15,-1.593
144,CH_Battery,2030,6,16,24,0.0
145,CH_Battery,2030,7,1,5,0.0
146,CH_Battery,2030,7,6,10,0.0
147,CH_Battery,2030,7,11,15,0.0
148,CH_Battery,2030,7,16,24,0.0
149,CH_Battery,2030,8,1,5,0.0
