id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,AT_Battery,2030,1,1,3,-0.9381,-0.8109000000000001,0.0
2,AT_Battery,2030,1,4,6,-1.749,-0.1824146791430985,0.0
3,AT_Battery,2030,1,7,9,-1.9314146791430986,0.0,0.0
4,AT_Battery,2030,1,10,12,-1.9314146791430986,0.0,0.0
5,AT_Battery,2030,1,13,15,-1.749,0.0,0.0
6,AT_Battery,2030,1,16,18,-1.749,-0.9539999999999997,0.0
7,AT_Battery,2030,1,19,21,-2.703,0.0,0.0
8,AT_Battery,2030,1,22,24,-0.9381,0.0,0.0
9,AT_Battery,2030,2,1,3,0.0,0.0,0.0
10,AT_Battery,2030,2,4,6,0.0,0.0,0.0
11,AT_Battery,2030,2,7,9,0.0,-0.2966441337706157,0.0
12,AT_Battery,2030,2,10,12,-0.2966441337706157,0.0,0.0
13,AT_Battery,2030,2,13,15,0.0,0.0,0.0
14,AT_Battery,2030,2,16,18,0.0,0.0,0.0
15,AT_Battery,2030,2,19,21,0.0,0.0,0.0
16,AT_Battery,2030,2,22,24,0.0,0.0,0.0
17,AT_Battery,2030,3,1,3,-0.9570000000000001,0.0,0.0
18,AT_Battery,2030,3,4,6,-0.9570000000000001,-1.0770107202886912,0.0
19,AT_Battery,2030,3,7,9,-2.0340107202886912,0.0,0.0
20,AT_Battery,2030,3,10,12,-0.5133,-0.9656999999999999,0.0
21,AT_Battery,2030,3,13,15,-1.4789999999999999,-4.352886293519601,0.0
22,AT_Battery,2030,3,16,18,-5.8318862935196005,-0.02000410207454717,0.0
23,AT_Battery,2030,3,19,21,-5.851890395594148,0.0,0.0
24,AT_Battery,2030,3,22,24,-0.9570000000000001,0.0,0.0
25,AT_Battery,2030,4,1,3,-0.4071,0.0,0.0
26,AT_Battery,2030,4,4,6,-0.4071,0.0,0.0
27,AT_Battery,2030,4,7,9,-0.4071,0.0,0.0
28,AT_Battery,2030,4,10,12,-0.4071,0.0,0.0
29,AT_Battery,2030,4,13,15,-0.4071,0.0,0.0
30,AT_Battery,2030,4,16,18,-0.4070999999999999,0.0,0.0
31,AT_Battery,2030,4,19,21,-0.40709999999999996,0.0,0.0
32,AT_Battery,2030,4,22,24,0.0,0.0,0.0
33,AT_Battery,2030,5,1,3,0.0,0.0,0.0
34,AT_Battery,2030,5,4,6,0.0,0.0,0.0
35,AT_Battery,2030,5,7,9,0.0,0.0,0.0
36,AT_Battery,2030,5,10,12,0.0,0.0,0.0
37,AT_Battery,2030,5,13,15,0.0,0.0,0.0
38,AT_Battery,2030,5,16,18,0.0,0.0,0.0
39,AT_Battery,2030,5,19,21,0.0,0.0,0.0
40,AT_Battery,2030,5,22,24,0.0,0.0,0.0
41,AT_Battery,2030,6,1,3,-0.3186,0.0,0.0
42,AT_Battery,2030,6,4,6,-0.1062,0.0,0.0
43,AT_Battery,2030,6,7,9,0.0,-0.3186,0.0
44,AT_Battery,2030,6,10,12,-0.3186,0.0,0.0
45,AT_Battery,2030,6,13,15,-0.2844642857142857,0.0,0.0
46,AT_Battery,2030,6,16,18,-0.2844642857142857,-0.03413571428571427,0.0
47,AT_Battery,2030,6,19,21,-0.3186,0.0,0.0
48,AT_Battery,2030,6,22,24,-0.3186,0.0,0.0
49,AT_Battery,2030,7,1,3,-0.6549,0.0,0.0
50,AT_Battery,2030,7,4,6,-0.6549,0.0,0.0
51,AT_Battery,2030,7,7,9,-0.6549,0.0,0.0
52,AT_Battery,2030,7,10,12,-0.6549,0.0,0.0
53,AT_Battery,2030,7,13,15,-0.6549,0.0,0.0
54,AT_Battery,2030,7,16,18,-0.6549,-0.22928859084252295,0.0
55,AT_Battery,2030,7,19,21,-0.884188590842523,0.0,0.0
56,AT_Battery,2030,7,22,24,-0.6549,0.0,0.0
57,AT_Battery,2030,8,1,3,-0.65844,0.0,0.0
58,AT_Battery,2030,8,4,6,-0.65844,-0.05815935467806477,0.0
59,AT_Battery,2030,8,7,9,-0.7165993546780648,0.0,0.0
60,AT_Battery,2030,8,10,12,-0.27435,0.0,0.0
61,AT_Battery,2030,8,13,15,-0.27435,0.0,0.0
62,AT_Battery,2030,8,16,18,-0.27435,-0.27435,0.0
63,AT_Battery,2030,8,19,21,-0.5487,0.0,0.0
64,AT_Battery,2030,8,22,24,-0.5487,0.0,0.0
65,AT_Battery,2030,9,1,3,0.0,0.0,0.0
66,AT_Battery,2030,9,4,6,0.0,-0.7611,0.0
67,AT_Battery,2030,9,7,9,-0.7611,0.0,0.0
68,AT_Battery,2030,9,10,12,-0.7611,-0.4990946741119541,0.0
69,AT_Battery,2030,9,13,15,-1.260194674111954,0.0,0.0
70,AT_Battery,2030,9,16,18,-0.48137062944223447,-0.9058774429514993,0.0
71,AT_Battery,2030,9,19,21,-1.3872480723937337,0.0,0.0
72,AT_Battery,2030,9,22,24,0.0,0.0,0.0
73,AT_Battery,2030,10,1,3,-0.8142,0.0,0.0
74,AT_Battery,2030,10,4,6,-0.8142,0.0,0.0
75,AT_Battery,2030,10,7,9,-0.8142,-0.7038000000000002,0.0
76,AT_Battery,2030,10,10,12,-1.5180000000000002,-0.8279999999999994,0.0
77,AT_Battery,2030,10,13,15,-2.3459999999999996,0.0,0.0
78,AT_Battery,2030,10,16,18,-2.2217999999999996,-0.12420000000000009,0.0
79,AT_Battery,2030,10,19,21,-2.3459999999999996,0.0,0.0
80,AT_Battery,2030,10,22,24,-0.8142,0.0,0.0
81,BE_Battery,2030,1,1,2,-0.9381,0.0,0.0
82,BE_Battery,2030,1,3,4,-0.9381,-0.8109000000000001,0.0
83,BE_Battery,2030,1,5,6,-1.749,-0.1824146791430985,0.0
84,BE_Battery,2030,1,7,8,-1.9314146791430986,-0.19110101154902615,0.0
85,BE_Battery,2030,1,9,10,-2.1225156906921248,0.0,0.0
86,BE_Battery,2030,1,11,12,-1.9314146791430986,0.0,0.0
87,BE_Battery,2030,1,13,14,-1.749,0.0,0.0
88,BE_Battery,2030,1,15,16,-1.2243,-0.5247000000000002,0.0
89,BE_Battery,2030,1,17,18,-1.749,0.0,0.0
90,BE_Battery,2030,1,19,20,-1.749,0.0,0.0
91,BE_Battery,2030,1,21,22,-1.749,0.0,0.0
92,BE_Battery,2030,1,23,24,-0.9381,0.0,0.0
93,BE_Battery,2030,2,1,2,0.0,0.0,0.0
94,BE_Battery,2030,2,3,4,0.0,0.0,0.0
95,BE_Battery,2030,2,5,6,0.0,-0.5841000000000001,0.0
96,BE_Battery,2030,2,7,8,-0.5841000000000001,0.0,0.0
97,BE_Battery,2030,2,9,10,-0.5841000000000001,0.0,0.0
98,BE_Battery,2030,2,11,12,-0.5841000000000001,0.0,0.0
99,BE_Battery,2030,2,13,14,-0.5841000000000001,0.0,0.0
100,BE_Battery,2030,2,15,16,-0.5841000000000001,0.0,0.0
101,BE_Battery,2030,2,17,18,-0.5841000000000001,0.0,0.0
102,BE_Battery,2030,2,19,20,-0.5841000000000001,0.0,0.0
103,BE_Battery,2030,2,21,22,-0.5841000000000001,0.0,0.0
104,BE_Battery,2030,2,23,24,-0.5841000000000001,0.0,0.0
105,BE_Battery,2030,3,1,2,0.0,0.0,0.0
106,BE_Battery,2030,3,3,4,0.0,0.0,0.0
107,BE_Battery,2030,3,5,6,0.0,0.0,0.0
108,BE_Battery,2030,3,7,8,0.0,0.0,0.0
109,BE_Battery,2030,3,9,10,0.0,0.0,0.0
110,BE_Battery,2030,3,11,12,0.0,0.0,0.0
111,BE_Battery,2030,3,13,14,0.0,0.0,0.0
112,BE_Battery,2030,3,15,16,0.0,0.0,0.0
113,BE_Battery,2030,3,17,18,0.0,0.0,0.0
114,BE_Battery,2030,3,19,20,0.0,0.0,0.0
115,BE_Battery,2030,3,21,22,0.0,0.0,0.0
116,BE_Battery,2030,3,23,24,0.0,0.0,0.0
117,BE_Battery,2030,4,1,2,0.0,0.0,0.0
118,BE_Battery,2030,4,3,4,0.0,0.0,0.0
119,BE_Battery,2030,4,5,6,0.0,-0.4071,0.0
120,BE_Battery,2030,4,7,8,-0.4071,0.0,0.0
121,BE_Battery,2030,4,9,10,-0.4071,0.0,0.0
122,BE_Battery,2030,4,11,12,0.0,0.0,0.0
123,BE_Battery,2030,4,13,14,0.0,0.0,0.0
124,BE_Battery,2030,4,15,16,0.0,-0.05283639410763841,0.0
125,BE_Battery,2030,4,17,18,-0.05283639410763841,0.0,0.0
126,BE_Battery,2030,4,19,20,0.0,-0.026418197053819203,0.0
127,BE_Battery,2030,4,21,22,-0.026418197053819203,0.0,0.0
128,BE_Battery,2030,4,23,24,0.0,0.0,0.0
129,BE_Battery,2030,5,1,2,0.0,0.0,0.0
130,BE_Battery,2030,5,3,4,0.0,0.0,0.0
131,BE_Battery,2030,5,5,6,0.0,0.0,0.0
132,BE_Battery,2030,5,7,8,0.0,0.0,0.0
133,BE_Battery,2030,5,9,10,0.0,0.0,0.0
134,BE_Battery,2030,5,11,12,0.0,0.0,0.0
135,BE_Battery,2030,5,13,14,0.0,0.0,0.0
136,BE_Battery,2030,5,15,16,0.0,0.0,0.0
137,BE_Battery,2030,5,17,18,0.0,0.0,0.0
138,BE_Battery,2030,5,19,20,0.0,0.0,0.0
139,BE_Battery,2030,5,21,22,0.0,0.0,0.0
140,BE_Battery,2030,5,23,24,0.0,0.0,0.0
141,BE_Battery,2030,6,1,2,-0.3186,0.0,0.0
142,BE_Battery,2030,6,3,4,-0.3186,0.0,0.0
143,BE_Battery,2030,6,5,6,-0.3186,0.0,0.0
144,BE_Battery,2030,6,7,8,-0.3186,0.0,0.0
145,BE_Battery,2030,6,9,10,-0.3186,0.0,0.0
146,BE_Battery,2030,6,11,12,-0.3186,0.0,0.0
147,BE_Battery,2030,6,13,14,-0.3186,-5.551115123125783e-17,0.0
148,BE_Battery,2030,6,15,16,-0.31860000000000005,5.551115123125783e-17,0.0
149,BE_Battery,2030,6,17,18,-0.3186,0.0,0.0
150,BE_Battery,2030,6,19,20,-0.3186,0.0,0.0
151,BE_Battery,2030,6,21,22,-0.3186,0.0,0.0
152,BE_Battery,2030,6,23,24,-0.3186,0.0,0.0
153,BE_Battery,2030,7,1,2,-0.6549,0.0,0.0
154,BE_Battery,2030,7,3,4,-0.6549,0.0,0.0
155,BE_Battery,2030,7,5,6,-0.6549,-1.0525420449852203,0.0
156,BE_Battery,2030,7,7,8,-1.7074420449852203,-0.3960874538237631,0.0
157,BE_Battery,2030,7,9,10,-1.7074420449852203,-0.17955795501477945,0.0
158,BE_Battery,2030,7,11,12,-1.8869999999999998,0.0,0.0
159,BE_Battery,2030,7,13,14,-1.3277820267340108,0.0,0.0
160,BE_Battery,2030,7,15,16,-1.221,-0.6659999999999997,0.0
161,BE_Battery,2030,7,17,18,-1.8869999999999998,0.0,0.0
162,BE_Battery,2030,7,19,20,-1.8869999999999998,0.0,0.0
163,BE_Battery,2030,7,21,22,-1.221,0.0,0.0
164,BE_Battery,2030,7,23,24,-0.6549,0.0,0.0
165,BE_Battery,2030,8,1,2,0.0,0.0,0.0
166,BE_Battery,2030,8,3,4,0.0,0.0,0.0
167,BE_Battery,2030,8,5,6,0.0,0.0,0.0
168,BE_Battery,2030,8,7,8,0.0,0.0,0.0
169,BE_Battery,2030,8,9,10,0.0,0.0,0.0
170,BE_Battery,2030,8,11,12,0.0,0.0,0.0
171,BE_Battery,2030,8,13,14,0.0,0.0,0.0
172,BE_Battery,2030,8,15,16,0.0,0.0,0.0
173,BE_Battery,2030,8,17,18,0.0,0.0,0.0
174,BE_Battery,2030,8,19,20,0.0,0.0,0.0
175,BE_Battery,2030,8,21,22,0.0,0.0,0.0
176,BE_Battery,2030,8,23,24,0.0,0.0,0.0
177,BE_Battery,2030,9,1,2,0.0,0.0,0.0
178,BE_Battery,2030,9,3,4,0.0,0.0,0.0
179,BE_Battery,2030,9,5,6,0.0,0.0,0.0
180,BE_Battery,2030,9,7,8,0.0,0.0,0.0
181,BE_Battery,2030,9,9,10,0.0,0.0,0.0
182,BE_Battery,2030,9,11,12,0.0,0.0,0.0
183,BE_Battery,2030,9,13,14,0.0,0.0,0.0
184,BE_Battery,2030,9,15,16,0.0,0.0,0.0
185,BE_Battery,2030,9,17,18,0.0,-1.3872480723937337,0.0
186,BE_Battery,2030,9,19,20,-1.3872480723937337,0.0,0.0
187,BE_Battery,2030,9,21,22,-0.7611,0.0,0.0
188,BE_Battery,2030,9,23,24,0.0,0.0,0.0
189,BE_Battery,2030,10,1,2,-0.8142,0.0,0.0
190,BE_Battery,2030,10,3,4,-0.8142,-0.7038,0.0
191,BE_Battery,2030,10,5,6,-1.518,0.0,0.0
192,BE_Battery,2030,10,7,8,-1.518,-0.4139999999999999,0.0
193,BE_Battery,2030,10,9,10,-1.932,-0.4139999999999997,0.0
194,BE_Battery,2030,10,11,12,-2.3459999999999996,0.0,0.0
195,BE_Battery,2030,10,13,14,-2.3459999999999996,0.0,0.0
196,BE_Battery,2030,10,15,16,-2.3459999999999996,-5.403359897595223,0.0
197,BE_Battery,2030,10,17,18,-7.749359897595223,0.0,0.0
198,BE_Battery,2030,10,19,20,-2.3459999999999996,0.0,0.0
199,BE_Battery,2030,10,21,22,-1.5179999999999996,0.0,0.0
200,BE_Battery,2030,10,23,24,-0.8142,0.0,0.0
201,BG_Battery,2030,1,1,5,-0.9381,-1.4387684080257683,0.0
202,BG_Battery,2030,1,6,10,-2.3768684080257683,0.0,0.0
203,BG_Battery,2030,1,11,15,-0.9381,-0.9486262601503964,0.0
204,BG_Battery,2030,1,16,20,-1.8867262601503962,0.0,0.0
205,BG_Battery,2030,2,1,5,0.0,0.0,0.0
206,BG_Battery,2030,2,6,10,0.0,0.0,0.0
207,BG_Battery,2030,2,11,15,0.0,0.0,0.0
208,BG_Battery,2030,2,16,20,0.0,0.0,0.0
209,BG_Battery,2030,3,1,5,-0.5133,-0.9656999999999999,0.0
210,BG_Battery,2030,3,6,10,-1.4789999999999999,0.0,0.0
211,BG_Battery,2030,3,11,15,-0.9570000000000001,-5.834663341687144,0.0
212,BG_Battery,2030,3,16,20,-6.791663341687144,0.0,0.0
213,BG_Battery,2030,4,1,5,0.0,-0.4071,0.0
214,BG_Battery,2030,4,6,10,-0.4071,5.551115123125783e-17,0.0
215,BG_Battery,2030,4,11,15,-0.40709999999999996,0.0,0.0
216,BG_Battery,2030,4,16,20,-0.40709999999999996,0.0,0.0
217,BG_Battery,2030,5,1,5,-0.9204000000000001,0.0,0.0
218,BG_Battery,2030,5,6,10,-0.9204000000000001,0.0,0.0
219,BG_Battery,2030,5,11,15,-0.4085208136170273,0.0,0.0
220,BG_Battery,2030,5,16,20,-0.4085208136170273,0.0,0.0
221,BG_Battery,2030,6,1,5,-0.3186,0.0,0.0
222,BG_Battery,2030,6,6,10,-0.3186,0.0,0.0
223,BG_Battery,2030,6,11,15,-0.13654285714285722,-0.18205714285714278,0.0
224,BG_Battery,2030,6,16,20,-0.3186,0.0,0.0
225,BG_Battery,2030,7,1,5,-0.6549,0.0,0.0
226,BG_Battery,2030,7,6,10,-0.6549000000000001,0.0,0.0
227,BG_Battery,2030,7,11,15,0.0,-0.6549,0.0
228,BG_Battery,2030,7,16,20,-0.6549,0.0,0.0
229,BG_Battery,2030,8,1,5,-0.9768705751769103,0.0,0.0
230,BG_Battery,2030,8,6,10,-0.5487000000000001,0.0,0.0
231,BG_Battery,2030,8,11,15,0.0,-0.5487,0.0
232,BG_Battery,2030,8,16,20,-0.5487,0.0,0.0
233,BG_Battery,2030,9,1,5,-0.7611,0.0,0.0
234,BG_Battery,2030,9,6,10,-0.7611,0.0,0.0
235,BG_Battery,2030,9,11,15,-0.7611,-0.6579,0.0
236,BG_Battery,2030,9,16,20,-1.419,0.0,0.0
237,BG_Battery,2030,10,1,5,-0.8141999999999999,-1.7577505529458515,0.0
238,BG_Battery,2030,10,6,10,-2.5719505529458515,0.0,0.0
239,BG_Battery,2030,10,11,15,-0.8141999999999998,0.0,0.0
240,BG_Battery,2030,10,16,20,-0.8141999999999998,0.0,0.0
241,CH_Battery,2030,1,1,3,-0.9381,-0.8109000000000001,0.0
242,CH_Battery,2030,1,4,6,-1.749,-0.1824146791430985,0.0
243,CH_Battery,2030,1,7,9,-1.9314146791430986,0.0,0.0
244,CH_Battery,2030,1,10,12,-0.9381,0.0,0.0
245,CH_Battery,2030,1,13,15,-0.9381,-0.8109000000000001,0.0
246,CH_Battery,2030,1,16,18,-1.749,0.0,0.0
247,CH_Battery,2030,1,19,21,-1.749,0.0,0.0
248,CH_Battery,2030,1,22,24,-1.749,0.0,0.0
249,CH_Battery,2030,2,1,3,-0.5841000000000001,0.0,0.0
250,CH_Battery,2030,2,4,6,-0.5841000000000001,0.0,0.0
251,CH_Battery,2030,2,7,9,-0.5841000000000001,0.0,0.0
252,CH_Battery,2030,2,10,12,-0.5841000000000001,0.0,0.0
253,CH_Battery,2030,2,13,15,-0.5841000000000001,0.0,0.0
254,CH_Battery,2030,2,16,18,-0.5841000000000001,0.0,0.0
255,CH_Battery,2030,2,19,21,-0.5841000000000001,0.0,0.0
256,CH_Battery,2030,2,22,24,-0.5841000000000001,0.0,0.0
257,CH_Battery,2030,3,1,3,-0.9570000000000001,0.0,0.0
258,CH_Battery,2030,3,4,6,-0.9570000000000001,-1.0770107202886912,0.0
259,CH_Battery,2030,3,7,9,-2.0340107202886912,0.0,0.0
260,CH_Battery,2030,3,10,12,-0.5133,0.0,0.0
261,CH_Battery,2030,3,13,15,-0.5133,-5.230466085651809,0.0
262,CH_Battery,2030,3,16,18,-5.743766085651809,0.0,0.0
263,CH_Battery,2030,3,19,21,-5.743766085651809,0.0,0.0
264,CH_Battery,2030,3,22,24,-0.9570000000000001,0.0,0.0
265,CH_Battery,2030,4,1,3,-0.4071,0.0,0.0
266,CH_Battery,2030,4,4,6,-0.4071,0.0,0.0
267,CH_Battery,2030,4,7,9,-0.4071,0.0,0.0
268,CH_Battery,2030,4,10,12,-0.4071,0.0,0.0
269,CH_Battery,2030,4,13,15,-0.4071,5.551115123125783e-17,0.0
270,CH_Battery,2030,4,16,18,-0.40709999999999996,-0.01647028503245801,0.0
271,CH_Battery,2030,4,19,21,-0.42357028503245797,0.0,0.0
272,CH_Battery,2030,4,22,24,-0.42357028503245797,0.0,0.0
273,CH_Battery,2030,5,1,3,-0.9204,0.0,0.0
274,CH_Battery,2030,5,4,6,-0.9204,0.0,0.0
275,CH_Battery,2030,5,7,9,-0.9204,0.0,0.0
276,CH_Battery,2030,5,10,12,-0.9204,0.0,0.0
277,CH_Battery,2030,5,13,15,-0.6870502459616039,-0.23334975403839608,0.0
278,CH_Battery,2030,5,16,18,-0.9204,0.0,0.0
279,CH_Battery,2030,5,19,21,-0.9204,0.0,0.0
280,CH_Battery,2030,5,22,24,-0.9204,0.0,0.0
281,CH_Battery,2030,6,1,3,-0.3186,0.0,0.0
282,CH_Battery,2030,6,4,6,-0.3186,0.0,0.0
283,CH_Battery,2030,6,7,9,-0.3186,0.0,0.0
284,CH_Battery,2030,6,10,12,-0.3186,0.0,0.0
285,CH_Battery,2030,6,13,15,-0.2844642857142857,0.0,0.0
286,CH_Battery,2030,6,16,18,-0.2844642857142857,-0.03413571428571427,0.0
287,CH_Battery,2030,6,19,21,-0.3186,0.0,0.0
288,CH_Battery,2030,6,22,24,-0.3186,0.0,0.0
289,CH_Battery,2030,7,1,3,-0.6549,0.0,0.0
290,CH_Battery,2030,7,4,6,-0.6549,-0.8703297419903055,0.0
291,CH_Battery,2030,7,7,9,-1.5252297419903056,0.0,0.0
292,CH_Battery,2030,7,10,12,-0.6549,0.0,0.0
293,CH_Battery,2030,7,13,15,-0.6549,0.0,0.0
294,CH_Battery,2030,7,16,18,-0.6549,-1.1322,0.0
295,CH_Battery,2030,7,19,21,-1.7871000000000001,0.0,0.0
296,CH_Battery,2030,7,22,24,-0.6549,0.0,0.0
297,CH_Battery,2030,8,1,3,-0.65844,0.0,0.0
298,CH_Battery,2030,8,4,6,-0.65844,-0.05815935467806477,0.0
299,CH_Battery,2030,8,7,9,-0.7165993546780648,0.0,0.0
300,CH_Battery,2030,8,10,12,0.0,0.0,0.0
301,CH_Battery,2030,8,13,15,0.0,-0.27435,0.0
302,CH_Battery,2030,8,16,18,-0.27435,-0.27435,0.0
303,CH_Battery,2030,8,19,21,-0.5487,0.0,0.0
304,CH_Battery,2030,8,22,24,-0.5487,0.0,0.0
305,CH_Battery,2030,9,1,3,-0.7611,0.0,0.0
306,CH_Battery,2030,9,4,6,-0.7611,0.0,0.0
