id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,false,18.0,,0.0
2,NL_Wind_Onshore,2030,false,49.0,,504.466501772243
3,NL_Wind_Offshore,2030,false,49.0,,0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,0.0
6,NL_CCGT,2030,true,357.0,,9.0
7,NL_OCGT,2030,true,357.0,,2.0
8,NL_Battery,2030,false,100.0,,0.0
9,BE_Solar,2030,false,18.0,,514.8081622928688
10,BE_Wind_Onshore,2030,false,49.0,,391.168086990437
11,BE_Coal,2030,true,824.0,,2.0
12,BE_Nuclear,2030,true,2095.0,,0.0
13,BE_CCGT,2030,true,357.0,,5.0
14,BE_OCGT,2030,true,357.0,,1.0
15,BE_Battery,2030,false,100.0,,6.738540744368164
16,DE_Solar,2030,false,18.0,,2544.7209653538016
17,DE_Wind_Offshore,2030,false,49.0,,0.0
18,DE_Coal,2030,true,824.0,,25.0
19,DE_Nuclear,2030,true,2095.0,,0.0
20,DE_CCGT,2030,true,357.0,,12.0
21,DE_OCGT,2030,true,357.0,,19.0
22,DE_Battery,2030,false,100.0,,20.77118898684141
23,FR_Wind_Onshore,2030,false,49.0,,2334.301052240122
24,FR_Wind_Offshore,2030,false,49.0,,0.0
25,FR_Coal,2030,true,824.0,,8.0
26,FR_Nuclear,2030,true,2095.0,,0.0
27,FR_OCGT,2030,true,357.0,,0.0
28,FR_Battery,2030,false,100.0,,26.87670168305907
29,LU_Solar,2030,false,18.0,,58.533258057589926
30,LU_Wind_Onshore,2030,false,49.0,,0.0
31,LU_Wind_Offshore,2030,false,49.0,,0.0
32,LU_Coal,2030,true,824.0,,1.0
33,LU_Nuclear,2030,true,2095.0,,0.0
34,LU_CCGT,2030,true,357.0,,0.0
35,LU_OCGT,2030,true,357.0,,0.0
36,LU_Battery,2030,false,100.0,,9.460362084005064
37,CH_Solar,2030,false,18.0,,696.7862187566192
38,CH_Wind_Onshore,2030,false,49.0,,43.417448185936436
39,CH_Wind_Offshore,2030,false,49.0,,0.0
40,CH_Coal,2030,true,824.0,,5.0
41,CH_Nuclear,2030,true,2095.0,,0.0
42,CH_OCGT,2030,true,357.0,,4.0
43,UK_Solar,2030,false,18.0,,0.0
44,UK_Coal,2030,true,824.0,,-0.0
45,UK_Nuclear,2030,true,2095.0,,0.0
46,UK_CCGT,2030,true,357.0,,17.0
47,UK_OCGT,2030,true,357.0,,6.0
48,UK_Battery,2030,false,100.0,,17.111422996270985
49,DK_Solar,2030,false,18.0,,16.329238026365395
50,DK_Coal,2030,true,824.0,,-0.0
51,DK_Nuclear,2030,true,2095.0,,0.0
52,DK_OCGT,2030,true,357.0,,-0.0
53,DK_Battery,2030,false,100.0,,2.238199055242966
54,NO_Solar,2030,false,18.0,,0.0
55,NO_Wind_Onshore,2030,false,49.0,,833.0411244829525
56,NO_Wind_Offshore,2030,false,49.0,,0.0
57,NO_Nuclear,2030,true,2095.0,,0.0
58,NO_CCGT,2030,true,357.0,,-0.0
59,NO_OCGT,2030,true,357.0,,0.0
60,NO_Battery,2030,false,100.0,,1.3064702344238321
61,IE_Wind_Offshore,2030,false,49.0,,0.0
62,IE_Coal,2030,true,824.0,,-0.0
63,IE_Nuclear,2030,true,2095.0,,0.0
64,IE_CCGT,2030,true,357.0,,0.0
65,IE_OCGT,2030,true,357.0,,-0.0
66,SE_Wind_Onshore,2030,false,49.0,,721.7019713815843
67,SE_Coal,2030,true,824.0,,-0.0
68,SE_Nuclear,2030,true,2095.0,,0.0
69,SE_CCGT,2030,true,357.0,,22.0
70,SE_OCGT,2030,true,357.0,,0.0
71,SE_Battery,2030,false,100.0,,10.523200483245628
72,AT_Solar,2030,false,18.0,,32.44831515872772
73,AT_Wind_Onshore,2030,false,49.0,,583.6972352614233
74,AT_Wind_Offshore,2030,false,49.0,,0.0
75,AT_Coal,2030,true,824.0,,2.0
76,AT_Nuclear,2030,true,2095.0,,0.0
77,AT_CCGT,2030,true,357.0,,1.0
78,AT_OCGT,2030,true,357.0,,6.0
79,AT_Battery,2030,false,100.0,,1.5644745426981543
80,CZ_Solar,2030,false,18.0,,180.28244941248042
81,CZ_Wind_Offshore,2030,false,49.0,,0.0
82,CZ_Nuclear,2030,true,2095.0,,0.0
83,CZ_CCGT,2030,true,357.0,,0.0
84,CZ_OCGT,2030,true,357.0,,0.0
85,CZ_Battery,2030,false,100.0,,1.2997531800924116
86,PL_Solar,2030,false,18.0,,849.5412039679723
87,PL_Wind_Onshore,2030,false,49.0,,638.2486635072992
88,PL_Wind_Offshore,2030,false,49.0,,0.0
89,PL_Coal,2030,true,824.0,,6.0
90,PL_Nuclear,2030,true,2095.0,,0.0
91,PL_OCGT,2030,true,357.0,,0.0
92,PL_Battery,2030,false,100.0,,13.842774284153993
93,ES_Solar,2030,false,18.0,,1110.9543165091504
94,ES_Wind_Onshore,2030,false,49.0,,1344.8290111522576
95,ES_Wind_Offshore,2030,false,49.0,,0.0
96,ES_Coal,2030,true,824.0,,11.0
97,ES_Nuclear,2030,true,2095.0,,0.0
98,ES_CCGT,2030,true,357.0,,19.0
99,ES_OCGT,2030,true,357.0,,10.0
100,ES_Battery,2030,false,100.0,,39.71182800588458
101,IT_Solar,2030,false,18.0,,3869.219361289593
102,IT_Wind_Offshore,2030,false,49.0,,0.0
103,IT_Nuclear,2030,true,2095.0,,0.0
104,IT_CCGT,2030,true,357.0,,2.0
105,IT_OCGT,2030,true,357.0,,14.0
106,IT_Battery,2030,false,100.0,,61.140186854213674
107,LT_Wind_Onshore,2030,false,49.0,,4.590557988806799
108,LT_Wind_Offshore,2030,false,49.0,,0.0
109,LT_Coal,2030,true,824.0,,1.0
110,LT_Nuclear,2030,true,2095.0,,0.0
111,LT_CCGT,2030,true,357.0,,1.0
112,LT_OCGT,2030,true,357.0,,-0.0
113,LT_Battery,2030,false,100.0,,2.1318217701833655
114,FI_Solar,2030,false,18.0,,238.34965044317718
115,FI_Wind_Onshore,2030,false,49.0,,542.1976065177862
116,FI_Coal,2030,true,824.0,,4.0
117,FI_Nuclear,2030,true,2095.0,,0.0
118,FI_OCGT,2030,true,357.0,,0.0
119,FI_Battery,2030,false,100.0,,2.940566801112975
120,SI_Solar,2030,false,18.0,,129.4172300807582
121,SI_Wind_Onshore,2030,false,49.0,,0.0
122,SI_Wind_Offshore,2030,false,49.0,,0.0
123,SI_Coal,2030,true,824.0,,0.0
124,SI_OCGT,2030,true,357.0,,6.0
125,HU_Solar,2030,false,18.0,,89.93496365252044
126,HU_Wind_Onshore,2030,false,49.0,,152.2443136680024
127,HU_Wind_Offshore,2030,false,49.0,,0.0
128,HU_Coal,2030,true,824.0,,6.0
129,HU_Nuclear,2030,true,2095.0,,0.0
130,HU_CCGT,2030,true,357.0,,0.0
131,HU_OCGT,2030,true,357.0,,0.0
132,HU_Battery,2030,false,100.0,,0.0
133,SK_Wind_Onshore,2030,false,49.0,,43.463092189655306
134,SK_Wind_Offshore,2030,false,49.0,,0.0
135,SK_Nuclear,2030,true,2095.0,,0.0
136,SK_CCGT,2030,true,357.0,,0.0
137,SK_OCGT,2030,true,357.0,,-0.0
138,SK_Battery,2030,false,100.0,,2.6365413100130697
139,PT_Solar,2030,false,18.0,,346.77445078536624
140,PT_Wind_Onshore,2030,false,49.0,,427.2013584320044
141,PT_Wind_Offshore,2030,false,49.0,,0.0
142,PT_Coal,2030,true,824.0,,-0.0
143,PT_Nuclear,2030,true,2095.0,,0.0
144,PT_CCGT,2030,true,357.0,,0.0
145,PT_OCGT,2030,true,357.0,,3.0
146,PT_Battery,2030,false,100.0,,8.541145080371571
147,HR_Solar,2030,false,18.0,,118.42027015516422
148,HR_Wind_Onshore,2030,false,49.0,,122.55888433946993
149,HR_Coal,2030,true,824.0,,-0.0
150,HR_CCGT,2030,true,357.0,,0.0
151,HR_OCGT,2030,true,357.0,,0.0
152,HR_Battery,2030,false,100.0,,3.0537337299696743
153,RO_Solar,2030,false,18.0,,159.86456145942392
154,RO_Wind_Onshore,2030,false,49.0,,376.4301774144838
155,RO_Wind_Offshore,2030,false,49.0,,0.0
156,RO_Coal,2030,true,824.0,,2.0
157,RO_Nuclear,2030,true,2095.0,,0.0
158,RO_CCGT,2030,true,357.0,,0.0
159,RO_OCGT,2030,true,357.0,,1.0
160,RO_Battery,2030,false,100.0,,0.13396131082850843
161,GR_Solar,2030,false,18.0,,183.72308870219732
162,GR_Wind_Onshore,2030,false,49.0,,304.24725443131547
163,GR_Coal,2030,true,824.0,,0.0
164,GR_Battery,2030,false,100.0,,6.3670518309471955
165,LV_Solar,2030,false,18.0,,42.450972647904564
166,LV_Wind_Onshore,2030,false,49.0,,9.690133234215002
167,LV_Wind_Offshore,2030,false,49.0,,0.0
168,LV_Nuclear,2030,true,2095.0,,0.0
169,LV_CCGT,2030,true,357.0,,0.0
170,LV_OCGT,2030,true,357.0,,0.0
171,LV_Battery,2030,false,100.0,,1.113749418393021
172,EE_Solar,2030,false,18.0,,5.452331428277743
173,EE_Wind_Onshore,2030,false,49.0,,31.289186253548333
174,EE_Coal,2030,true,824.0,,-0.0
175,EE_CCGT,2030,true,357.0,,-0.0
176,EE_OCGT,2030,true,357.0,,-0.0
177,EE_Battery,2030,false,100.0,,0.22850779678182348
178,MT_Solar,2030,false,18.0,,10.277119138320879
179,MT_Wind_Onshore,2030,false,49.0,,0.0
180,MT_Wind_Offshore,2030,false,49.0,,0.0
181,MT_CCGT,2030,true,357.0,,0.0
182,MT_OCGT,2030,true,357.0,,-0.0
183,MT_Battery,2030,false,100.0,,0.4895374609989478
184,CY_Solar,2030,false,18.0,,93.96939034877134
185,CY_Wind_Onshore,2030,false,49.0,,0.0
186,CY_Coal,2030,true,824.0,,1.0
187,CY_Nuclear,2030,true,2095.0,,0.0
188,CY_CCGT,2030,true,357.0,,0.0
189,BG_Solar,2030,false,18.0,,193.96709847848493
190,BG_Wind_Onshore,2030,false,49.0,,89.78538778944267
191,BG_Wind_Offshore,2030,false,49.0,,0.0
192,BG_Nuclear,2030,true,2095.0,,0.0
193,BG_OCGT,2030,true,357.0,,2.0
194,BG_Battery,2030,false,100.0,,0.11686787258523566
195,DE_Wind_Onshore,2030,false,49.0,,1953.293747933958
196,UK_Wind_Onshore,2030,false,49.0,,1680.9442716029937
197,DK_Wind_Onshore,2030,false,49.0,,267.4142968868648
198,NO_Coal,2030,true,824.0,,-0.0
199,SE_Solar,2030,false,18.0,,22.52109437455053
200,SE_Wind_Offshore,2030,false,49.0,,0.0
201,IT_Wind_Onshore,2030,false,49.0,,210.99266548193012
202,HR_Nuclear,2030,true,2095.0,,0.0
203,GR_Wind_Offshore,2030,false,49.0,,0.0
204,GR_Nuclear,2030,true,2095.0,,0.0
205,LV_Coal,2030,true,824.0,,0.0
206,EE_Wind_Offshore,2030,false,49.0,,0.0
207,MT_Coal,2030,true,824.0,,-0.0
208,CY_Wind_Offshore,2030,false,49.0,,0.0
209,BG_CCGT,2030,true,357.0,,1.0
210,PL_CCGT,2030,true,357.0,,1.0
211,GR_OCGT,2030,true,357.0,,-0.0
212,BG_Coal,2030,true,824.0,,2.0
213,BE_Wind_Offshore,2030,false,49.0,,0.0
214,FR_Solar,2030,false,18.0,,1446.7704010341095
215,FR_CCGT,2030,true,357.0,,5.0
216,CH_Battery,2030,false,100.0,,9.76491673720491
217,UK_Wind_Offshore,2030,false,49.0,,0.0
218,DK_Wind_Offshore,2030,false,49.0,,0.0
219,DK_CCGT,2030,true,357.0,,0.0
220,IE_Solar,2030,false,18.0,,0.0
221,IE_Wind_Onshore,2030,false,49.0,,192.20408774446918
222,IE_Battery,2030,false,100.0,,0.3122707519992946
