id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
1,AT_CCGT,2030,1,4,4,2,0.0
2,AT_CCGT,2030,1,7,8,3,0.0
3,AT_CCGT,2030,1,10,10,4,0.0
4,AT_CCGT,2030,1,13,14,5,0.0
5,AT_CCGT,2030,1,16,16,6,0.0
6,AT_CCGT,2030,1,19,20,7,0.0
7,AT_CCGT,2030,1,22,22,8,0.0
8,AT_CCGT,2030,2,4,4,2,0.0
9,AT_CCGT,2030,2,7,8,3,0.0
10,AT_CCGT,2030,2,10,10,4,0.0
11,AT_CCGT,2030,2,13,14,5,0.0
12,AT_CCGT,2030,2,16,16,6,0.0
13,AT_CCGT,2030,2,19,20,7,0.0
14,AT_CCGT,2030,2,22,22,8,0.0
15,AT_CCGT,2030,3,4,4,2,0.0
16,AT_CCGT,2030,3,7,8,3,0.0
17,AT_CCGT,2030,3,10,10,4,0.0
18,AT_CCGT,2030,3,13,14,5,0.0
19,AT_CCGT,2030,3,16,16,6,0.0
20,AT_CCGT,2030,3,19,20,7,0.0
21,AT_CCGT,2030,3,22,22,8,0.0
22,AT_CCGT,2030,4,4,4,2,0.0
23,AT_CCGT,2030,4,7,8,3,0.0
24,AT_CCGT,2030,4,10,10,4,0.0
25,AT_CCGT,2030,4,13,14,5,0.0
26,AT_CCGT,2030,4,16,16,6,0.0
27,AT_CCGT,2030,4,19,20,7,0.0
28,AT_CCGT,2030,4,22,22,8,0.0
29,AT_CCGT,2030,5,4,4,2,0.0
30,AT_CCGT,2030,5,7,8,3,0.0
31,AT_CCGT,2030,5,10,10,4,0.0
32,AT_CCGT,2030,5,13,14,5,0.0
33,AT_CCGT,2030,5,16,16,6,0.0
34,AT_CCGT,2030,5,19,20,7,0.0
35,AT_CCGT,2030,5,22,22,8,0.0
36,AT_CCGT,2030,6,4,4,2,0.0
37,AT_CCGT,2030,6,7,8,3,0.0
38,AT_CCGT,2030,6,10,10,4,0.0
39,AT_CCGT,2030,6,13,14,5,0.0
40,AT_CCGT,2030,6,16,16,6,0.0
41,AT_CCGT,2030,6,19,20,7,0.0
42,AT_CCGT,2030,6,22,22,8,0.0
43,AT_CCGT,2030,7,4,4,2,0.0
44,AT_CCGT,2030,7,7,8,3,0.0
45,AT_CCGT,2030,7,10,10,4,0.0
46,AT_CCGT,2030,7,13,14,5,0.0
47,AT_CCGT,2030,7,16,16,6,0.0
48,AT_CCGT,2030,7,19,20,7,0.0
49,AT_CCGT,2030,7,22,22,8,0.0
50,AT_CCGT,2030,8,4,4,2,0.0
51,AT_CCGT,2030,8,7,8,3,0.0
52,AT_CCGT,2030,8,10,10,4,0.0
53,AT_CCGT,2030,8,13,14,5,0.0
54,AT_CCGT,2030,8,16,16,6,0.0
55,AT_CCGT,2030,8,19,20,7,0.0
56,AT_CCGT,2030,8,22,22,8,0.0
57,AT_CCGT,2030,9,4,4,2,0.0
58,AT_CCGT,2030,9,7,8,3,0.0
59,AT_CCGT,2030,9,10,10,4,0.0
60,AT_CCGT,2030,9,13,14,5,0.0
61,AT_CCGT,2030,9,16,16,6,0.0
62,AT_CCGT,2030,9,19,20,7,0.0
63,AT_CCGT,2030,9,22,22,8,0.0
64,AT_CCGT,2030,10,4,4,2,0.0
65,AT_CCGT,2030,10,7,8,3,0.0
66,AT_CCGT,2030,10,10,10,4,0.0
67,AT_CCGT,2030,10,13,14,5,0.0
68,AT_CCGT,2030,10,16,16,6,0.0
69,AT_CCGT,2030,10,19,20,7,0.0
70,AT_CCGT,2030,10,22,22,8,0.0
71,AT_Coal,2030,1,4,4,2,0.0
72,AT_Coal,2030,1,7,8,3,0.0
73,AT_Coal,2030,1,10,10,4,0.0
74,AT_Coal,2030,1,13,14,5,0.0
75,AT_Coal,2030,1,16,16,6,0.0
76,AT_Coal,2030,1,19,20,7,0.0
77,AT_Coal,2030,1,22,22,8,0.0
78,AT_Coal,2030,2,4,4,2,0.0
79,AT_Coal,2030,2,7,8,3,0.0
80,AT_Coal,2030,2,10,10,4,0.0
81,AT_Coal,2030,2,13,14,5,0.0
82,AT_Coal,2030,2,16,16,6,0.0
83,AT_Coal,2030,2,19,20,7,0.0
84,AT_Coal,2030,2,22,22,8,0.0
85,AT_Coal,2030,3,4,4,2,0.0
86,AT_Coal,2030,3,7,8,3,0.0
87,AT_Coal,2030,3,10,10,4,0.0
88,AT_Coal,2030,3,13,14,5,0.0
89,AT_Coal,2030,3,16,16,6,0.0
90,AT_Coal,2030,3,19,20,7,0.0
91,AT_Coal,2030,3,22,22,8,0.0
92,AT_Coal,2030,4,4,4,2,0.0
93,AT_Coal,2030,4,7,8,3,0.0
94,AT_Coal,2030,4,10,10,4,0.0
95,AT_Coal,2030,4,13,14,5,0.0
