id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,DK_Balance,2050,1,1,1,4705,0.0,0.9381
2,NL_Balance,DK_Balance,2050,1,2,2,4706,0.0,0.9381
3,NL_Balance,DK_Balance,2050,1,3,3,4707,0.0,0.9381
4,NL_Balance,DK_Balance,2050,1,4,4,4708,-0.9381,0.0
5,NL_Balance,DK_Balance,2050,1,5,5,4709,-0.8109000000000001,0.0
6,NL_Balance,DK_Balance,2050,1,6,6,4710,-0.8109000000000001,0.0
7,NL_Balance,DK_Balance,2050,1,7,7,4711,0.0,-0.0
8,NL_Balance,DK_Balance,2050,1,8,8,4712,0.0,-0.0
9,NL_Balance,DK_Balance,2050,1,9,9,4713,0.0,-0.0
10,NL_Balance,DK_Balance,2050,1,10,10,4714,0.0,-0.0
11,NL_Balance,DK_Balance,2050,1,11,11,4715,0.0,-0.0
12,NL_Balance,DK_Balance,2050,1,12,12,4716,-0.9539999999999997,0.0
13,NL_Balance,DK_Balance,2050,1,13,13,4717,-0.9539999999999997,0.0
14,NL_Balance,DK_Balance,2050,1,14,14,4718,-0.9539999999999997,0.0
15,NL_Balance,DK_Balance,2050,1,15,15,4719,-0.9539999999999997,0.0
16,NL_Balance,DK_Balance,2050,1,16,16,4720,-0.9539999999999997,0.0
17,NL_Balance,DK_Balance,2050,1,17,17,4721,-0.8109000000000001,0.0
18,NL_Balance,DK_Balance,2050,1,18,18,4722,-0.8109000000000001,0.0
19,NL_Balance,DK_Balance,2050,1,19,19,4723,0.0,-0.0
20,NL_Balance,DK_Balance,2050,1,20,20,4724,-0.8109000000000001,0.0
21,NL_Balance,DK_Balance,2050,1,21,21,4725,-0.8109000000000001,0.0
22,NL_Balance,DK_Balance,2050,1,22,22,4726,-0.8109000000000001,0.0
23,NL_Balance,DK_Balance,2050,1,23,23,4727,0.0,11.771065705666336
24,NL_Balance,DK_Balance,2050,1,24,24,4728,0.0,-0.0
25,NL_Balance,BE_Balance,2050,1,1,1,4729,0.0,-0.0
26,NL_Balance,BE_Balance,2050,1,2,2,4730,0.0,-0.0
27,NL_Balance,BE_Balance,2050,1,3,3,4731,0.0,-0.0
28,NL_Balance,BE_Balance,2050,1,4,4,4732,0.0,-0.0
29,NL_Balance,BE_Balance,2050,1,5,5,4733,0.0,-0.0
30,NL_Balance,BE_Balance,2050,1,6,6,4734,0.0,-0.0
31,NL_Balance,BE_Balance,2050,1,7,7,4735,0.0,-0.0
32,NL_Balance,BE_Balance,2050,1,8,8,4736,0.0,-0.0
33,NL_Balance,BE_Balance,2050,1,9,9,4737,0.0,-0.0
34,NL_Balance,BE_Balance,2050,1,10,10,4738,0.0,-0.0
35,NL_Balance,BE_Balance,2050,1,11,11,4739,0.0,-0.0
36,NL_Balance,BE_Balance,2050,1,12,12,4740,0.0,-0.0
37,NL_Balance,BE_Balance,2050,1,13,13,4741,0.0,0.8109000000000001
38,NL_Balance,BE_Balance,2050,1,14,14,4742,0.0,0.8109000000000001
39,NL_Balance,BE_Balance,2050,1,15,15,4743,0.0,0.8109000000000001
40,NL_Balance,BE_Balance,2050,1,16,16,4744,0.0,0.8109000000000001
