id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_Balance,2050,1,1,3,2.8143000000000002
2,AT_Balance,2050,1,4,6,2.8143000000000002
3,AT_Balance,2050,1,7,9,5.247
4,AT_Balance,2050,1,10,12,2.8143000000000002
5,AT_Balance,2050,1,13,15,2.8143000000000002
6,AT_Balance,2050,1,16,18,5.247
7,AT_Balance,2050,1,19,21,5.247
8,AT_Balance,2050,1,22,24,2.8143000000000002
9,AT_Balance,2050,2,1,3,0.0
10,AT_Balance,2050,2,4,6,0.0
11,AT_Balance,2050,2,7,9,0.0
12,AT_Balance,2050,2,10,12,0.0
13,AT_Balance,2050,2,13,15,0.0
14,AT_Balance,2050,2,16,18,0.0
15,AT_Balance,2050,2,19,21,0.0
16,AT_Balance,2050,2,22,24,0.0
17,AT_Balance,2050,3,1,3,2.871
18,AT_Balance,2050,3,4,6,2.871
19,AT_Balance,2050,3,7,9,4.436999999999999
20,AT_Balance,2050,3,10,12,4.436999999999999
21,AT_Balance,2050,3,13,15,4.436999999999999
22,AT_Balance,2050,3,16,18,35.86366282266534
23,AT_Balance,2050,3,19,21,4.436999999999999
24,AT_Balance,2050,3,22,24,4.436999999999999
25,AT_Balance,2050,4,1,3,0.0
26,AT_Balance,2050,4,4,6,0.0
27,AT_Balance,2050,4,7,9,1.2213
28,AT_Balance,2050,4,10,12,1.2213
29,AT_Balance,2050,4,13,15,1.2213
30,AT_Balance,2050,4,16,18,2.277
31,AT_Balance,2050,4,19,21,2.277
32,AT_Balance,2050,4,22,24,1.2213
33,AT_Balance,2050,5,1,3,0.0
34,AT_Balance,2050,5,4,6,0.0
35,AT_Balance,2050,5,7,9,0.0
36,AT_Balance,2050,5,10,12,0.0
37,AT_Balance,2050,5,13,15,0.0
38,AT_Balance,2050,5,16,18,2.7612
39,AT_Balance,2050,5,19,21,2.7612
40,AT_Balance,2050,5,22,24,0.0
41,AT_Balance,2050,6,1,3,0.0
42,AT_Balance,2050,6,4,6,0.0
43,AT_Balance,2050,6,7,9,0.0
44,AT_Balance,2050,6,10,12,0.0
45,AT_Balance,2050,6,13,15,0.0
46,AT_Balance,2050,6,16,18,0.0
47,AT_Balance,2050,6,19,21,0.0
48,AT_Balance,2050,6,22,24,0.0
49,AT_Balance,2050,7,1,3,1.9647000000000001
50,AT_Balance,2050,7,4,6,1.9647000000000001
51,AT_Balance,2050,7,7,9,1.9647000000000001
52,AT_Balance,2050,7,10,12,1.9647000000000001
53,AT_Balance,2050,7,13,15,1.9647000000000001
54,AT_Balance,2050,7,16,18,1.9647000000000001
