id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
1,AT_CCGT,2050,1,6,10,2,0.0
2,AT_CCGT,2050,1,11,15,3,0.0
3,AT_CCGT,2050,1,16,24,4,0.0
4,AT_CCGT,2050,2,6,10,2,0.0
5,AT_CCGT,2050,2,11,15,3,0.0
6,AT_CCGT,2050,2,16,24,4,0.0
7,AT_CCGT,2050,3,6,10,2,0.0
8,AT_CCGT,2050,3,11,15,3,0.0
9,AT_CCGT,2050,3,16,24,4,0.0
10,AT_CCGT,2050,4,6,10,2,0.0
11,AT_CCGT,2050,4,11,15,3,0.0
12,AT_CCGT,2050,4,16,24,4,0.0
13,AT_CCGT,2050,5,6,10,2,0.0
14,AT_CCGT,2050,5,11,15,3,0.0
15,AT_CCGT,2050,5,16,24,4,0.0
16,AT_CCGT,2050,6,6,10,2,0.0
17,AT_CCGT,2050,6,11,15,3,0.0
18,AT_CCGT,2050,6,16,24,4,0.0
19,AT_CCGT,2050,7,6,10,2,0.0
20,AT_CCGT,2050,7,11,15,3,0.0
21,AT_CCGT,2050,7,16,24,4,0.0
22,AT_CCGT,2050,8,6,10,2,0.0
23,AT_CCGT,2050,8,11,15,3,0.0
24,AT_CCGT,2050,8,16,24,4,0.0
25,AT_CCGT,2050,9,6,10,2,0.0
26,AT_CCGT,2050,9,11,15,3,0.0
27,AT_CCGT,2050,9,16,24,4,0.0
28,AT_CCGT,2050,10,6,10,2,0.0
29,AT_CCGT,2050,10,11,15,3,0.0
30,AT_CCGT,2050,10,16,24,4,0.0
31,AT_Coal,2050,1,6,10,2,0.0
32,AT_Coal,2050,1,11,15,3,0.0
33,AT_Coal,2050,1,16,24,4,0.0
34,AT_Coal,2050,2,6,10,2,0.0
35,AT_Coal,2050,2,11,15,3,0.0
36,AT_Coal,2050,2,16,24,4,0.0
37,AT_Coal,2050,3,6,10,2,0.0
38,AT_Coal,2050,3,11,15,3,0.0
39,AT_Coal,2050,3,16,24,4,0.0
40,AT_Coal,2050,4,6,10,2,0.0
41,AT_Coal,2050,4,11,15,3,0.0
42,AT_Coal,2050,4,16,24,4,0.0
43,AT_Coal,2050,5,6,10,2,0.0
44,AT_Coal,2050,5,11,15,3,0.0
45,AT_Coal,2050,5,16,24,4,0.0
46,AT_Coal,2050,6,6,10,2,0.0
47,AT_Coal,2050,6,11,15,3,0.0
48,AT_Coal,2050,6,16,24,4,0.0
49,AT_Coal,2050,7,6,10,2,0.0
50,AT_Coal,2050,7,11,15,3,0.0
51,AT_Coal,2050,7,16,24,4,0.0
52,AT_Coal,2050,8,6,10,2,0.0
53,AT_Coal,2050,8,11,15,3,0.0
54,AT_Coal,2050,8,16,24,4,0.0
55,AT_Coal,2050,9,6,10,2,0.0
56,AT_Coal,2050,9,11,15,3,0.0
57,AT_Coal,2050,9,16,24,4,0.0
