id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,2,474.57284462499956
2,AT_Battery,2050,1,3,4,474.57284462499956
3,AT_Battery,2050,1,5,6,474.57284462499956
4,AT_Battery,2050,1,7,8,474.57284462499956
5,AT_Battery,2050,1,9,10,0.0
6,AT_Battery,2050,1,11,12,0.12561067331716913
7,AT_Battery,2050,1,13,14,333.8718695553207
8,AT_Battery,2050,1,15,16,474.57284462499956
9,AT_Battery,2050,1,17,18,370.11775037598454
10,AT_Battery,2050,1,19,20,0.0
11,AT_Battery,2050,1,21,22,0.0
12,AT_Battery,2050,1,23,24,0.0
13,AT_Battery,2050,2,1,2,0.0
14,AT_Battery,2050,2,3,4,0.0
15,AT_Battery,2050,2,5,6,0.0
16,AT_Battery,2050,2,7,8,0.0
17,AT_Battery,2050,2,9,10,0.0
18,AT_Battery,2050,2,11,12,0.0
19,AT_Battery,2050,2,13,14,0.0
20,AT_Battery,2050,2,15,16,0.0
21,AT_Battery,2050,2,17,18,0.0
22,AT_Battery,2050,2,19,20,0.0
23,AT_Battery,2050,2,21,22,0.0
24,AT_Battery,2050,2,23,24,0.0
25,AT_Battery,2050,3,1,2,0.0
26,AT_Battery,2050,3,3,4,474.57284462499956
27,AT_Battery,2050,3,5,6,474.57284462499956
28,AT_Battery,2050,3,7,8,0.0
29,AT_Battery,2050,3,9,10,0.0
30,AT_Battery,2050,3,11,12,474.57284462499956
31,AT_Battery,2050,3,13,14,474.57284462499956
32,AT_Battery,2050,3,15,16,474.57284462499956
33,AT_Battery,2050,3,17,18,0.0
34,AT_Battery,2050,3,19,20,316.70091587547904
35,AT_Battery,2050,3,21,22,0.0
36,AT_Battery,2050,3,23,24,0.0
37,AT_Battery,2050,4,1,2,0.0
38,AT_Battery,2050,4,3,4,474.57284462499956
39,AT_Battery,2050,4,5,6,474.57284462499956
40,AT_Battery,2050,4,7,8,474.57284462499956
41,AT_Battery,2050,4,9,10,268.0779798446001
42,AT_Battery,2050,4,11,12,268.0779798446001
43,AT_Battery,2050,4,13,14,474.57284462499956
44,AT_Battery,2050,4,15,16,474.57284462499956
45,AT_Battery,2050,4,17,18,335.17917502677665
46,AT_Battery,2050,4,19,20,0.0
47,AT_Battery,2050,4,21,22,0.0
48,AT_Battery,2050,4,23,24,0.0
49,AT_Battery,2050,5,1,2,0.0
50,AT_Battery,2050,5,3,4,0.0
51,AT_Battery,2050,5,5,6,0.0
52,AT_Battery,2050,5,7,8,0.0
53,AT_Battery,2050,5,9,10,0.0
54,AT_Battery,2050,5,11,12,0.0
55,AT_Battery,2050,5,13,14,474.57284462499956
56,AT_Battery,2050,5,15,16,474.57284462499956
57,AT_Battery,2050,5,17,18,0.0
58,AT_Battery,2050,5,19,20,0.0
59,AT_Battery,2050,5,21,22,0.0
60,AT_Battery,2050,5,23,24,0.0
61,AT_Battery,2050,6,1,2,0.0
62,AT_Battery,2050,6,3,4,0.0
63,AT_Battery,2050,6,5,6,0.0
64,AT_Battery,2050,6,7,8,0.0
65,AT_Battery,2050,6,9,10,0.0
66,AT_Battery,2050,6,11,12,0.0
67,AT_Battery,2050,6,13,14,0.0
68,AT_Battery,2050,6,15,16,0.0
69,AT_Battery,2050,6,17,18,474.57284462499956
70,AT_Battery,2050,6,19,20,0.0
71,AT_Battery,2050,6,21,22,0.0
