id,asset,year,rep_period,time_block_start,time_block_end,dual_max_ramp_up_with_unit_commitment,dual_max_ramp_down_with_unit_commitment
1,ccgt,2030,1,1,2,-0.0,-0.0
2,ccgt,2030,1,3,3,0.0,0.0
3,ccgt,2030,1,4,4,0.0,0.0
4,ccgt,2030,1,5,6,0.0,0.0
5,ccgt,2030,1,7,8,0.0,0.0
6,ccgt,2030,1,9,9,0.0,0.0
7,ccgt,2030,1,10,10,0.0,0.0
8,ccgt,2030,1,11,12,0.0,0.0
9,ccgt,2030,1,13,14,0.0,0.0
10,ccgt,2030,1,15,15,0.0,0.0
11,ccgt,2030,1,16,16,0.0,0.0
12,ccgt,2030,1,17,18,0.0,0.0
13,ccgt,2030,1,19,20,0.0,0.0
14,ccgt,2030,1,21,21,-32.485,0.0
15,ccgt,2030,1,22,22,0.0,0.0
16,ccgt,2030,1,23,24,0.0,0.0
17,smr,2030,1,1,1,-0.0,-0.0
18,smr,2030,1,2,2,0.0,0.0
19,smr,2030,1,3,3,0.0,0.0
20,smr,2030,1,4,4,0.0,0.0
21,smr,2030,1,5,5,0.0,0.0
22,smr,2030,1,6,6,0.0,6.57
23,smr,2030,1,7,7,0.0,3.285
24,smr,2030,1,8,8,0.0,0.0
25,smr,2030,1,9,9,0.0,0.0
26,smr,2030,1,10,10,0.0,0.0
27,smr,2030,1,11,11,0.0,0.0
28,smr,2030,1,12,12,0.0,0.0
29,smr,2030,1,13,13,0.0,0.0
30,smr,2030,1,14,14,0.0,0.0
31,smr,2030,1,15,15,0.0,0.0
32,smr,2030,1,16,16,0.0,0.0
33,smr,2030,1,17,17,0.0,0.0
34,smr,2030,1,18,18,0.0,0.0
35,smr,2030,1,19,19,0.0,0.0
36,smr,2030,1,20,20,0.0,0.0
37,smr,2030,1,21,21,-3.285,0.0
38,smr,2030,1,22,22,-6.57,0.0
39,smr,2030,1,23,23,0.0,0.0
40,smr,2030,1,24,24,0.0,0.0
