id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,AT_E_Demand,2050,1,1,4,13.780000000000003
2,AT_E_Demand,2050,1,5,8,13.780000000000001
3,AT_E_Demand,2050,1,9,12,-0.0
4,AT_E_Demand,2050,1,13,16,-0.0
5,AT_E_Demand,2050,1,17,20,13.780000000000003
6,AT_E_Demand,2050,1,21,24,13.780000000000003
7,AT_E_Demand,2050,2,1,4,0.0
8,AT_E_Demand,2050,2,5,8,-0.0
9,AT_E_Demand,2050,2,9,12,0.0
10,AT_E_Demand,2050,2,13,16,0.0
11,AT_E_Demand,2050,2,17,20,-0.0
12,AT_E_Demand,2050,2,21,24,0.0
13,AT_E_Demand,2050,3,1,4,7.540000000000002
14,AT_E_Demand,2050,3,5,8,7.540000000000002
15,AT_E_Demand,2050,3,9,12,5.7728125000000015
16,AT_E_Demand,2050,3,13,16,5.7728125000000015
17,AT_E_Demand,2050,3,17,20,7.540000000000002
18,AT_E_Demand,2050,3,21,24,7.540000000000002
19,AT_E_Demand,2050,4,1,4,0.0
20,AT_E_Demand,2050,4,5,8,-0.0
21,AT_E_Demand,2050,4,9,12,0.0
22,AT_E_Demand,2050,4,13,16,0.0
23,AT_E_Demand,2050,4,17,20,-0.0
24,AT_E_Demand,2050,4,21,24,-0.0
25,AT_E_Demand,2050,5,1,4,0.0
26,AT_E_Demand,2050,5,5,8,0.0
27,AT_E_Demand,2050,5,9,12,0.0
28,AT_E_Demand,2050,5,13,16,0.0
29,AT_E_Demand,2050,5,17,20,0.0
30,AT_E_Demand,2050,5,21,24,-0.0
31,AT_E_Demand,2050,6,1,4,2.3940723657036256
32,AT_E_Demand,2050,6,5,8,0.9179276342963743
33,AT_E_Demand,2050,6,9,12,0.0
34,AT_E_Demand,2050,6,13,16,0.0
35,AT_E_Demand,2050,6,17,20,0.9179276342963743
36,AT_E_Demand,2050,6,21,24,2.3940723657036256
37,AT_E_Demand,2050,7,1,4,9.196840250000003
38,AT_E_Demand,2050,7,5,8,9.620000000000003
39,AT_E_Demand,2050,7,9,12,2.319037610113954
40,AT_E_Demand,2050,7,13,16,0.0
41,AT_E_Demand,2050,7,17,20,9.620000000000005
42,AT_E_Demand,2050,7,21,24,9.620000000000001
43,AT_E_Demand,2050,8,1,4,0.0
44,AT_E_Demand,2050,8,5,8,0.0
45,AT_E_Demand,2050,8,9,12,0.0
46,AT_E_Demand,2050,8,13,16,0.0
47,AT_E_Demand,2050,8,17,20,0.0
48,AT_E_Demand,2050,8,21,24,-0.0
49,AT_E_Demand,2050,9,1,4,1.2050654363090052
50,AT_E_Demand,2050,9,5,8,1.2050654363090056
51,AT_E_Demand,2050,9,9,12,0.0
52,AT_E_Demand,2050,9,13,16,0.0
53,AT_E_Demand,2050,9,17,20,1.2050654363090056
54,AT_E_Demand,2050,9,21,24,1.2050654363090056
55,AT_E_Demand,2050,10,1,4,13.113675611962378
56,AT_E_Demand,2050,10,5,8,13.113675611962378
57,AT_E_Demand,2050,10,9,12,11.960000000000008
58,AT_E_Demand,2050,10,13,16,11.960000000000008
59,AT_E_Demand,2050,10,17,20,13.113675611962378
60,AT_E_Demand,2050,10,21,24,13.113675611962378
61,AT_H_Demand,2050,1,1,2,10.600000000000001
62,AT_H_Demand,2050,1,3,4,10.600000000000001
63,AT_H_Demand,2050,1,5,6,10.600000000000001
64,AT_H_Demand,2050,1,7,8,10.600000000000001
65,AT_H_Demand,2050,1,9,10,-0.0
66,AT_H_Demand,2050,1,11,12,0.0
67,AT_H_Demand,2050,1,13,14,-0.0
68,AT_H_Demand,2050,1,15,16,0.0
69,AT_H_Demand,2050,1,17,18,10.600000000000001
70,AT_H_Demand,2050,1,19,20,10.600000000000001
71,AT_H_Demand,2050,1,21,22,10.600000000000001
72,AT_H_Demand,2050,1,23,24,10.600000000000001
73,AT_H_Demand,2050,2,1,2,0.0
74,AT_H_Demand,2050,2,3,4,0.0
75,AT_H_Demand,2050,2,5,6,-0.0
76,AT_H_Demand,2050,2,7,8,0.0
77,AT_H_Demand,2050,2,9,10,-0.0
78,AT_H_Demand,2050,2,11,12,0.0
79,AT_H_Demand,2050,2,13,14,-0.0
80,AT_H_Demand,2050,2,15,16,0.0
81,AT_H_Demand,2050,2,17,18,-0.0
82,AT_H_Demand,2050,2,19,20,0.0
83,AT_H_Demand,2050,2,21,22,-0.0
84,AT_H_Demand,2050,2,23,24,0.0
85,AT_H_Demand,2050,3,1,2,5.800000000000001
86,AT_H_Demand,2050,3,3,4,5.800000000000001
87,AT_H_Demand,2050,3,5,6,5.800000000000001
88,AT_H_Demand,2050,3,7,8,5.800000000000001
89,AT_H_Demand,2050,3,9,10,5.800000000000001
90,AT_H_Demand,2050,3,11,12,3.0812500000000007
91,AT_H_Demand,2050,3,13,14,5.800000000000001
92,AT_H_Demand,2050,3,15,16,3.0812500000000007
93,AT_H_Demand,2050,3,17,18,5.800000000000001
94,AT_H_Demand,2050,3,19,20,5.800000000000001
95,AT_H_Demand,2050,3,21,22,5.800000000000001
96,AT_H_Demand,2050,3,23,24,5.800000000000001
97,AT_H_Demand,2050,4,1,2,-0.0
98,AT_H_Demand,2050,4,3,4,0.0
99,AT_H_Demand,2050,4,5,6,-0.0
100,AT_H_Demand,2050,4,7,8,0.0
101,AT_H_Demand,2050,4,9,10,-0.0
102,AT_H_Demand,2050,4,11,12,0.0
103,AT_H_Demand,2050,4,13,14,0.0
104,AT_H_Demand,2050,4,15,16,0.0
105,AT_H_Demand,2050,4,17,18,-0.0
106,AT_H_Demand,2050,4,19,20,0.0
107,AT_H_Demand,2050,4,21,22,-0.0
108,AT_H_Demand,2050,4,23,24,0.0
109,AT_H_Demand,2050,5,1,2,-0.0
110,AT_H_Demand,2050,5,3,4,0.0
111,AT_H_Demand,2050,5,5,6,-0.0
112,AT_H_Demand,2050,5,7,8,0.0
113,AT_H_Demand,2050,5,9,10,0.0
114,AT_H_Demand,2050,5,11,12,0.0
115,AT_H_Demand,2050,5,13,14,0.0
116,AT_H_Demand,2050,5,15,16,0.0
117,AT_H_Demand,2050,5,17,18,-0.0
118,AT_H_Demand,2050,5,19,20,0.0
119,AT_H_Demand,2050,5,21,22,-0.0
120,AT_H_Demand,2050,5,23,24,0.0
121,AT_H_Demand,2050,6,1,2,3.6
122,AT_H_Demand,2050,6,3,4,0.08318825492865445
123,AT_H_Demand,2050,6,5,6,1.4121963604559602
124,AT_H_Demand,2050,6,7,8,0.0
125,AT_H_Demand,2050,6,9,10,-0.0
126,AT_H_Demand,2050,6,11,12,0.0
127,AT_H_Demand,2050,6,13,14,-0.0
128,AT_H_Demand,2050,6,15,16,0.0
129,AT_H_Demand,2050,6,17,18,1.4121963604559602
130,AT_H_Demand,2050,6,19,20,0.0
131,AT_H_Demand,2050,6,21,22,0.08318825492865445
132,AT_H_Demand,2050,6,23,24,3.6
133,AT_H_Demand,2050,7,1,2,7.4
134,AT_H_Demand,2050,7,3,4,6.748985000000003
135,AT_H_Demand,2050,7,5,6,7.4
136,AT_H_Demand,2050,7,7,8,7.4
137,AT_H_Demand,2050,7,9,10,3.5677501694060827
138,AT_H_Demand,2050,7,11,12,0.0
139,AT_H_Demand,2050,7,13,14,-0.0
140,AT_H_Demand,2050,7,15,16,0.0
141,AT_H_Demand,2050,7,17,18,7.4
142,AT_H_Demand,2050,7,19,20,7.4
143,AT_H_Demand,2050,7,21,22,7.4
144,AT_H_Demand,2050,7,23,24,7.4
145,AT_H_Demand,2050,8,1,2,-0.0
146,AT_H_Demand,2050,8,3,4,0.0
147,AT_H_Demand,2050,8,5,6,-0.0
148,AT_H_Demand,2050,8,7,8,0.0
149,AT_H_Demand,2050,8,9,10,0.0
150,AT_H_Demand,2050,8,11,12,0.0
151,AT_H_Demand,2050,8,13,14,0.0
152,AT_H_Demand,2050,8,15,16,0.0
153,AT_H_Demand,2050,8,17,18,-0.0
154,AT_H_Demand,2050,8,19,20,0.0
155,AT_H_Demand,2050,8,21,22,-0.0
156,AT_H_Demand,2050,8,23,24,0.0
157,AT_H_Demand,2050,9,1,2,1.8539468250907771
158,AT_H_Demand,2050,9,3,4,0.0
159,AT_H_Demand,2050,9,5,6,1.8539468250907778
160,AT_H_Demand,2050,9,7,8,0.0
161,AT_H_Demand,2050,9,9,10,0.0
162,AT_H_Demand,2050,9,11,12,0.0
163,AT_H_Demand,2050,9,13,14,0.0
164,AT_H_Demand,2050,9,15,16,0.0
165,AT_H_Demand,2050,9,17,18,1.8539468250907778
166,AT_H_Demand,2050,9,19,20,0.0
167,AT_H_Demand,2050,9,21,22,1.8539468250907778
168,AT_H_Demand,2050,9,23,24,0.0
169,AT_H_Demand,2050,10,1,2,9.200000000000001
170,AT_H_Demand,2050,10,3,4,9.200000000000001
171,AT_H_Demand,2050,10,5,6,9.200000000000001
172,AT_H_Demand,2050,10,7,8,9.200000000000001
173,AT_H_Demand,2050,10,9,10,9.200000000000001
174,AT_H_Demand,2050,10,11,12,9.200000000000001
175,AT_H_Demand,2050,10,13,14,9.200000000000001
176,AT_H_Demand,2050,10,15,16,9.200000000000001
177,AT_H_Demand,2050,10,17,18,9.200000000000001
178,AT_H_Demand,2050,10,19,20,9.200000000000001
179,AT_H_Demand,2050,10,21,22,9.200000000000001
180,AT_H_Demand,2050,10,23,24,9.200000000000001
181,BE_E_Demand,2050,1,1,2,0.0
182,BE_E_Demand,2050,1,3,4,0.0
183,BE_E_Demand,2050,1,5,6,3.739982948000009
184,BE_E_Demand,2050,1,7,8,47.05006820799999
185,BE_E_Demand,2050,1,9,10,47.050068208
186,BE_E_Demand,2050,1,11,12,6.8900000000000015
187,BE_E_Demand,2050,1,13,14,6.8900000000000015
188,BE_E_Demand,2050,1,15,16,0.0
189,BE_E_Demand,2050,1,17,18,6.8900000000000015
190,BE_E_Demand,2050,1,19,20,7.554617472108771
191,BE_E_Demand,2050,1,21,22,6.8900000000000015
192,BE_E_Demand,2050,1,23,24,0.0
193,BE_E_Demand,2050,2,1,2,0.0
194,BE_E_Demand,2050,2,3,4,0.0
195,BE_E_Demand,2050,2,5,6,0.0
196,BE_E_Demand,2050,2,7,8,0.0
197,BE_E_Demand,2050,2,9,10,0.0
198,BE_E_Demand,2050,2,11,12,0.0
199,BE_E_Demand,2050,2,13,14,0.0
200,BE_E_Demand,2050,2,15,16,0.0
201,BE_E_Demand,2050,2,17,18,0.0
202,BE_E_Demand,2050,2,19,20,-0.0
203,BE_E_Demand,2050,2,21,22,0.0
204,BE_E_Demand,2050,2,23,24,0.0
205,BE_E_Demand,2050,3,1,2,0.0
206,BE_E_Demand,2050,3,3,4,0.0
207,BE_E_Demand,2050,3,5,6,0.0
208,BE_E_Demand,2050,3,7,8,0.0
209,BE_E_Demand,2050,3,9,10,0.0
210,BE_E_Demand,2050,3,11,12,0.0
211,BE_E_Demand,2050,3,13,14,0.0
212,BE_E_Demand,2050,3,15,16,0.0
213,BE_E_Demand,2050,3,17,18,0.0
214,BE_E_Demand,2050,3,19,20,0.0
215,BE_E_Demand,2050,3,21,22,0.0
216,BE_E_Demand,2050,3,23,24,0.0
217,BE_E_Demand,2050,4,1,2,0.0
218,BE_E_Demand,2050,4,3,4,0.0
219,BE_E_Demand,2050,4,5,6,0.0
220,BE_E_Demand,2050,4,7,8,0.0
221,BE_E_Demand,2050,4,9,10,0.0
222,BE_E_Demand,2050,4,11,12,0.0
223,BE_E_Demand,2050,4,13,14,0.0
224,BE_E_Demand,2050,4,15,16,0.0
225,BE_E_Demand,2050,4,17,18,0.0
226,BE_E_Demand,2050,4,19,20,0.0
227,BE_E_Demand,2050,4,21,22,0.0
228,BE_E_Demand,2050,4,23,24,0.0
229,BE_E_Demand,2050,5,1,2,0.0
230,BE_E_Demand,2050,5,3,4,0.0
231,BE_E_Demand,2050,5,5,6,0.0
232,BE_E_Demand,2050,5,7,8,0.0
233,BE_E_Demand,2050,5,9,10,0.0
234,BE_E_Demand,2050,5,11,12,0.0
235,BE_E_Demand,2050,5,13,14,0.0
236,BE_E_Demand,2050,5,15,16,0.0
237,BE_E_Demand,2050,5,17,18,0.0
238,BE_E_Demand,2050,5,19,20,0.0
239,BE_E_Demand,2050,5,21,22,0.0
240,BE_E_Demand,2050,5,23,24,0.0
241,BE_E_Demand,2050,6,1,2,2.3400000000000003
242,BE_E_Demand,2050,6,3,4,2.3400000000000003
243,BE_E_Demand,2050,6,5,6,2.3400000000000003
244,BE_E_Demand,2050,6,7,8,2.565719141470903
245,BE_E_Demand,2050,6,9,10,2.452859570735452
246,BE_E_Demand,2050,6,11,12,-0.0
247,BE_E_Demand,2050,6,13,14,-0.0
248,BE_E_Demand,2050,6,15,16,0.0
249,BE_E_Demand,2050,6,17,18,0.0
250,BE_E_Demand,2050,6,19,20,2.3400000000000003
251,BE_E_Demand,2050,6,21,22,2.565719141470903
252,BE_E_Demand,2050,6,23,24,2.3400000000000003
253,BE_E_Demand,2050,7,1,2,0.0
254,BE_E_Demand,2050,7,3,4,4.8100000000000005
255,BE_E_Demand,2050,7,5,6,76.405
256,BE_E_Demand,2050,7,7,8,219.59499999999997
257,BE_E_Demand,2050,7,9,10,219.595
258,BE_E_Demand,2050,7,11,12,155.13812669608836
259,BE_E_Demand,2050,7,13,14,148.0
260,BE_E_Demand,2050,7,15,16,148.0
261,BE_E_Demand,2050,7,17,18,148.0
262,BE_E_Demand,2050,7,19,20,162.27625339217676
263,BE_E_Demand,2050,7,21,22,4.8100000000000005
264,BE_E_Demand,2050,7,23,24,0.0
265,BE_E_Demand,2050,8,1,2,0.0
266,BE_E_Demand,2050,8,3,4,0.0
267,BE_E_Demand,2050,8,5,6,0.0
268,BE_E_Demand,2050,8,7,8,0.0
269,BE_E_Demand,2050,8,9,10,0.0
270,BE_E_Demand,2050,8,11,12,0.0
271,BE_E_Demand,2050,8,13,14,0.0
272,BE_E_Demand,2050,8,15,16,0.0
273,BE_E_Demand,2050,8,17,18,0.0
274,BE_E_Demand,2050,8,19,20,0.0
275,BE_E_Demand,2050,8,21,22,0.0
276,BE_E_Demand,2050,8,23,24,0.0
277,BE_E_Demand,2050,9,1,2,0.0
278,BE_E_Demand,2050,9,3,4,0.0
279,BE_E_Demand,2050,9,5,6,0.0
280,BE_E_Demand,2050,9,7,8,0.0
281,BE_E_Demand,2050,9,9,10,0.0
282,BE_E_Demand,2050,9,11,12,0.0
283,BE_E_Demand,2050,9,13,14,0.0
284,BE_E_Demand,2050,9,15,16,0.0
285,BE_E_Demand,2050,9,17,18,0.0
286,BE_E_Demand,2050,9,19,20,0.0
287,BE_E_Demand,2050,9,21,22,0.0
288,BE_E_Demand,2050,9,23,24,0.0
289,BE_E_Demand,2050,10,1,2,4.232
290,BE_E_Demand,2050,10,3,4,0.0
291,BE_E_Demand,2050,10,5,6,-0.0
292,BE_E_Demand,2050,10,7,8,11.960000000000022
293,BE_E_Demand,2050,10,9,10,5.980000000000004
294,BE_E_Demand,2050,10,11,12,58.263862383999964
295,BE_E_Demand,2050,10,13,14,184.0
296,BE_E_Demand,2050,10,15,16,184.0
297,BE_E_Demand,2050,10,17,18,184.0
298,BE_E_Demand,2050,10,19,20,184.0
299,BE_E_Demand,2050,10,21,22,5.980000000000001
300,BE_E_Demand,2050,10,23,24,0.0
301,BE_H_Demand,2050,1,1,2,0.0
302,BE_H_Demand,2050,1,3,4,0.0
303,BE_H_Demand,2050,1,5,6,10.600000000000001
304,BE_H_Demand,2050,1,7,8,10.600000000000001
305,BE_H_Demand,2050,1,9,10,10.600000000000001
306,BE_H_Demand,2050,1,11,12,10.600000000000001
307,BE_H_Demand,2050,1,13,14,10.600000000000001
308,BE_H_Demand,2050,1,15,16,0.0
309,BE_H_Demand,2050,1,17,18,10.600000000000001
310,BE_H_Demand,2050,1,19,20,10.600000000000001
311,BE_H_Demand,2050,1,21,22,10.600000000000001
312,BE_H_Demand,2050,1,23,24,0.0
313,BE_H_Demand,2050,2,1,2,0.0
314,BE_H_Demand,2050,2,3,4,0.0
315,BE_H_Demand,2050,2,5,6,0.0
316,BE_H_Demand,2050,2,7,8,0.0
317,BE_H_Demand,2050,2,9,10,0.0
318,BE_H_Demand,2050,2,11,12,0.0
319,BE_H_Demand,2050,2,13,14,0.0
320,BE_H_Demand,2050,2,15,16,0.0
321,BE_H_Demand,2050,2,17,18,0.0
322,BE_H_Demand,2050,2,19,20,-0.0
323,BE_H_Demand,2050,2,21,22,0.0
324,BE_H_Demand,2050,2,23,24,0.0
325,BE_H_Demand,2050,3,1,2,0.0
326,BE_H_Demand,2050,3,3,4,0.0
327,BE_H_Demand,2050,3,5,6,0.0
328,BE_H_Demand,2050,3,7,8,0.0
329,BE_H_Demand,2050,3,9,10,0.0
330,BE_H_Demand,2050,3,11,12,0.0
331,BE_H_Demand,2050,3,13,14,0.0
332,BE_H_Demand,2050,3,15,16,0.0
333,BE_H_Demand,2050,3,17,18,0.0
334,BE_H_Demand,2050,3,19,20,0.0
335,BE_H_Demand,2050,3,21,22,0.0
336,BE_H_Demand,2050,3,23,24,0.0
337,BE_H_Demand,2050,4,1,2,0.0
338,BE_H_Demand,2050,4,3,4,0.0
339,BE_H_Demand,2050,4,5,6,0.0
340,BE_H_Demand,2050,4,7,8,0.0
341,BE_H_Demand,2050,4,9,10,0.0
342,BE_H_Demand,2050,4,11,12,0.0
343,BE_H_Demand,2050,4,13,14,0.0
344,BE_H_Demand,2050,4,15,16,0.0
345,BE_H_Demand,2050,4,17,18,0.0
346,BE_H_Demand,2050,4,19,20,0.0
347,BE_H_Demand,2050,4,21,22,0.0
348,BE_H_Demand,2050,4,23,24,0.0
349,BE_H_Demand,2050,5,1,2,0.0
350,BE_H_Demand,2050,5,3,4,0.0
351,BE_H_Demand,2050,5,5,6,0.0
352,BE_H_Demand,2050,5,7,8,0.0
353,BE_H_Demand,2050,5,9,10,0.0
354,BE_H_Demand,2050,5,11,12,0.0
