id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1529,AT_electrolyzer,2050,1,1,4,1.7225000000000004
1530,AT_electrolyzer,2050,1,5,8,1.7225000000000001
1531,AT_electrolyzer,2050,1,9,12,-0.0
1532,AT_electrolyzer,2050,1,13,16,-0.0
1533,AT_electrolyzer,2050,1,17,20,1.7225000000000004
1534,AT_electrolyzer,2050,1,21,24,1.7225000000000004
1535,AT_electrolyzer,2050,2,1,4,-0.0
1536,AT_electrolyzer,2050,2,5,8,-0.0
1537,AT_electrolyzer,2050,2,9,12,-0.0
1538,AT_electrolyzer,2050,2,13,16,-0.0
1539,AT_electrolyzer,2050,2,17,20,-0.0
1540,AT_electrolyzer,2050,2,21,24,-0.0
1541,AT_electrolyzer,2050,3,1,4,0.9425000000000002
1542,AT_electrolyzer,2050,3,5,8,0.9425000000000002
1543,AT_electrolyzer,2050,3,9,12,0.7216015625000002
1544,AT_electrolyzer,2050,3,13,16,0.7216015625000002
1545,AT_electrolyzer,2050,3,17,20,0.9425000000000002
1546,AT_electrolyzer,2050,3,21,24,0.9425000000000002
1547,AT_electrolyzer,2050,4,1,4,-0.0
1548,AT_electrolyzer,2050,4,5,8,-0.0
1549,AT_electrolyzer,2050,4,9,12,-0.0
1550,AT_electrolyzer,2050,4,13,16,-0.0
1551,AT_electrolyzer,2050,4,17,20,-0.0
1552,AT_electrolyzer,2050,4,21,24,-0.0
1553,AT_electrolyzer,2050,5,1,4,-0.0
1554,AT_electrolyzer,2050,5,5,8,-0.0
1555,AT_electrolyzer,2050,5,9,12,-0.0
1556,AT_electrolyzer,2050,5,13,16,-0.0
1557,AT_electrolyzer,2050,5,17,20,-0.0
1558,AT_electrolyzer,2050,5,21,24,-0.0
1559,AT_electrolyzer,2050,6,1,4,0.2992590457129532
1560,AT_electrolyzer,2050,6,5,8,0.11474095428704678
1561,AT_electrolyzer,2050,6,9,12,-0.0
1562,AT_electrolyzer,2050,6,13,16,-0.0
1563,AT_electrolyzer,2050,6,17,20,0.11474095428704678
1564,AT_electrolyzer,2050,6,21,24,0.2992590457129532
1565,AT_electrolyzer,2050,7,1,4,1.1496050312500004
1566,AT_electrolyzer,2050,7,5,8,1.2025000000000003
1567,AT_electrolyzer,2050,7,9,12,0.2898797012642442
1568,AT_electrolyzer,2050,7,13,16,-0.0
1569,AT_electrolyzer,2050,7,17,20,1.2025000000000006
1570,AT_electrolyzer,2050,7,21,24,1.2025000000000001
1571,AT_electrolyzer,2050,8,1,4,-0.0
1572,AT_electrolyzer,2050,8,5,8,-0.0
1573,AT_electrolyzer,2050,8,9,12,-0.0
1574,AT_electrolyzer,2050,8,13,16,-0.0
1575,AT_electrolyzer,2050,8,17,20,-0.0
1576,AT_electrolyzer,2050,8,21,24,-0.0
1577,AT_electrolyzer,2050,9,1,4,0.15063317953862565
1578,AT_electrolyzer,2050,9,5,8,0.1506331795386257
1579,AT_electrolyzer,2050,9,9,12,-0.0
1580,AT_electrolyzer,2050,9,13,16,-0.0
1581,AT_electrolyzer,2050,9,17,20,0.1506331795386257
1582,AT_electrolyzer,2050,9,21,24,0.1506331795386257
1583,AT_electrolyzer,2050,10,1,4,1.6392094514952973
1584,AT_electrolyzer,2050,10,5,8,1.6392094514952973
1585,AT_electrolyzer,2050,10,9,12,1.4950000000000003
1586,AT_electrolyzer,2050,10,13,16,1.4950000000000003
1587,AT_electrolyzer,2050,10,17,20,1.6392094514952973
1588,AT_electrolyzer,2050,10,21,24,1.6392094514952973
1,BE_electrolyzer,2050,1,1,2,-0.0
2,BE_electrolyzer,2050,1,3,4,-0.0
3,BE_electrolyzer,2050,1,5,6,0.9349957370000023
4,BE_electrolyzer,2050,1,7,8,1.7225000000000004
5,BE_electrolyzer,2050,1,9,10,1.7225000000000004
6,BE_electrolyzer,2050,1,11,12,1.7225000000000004
7,BE_electrolyzer,2050,1,13,14,1.7225000000000004
8,BE_electrolyzer,2050,1,15,16,-0.0
9,BE_electrolyzer,2050,1,17,18,1.7225000000000004
10,BE_electrolyzer,2050,1,19,20,1.7225000000000004
11,BE_electrolyzer,2050,1,21,22,1.7225000000000004
12,BE_electrolyzer,2050,1,23,24,-0.0
13,BE_electrolyzer,2050,2,1,2,-0.0
14,BE_electrolyzer,2050,2,3,4,-0.0
15,BE_electrolyzer,2050,2,5,6,-0.0
16,BE_electrolyzer,2050,2,7,8,-0.0
17,BE_electrolyzer,2050,2,9,10,-0.0
18,BE_electrolyzer,2050,2,11,12,-0.0
19,BE_electrolyzer,2050,2,13,14,-0.0
20,BE_electrolyzer,2050,2,15,16,-0.0
21,BE_electrolyzer,2050,2,17,18,-0.0
22,BE_electrolyzer,2050,2,19,20,-0.0
23,BE_electrolyzer,2050,2,21,22,-0.0
24,BE_electrolyzer,2050,2,23,24,-0.0
25,BE_electrolyzer,2050,3,1,2,-0.0
26,BE_electrolyzer,2050,3,3,4,-0.0
27,BE_electrolyzer,2050,3,5,6,-0.0
28,BE_electrolyzer,2050,3,7,8,-0.0
29,BE_electrolyzer,2050,3,9,10,-0.0
30,BE_electrolyzer,2050,3,11,12,-0.0
31,BE_electrolyzer,2050,3,13,14,-0.0
32,BE_electrolyzer,2050,3,15,16,-0.0
33,BE_electrolyzer,2050,3,17,18,-0.0
34,BE_electrolyzer,2050,3,19,20,-0.0
35,BE_electrolyzer,2050,3,21,22,-0.0
36,BE_electrolyzer,2050,3,23,24,-0.0
37,BE_electrolyzer,2050,4,1,2,-0.0
38,BE_electrolyzer,2050,4,3,4,-0.0
39,BE_electrolyzer,2050,4,5,6,-0.0
40,BE_electrolyzer,2050,4,7,8,-0.0
41,BE_electrolyzer,2050,4,9,10,-0.0
42,BE_electrolyzer,2050,4,11,12,-0.0
43,BE_electrolyzer,2050,4,13,14,-0.0
44,BE_electrolyzer,2050,4,15,16,-0.0
45,BE_electrolyzer,2050,4,17,18,-0.0
46,BE_electrolyzer,2050,4,19,20,-0.0
47,BE_electrolyzer,2050,4,21,22,-0.0
48,BE_electrolyzer,2050,4,23,24,-0.0
49,BE_electrolyzer,2050,5,1,2,-0.0
50,BE_electrolyzer,2050,5,3,4,-0.0
51,BE_electrolyzer,2050,5,5,6,-0.0
52,BE_electrolyzer,2050,5,7,8,-0.0
53,BE_electrolyzer,2050,5,9,10,-0.0
54,BE_electrolyzer,2050,5,11,12,-0.0
55,BE_electrolyzer,2050,5,13,14,-0.0
56,BE_electrolyzer,2050,5,15,16,-0.0
57,BE_electrolyzer,2050,5,17,18,-0.0
58,BE_electrolyzer,2050,5,19,20,-0.0
59,BE_electrolyzer,2050,5,21,22,-0.0
60,BE_electrolyzer,2050,5,23,24,-0.0
61,BE_electrolyzer,2050,6,1,2,0.5850000000000001
62,BE_electrolyzer,2050,6,3,4,0.5850000000000001
63,BE_electrolyzer,2050,6,5,6,0.5850000000000001
64,BE_electrolyzer,2050,6,7,8,0.5850000000000001
65,BE_electrolyzer,2050,6,9,10,0.5850000000000001
66,BE_electrolyzer,2050,6,11,12,-0.0
67,BE_electrolyzer,2050,6,13,14,-0.0
68,BE_electrolyzer,2050,6,15,16,-0.0
69,BE_electrolyzer,2050,6,17,18,-0.0
70,BE_electrolyzer,2050,6,19,20,0.5850000000000001
71,BE_electrolyzer,2050,6,21,22,0.5850000000000001
72,BE_electrolyzer,2050,6,23,24,0.5850000000000001
73,BE_electrolyzer,2050,7,1,2,-0.0
74,BE_electrolyzer,2050,7,3,4,1.2025000000000001
75,BE_electrolyzer,2050,7,5,6,1.2025000000000001
76,BE_electrolyzer,2050,7,7,8,1.2025000000000001
77,BE_electrolyzer,2050,7,9,10,1.2025000000000001
78,BE_electrolyzer,2050,7,11,12,1.2025000000000001
79,BE_electrolyzer,2050,7,13,14,1.2025000000000001
80,BE_electrolyzer,2050,7,15,16,1.2025000000000001
81,BE_electrolyzer,2050,7,17,18,1.2025000000000001
82,BE_electrolyzer,2050,7,19,20,1.2025000000000001
83,BE_electrolyzer,2050,7,21,22,1.2025000000000001
84,BE_electrolyzer,2050,7,23,24,-0.0
85,BE_electrolyzer,2050,8,1,2,-0.0
86,BE_electrolyzer,2050,8,3,4,-0.0
87,BE_electrolyzer,2050,8,5,6,-0.0
88,BE_electrolyzer,2050,8,7,8,-0.0
89,BE_electrolyzer,2050,8,9,10,-0.0
90,BE_electrolyzer,2050,8,11,12,-0.0
91,BE_electrolyzer,2050,8,13,14,-0.0
92,BE_electrolyzer,2050,8,15,16,-0.0
93,BE_electrolyzer,2050,8,17,18,-0.0
94,BE_electrolyzer,2050,8,19,20,-0.0
95,BE_electrolyzer,2050,8,21,22,-0.0
96,BE_electrolyzer,2050,8,23,24,-0.0
97,BE_electrolyzer,2050,9,1,2,-0.0
98,BE_electrolyzer,2050,9,3,4,-0.0
99,BE_electrolyzer,2050,9,5,6,-0.0
100,BE_electrolyzer,2050,9,7,8,-0.0
101,BE_electrolyzer,2050,9,9,10,-0.0
102,BE_electrolyzer,2050,9,11,12,-0.0
103,BE_electrolyzer,2050,9,13,14,-0.0
104,BE_electrolyzer,2050,9,15,16,-0.0
105,BE_electrolyzer,2050,9,17,18,-0.0
106,BE_electrolyzer,2050,9,19,20,-0.0
107,BE_electrolyzer,2050,9,21,22,-0.0
108,BE_electrolyzer,2050,9,23,24,-0.0
109,BE_electrolyzer,2050,10,1,2,1.058
110,BE_electrolyzer,2050,10,3,4,-0.0
111,BE_electrolyzer,2050,10,5,6,-0.0
112,BE_electrolyzer,2050,10,7,8,1.4950000000000003
113,BE_electrolyzer,2050,10,9,10,1.4950000000000003
114,BE_electrolyzer,2050,10,11,12,1.4950000000000003
115,BE_electrolyzer,2050,10,13,14,1.4950000000000003
116,BE_electrolyzer,2050,10,15,16,1.4950000000000003
117,BE_electrolyzer,2050,10,17,18,1.4950000000000003
118,BE_electrolyzer,2050,10,19,20,1.4950000000000003
119,BE_electrolyzer,2050,10,21,22,1.4950000000000003
120,BE_electrolyzer,2050,10,23,24,-0.0
121,BG_electrolyzer,2050,1,1,24,0.5741666666666667
122,BG_electrolyzer,2050,2,1,24,0.253
123,BG_electrolyzer,2050,3,1,24,0.6283333333333334
124,BG_electrolyzer,2050,4,1,24,0.2645
125,BG_electrolyzer,2050,5,1,24,0.598
126,BG_electrolyzer,2050,6,1,24,0.1858577777777778
127,BG_electrolyzer,2050,7,1,24,0.4255
128,BG_electrolyzer,2050,8,1,24,0.22733333333333333
129,BG_electrolyzer,2050,9,1,24,0.4658333333333333
130,BG_electrolyzer,2050,10,1,24,0.933033650793651
131,CH_electrolyzer,2050,1,1,4,1.6659485544307577
132,CH_electrolyzer,2050,1,5,8,1.7225000000000001
