id,asset,year,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,4,387956.4677325846
2,AT_Hydro_Reservoir,2050,5,8,398123.3252196004
3,AT_Hydro_Reservoir,2050,9,12,407579.79295218503
4,AT_Hydro_Reservoir,2050,13,16,417036.26068476966
5,AT_Hydro_Reservoir,2050,17,20,386144.8766114287
6,AT_Hydro_Reservoir,2050,21,24,362782.87510523055
7,AT_Hydro_Reservoir,2050,25,28,371602.20105874713
8,AT_Hydro_Reservoir,2050,29,32,381556.6779527402
9,AT_Hydro_Reservoir,2050,33,36,358194.6764465421
10,AT_Hydro_Reservoir,2050,37,40,368361.53393355786
11,AT_Hydro_Reservoir,2050,41,44,354377.3936410168
12,AT_Hydro_Reservoir,2050,45,48,324408.77991512977
13,AT_Hydro_Reservoir,2050,49,52,334788.0179951682
14,AT_Hydro_Reservoir,2050,53,56,345877.6458296378
15,AT_Hydro_Reservoir,2050,57,60,354696.9717831544
16,AT_Hydro_Reservoir,2050,61,64,363728.6783296937
17,AT_Hydro_Reservoir,2050,65,68,362032.41751995374
18,AT_Hydro_Reservoir,2050,69,72,336185.15893065685
19,AT_Hydro_Reservoir,2050,73,76,323336.1695785923
20,AT_Hydro_Reservoir,2050,77,80,283989.6946390481
21,AT_Hydro_Reservoir,2050,81,84,267019.3501503934
22,AT_Hydro_Reservoir,2050,85,88,278108.97798486304
23,AT_Hydro_Reservoir,2050,89,92,288488.2160649015
24,AT_Hydro_Reservoir,2050,93,96,288637.4959500693
25,AT_Hydro_Reservoir,2050,97,100,262790.23736077244
26,AT_Hydro_Reservoir,2050,101,104,235807.8278309991
27,AT_Hydro_Reservoir,2050,105,108,222958.83847893457
28,AT_Hydro_Reservoir,2050,109,112,197111.5798896378
29,AT_Hydro_Reservoir,2050,113,116,200708.1830832746
30,AT_Hydro_Reservoir,2050,117,120,246324.82271391712
31,AT_Hydro_Reservoir,2050,121,124,293767.95928730146
32,AT_Hydro_Reservoir,2050,125,128,341679.22998054634
33,AT_Hydro_Reservoir,2050,129,132,389590.5006737912
34,AT_Hydro_Reservoir,2050,133,136,436565.503127315
35,AT_Hydro_Reservoir,2050,137,140,484008.6397006993
36,AT_Hydro_Reservoir,2050,141,144,530047.373914502
37,AT_Hydro_Reservoir,2050,145,148,576554.2422481652
38,AT_Hydro_Reservoir,2050,149,152,624465.5129414101
39,AT_Hydro_Reservoir,2050,153,156,672376.783634655
40,AT_Hydro_Reservoir,2050,157,160,720288.0543278998
41,AT_Hydro_Reservoir,2050,161,164,710379.8825371009
42,AT_Hydro_Reservoir,2050,165,168,754638.1593448622
43,AT_Hydro_Reservoir,2050,169,172,743371.6247311819
44,AT_Hydro_Reservoir,2050,173,176,750910.1034923224
45,AT_Hydro_Reservoir,2050,177,180,721728.784206842
46,AT_Hydro_Reservoir,2050,181,184,692547.4649213617
47,AT_Hydro_Reservoir,2050,185,188,699195.7149794814
48,AT_Hydro_Reservoir,2050,189,192,723758.7497094012
49,AT_Hydro_Reservoir,2050,193,196,694577.4304239211
50,AT_Hydro_Reservoir,2050,197,200,683310.8958102406
51,AT_Hydro_Reservoir,2050,201,204,689959.1458683603
52,AT_Hydro_Reservoir,2050,205,208,714522.1805982802
53,AT_Hydro_Reservoir,2050,209,212,757000.0
54,AT_Hydro_Reservoir,2050,213,216,727818.6807145197
55,AT_Hydro_Reservoir,2050,217,220,698637.3614290395
56,AT_Hydro_Reservoir,2050,221,224,669456.0421435593
57,AT_Hydro_Reservoir,2050,225,228,676104.2922016791
