id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_E_Balance,2050,1,1,2,3.4450000000000007
2,AT_E_Balance,2050,1,3,3,1.4194261249999864
3,AT_E_Balance,2050,1,4,4,-100.6663456319728
4,AT_E_Balance,2050,1,5,6,106.0
5,AT_E_Balance,2050,1,7,8,106.0
6,AT_E_Balance,2050,1,9,9,-100.99865436802719
7,AT_E_Balance,2050,1,10,10,-0.9349845010000024
8,AT_E_Balance,2050,1,11,12,3.4450000000000007
9,AT_E_Balance,2050,1,13,14,3.4450000000000007
10,AT_E_Balance,2050,1,15,15,-0.9349845010000024
11,AT_E_Balance,2050,1,16,16,1.4194261249999984
12,AT_E_Balance,2050,1,17,18,3.4450000000000016
13,AT_E_Balance,2050,1,19,20,3.7773087360543856
14,AT_E_Balance,2050,1,21,21,1.556345631972809
15,AT_E_Balance,2050,1,22,22,1.5563456319728077
16,AT_E_Balance,2050,1,23,24,3.4450000000000007
17,AT_E_Balance,2050,2,1,2,-0.0
18,AT_E_Balance,2050,2,3,3,-0.0
19,AT_E_Balance,2050,2,4,4,-0.0
20,AT_E_Balance,2050,2,5,6,-0.0
21,AT_E_Balance,2050,2,7,8,-0.0
22,AT_E_Balance,2050,2,9,9,-0.0
23,AT_E_Balance,2050,2,10,10,-0.0
24,AT_E_Balance,2050,2,11,12,-0.0
25,AT_E_Balance,2050,2,13,14,-0.0
26,AT_E_Balance,2050,2,15,15,-0.0
27,AT_E_Balance,2050,2,16,16,-0.0
28,AT_E_Balance,2050,2,17,18,-0.0
29,AT_E_Balance,2050,2,19,20,-0.0
30,AT_E_Balance,2050,2,21,21,-0.0
31,AT_E_Balance,2050,2,22,22,-0.0
32,AT_E_Balance,2050,2,23,24,-0.0
33,AT_E_Balance,2050,3,1,2,-0.0
34,AT_E_Balance,2050,3,3,3,2.8275000000000006
35,AT_E_Balance,2050,3,4,4,2.8275000000000006
36,AT_E_Balance,2050,3,5,6,-0.0
37,AT_E_Balance,2050,3,7,8,-0.0
38,AT_E_Balance,2050,3,9,9,2.8275000000000006
39,AT_E_Balance,2050,3,10,10,2.164804687500001
40,AT_E_Balance,2050,3,11,12,-0.0
41,AT_E_Balance,2050,3,13,14,-0.0
42,AT_E_Balance,2050,3,15,15,-0.0
43,AT_E_Balance,2050,3,16,16,2.8275000000000015
44,AT_E_Balance,2050,3,17,18,-0.0
45,AT_E_Balance,2050,3,19,20,-0.0
46,AT_E_Balance,2050,3,21,21,2.8275000000000006
47,AT_E_Balance,2050,3,22,22,-2.8275000000000006
48,AT_E_Balance,2050,3,23,24,5.655000000000001
49,AT_E_Balance,2050,4,1,2,-0.0
50,AT_E_Balance,2050,4,3,3,-0.0
51,AT_E_Balance,2050,4,4,4,-0.0
52,AT_E_Balance,2050,4,5,6,-0.0
53,AT_E_Balance,2050,4,7,8,-0.0
54,AT_E_Balance,2050,4,9,9,-0.0
55,AT_E_Balance,2050,4,10,10,-0.0
56,AT_E_Balance,2050,4,11,12,-0.0
57,AT_E_Balance,2050,4,13,14,-0.0
58,AT_E_Balance,2050,4,15,15,-0.0
59,AT_E_Balance,2050,4,16,16,-0.0
60,AT_E_Balance,2050,4,17,18,-0.0
61,AT_E_Balance,2050,4,19,20,-0.0
62,AT_E_Balance,2050,4,21,21,-0.0
63,AT_E_Balance,2050,4,22,22,-0.0
64,AT_E_Balance,2050,4,23,24,-0.0
65,AT_E_Balance,2050,5,1,2,-0.0
66,AT_E_Balance,2050,5,3,3,-0.0
67,AT_E_Balance,2050,5,4,4,-0.0
68,AT_E_Balance,2050,5,5,6,-0.0
69,AT_E_Balance,2050,5,7,8,-0.0
70,AT_E_Balance,2050,5,9,9,-0.0
71,AT_E_Balance,2050,5,10,10,-0.0
72,AT_E_Balance,2050,5,11,12,-0.0
73,AT_E_Balance,2050,5,13,14,-0.0
74,AT_E_Balance,2050,5,15,15,-0.0
75,AT_E_Balance,2050,5,16,16,-0.0
76,AT_E_Balance,2050,5,17,18,-0.0
77,AT_E_Balance,2050,5,19,20,-0.0
78,AT_E_Balance,2050,5,21,21,-0.0
79,AT_E_Balance,2050,5,22,22,-0.0
80,AT_E_Balance,2050,5,23,24,-0.0
81,AT_E_Balance,2050,6,1,2,1.17
82,AT_E_Balance,2050,6,3,3,0.5285702146322748
83,AT_E_Balance,2050,6,4,4,-1.1044322481893896
84,AT_E_Balance,2050,6,5,6,1.1700000000000017
