id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,1,1,197159.18636991762
2,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,2,2,194934.35651600253
3,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,3,3,194511.36462885668
4,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,4,4,196658.49026635438
5,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,5,5,206336.79554844857
6,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,6,6,207313.18935595686
7,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,7,7,220607.9651762307
8,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,8,8,228306.54114459266
9,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,9,9,230607.33781154593
10,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,10,10,234569.97554386978
11,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,11,11,235018.7427527689
12,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,12,12,237553.5270868741
13,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,13,13,241334.11051686123
14,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,14,14,241600.8043262596
15,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,15,15,241395.49828627167
16,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,16,16,248431.40360405986
17,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,17,17,242591.78358555492
18,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,18,18,237675.7683082708
19,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,19,19,233700.71265225246
20,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,20,20,228290.14840795295
21,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,21,21,221564.99714031143
