id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,solution
1,AT_Gas,2050,1,1,3,true,0.0
2,AT_Gas,2050,1,4,6,true,0.0
3,AT_Gas,2050,1,7,9,true,0.0
4,AT_Gas,2050,1,10,12,true,0.0
5,AT_Gas,2050,1,13,15,true,0.0
6,AT_Gas,2050,1,16,18,true,0.0
7,AT_Gas,2050,1,19,21,true,0.0
8,AT_Gas,2050,1,22,24,true,0.0
9,AT_Gas,2050,2,1,3,true,0.0
10,AT_Gas,2050,2,4,6,true,0.0
11,AT_Gas,2050,2,7,9,true,0.0
12,AT_Gas,2050,2,10,12,true,0.0
13,AT_Gas,2050,2,13,15,true,0.0
14,AT_Gas,2050,2,16,18,true,0.0
15,AT_Gas,2050,2,19,21,true,0.0
16,AT_Gas,2050,2,22,24,true,0.0
17,AT_Gas,2050,3,1,3,true,0.0
18,AT_Gas,2050,3,4,6,true,0.0
19,AT_Gas,2050,3,7,9,true,0.0
20,AT_Gas,2050,3,10,12,true,0.0
21,AT_Gas,2050,3,13,15,true,0.0
22,AT_Gas,2050,3,16,18,true,0.0
23,AT_Gas,2050,3,19,21,true,0.0
24,AT_Gas,2050,3,22,24,true,0.0
25,AT_Gas,2050,4,1,3,true,0.0
26,AT_Gas,2050,4,4,6,true,0.0
27,AT_Gas,2050,4,7,9,true,0.0
28,AT_Gas,2050,4,10,12,true,0.0
29,AT_Gas,2050,4,13,15,true,0.0
30,AT_Gas,2050,4,16,18,true,0.0
31,AT_Gas,2050,4,19,21,true,0.0
32,AT_Gas,2050,4,22,24,true,0.0
33,AT_Gas,2050,5,1,3,true,0.0
34,AT_Gas,2050,5,4,6,true,0.0
35,AT_Gas,2050,5,7,9,true,0.0
36,AT_Gas,2050,5,10,12,true,0.0
37,AT_Gas,2050,5,13,15,true,0.0
38,AT_Gas,2050,5,16,18,true,0.0
39,AT_Gas,2050,5,19,21,true,0.0
40,AT_Gas,2050,5,22,24,true,0.0
41,AT_Gas,2050,6,1,3,true,0.0
42,AT_Gas,2050,6,4,6,true,0.0
43,AT_Gas,2050,6,7,9,true,0.0
44,AT_Gas,2050,6,10,12,true,0.0
45,AT_Gas,2050,6,13,15,true,0.0
46,AT_Gas,2050,6,16,18,true,0.0
47,AT_Gas,2050,6,19,21,true,0.0
48,AT_Gas,2050,6,22,24,true,0.0
49,AT_Gas,2050,7,1,3,true,0.0
50,AT_Gas,2050,7,4,6,true,0.0
51,AT_Gas,2050,7,7,9,true,0.0
52,AT_Gas,2050,7,10,12,true,0.0
53,AT_Gas,2050,7,13,15,true,0.0
54,AT_Gas,2050,7,16,18,true,0.0
55,AT_Gas,2050,7,19,21,true,0.0
56,AT_Gas,2050,7,22,24,true,0.0
57,AT_Gas,2050,8,1,3,true,0.0
58,AT_Gas,2050,8,4,6,true,0.0
59,AT_Gas,2050,8,7,9,true,0.0
60,AT_Gas,2050,8,10,12,true,0.0
61,AT_Gas,2050,8,13,15,true,0.0
62,AT_Gas,2050,8,16,18,true,0.0
63,AT_Gas,2050,8,19,21,true,0.0
64,AT_Gas,2050,8,22,24,true,0.0
65,AT_Gas,2050,9,1,3,true,0.0
66,AT_Gas,2050,9,4,6,true,0.0
67,AT_Gas,2050,9,7,9,true,0.0
68,AT_Gas,2050,9,10,12,true,0.0
69,AT_Gas,2050,9,13,15,true,0.0
70,AT_Gas,2050,9,16,18,true,0.0
71,AT_Gas,2050,9,19,21,true,0.0
72,AT_Gas,2050,9,22,24,true,0.0
73,AT_Gas,2050,10,1,3,true,0.0
74,AT_Gas,2050,10,4,6,true,0.0
75,AT_Gas,2050,10,7,9,true,0.0
76,AT_Gas,2050,10,10,12,true,0.0
77,AT_Gas,2050,10,13,15,true,0.0
78,AT_Gas,2050,10,16,18,true,0.0
79,AT_Gas,2050,10,19,21,true,0.0
80,AT_Gas,2050,10,22,24,true,0.0
81,BE_Gas,2050,1,1,2,true,0.0
82,BE_Gas,2050,1,3,4,true,0.0
83,BE_Gas,2050,1,5,6,true,0.0
84,BE_Gas,2050,1,7,8,true,1.0
85,BE_Gas,2050,1,9,10,true,1.0
86,BE_Gas,2050,1,11,12,true,1.0
87,BE_Gas,2050,1,13,14,true,0.0
88,BE_Gas,2050,1,15,16,true,0.0
89,BE_Gas,2050,1,17,18,true,0.0
90,BE_Gas,2050,1,19,20,true,0.0
91,BE_Gas,2050,1,21,22,true,0.0
92,BE_Gas,2050,1,23,24,true,0.0
93,BE_Gas,2050,2,1,2,true,0.0
94,BE_Gas,2050,2,3,4,true,0.0
95,BE_Gas,2050,2,5,6,true,0.0
96,BE_Gas,2050,2,7,8,true,0.0
97,BE_Gas,2050,2,9,10,true,0.0
98,BE_Gas,2050,2,11,12,true,0.0
99,BE_Gas,2050,2,13,14,true,0.0
100,BE_Gas,2050,2,15,16,true,0.0
101,BE_Gas,2050,2,17,18,true,0.0
102,BE_Gas,2050,2,19,20,true,0.0
103,BE_Gas,2050,2,21,22,true,0.0
104,BE_Gas,2050,2,23,24,true,0.0
105,BE_Gas,2050,3,1,2,true,0.0
106,BE_Gas,2050,3,3,4,true,0.0
107,BE_Gas,2050,3,5,6,true,0.0
108,BE_Gas,2050,3,7,8,true,0.0
109,BE_Gas,2050,3,9,10,true,0.0
110,BE_Gas,2050,3,11,12,true,0.0
111,BE_Gas,2050,3,13,14,true,0.0
112,BE_Gas,2050,3,15,16,true,0.0
113,BE_Gas,2050,3,17,18,true,0.0
114,BE_Gas,2050,3,19,20,true,0.0
115,BE_Gas,2050,3,21,22,true,0.0
116,BE_Gas,2050,3,23,24,true,0.0
117,BE_Gas,2050,4,1,2,true,0.0
118,BE_Gas,2050,4,3,4,true,0.0
119,BE_Gas,2050,4,5,6,true,0.0
120,BE_Gas,2050,4,7,8,true,0.0
121,BE_Gas,2050,4,9,10,true,0.0
122,BE_Gas,2050,4,11,12,true,0.0
123,BE_Gas,2050,4,13,14,true,0.0
124,BE_Gas,2050,4,15,16,true,0.0
125,BE_Gas,2050,4,17,18,true,0.0
126,BE_Gas,2050,4,19,20,true,0.0
127,BE_Gas,2050,4,21,22,true,0.0
128,BE_Gas,2050,4,23,24,true,0.0
129,BE_Gas,2050,5,1,2,true,0.0
130,BE_Gas,2050,5,3,4,true,0.0
131,BE_Gas,2050,5,5,6,true,0.0
132,BE_Gas,2050,5,7,8,true,0.0
133,BE_Gas,2050,5,9,10,true,0.0
134,BE_Gas,2050,5,11,12,true,0.0
135,BE_Gas,2050,5,13,14,true,0.0
136,BE_Gas,2050,5,15,16,true,0.0
137,BE_Gas,2050,5,17,18,true,0.0
138,BE_Gas,2050,5,19,20,true,0.0
139,BE_Gas,2050,5,21,22,true,0.0
140,BE_Gas,2050,5,23,24,true,0.0
141,BE_Gas,2050,6,1,2,true,0.0
142,BE_Gas,2050,6,3,4,true,0.0
143,BE_Gas,2050,6,5,6,true,0.0
144,BE_Gas,2050,6,7,8,true,1.0
145,BE_Gas,2050,6,9,10,true,0.0
146,BE_Gas,2050,6,11,12,true,0.0
147,BE_Gas,2050,6,13,14,true,0.0
148,BE_Gas,2050,6,15,16,true,0.0
149,BE_Gas,2050,6,17,18,true,0.0
150,BE_Gas,2050,6,19,20,true,0.0
151,BE_Gas,2050,6,21,22,true,0.0
152,BE_Gas,2050,6,23,24,true,0.0
153,BE_Gas,2050,7,1,2,true,1.0
154,BE_Gas,2050,7,3,4,true,1.0
155,BE_Gas,2050,7,5,6,true,1.0
156,BE_Gas,2050,7,7,8,true,1.0
157,BE_Gas,2050,7,9,10,true,1.0
158,BE_Gas,2050,7,11,12,true,1.0
159,BE_Gas,2050,7,13,14,true,1.0
160,BE_Gas,2050,7,15,16,true,1.0
161,BE_Gas,2050,7,17,18,true,1.0
162,BE_Gas,2050,7,19,20,true,1.0
163,BE_Gas,2050,7,21,22,true,1.0
164,BE_Gas,2050,7,23,24,true,1.0
165,BE_Gas,2050,8,1,2,true,0.0
166,BE_Gas,2050,8,3,4,true,0.0
167,BE_Gas,2050,8,5,6,true,0.0
168,BE_Gas,2050,8,7,8,true,0.0
169,BE_Gas,2050,8,9,10,true,0.0
170,BE_Gas,2050,8,11,12,true,0.0
171,BE_Gas,2050,8,13,14,true,0.0
172,BE_Gas,2050,8,15,16,true,0.0
173,BE_Gas,2050,8,17,18,true,0.0
174,BE_Gas,2050,8,19,20,true,0.0
175,BE_Gas,2050,8,21,22,true,0.0
176,BE_Gas,2050,8,23,24,true,0.0
177,BE_Gas,2050,9,1,2,true,0.0
178,BE_Gas,2050,9,3,4,true,0.0
179,BE_Gas,2050,9,5,6,true,0.0
180,BE_Gas,2050,9,7,8,true,0.0
181,BE_Gas,2050,9,9,10,true,0.0
182,BE_Gas,2050,9,11,12,true,0.0
183,BE_Gas,2050,9,13,14,true,0.0
184,BE_Gas,2050,9,15,16,true,0.0
185,BE_Gas,2050,9,17,18,true,0.0
186,BE_Gas,2050,9,19,20,true,0.0
187,BE_Gas,2050,9,21,22,true,0.0
188,BE_Gas,2050,9,23,24,true,0.0
189,BE_Gas,2050,10,1,2,true,0.0
190,BE_Gas,2050,10,3,4,true,0.0
191,BE_Gas,2050,10,5,6,true,0.0
192,BE_Gas,2050,10,7,8,true,0.0
193,BE_Gas,2050,10,9,10,true,1.0
194,BE_Gas,2050,10,11,12,true,1.0
195,BE_Gas,2050,10,13,14,true,1.0
196,BE_Gas,2050,10,15,16,true,1.0
197,BE_Gas,2050,10,17,18,true,1.0
198,BE_Gas,2050,10,19,20,true,1.0
199,BE_Gas,2050,10,21,22,true,1.0
200,BE_Gas,2050,10,23,24,true,1.0
201,BE_OCGT,2050,1,1,2,true,0.0
202,BE_OCGT,2050,1,3,4,true,0.0
203,BE_OCGT,2050,1,5,6,true,0.0
204,BE_OCGT,2050,1,7,8,true,1.0
205,BE_OCGT,2050,1,9,10,true,1.0
206,BE_OCGT,2050,1,11,12,true,0.0
207,BE_OCGT,2050,1,13,14,true,0.0
208,BE_OCGT,2050,1,15,16,true,0.0
209,BE_OCGT,2050,1,17,18,true,0.0
210,BE_OCGT,2050,1,19,20,true,0.0
211,BE_OCGT,2050,1,21,22,true,0.0
212,BE_OCGT,2050,1,23,24,true,0.0
213,BE_OCGT,2050,2,1,2,true,0.0
214,BE_OCGT,2050,2,3,4,true,0.0
215,BE_OCGT,2050,2,5,6,true,0.0
216,BE_OCGT,2050,2,7,8,true,0.0
217,BE_OCGT,2050,2,9,10,true,0.0
218,BE_OCGT,2050,2,11,12,true,0.0
219,BE_OCGT,2050,2,13,14,true,0.0
220,BE_OCGT,2050,2,15,16,true,0.0
221,BE_OCGT,2050,2,17,18,true,0.0
222,BE_OCGT,2050,2,19,20,true,0.0
223,BE_OCGT,2050,2,21,22,true,0.0
224,BE_OCGT,2050,2,23,24,true,0.0
225,BE_OCGT,2050,3,1,2,true,0.0
226,BE_OCGT,2050,3,3,4,true,0.0
227,BE_OCGT,2050,3,5,6,true,0.0
228,BE_OCGT,2050,3,7,8,true,0.0
229,BE_OCGT,2050,3,9,10,true,0.0
230,BE_OCGT,2050,3,11,12,true,0.0
231,BE_OCGT,2050,3,13,14,true,0.0
232,BE_OCGT,2050,3,15,16,true,0.0
233,BE_OCGT,2050,3,17,18,true,0.0
234,BE_OCGT,2050,3,19,20,true,0.0
235,BE_OCGT,2050,3,21,22,true,0.0
236,BE_OCGT,2050,3,23,24,true,0.0
237,BE_OCGT,2050,4,1,2,true,0.0
238,BE_OCGT,2050,4,3,4,true,0.0
239,BE_OCGT,2050,4,5,6,true,0.0
240,BE_OCGT,2050,4,7,8,true,0.0
241,BE_OCGT,2050,4,9,10,true,0.0
242,BE_OCGT,2050,4,11,12,true,0.0
243,BE_OCGT,2050,4,13,14,true,0.0
244,BE_OCGT,2050,4,15,16,true,0.0
245,BE_OCGT,2050,4,17,18,true,0.0
246,BE_OCGT,2050,4,19,20,true,0.0
247,BE_OCGT,2050,4,21,22,true,0.0
248,BE_OCGT,2050,4,23,24,true,0.0
249,BE_OCGT,2050,5,1,2,true,0.0
250,BE_OCGT,2050,5,3,4,true,0.0
251,BE_OCGT,2050,5,5,6,true,0.0
252,BE_OCGT,2050,5,7,8,true,0.0
253,BE_OCGT,2050,5,9,10,true,0.0
254,BE_OCGT,2050,5,11,12,true,0.0
255,BE_OCGT,2050,5,13,14,true,0.0
256,BE_OCGT,2050,5,15,16,true,0.0
257,BE_OCGT,2050,5,17,18,true,0.0
258,BE_OCGT,2050,5,19,20,true,0.0
259,BE_OCGT,2050,5,21,22,true,0.0
260,BE_OCGT,2050,5,23,24,true,0.0
261,BE_OCGT,2050,6,1,2,true,0.0
262,BE_OCGT,2050,6,3,4,true,1.0
263,BE_OCGT,2050,6,5,6,true,1.0
264,BE_OCGT,2050,6,7,8,true,1.0
265,BE_OCGT,2050,6,9,10,true,1.0
266,BE_OCGT,2050,6,11,12,true,1.0
267,BE_OCGT,2050,6,13,14,true,1.0
268,BE_OCGT,2050,6,15,16,true,0.0
269,BE_OCGT,2050,6,17,18,true,0.0
270,BE_OCGT,2050,6,19,20,true,0.0
271,BE_OCGT,2050,6,21,22,true,1.0
272,BE_OCGT,2050,6,23,24,true,0.0
273,BE_OCGT,2050,7,1,2,true,1.0
274,BE_OCGT,2050,7,3,4,true,1.0
275,BE_OCGT,2050,7,5,6,true,1.0
276,BE_OCGT,2050,7,7,8,true,1.0
277,BE_OCGT,2050,7,9,10,true,1.0
278,BE_OCGT,2050,7,11,12,true,1.0
279,BE_OCGT,2050,7,13,14,true,1.0
280,BE_OCGT,2050,7,15,16,true,1.0
281,BE_OCGT,2050,7,17,18,true,1.0
282,BE_OCGT,2050,7,19,20,true,1.0
283,BE_OCGT,2050,7,21,22,true,1.0
284,BE_OCGT,2050,7,23,24,true,1.0
285,BE_OCGT,2050,8,1,2,true,0.0
286,BE_OCGT,2050,8,3,4,true,0.0
287,BE_OCGT,2050,8,5,6,true,0.0
288,BE_OCGT,2050,8,7,8,true,0.0
289,BE_OCGT,2050,8,9,10,true,1.0
290,BE_OCGT,2050,8,11,12,true,1.0
291,BE_OCGT,2050,8,13,14,true,1.0
292,BE_OCGT,2050,8,15,16,true,1.0
293,BE_OCGT,2050,8,17,18,true,0.0
294,BE_OCGT,2050,8,19,20,true,0.0
295,BE_OCGT,2050,8,21,22,true,0.0
296,BE_OCGT,2050,8,23,24,true,0.0
297,BE_OCGT,2050,9,1,2,true,0.0
298,BE_OCGT,2050,9,3,4,true,0.0
299,BE_OCGT,2050,9,5,6,true,0.0
300,BE_OCGT,2050,9,7,8,true,0.0
301,BE_OCGT,2050,9,9,10,true,0.0
302,BE_OCGT,2050,9,11,12,true,0.0
303,BE_OCGT,2050,9,13,14,true,0.0
304,BE_OCGT,2050,9,15,16,true,0.0
305,BE_OCGT,2050,9,17,18,true,0.0
306,BE_OCGT,2050,9,19,20,true,0.0
307,BE_OCGT,2050,9,21,22,true,0.0
308,BE_OCGT,2050,9,23,24,true,0.0
309,BE_OCGT,2050,10,1,2,true,0.0
310,BE_OCGT,2050,10,3,4,true,0.0
311,BE_OCGT,2050,10,5,6,true,0.0
312,BE_OCGT,2050,10,7,8,true,0.0
313,BE_OCGT,2050,10,9,10,true,1.0
314,BE_OCGT,2050,10,11,12,true,1.0
315,BE_OCGT,2050,10,13,14,true,1.0
316,BE_OCGT,2050,10,15,16,true,1.0
317,BE_OCGT,2050,10,17,18,true,1.0
318,BE_OCGT,2050,10,19,20,true,1.0
319,BE_OCGT,2050,10,21,22,true,1.0
320,BE_OCGT,2050,10,23,24,true,1.0
321,BG_Coal,2050,1,1,6,true,0.0
322,BG_Coal,2050,1,7,12,true,0.0
323,BG_Coal,2050,1,13,18,true,0.0
324,BG_Coal,2050,1,19,24,true,0.0
325,BG_Coal,2050,2,1,6,true,0.0
326,BG_Coal,2050,2,7,12,true,0.0
327,BG_Coal,2050,2,13,18,true,0.0
328,BG_Coal,2050,2,19,24,true,0.0
329,BG_Coal,2050,3,1,6,true,0.0
330,BG_Coal,2050,3,7,12,true,0.0
331,BG_Coal,2050,3,13,18,true,0.0
332,BG_Coal,2050,3,19,24,true,0.0
333,BG_Coal,2050,4,1,6,true,0.0
334,BG_Coal,2050,4,7,12,true,0.0
335,BG_Coal,2050,4,13,18,true,0.0
336,BG_Coal,2050,4,19,24,true,0.0
337,BG_Coal,2050,5,1,6,true,0.0
338,BG_Coal,2050,5,7,12,true,0.0
339,BG_Coal,2050,5,13,18,true,0.0
340,BG_Coal,2050,5,19,24,true,0.0
341,BG_Coal,2050,6,1,6,true,0.0
342,BG_Coal,2050,6,7,12,true,0.0
343,BG_Coal,2050,6,13,18,true,0.0
344,BG_Coal,2050,6,19,24,true,0.0
345,BG_Coal,2050,7,1,6,true,0.0
346,BG_Coal,2050,7,7,12,true,0.0
347,BG_Coal,2050,7,13,18,true,0.0
348,BG_Coal,2050,7,19,24,true,0.0
349,BG_Coal,2050,8,1,6,true,0.0
350,BG_Coal,2050,8,7,12,true,0.0
351,BG_Coal,2050,8,13,18,true,0.0
352,BG_Coal,2050,8,19,24,true,0.0
353,BG_Coal,2050,9,1,6,true,0.0
354,BG_Coal,2050,9,7,12,true,0.0
355,BG_Coal,2050,9,13,18,true,0.0
356,BG_Coal,2050,9,19,24,true,0.0
357,BG_Coal,2050,10,1,6,true,0.0
358,BG_Coal,2050,10,7,12,true,0.0
359,BG_Coal,2050,10,13,18,true,0.0
360,BG_Coal,2050,10,19,24,true,0.0
361,BG_Gas,2050,1,1,6,true,0.0
362,BG_Gas,2050,1,7,12,true,0.0
363,BG_Gas,2050,1,13,18,true,0.0
364,BG_Gas,2050,1,19,24,true,0.0
365,BG_Gas,2050,2,1,6,true,0.0
366,BG_Gas,2050,2,7,12,true,0.0
367,BG_Gas,2050,2,13,18,true,0.0
368,BG_Gas,2050,2,19,24,true,0.0
369,BG_Gas,2050,3,1,6,true,0.0
370,BG_Gas,2050,3,7,12,true,0.0
371,BG_Gas,2050,3,13,18,true,0.0
372,BG_Gas,2050,3,19,24,true,0.0
373,BG_Gas,2050,4,1,6,true,0.0
374,BG_Gas,2050,4,7,12,true,0.0
375,BG_Gas,2050,4,13,18,true,0.0
376,BG_Gas,2050,4,19,24,true,0.0
377,BG_Gas,2050,5,1,6,true,0.0
378,BG_Gas,2050,5,7,12,true,0.0
379,BG_Gas,2050,5,13,18,true,0.0
380,BG_Gas,2050,5,19,24,true,0.0
381,BG_Gas,2050,6,1,6,true,0.0
382,BG_Gas,2050,6,7,12,true,0.0
383,BG_Gas,2050,6,13,18,true,0.0
384,BG_Gas,2050,6,19,24,true,0.0
385,BG_Gas,2050,7,1,6,true,0.0
386,BG_Gas,2050,7,7,12,true,0.0
387,BG_Gas,2050,7,13,18,true,0.0
388,BG_Gas,2050,7,19,24,true,0.0
389,BG_Gas,2050,8,1,6,true,0.0
390,BG_Gas,2050,8,7,12,true,0.0
391,BG_Gas,2050,8,13,18,true,0.0
392,BG_Gas,2050,8,19,24,true,0.0
393,BG_Gas,2050,9,1,6,true,0.0
394,BG_Gas,2050,9,7,12,true,0.0
395,BG_Gas,2050,9,13,18,true,0.0
396,BG_Gas,2050,9,19,24,true,0.0
397,BG_Gas,2050,10,1,6,true,0.0
398,BG_Gas,2050,10,7,12,true,0.0
399,BG_Gas,2050,10,13,18,true,0.0
400,BG_Gas,2050,10,19,24,true,0.0
401,BG_Nuclear,2050,1,1,6,true,1.0
402,BG_Nuclear,2050,1,7,12,true,1.0
403,BG_Nuclear,2050,1,13,18,true,1.0
404,BG_Nuclear,2050,1,19,24,true,1.0
405,BG_Nuclear,2050,2,1,6,true,1.0
406,BG_Nuclear,2050,2,7,12,true,0.0
407,BG_Nuclear,2050,2,13,18,true,0.0
408,BG_Nuclear,2050,2,19,24,true,1.0
409,BG_Nuclear,2050,3,1,6,true,1.0
410,BG_Nuclear,2050,3,7,12,true,1.0
411,BG_Nuclear,2050,3,13,18,true,1.0
412,BG_Nuclear,2050,3,19,24,true,1.0
413,BG_Nuclear,2050,4,1,6,true,0.0
414,BG_Nuclear,2050,4,7,12,true,0.0
415,BG_Nuclear,2050,4,13,18,true,1.0
416,BG_Nuclear,2050,4,19,24,true,1.0
417,BG_Nuclear,2050,5,1,6,true,1.0
418,BG_Nuclear,2050,5,7,12,true,0.0
419,BG_Nuclear,2050,5,13,18,true,1.0
420,BG_Nuclear,2050,5,19,24,true,1.0
421,BG_Nuclear,2050,6,1,6,true,1.0
422,BG_Nuclear,2050,6,7,12,true,1.0
423,BG_Nuclear,2050,6,13,18,true,1.0
424,BG_Nuclear,2050,6,19,24,true,1.0
425,BG_Nuclear,2050,7,1,6,true,1.0
426,BG_Nuclear,2050,7,7,12,true,1.0
427,BG_Nuclear,2050,7,13,18,true,1.0
428,BG_Nuclear,2050,7,19,24,true,1.0
429,BG_Nuclear,2050,8,1,6,true,1.0
430,BG_Nuclear,2050,8,7,12,true,0.0
431,BG_Nuclear,2050,8,13,18,true,0.0
432,BG_Nuclear,2050,8,19,24,true,1.0
433,BG_Nuclear,2050,9,1,6,true,1.0
434,BG_Nuclear,2050,9,7,12,true,0.0
435,BG_Nuclear,2050,9,13,18,true,0.0
436,BG_Nuclear,2050,9,19,24,true,1.0
437,BG_Nuclear,2050,10,1,6,true,1.0
438,BG_Nuclear,2050,10,7,12,true,1.0
439,BG_Nuclear,2050,10,13,18,true,1.0
440,BG_Nuclear,2050,10,19,24,true,1.0
441,BG_OCGT,2050,1,1,6,true,0.0
442,BG_OCGT,2050,1,7,12,true,0.0
443,BG_OCGT,2050,1,13,18,true,0.0
444,BG_OCGT,2050,1,19,24,true,0.0
445,BG_OCGT,2050,2,1,6,true,0.0
446,BG_OCGT,2050,2,7,12,true,0.0
447,BG_OCGT,2050,2,13,18,true,0.0
448,BG_OCGT,2050,2,19,24,true,0.0
449,BG_OCGT,2050,3,1,6,true,0.0
450,BG_OCGT,2050,3,7,12,true,0.0
451,BG_OCGT,2050,3,13,18,true,0.0
452,BG_OCGT,2050,3,19,24,true,0.0
453,BG_OCGT,2050,4,1,6,true,0.0
454,BG_OCGT,2050,4,7,12,true,0.0
455,BG_OCGT,2050,4,13,18,true,0.0
456,BG_OCGT,2050,4,19,24,true,0.0
457,BG_OCGT,2050,5,1,6,true,0.0
458,BG_OCGT,2050,5,7,12,true,0.0
459,BG_OCGT,2050,5,13,18,true,0.0
460,BG_OCGT,2050,5,19,24,true,0.0
461,BG_OCGT,2050,6,1,6,true,0.0
462,BG_OCGT,2050,6,7,12,true,0.0
463,BG_OCGT,2050,6,13,18,true,0.0
464,BG_OCGT,2050,6,19,24,true,0.0
465,BG_OCGT,2050,7,1,6,true,0.0
466,BG_OCGT,2050,7,7,12,true,0.0
