id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,1,2,196046.7714429601
2,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,3,4,195584.9274476055
3,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,5,6,206824.99245220295
4,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,7,8,224457.25316041164
5,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,9,10,232588.65667770786
6,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,11,12,236286.13491982163
7,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,13,14,241467.45742156063
8,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,15,16,244913.45094516574
9,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,17,18,240133.77594691288
10,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,19,20,230995.4305301027
11,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,21,22,216038.75855975025
12,NL_E_Balance,NL_E_Demand,2050,1,1.0,1.0,23,24,191867.74688085297
13,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,1,2,0.0
14,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,3,4,0.0
15,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,5,6,0.0
16,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,7,8,0.0
17,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,9,10,0.0
18,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,11,12,0.0
19,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,13,14,0.0
20,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,15,16,0.0
21,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,17,18,0.0
22,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,19,20,0.0
23,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,21,22,0.0
24,NL_E_ENS,NL_E_Demand,2050,1,1.0,1.0,23,24,0.0
25,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,1,2,191848.16187169816
26,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,3,4,184079.45429433958
27,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,5,6,173827.2296407547
28,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,7,8,160327.2645735849
29,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,9,10,116079.09080716976
30,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,11,12,96820.43527245284
31,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,13,14,107590.9482577358
32,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,15,16,124000.49228339625
33,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,17,18,148754.90895886795
34,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,19,20,167261.9292279245
35,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,21,22,210638.81444830194
36,NL_Wind_Onshore,NL_E_Balance,2050,1,1.0,1.0,23,24,228962.2457249057
37,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,1,2,17894.408909066246
38,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,3,4,17489.390803176735
39,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,5,6,16455.665302994807
40,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,7,8,15793.101443390267
41,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,9,10,15321.255496896483
42,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,11,12,15131.092910432504
43,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,13,14,15808.434562413335
44,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,15,16,17411.408210015652
45,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,17,18,18205.46825894763
46,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,19,20,19996.917308431992
47,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,21,22,21231.930784911514
48,NL_Wind_Offshore,NL_E_Balance,2050,1,1.0,1.0,23,24,20978.96599027631
49,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,1,2,0.0
50,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,3,4,0.0
51,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,5,6,159.98470778445278
52,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,7,8,16487.592128203927
53,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,9,10,79318.05246658734
54,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,11,12,132939.5102057031
55,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,13,14,148425.90662255365
56,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,15,16,130222.74813078024
57,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,17,18,83416.93379157055
58,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,19,20,23957.065269365434
59,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,21,22,803.7450236132829
60,NL_Solar,NL_E_Balance,2050,1,1.0,1.0,23,24,0.0
61,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,1,2,-0.0
62,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,3,4,-0.0
63,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,5,6,0.0
64,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,7,8,0.0
65,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,9,10,0.0
66,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,11,12,0.0
67,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,13,14,14535.422467295999
68,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,15,16,17458.786819051253
69,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,17,18,0.0
70,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,19,20,0.0
71,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,21,22,0.0
72,NL_E_Balance,NL_Battery,2050,1,0.955,1.0,23,24,41068.58638743456
73,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,1,2,0.0
74,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,3,4,0.0
75,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,5,6,0.0
76,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,7,8,26753.06791011543
77,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,9,10,10702.509589884568
78,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,11,12,0.0
79,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,13,14,0.0
80,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,15,16,0.0
81,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,17,18,0.0
82,NL_Battery,NL_E_Balance,2050,1,0.955,1.0,19,20,29179.518724380767
